review_title,review_body,review_author,review_rating,review_date,review_helpful_votes
DO NOT BUY,I ordered the laptop happy from all the reviews till it came the box was wayy smaller than expect but still I opened the box little to my surprise it was a bottle of perfume in it instead of my laptop,Kindle Customer,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 18, 2021",
Returned defective,"Returned  defective, would not accept HDMI connection",nancy,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 25, 2022",
Received back cover missing one screw,Received back cover missing one screw,Jack,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 15, 2022",
Not the best.,Not much to say. Disappointed.,Auston Blackwell,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 14, 2022",
"False ad. Says 32GB DDR expandable, wrong.",Sending back. Says 32 GB DDR4 expandable. Ordered 32GN. Only on slot available for 24GB MAX. Returning.,Nathan,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on February 24, 2022",2 people found this helpful
Blue screen of Death once I turned it on,Well when I first started up this computer is gave me a blue screen of death.  Reinstalled Windows same issue.  Not a good impression for Asus Laptops. Returned ASAP. I suggest avoiding this laptop.,Gavin,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 11, 2021",5 people found this helpful
Really worth the price,"Had it for almost a month. Works like a dream. Two issue that I have are the fan noise, it can get very loud at times and the ports, sometimes the HDMI port and the audio jack ports act up but nothing too bad.",Sean,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 5, 2021",
It works and can run heavily modded games with little to no issue,It gus,Johnathan Clark,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on November 3, 2021",
Buen trabajo ASUS,Muy bien construida.,Wilson Baldayaque,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 28, 2021",
Excelente relación precio y hardware,"Excelente relación precio y características, el monitor de recurso interno es excelente para evaluar el desempeño con las aplicaciones. Lo único que no me gustó es que solo tiene un slot para la memoria ram.",Jorge B.,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 13, 2021",3 people found this helpful
Average gaming laptop,I mostly use it for work but it plays some games pretty well.,Joseph Holbert,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 5, 2021",
Excelente articulo. 3050ti,"Es un producto espectacular. Le instale el Windows 11 y va de maravilla. 100% recomendada, puedes ampliar la ram y la ssd m. 2 muy fácil.",Efrain Hernandez,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 15, 2021",
GPU Issues!!!,"Look elsewhere. This laptop had all sorts of video issues. I use it for Adobe Premier and it crashes constantly. Drivers are up to date, computer is clean. I would not suggest this at all. I can't even image the gaming on it. :(",Jessica & Mark Rogan,2.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 15, 2022",One person found this helpful
"Tengan en cuenta que no tiene cámara web, aun así es un portátil potente","No me agrado que no tuviera cámara pero de resto todo esta muy bien, tiene un slot para una memoria RAM extra",Jhon Santiago Zambrano Andrade,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 9, 2021",
Great gaming budget laptop,"Great gaming laptop, it has a Powerful GPU, rtx 3050ti which I found performance well in gaming",Lewis Munuhe,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 7, 2021",
NICE,"Linda computadora, muy elegante y para trabajos no pide permiso.",Erick,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 11, 2021",
Una gaming laptop de calidad a un precio considerablemente económico,"Es una buena laptop para gaming, personalmente la Ram es un poco baja pero se puede expandir fácilmente y es una maravilla. 100% recomendanda!",Emilia Yépez,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 3, 2021",
Resena,"Ya tengo un mes con ella y es muy buena computadora, recomendada",Renato,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 24, 2021",
Cumple con lo esperado,"Al principio no sabia que esperar, tenia miedo que fuera a llegar dañada o con un problema de software, pero al contrario, la laptop llego en perfectas condiciones y funciona super bien sin ningun problema, ya la probe con varios juegos y los corre fluidos sin problemas, una muy buena compra",Edgar,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 17, 2021",
"Great build, runs hot","Laptop runs amazing, fast, responsive. Only thing that is a but of a downer is how hit the laptop gets after a short period of gaming. I'm not talking max settings. I'm taking about medium settings. Other than that this is a great laptop",Rolando Lopez,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 12, 2021",
Very happy with the purchase.,"I work in video games, so before buying a new laptop, I spent a lot of time researching my options. I'm very glad I ultimately went with this one. It's sleek, fast, and a lot quieter than my old MSI. Both working and gaming has been a pleasure thus far.",Olga M.,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 9, 2021",
Bad CPU good GPU,I bought this laptop because the price was good and the specs seemed decent. After I set it up and tried to game on it many games such as Fortnite and COD Warzone they stuttered badly. The CPU was pegged at 100% and almost all the ram was being used. I ended up returning it in favor of something with a better CPU.,Gage Faison,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 6, 2021",
Terrible Display,"No matter what I do, I can’t get display to look good. It’s really bland, no vibrancy, and the backlighting is very dim. I have to crank up the gamma/brightness in every game just to see what’s going on. Everything else is fine otherwise.",Keith D.,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 17, 2021",
DEFINITELY NOT DISAPPOINTED!!!!,"This thing is great, runs like a champ, I can multibox 3 Diablo 3 games with ease, plays biomutant great, from startup to playing in 5-10seconds, no complaints on my part.",Duncan Merchant,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 9, 2021",
WorkED Great,"Completely useless after a year of owning this computer. I used it for editing less than 30min videos, streaming football and LOL. It glitches out and does not recognize my plugged in accessories, I’ve verified it’s not the accessories with another computer and they work perfectly. Highly recommend if you only want a good computer for about a year.",Wyatt leik,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 7, 2022",
Great performance even in newer games,"This is the first time I buy a gaming laptop, and I must say it exceeded my expectations. Everything I tried runs smoothly. Great price range from my point of view.",Jaime Echenique,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 1, 2021",
For gaming? Really?,"Laptop looks nice and everything works fine, but I’m getting 50-100 fps on LOW settings on Valorant. I just bought this laptop a few days ago and it’s already like this. I already went on YouTube to tweak the settings to improve my in game fps but nothing’s working. Already tried setting it to High Performance, playing around with NVIDIA’s settings and it’s still the same. I got better fps on my old laptop that has inferior specs… Did I just get a bad laptop?",Van,2.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 5, 2022",One person found this helpful
Great laptop,Make sure you add another 8gb ram and make it dual channel. Runs witcher 3 on 60 fps ultra settings. Minecraft 140 fps,Ozan Ercan,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 15, 2021",
powerful hardware except the screen,"The screen had yellow tone , even i had calibration it, still very yellow. if you using for gaming, that is no problem. if you using for photo or video editing, strongly recommend connect other monitor. ( FYI, as my checking, that screen is 69% SRGB)",sing kam (26079),3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 14, 2021",4 people found this helpful
It works less than 3 month and black out!,"If you live in US and Canada buy it, from another place I don't recommend it.",politaleon,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on December 22, 2021",12 people found this helpful
Bang 4 that buck homie,After setting it up I deleted all the pre-installed 0 IQ usless programs that it came on it. Installed more ram now its a laptop.,Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 1, 2021",One person found this helpful
How fast it performs,"When I opened up my laptop I immediately started downloading my games, and started playing. I was very impressed with how well and fast it works!",matthew,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 27, 2021",
Great computer,"It boots up pretty fast and works really well, battery life is a bit short though",Leonardo Specht,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 5, 2021",
Messes up your phone and doesn’t even come with a camera,Will download games that you have to pay for but messes with your phone and all the apps on your phone and there is not even a Built-in camera is very slow Mentioning gaming battery life and no camera quality,Jessalyn Miskell Caron,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 23, 2022",
Great price for a little powerhouse VR Quest 2 Gaming laptop,"Loving it so far! My other laptop is another ASUS but an AMD Radeon. This i7 + RTX3050ti is a BEAST compared to that thing. Alien Isolation PCVR on the Quest 2 looks IMMACULATE. And while she runs hot, not nearly as hot as my AMD laptop.",therealsg,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 11, 2022",2 people found this helpful
Excellent for the price!,"Really it's a beast, smooth and fast.",Anonymous ,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 20, 2021",
**DO NOT BUY** - Overheating during Chrome,"I'm sorely disappointed in my new laptop. While using Google Chrome and Spotify, my laptop blue screened due to overheating...three days after arrival. I will be returning this product in the next few days. Sad because I've enjoyed everything else about this computer. Blue screens a less than a month into new usage is unacceptable.",Amazon Customer,2.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 19, 2022",2 people found this helpful
"Hay que comprar lo que ya nos funcionó , en mi caso HP y Lenovo no","Es una computadora que se siente muy bien en la parte del teclado y se ve muy bien la pantalla, pero se queda marcado tus huellas en todas partes donde tocas este aparato (punto malo) a la tercer vez q la use comenzó apagar cada 15 segundos la pura pantalla x 3 ocasiónes y enseguida se apagó definitivamente y solo quedó prendido el teclado, así que piensen en adquirir está máquina.",Jimmy Newtron,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 1, 2022",2 people found this helpful
Great upgrade,"For roughly the same price I paid for a gaming laptop with a gtx1050, it’s a major upgrade for me. It looks very professional and not too over the top with gamer aesthetics. The screen is great on my unit, especially with the thin bezels thought it does have a noticeable chin with the asus logo. I got the lower tier with the 500 GB SSD so that I later on upgrade the space with a terabyte. Overall, not a bad buy. Though I will note, there’s already soldered ram inside and only one slot of space for another stick of ram so keep that in mind when your upgrading your ram. Another thing is that it doesn’t have a webcam, you may not want to use this for zoom calls unless you’ll want to invest in a webcam yourself.",Leo,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 1, 2022",
Fairly Functional Computer,"Bought this laptop as a lower level gaming PC. It arrived on time and in good condition, started as it should have. I had some problems playing any games at first as the drivers were not up to date, but when that was finished, it became possible to load them without crashing.",Amazon Customer,2.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 1, 2021",33 people found this helpful
Excelente producto,Súper,Coneck,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 19, 2021",
It's an OK laptop,Battery dies if using memory for a while. Would prefer more memory.,Luis F. Collazo,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 20, 2022",
A decent quality laptop,"The first thing I did was double the amount of RAM in this machine. After that, everything stopped stuttering and I could play pretty much whatever I wanted (mind you, I'm generally considered an ""old school"" gamer and get around to AAA titles 5-10 years after release if at all). The laptop just runs and that's good enough for me.",Irate Badger With a Hoe,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 27, 2021",
Excelente,"Excelente compra, llego de manera correcto todo",Nicolas Fernandez,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 22, 2022",
"Buena compra, SOLO si no te llega defectuosa","El producto tardó 2 días en presentar el primer pantallazo azul, luego solo fueron errores tras errores. En total recibí como 5 pantallazos azules y cada que la encendía me decía que debía escanear y reparar el disco de almacenamiento… Ya hice el retorno y estoy esperando la devolución del dinero y en teoría por lo que hablé con servicio al cliente debería recibir la devolución del envío ya que viene con malos funcionamientos de fábrica (Desde Colombia fueron al rededor de 160USD). En mi opinión deberían optar por otra opción o contar con suerte al comprar ésta laptop.",Ed,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 19, 2022",
Una calidad y componentes increíbles a un excelente precio,"Es un producto que la verdad , con sus componentes , a ese precio es increíble , me gusta mucho y por lo pagas está más que bien.",sergio andres restrepo valderrama,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 10, 2022",One person found this helpful
Great Value for a gaming PC,"It’s a great computer for the price point. Easily upgradeable ram and hard drive. The ram upgrade is a necessity for this type of computer. It’s not going to play the latest AAA games great. If your just looking to play Fallout 4, 3 and NV on Ultra this is the computer for you.",Brett,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on February 24, 2022",
Buying Used Like New,"Bought a Used Like New one and everything looked brand new, but the device was already signed into and encrypted. Battery life was also only going up to 95 even when plugged. Had to return. So be aware of that for anyone buying used.",Crushed Hopes,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on February 16, 2022",One person found this helpful
Excellent,Good. Nothing to complain.,Jose T.,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 22, 2022",One person found this helpful
Ecxelente portátil,"Muy buen portátil, se dejó mejorar hasta 40gb de ram y dos discos duros m2",brian,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 26, 2022",
No camera but gaming quality is unmatched. My stats went up over 400%,This little tank just kicks butt on gaming I’ve only tested it on fortnite and roblox because of my children but the wireless antenna makes it so I don’t even have to connect my ethernet cable and I’m still pulling over 450 Mbps love it love it love it only problem I did not notice it does not include a camera on board so I had to buy a plug in USB which actually worked out great I prefer the movable camera over the stationary one that goes in the laptop so but if you need one that has a camera built-in this is not the laptop for you but if you can deal with a USB plug-in camera this laptop is unmatched,Amazon Customer,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 22, 2021",One person found this helpful
Be careful when buying,My laptop works pretty good. I had a couple of technical issues (eg NVidia video card disappearing) and tech support was absolutely unhelpful (after spending a very long time with them).,Sunil Ramjitsingh,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 5, 2022",6 people found this helpful
Runs very HOT,"Bought this as a portable option for light gaming, but I am fearful to use it for anything more than basic web browsing and video playback. This laptop will thermal throttle on the CPU after less than 30 seconds of running a game. It will constantly run at 95C+ while running a game or doing anything that's CPU demanding. The GPU stays cool compared to the CPU and typically only hits temps in the 65-75C range. I've tried every option I can find to help the CPU run cooler, but nothing seems to help. What makes this even worse is that the fans don't spin up to a high rate to cool the CPU until it is already 95-100C+ and then they only run until the CPU falls below that temp. The fans do get somewhat loud, but I'd take that over the overheating if they'd actually run more often to keep the CPU cool and not just spin up to cool it after it already thermal throttles. Other than the heat and lack of fans doing anything (using any of the modes available), the laptop seems good so far.",Grumpy Spud,2.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 21, 2022",
A Very Good Machine with A Couple of Issues,"The Dash F15 is a very good machine with a top-notch 144hz IPS panel display and excellent built quality for the price, but it has one bad and one good+bad point to consider.",Amazon Customer,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 4, 2021",2 people found this helpful
Parts just dont work.,"*Extremely durable and sturdy feel to it. Keyboard feels amazing, and display looks absolutely terrible. (Display looks as if the brightness setting was capped at 85%, a common and, at this point, memeable recurring issue with TUF displays )",Amazon Customer,2.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 16, 2021",2 people found this helpful
Solid Buy,"What I love about this product is that it was under $1000. This laptop having a RTX 3050 TI in it made me very skeptical yet quite anticipated of this unique graphics card. After having it for a few days now I can definitely say that this machine is a beast. Temperatures are quite well, noise level is about average, upgradability in the storage and ram sectors are available, and best of all, this machine is very slim and sleek looking. You won’t have to worry about getting weird looks because it looks too much like a “gamer laptop.” All in all, I would highly recommend this product.",Robert Robbins,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 18, 2021",3 people found this helpful
A good balance for both gaming and working,"So far, the computer's flawless when it comes to work-related tasks. Although the battery doesn't last as long as advertised (which I'd expected), 8 hours is still pretty good when compared to other gaming laptops.",FELIPE ORO,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 12, 2021",One person found this helpful
Great budgeted Gaming Laptop,"So far after three months of use this laptop has been great, I have no issue at all so far. The performance from this small package is just great for work, video editing, photo editing and gaming. Video editing 4k video tends to get slow but it still gets the job done.",JFBS1993,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 7, 2022",
"Too many problems that make it almost impossible to use at times, especially for college","I would really like to like this computer, but I just can't. It has a few small problems that are just a hassle, but its big problems make it awful. For small problems, its screen does a complete reset when you plug and unplug the charger, which isn't the end of the world but is just another problem to add to the list. Secondly, the fans will just turn up to max speed, randomly for no apparent reason. It is very loud and disruptive, especially when you are in a college class. They also won't turn off when you close the computer, you have to do a complete shutdown and restart to get the problem to go away. Thirdly, the battery does not last as long as they say it does and dies at about half the time that is listed. Fourthly, not only does the laptop die fast, but when it gets to a low battery it crawls down to a snail's pace and is basically impossible to use. When it gets to 15% you might as well just give up on trying to do anything on it. It will not even run candy crush because it goes down to an fps of 2 when you open it. Lastly, and in my opinion, most importantly, it will randomly crash to a blue screen error and you will lose all of the windows that you had open and progress you do not have saved. I do not recommend this laptop to anyone and would recommend you avoid it at all costs.",Mary,1.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on November 26, 2021",8 people found this helpful
Will bottleneck with 8gb ram,"This laptop is awsome, but the 8gb of ram just makes your GPU to bottleneck, if you want to get full just upgrade it with single-channel 16gb ram. Everything should go smoothly.",Edgar,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 20, 2022",
Solid laptop that mixes productivity and gaming.,"This laptop is for someone who wants a laptop to take around and do productive work on and also play modern games at high settings. There are others with faster GPUS, but hardly any that can claim 6-9 hours of battery life like this one. There are tons of battery saving features, like a dedicated key to change what power profile to use. The 144hz screen auto sets to 60hz on battery so save battery life. Gaming on a AAA game at high settings, 30 fps, I get around 2-3 hours of battery life. Less demanding games can go more. Other contemporary laptops i've used can really only game for an hour or so while on battery. You can also set the battery life to be capped at 80% or 60% to extend it's usable life. I usually keep it on 80% and still have long battery life. And it comes in at a hell of a competitive price.",Skylar Stickley,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 5, 2022",39 people found this helpful
High Quality product. For the passionates,I've always been a big fan of Asus. When i dived in to the market for a gaming laptop and looked at other Asus products found out that their pricing is pretty high (probably justified but still high). Weeks of searching later found this and even though i was a little skeptical cause of the 4 core cpu i decided to get this and let me tell you I don't regret. The nvdia 3050i should indeed pair with 6 or 8 core cpu's but for the price it still Ed oes a great job. It may not be super future proof but it's still giving me great performance on most games that came up until 2021. Paired with the Xbox game pass for PC this machine is a solid purchase. Fan is not crazy loud and battery life is excellent. Screen and Trackpad are just fine but you're getting more than you paid for. Recommended.,Reeds,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 2, 2021",13 people found this helpful
Nice Build Quality But Lacking Performance,"The build quality is fantastic and speakers are decent, but the screen is lacking.",Travis Tippie,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 26, 2022",One person found this helpful
good laptop for the price,Is a good laptop and is awesome for the price also many details should have take in consideration for people that the laptop for programing and use the keyboard in spanish and si that the keyboard don't have a <>  key.,Josue,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on November 9, 2021",
Good for the price,"The laptop is fast, I made it faster by adding 32Gb stick of DDR4 RAM.",Todd Ryding,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 1, 2022",
The best quality product for it's price.,"The biggest thing was top clamshell part of the screen was pure metal, making the laptop resilient and durable. The screen picture and resolution was delightful, from the moment I turned it on to the many weeks after. It was capable with running Monster Hunter World pretty much on the higher quality without much problems. I just hooked up an XboxOne Controller and went to town. (I'm a PS5 Player Myself) overall very happy with My purchase. I would buy another in a heartbeat.",Michelle Tischler,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 13, 2021",2 people found this helpful
Muy buena opción rendimiento-precio-calidad,"Muy buena laptop, muy bien rendimiento y bastante resistente para poder llevarla a cualquier lugar. Recomendada por el precio",Ricardo Sierra,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 16, 2022",
La mejor compra!!!,"Super laptop gaming, puedo jugar de todo y la batería me dura bastante!!",Karolinnexd,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 31, 2022",
bad battery right out of the box,"I came with a bad battery. We got windows all set up and some preferences adjusted, unplugged it and it instantly died. It would not charge. It would not stay on if unplugged. Tried the various FAQ solutions, but nothing worked. Ended up on the phone with Asus. They sent us to a local warranty center for repair/replacement. We should get it back with a new battery and tested as working, but it is going to take over a week to complete. Disappointing, but there were a couple of other reviews warning about bad factory batteries. I guess we were unlucky and got one of the duds. It is what it is.",J. McMahon,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 7, 2021",10 people found this helpful
"A good entry level gaming laptop, with some caveats","Overall this computer is a good entry level gaming laptop, especially for under $1000. The GPU is strong enough to play pretty much every game at 1080p/60 on high or ultra settings. Do make some notes though:",Chris Friend,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 26, 2022",
It is a good laptop (so far..),2102-07-29:,JustADude,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 2, 2021",
NO RAM INCLUDED!!,"Like at least one other reviewer mentioned, didn't come with ram. Just received a week ago and all is running fine with my own ram I bought separately, but to those considering using it as-is, be aware that this might be an issue. Amazing that a missing ram module got past quality control unless they seriously expect people to just buy their own ram since 8gb is sort of a joke for this computer. That or less likely, I got an Amazon return from someone who couldn't bother to put the 8gb ram back AND it was not correctly listed as ""renewed"".",Ping,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 8, 2021",
greatt build quality,the screen is beautiful though got no camera great for gaming though i got it for architecture and it crushes absolutely the cad softwares though still struggles with lumion i think due to graphics memory but has a fast intel chip especially for the price,Nshimye Tubabo,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 10, 2022",
Funciona bien,"La compre para mi hijo de 14 años, esta satisfecho",Amazon Customer,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 24, 2022",
Good gaming laptop,"I like the laptop. It plays games on the highest settings. Ive tested games like gta5, warzone, microsoft flight simulator even played ark survival evolved. Just note it does get pretty warm some may even say hot but hey its a slim laptop with high end hardware thats expected and for the battery life not the best but again gaming requires decent amount of battery any gaming laptop will drain power quickly plus when not plugged in performance is automatically throttled down a bit and its listed as a 8 core processor but if you look up i7 11370h its a 4 core but it's still a good snappy processor",jeffrey reff,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 10, 2021",One person found this helpful
FOR 8G VERSION,"If you buy the 8G version for gaming, you need to add another 8G 3200mhz memory. It is necessary, or you cannot get full performance.",Ac,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 30, 2022",
ASUS Dash 15 2021,Been having this laptop for about a year decent gaming laptop for the price but the graphics on this are so horrible gta looks better on my ps4 pro on a 60 hz tv than this thing any game it doesn't matter how old it is the graphics aren't good all though it can game to an extent fans will get loud not too bad if you have headphones on but the one thing is the battery life and it's a slim design but the overall build quality is poor my screen bend when my dog pulled the cord and it fell on my lap in my chair overall if you are in college or school and want a slim laptop for school and light gaming this is a good option just don't expect it to be that great for newer games or games that lead off graphics the ray tracing is non existent,Brian smith,2.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 18, 2022",One person found this helpful
I am blown away with how awesome this laptop is.,"Just a few things that I don't like, but I am okay with it. First off, this laptop is that the initial 8 gigs of ram are soldered onto the motherboard. But with that, you still have a empty ram socket that you can use to upgrade your memory size. The 2nd issue is that this laptop only supports NVME SSD drives. I tried to install a M.2 2880 ssd drive and the computer didn't even recognize it at all.",Shawn B.,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on November 7, 2021",18 people found this helpful
Amazing budget set up. Simple Upgrades.,"For the money, you can not beat the Asus Tuff Gaming Laptop. Mine has performed very well.",Donnie Ray.,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 2, 2022",3 people found this helpful
good seller,"good seller, good quality and fast delivery",Leah Humberstone,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 27, 2022",
"Good Laptop, VR Ready","For those wondering, this is VR Ready.",Kanunu,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 29, 2022",3 people found this helpful
Not good for fortnite,In fortnite only gets 90-100 fps. Battery life is also very short without charger. tho u can feel the 144hz which is a good thing.,Jashpal Singh,3.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 1, 2022",
Great laptop!,Overall good laptop! I use it for gaming only and it runs everything I want smoothly. I upgraded with another 8gb stick of ram and a 1tb nvme. Battery life could be better but it's not that big of a deal to me.,eric,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on June 18, 2022",
Nice and great modifications that can be done later,The battery life is the biggest thing that isn't the best on the laptop. When the laptop is plugged in you'll get max performance out of it. If it's not plugged in when it's on the last bit of the battery it's very slow. *TAKE INTO CONSIDERATION* It's running a lot at once and a really powerful laptop. When the laptop is being used just make sure to plug it in that's all.,Ethan Hagen,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on November 24, 2021",2 people found this helpful
Muy buen diseño,Llego en buenas condiciones me sorprendió esperaba que fuera menos potente con respecto a los juegos corre el jedi fallen order en gráficos altos generalmente bien y es un juego reciente la batería como cualquier computadora gamer no dura mucho cuando estas jugando a lo mucho 1 hora 40 min o 2 hrs esta muy bien contruida se siente resistente y me gusta mucho su pantalla con marcos muy delgados y el teclado también está bien y es muy comodo en general es muy buena computadora para empezar si es que no eres muy exigente,victor,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on January 23, 2022",
Mi primera laptop gaming.,"No tengo queja ninguna, solamente que a futuro conseguí una sola tarjeta de Ram de 16gb para mejorar el rendimiento.",Carlos Moreno,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on April 26, 2022",
Buen precio,"Un buen computador, a muy buen precio, considerando el mercado",Luis,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 14, 2021",
Excelente calidad precio,"Bastante bueno para su precio aquí en Chile, ya que lo eh llegado a ver hasta a 1.3m en paginas nacionales, eh visto bastantes personas aquí en las reseñas de Amazon  quejándose de que no es buen calidad precio, pero consideremos que aquí en Latinoamérica estos pc son poco accesibles, realmente lo recomiendo, alcanzo altos FPS y temperaturas bastante normales hasta ahora, eso si agregar casi obligatorio 8GB de RAM más, también recalco el pésimo servicio de DHL en mi país, pero esto es algo fuera del producto y Amazon así que realmente vale la pena este producto.",Juan Escobar,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on August 1, 2021",
Dim screen,The screen is kinda dim out of the box. There is some customization options in the pre-installed software that helps with this. But even on vivid or fps modes. It's still kinda dim.,Amazon Customer,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on October 22, 2022",
Fantastic deal,I'll make this simple.,Sean L.,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on July 18, 2021",85 people found this helpful
Overall very nice,"The product came quickly and was overall nice. It took a bit to get used to, but was amazing! 10/10 Design is nice as well.",Bobby pervez,4.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on March 27, 2022",
Excelente computadora,"Es excelente, no es pesada, muy rápida, excelente definición y rapidez, los juegos corren increíble",Juliana S.,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on September 5, 2022",
Gaming n Ram,"The computer is perfect for a small gaming setup. The problem I had was that you need 16GB of ram to run fortnite smoothly on max graphics, apex sometimes will stutter, and even small games like roblox will have your fps a little less than their max potential. And GTA will stutter badly after like 10 minutes of running the game. But after i upgraded the ram to 16GB it ran perfectly.",King,5.0 out of 5 stars,"Reviewed in the United States 🇺🇸 on May 31, 2022",
