,review_body
654,If you the payment plan for this and you have auto pay don’t do it. This didn’t work should have gone with Best Buy same price and geek support. No happy at all!!
655,"I love Apple products, in fact I have an “Apple House”… I’ve had the first iPhone, I had the first iPad, I had the first MacPro, I had the first Apple display, I had the first iMac, I had the first Apple TV, I had the first Apple Watch, the only thing I’ve never had was the iMac mini."
656,I'm very happy with my laptop. I'm a software engineer and I'm developing mobile apps (Android/IOS) with this laptop  and I can say that It has excellent response time :)
657,"As a videographer his laptop fits all my needs. Renders my 4k footage in no time and wastes no time in starting up. Neat, sleek and has all the ports I need."
658,"I've been working so far one month with this laptop and by far is the best one I've used. It does not make any sound (using the same kind of edition and programming apps with an intel 2019 version, which is quite noisy). It does not heat neither. The only pitfall so far I've seen is that still after 1 year of having ARM based processors, some apps still are not natively compatible and it requires Rosetta 2. It definitely worth it."
659,"First Mac and love everything about it. Still learning my way around after using PC but it’s been very user friendly, fast, connects to all my other Apple devices and clear, bright images ."
660,"I'll start by saying I LOVE the computer. I've bought MacBook pros several times in the past, and this is everything I expect and more. Gorgeous screen, quality speakers, love that there's an SD card reader and lots of ports (unlike my 2016). Also, the battery life is impressive. I can work all day on one charge!"
661,I am a photographer and I run Lightroom and photoshop and this laptop holds the crown. It is super fast! No problems at all. My internet is super slow but this thing picks up quickly. No problem with running multiple programs. LOVE this laptop. Highly recommend
662,"I've been a Mac user for many decades and have had many Apple laptops over the years and this is definitely the best to date.  Battery life is increadible, display is bright and high res, it's fast, and the keyboard is excellent.  Great design.."
663,"Where to start.  Let’s start with the startup and packaging.  It’s amazing, it’s beautiful, the box, the wrapping, the sequencing.  You open The computer it immediately turns on to welcome you.  Then you do setup, you try the new fingerprint id and you shut it off mid configuration. Not great industrial design."
664,"M1 Pro performance is mind-blowing! The laptop boots up out of sleep in a second, just as fast as you unlock your iPhone but it's a laptop. The display is absolutely gorgeous, the color is pretty accurate. The black is very deep and you can't discriminate a black produced by monitor and a natural black!!"
665,"Cannot believe how smokin' fast this MacBook Pro runs!  No problem handling multiple tasks such as McAfee in the background, Opera web browser, Face Time, and Adobe Photoshop all at the same time with zero lag!"
666,"I could have lived with the Macbook Air M2, but I really wanted the extra screen real estate for PS and Painter projects when I am not connected to an external monitor."
667,"After I was hired to host short interviews on Daily Ad Brief I used the small 13"" Mac Air my daughter gave me.  It was several years old but still worked."
668,"I’ve never owned a Mac. Let’s just say I’ll never purchase anything other system. The photoshop and quality. The tools available are amazing. I’ve already begun restoring old photos from family albums. I love the seamless connectivity of my Mac, iPhone and Apple Watch are awesome and makes my hectic life more simplified. The battery life is crazy long. I’d say over 18 hours and it didn’t die in my. My work lap too dies after 4 hours of continuous use."
669,"I just upgraded from the 2017 MacBook Pro with touch bar. It is 3x faster then my previous laptop, the battery lasts all day and after 4 weeks of using it everyday, I've only heard the fans turn on once. Which is a huge improvement because my old MacBook Pro the fans would turn after opening 2 Chrome tabs. I highly recommend this new MacBook Pro."
670,This laptop runs premiere pro and my 4k footage with no hiccups or stutters. Battery is roughly 4-5 hours while editing and performance doesn't change whether the laptop is plugged or unplugged. Perfect for editing on the go. Very happy with my purchase!
671,"Used only 30% of power after 4 hours of use in office, including web browsing, vscode coding, support an external display for a Win11 virtual machine. Finally I don’t need to bring my power source everyday when I go to office. The time I stay in office is usually 4-8 hours per day."
672,MagSafe has returned! I have been using the 2015 MacBook Pro daily for many years.  I found the keyboards from 2016-2020 completely unusable.  This MacBook Pro checks all the boxes!
673,Some product on my iPhone were not accessible on the computer which were important to me. I thought all items on my iPhone would be allowed to download on this computer. This was a hard computer to get to know.
674,"Am on my second day of having this computer. All I can say is WOW!!!!! Granted, it’s thicker than my 2016 Touch Bar one but it’s totally worth it!!!! A little spendy though."
675,This was horrible how do they give you a computer and the serial numbers don’t match so the computer don’t work. They won’t exchange the computer but they will refund it and now the computers higher not happy at all
676,I’m so mad!  This product should connect easily to another MacBook Pro.  2015 didn’t make the cut.  I’m sure the machine is the best but I can’t do it anymore.  It’s a premium product with a premium price.  It’s suppose to work and it doesn’t without changing settings.  Sales isn’t cutting it for me anymore.
677,"I was hoping to purchase Apple Care from the Apple website within the 60 days of buying (I just got my MacBook delivered today), but it turns out that when I tried purchasing Apple Care from the Apple website it just says that the device is ineligible. Really disappointed. Going to return it so I can purchase it from the Apple Website."
678,"The macbook is really a fantastic machine. The only thing really holding the mac back, is the price. Its just way too expensive for a lot of people, not even a good gift consideration because of that. You could make one of the most powerful PCs with the money it cost to buy one of these. That being said, why bother buying it? Well if you really enjoy mac os, there is one reason. I can’t think of too many though. Its a good machine, just not worth the money it costs."
679,"Bought this to replace an XPS 17 9700 (i7-10875h, 32GB RAM, 2TB SSD, RTX 2070 max-q) and while it's not a fast (probably 85% for Davinci Resolve exports, 90% for After Effects, equivalent on those games that will run on Windows or macOS like the Tomb Raider series) the battery life is significantly better. I've also never had an XPS that would just turn on when you opened it up - both the 17 and my older 13 would take a minute to wake up."
680,"I like the laptop for everything except this bug that only happens with M1 chips when exporting video. The exported video has really bad glitches and poor quality if using h264. Wish I knew this before purchasing, I wouldn’t have bought it."
681,"It needs to be about $1000 cheaper, especially if you don't get the pro max. It feels crazy to spend 3 grand on a laptop with no offboard 3d video card. However, once you get past the price, this is hands down the best laptop I've ever owned."
682,"I am in grad school and needed a laptop for zooms classes, writing papers, and low-key for playing games like the sims. This laptop was easy to set up. I was able to transfer all the data from my old mac to this new one. I also got the 16 inch screen and I don't think I could ever go back to a 13 inch screen! It so big and very easy to see the powerpoint on zoom while also taking notes on the same screen."
683,"I have never had a issue with Apple products but this locked me out within a week of using it. No apple tech could help and my information was on it. The product was picked up July 11th, 2022, and I still have not been refunded and it says they haven't received the product yet."
684,"By far the best laptop, or just computer, I’ve ever owned!  Amazing screen, sound, battery life, and blazing fast!  Even when rendering 4K videos with color corrections and graphics. I can’t even imagine what the higher end models can do!!"
685,"Absolutely outstanding computer, battery life is amazing, performance is way better than my old MacBook Pro 15” 2018. I recommend this laptop for every day use. I have installed parallels desktop for windows 11 virtual machine and it has been working perfect so far."
686,"Waited for years to replace my macbook 2014, ideally it would have had type A port but it's a minor inconvenience provided they returned magsafe. The worst thing is almost no VMs work with M1 but it's a matter of time, I hope."
687,"I am honored to be the first person to write a review for Apple. My first Macbook I’ve purchased was in 2015 and used it up until I received my new one today. And no, I am not prehistoric, I just take really good care of my things."
688,I upgraded to this MacBook Pro from a Hp Laptop from about 5 years ago and can tell you what a difference it is made in my life. I’m a student in IT and needed the ram and memory that this offers. Not to mention the speed! It is the best purchase that I have ever made.
689,"I am enjoying computing again! This machine is lightning fast with a very long lasting battery! It has handled everything I’ve thrown at it so far with flying colors-I would recommend it to anyone who is looking for a laptop that works like a laptop should, fast and for a long time!"
690,"Of all the laptops I have had over the years, the Mac Air 2022 is far superior to all of them.  I wouldn’t expect anything less from Apple, a highly respected name.  The touch of the keypad is perfect.  Everything about this laptop makes it well worth the price."
691,"I am going to go about this one a little differently.  There are tons of reviews and information on the Macbook Air out there.  No point in repeating them or disputing them, after all they are someone's point of view. I am going to come at this as a window user and a skeptic."
692,The battery life is decent. I also don’t have much on it yet since it’s still new but i must say it has been holding a great charge. It also was more on the less expensive side to be brand new 2022! I’m loving it so far !
693,"Probably one of the better Apple light duty laptops owned in last couple decades. Apple laptops are expensive compared to Windows type products. The annualized life-cycle cost is higher than comparable non-Apple products, because Apple makes their expensive products vintage too quickly (seems like planned obsolescence)."
694,I pre ordered through Apple as it was not on Amazon yet. Great laptop tremendous speed for the size and very thin and light. So easy to transfer your old files from another Mac with no issues. The M2 processor really makes this thing perform. Note you want to make sure you get the right connectors for a docking station as this uses new formats recommend the M2 model versions for accessories and Amazon has plenty. Very happy with this laptop.
695,This is my first time to buy a MacBook and it did not disappoint me. I love the battery life of this laptop and it very good use for my. studies.
696,"Real to it image. Performance appears to excellent. Being a first time user , it’s not a complicated to navigate as I thought. It’s just different.  You can get use to it quickly and easily just practice."
697,"The computer is still pretty new, but she hasn't stopped using it, so I think the battery life is great, super light weight, and the value was very worth it."
698,Honestly I was scared of getting stuff from Amazon especially when it comes to apple products but ACTUALLY it came in really nice. The box didn’t came damaged or lost/stolen (which is my biggest fear lol) but yeah REALLY LOVE IT!!!!!
699,"Take everything from the M1 MacBook Air, make it lighter, slimmer, with a better camera, more screen real estate along with a magsafe charger & incredibly faster M2 chip, all in a less volume package than it's predecessor. That's the 2022 M2 MacBook Air. 5/5 ⭐️⭐️⭐️⭐️⭐️"
700,I purchased this base model Macbook Air M2 for attending online courses through a university. I've been mainly a Windows PC user for a while now. My last Macbook was an old 12-inch Macbook Pro G4 (remember those mini-me/Yow Ming commercials?).
701,Use it downstairs when desk top computer is one and on-half flights away in my home office.  Very valuable especially to me. I have increasing movement issues.  Deliverer actually waited for me to get to the door so he could hand it directly to me. I really appreciated it.
702,"This has to be the best of its class in the world. The M2 chip is lightning fast and altogether improved from previous generation, too. This MacBook Air can handle anything you throw at it. Very sleek, thin, and modern design language with a beautiful display. Very well built, as well. It is very durable. The whole package is amazing and good to have MagSafe charging back. Great job, Apple!"
703,well  it took them  3 days just to ship it. and they pulled the wrong color. i ordered starlight. and got silver.  i like both colors so i overlook that they got everything else right. the laptop seems fast. the screen is really pretty. i though it be brighter though ?  but ya overall my thing was the shipping.
704,"the macbook turned out to be non-working, I sent it back to the Amazon warehouse, a month has passed, but I have not received a refund, Amazon is deceiving honest Americans!"
705,It's definitely a learning curve considering all my life I've used windows. Overall I do love the lightweight and portability of the laptop and I'm glad I made the purchase it's fast and really not that bad of a price everything is experience these days
706,"This laptop is for everyday users, attending most classes, researching stuff online, watching YouTube, paying bills etc.  This laptop is not intended for hardcore gamers and ultra high quality content creators.  It is capable for learning content creation but you will outgrow this machine, that is why a MacBook Pro exists."
707,Absolutely love this computer. No issues with it at all. I think upgrading to the 512g is worth it. It’s an expensive computer only to have the base model at 256g. It’s a great every day computer!
708,Arrived faster then expected and was easy to set up which is saying a lot for me bc I’m not tech savvy at all! My son wanted a MacBook for college and now I want one too
709,"Work bought me this computer to ""work"". It's 2022 and Apple has ridden the wave of mediocrity too long. The OS is subpar, the hardware is subpar, the compatibility is subpar. The only thing this computer has going for it is the name. Hard hard pass."
710,I had an old MacBook Pro but decided to upgrade. Saw the many reviews pro and con but for what I use it for I am extremely happy with this laptop
711,"I bought this to replace my Mid 2012 Macbook Pro, which was suffering from some dismal battery life and other general struggles. I'm not an Apple Fanboy, but have to give Apple side props for making a computer that was functional for 10 years."
712,"Do not get the Midnight Blue... the fingerprint problem is worse than you could possibly imagine. Yes, even after washing your hands and using a microfiber cloth before each use."
713,"It is perfect. It is exactly what I wanted…M2 processor is faster and more reliable. As usual, I believe that Apple has the best products available. There customer service is also great. You reach techs that speak English and understand your problem. They are fantastic."
714,"Somehow this MacBook Air feels bigger than the 2020 model yet they are the exact same length and width. The screen opens very smoothly, which is a nice change from the 2020s somewhat stiff lid pull. I love how this feels in your hands. The flat surface makes it easier to grip. The black finish looks incredible. I thought it was going to be a darker gray finish but no, it’s jet black, and it looks magnificent."
715,"I bought this laptop to replace my older macbook air.  I'm shocked at how slow it is.  I never had the spinning on my other one that I have on this one.  I don't get it. I'm tempted to return it for a different macbook.  I got a macbook because I hated how slow windows is.  this is still faster than windows, but it acts like windows when you need to update it.  This macbook is up to date so I don't know why it's acting like a windows computer.  VERY DISAPPOINTED!"
716,"Ignore the bad review , that guy doesn’t have a clue , , I love it and I’m using it a lot and I recommend you to get the MacBook Air m2, has an amazing screen and its really fast"
717,"From PC Guy to MAC Guy! The jump was much easier than I thought. Thank goodness there’s a MAC version of all the software I used in the PC world. This MAC is a beast compared to the previous PC’s I’ve owned. Everything is much better. Battery Life, processor’s, compatibility with all my wireless peripherals. It’s almost too much. Plenty of room to grow. MacBook Pro 13in. M2 16gbRAM 1 TB SSD!…"
718,I use Photoshop and a few drawing apps. Amateur photography. I heard the fans the Pro comes with cool the hardware and may extend the life of the device. It doesn’t stagger when I’m running all my graphic apps and digital paintings. I like Touch Bar above the keyboard and the picture quality is nice. I look forward to having it for many years.
719,This is definitely good laptop with M2 chip it makes it even faster. The battery performance was expected to be more but it has same battery time as previous versions.
720,Surprised that it wasn’t as fast wile working with FCPX and Photoshop. We ended up returning it for a MacBook Pro M1Pro and it’s as if that one is +5x faster. As well as the option of multi displays and better specs all across the board.
721,"I'm running excel, word, google drive, meet, etc. I was worried whether I'd made the wrong decision to go to a MacBook from PC. Wow, so far I am so happy with my decision. Worth the money. It does everything and just works and is a little bit snobbish about it. From a ford to a mazerati. Wow!"
722,"A couple of weeks ago, I bought a reconditioned computer which was a nightmare, I decided to treat myself to a new computer. Im over the moon. Very happy with this computer,. Setup was a breeze. Looking forward to several years of service from this computer. Arrived early."
723,This is so god! My dell compooter came in a few years ago! The only pwoblem was was when my toodler chicked the computer out windoow and these little brats won’t give me a refund I definanty raccomond the product
724,"I used a macbook for my college years but once the screen broke I replaced it with windows. Going back to MacBook has been such a nice change, I can text from my laptop and the integration between phone and laptop is very convenient."
725,"This computer has exceeded my expectations. The workmanship is very good. There is a display board on the keyboard that can be displayed, which can control the volume and other operations. The screen of the computer is also good, and it is very smooth to use. overall feeling very satisfied."
726,"I've been using Chromebooks for the past few years and finally decided to get a Mac.  This machine does everything I need and much more.  It was worth the money.  It doesn't have a touchscreen but the touchpad does everything you need.  And it's incredibly fast.  It has so many features on it, and I've found it very easy to use and to learn."
727,"I settled on the MacBook Pro M2 over the MacBook Air M2 due to the active cooling fan and the Touch Bar.  The fan only runs if needed during intensive cpu usage.  The Air will slow the processor down to reduce the heat.  I wanted to keep performance at peak, so the fan wins.  The Touch Bar is something that I always wanted and it exceeds my expectations.  I've used it more often than I thought I would."
728,"I use this MacBook Pro M2 for music creation and it really surprised me with how much faster and responsive it is compared to my 2017 Intel based MBP. The single external monitor support kind of surprised me but it gave me a good excuse to get a nice LG 4K Ultrafine 32"" monitor. Really loving this setup!"
729,"Bear in mind that for the 256GB version, your read/write speeds are going to be half of what they were on the 2021 M1 model. The 512GB 2022 M2 version is unaffected. Just FYI"
730,I absolutely love this laptop. Switching from a PC took a little adjustment but I’ve had an iPhone for years and love the seamless integration between the 2. I could use a bit of a larger screen but I understand that’s not the way the market is trending. And I’m still comfortable with it as it is. A truly great product for sure!!
731,"Plenty of speed and power for photo and video editing using Adobe software. My biggest complaint is that the machine has only two ports. If you are charging the machine in one port, you are left with a single port."
732,I am not sure if Amazon will allow me to write a review for this new Apple MacBook Pro 2 ... as I chose to NOT buy it after checking it out.  I am hoping that somebody at Apple might see these comments from a current Mac owner.
733,"Full disclosure: This is not my daily device. IT purchased one of these at work because they couldn't wait on the M2 MacBook Air, but now they wish they had."
734,"I purchased MacBook Pro in the year 2017.  The camera is useless and not working.  When I took the device to Apple store, the estimate for repairs is given as $578 for replacement of entire display."
735,"Be sure to by expensive adapters, and special Apple mouse, in order to use it.  I tried to run my favorite photo app, and the app only partially worked.  I received warnings that the app was using too much memory, and I should shut it down.  I returned it."
736,"I have several versions of the MacBook Pro, and this one is very fast and the picture and colors are awesome! It has a longer battery life than before and a user-friendly touch screen.  Amazing!"
737,4 th MacBook I have purchased for my college age kids! This computer is fantastic for nursing students and business major students. My daughter is extremely happy with everything about this computer!
738,Do not buy this laptop thinking that it was ever $999! The real price is only around $400 DO NOT believe the sale price. It is a decent laptop spec wise for $400 and nothing more.
739,"First time Lenovo owner, is fast, good for everyday office and social media use. I would like it more if it came have with a USB-C, and a connector for adding a 2.5"" Hard drive. But you can buy one online for about $11 and add your Hard drive from your old laptop for more storage to complete a better. Nice style and light weight, is fast enough, Screen not bright for outside usage, i guess is because is a touch screen?. Key pad is very good but not back light"
740,"I read reviews before buying this laptop and I was hesitant. I bought it and I must say, it was worth it. Touch screen works perfectly. It's fast, quiet, and light weight. It has very good battery life even while multitasking. Came with all specs advertised. Very good quality product. Happy with this purchase."
741,This is my first laptop and I absolutely love it!! I'm used to using my desktop PC.  I'm glad I finally picked one! It's slick and lightweight has all the features I need for college courses and the battery life is great! I love the color.
742,Really well done machine for the money. Overall a good investment if you are going to use it for light duty tasks. Screen is below average and so is the trackpad. I recommend it.
743,"This was purchased as a gift and Windows 11 was supposed to be on it, which was a deciding factor on which computer to get. It came with Windows 10 home. Very misleading."
744,"La función, rapidez, pantalla está bien por lo que se paga. Sin embargo la batería dura a lo mucho 1 hora cuando se usa sin conectar, inútil si se va a usar en un viaje o en un lugar donde no puede estar conectada."
745,"I waited a while before writing a review, but now that I have all of my software installed and I’ve used it for a while, I’m impressed. With dozens of browser tabs opened, several office applications opened, and watching Netflix at the same time, this laptop refuses to choke. Additionally it does not hesitate when coming out of sleep or restarting the laptop."
746,This laptop does everything I need it to. Nothing fancy but works good. The one thing I wish was better was the screen quality. Images and documents are a little dull but not bad enough for me to return it. And the keyboard does not light up but that’s ok.
747,Since receiving on July 12 I have had no issues with laptop. Wasn't hard to set up and speed is impressive. Took a chance on brand and happily surprised with item. Great screen quality and first touch screen so getting used to it but works fine for old timer like me.
748,"I have had a couple Lenovo laptops over the years, and wouldn't continue buying them if they werent great... BUT they have HORRIBLE HORRIBLE HORRIBLE battery life. I keep mine tethered most all the time, but its amazing how quickly the battery will go, AND it can go from telling you you have 35% battery life left, to suddenly shutting down because of no power. No further warning. Nothing. its poof, and its out of battery again."
749,Had it for less than a month and the screen developed issues. Had to return it. But the customer service was great and I had my refund in no time.
750,"It is a flimsy piece of junk. It would not stay on. When returning, the screen cracked during the delivery process. Seller tried to screw me with a 50% restocking fee. Stay away from this product."
751,"I really like the laptop and love the touchscreen. However, Windows 10 was on the laptop, not Windows 11. I had a really bad experience before installing Windows so I did not want to install Windows 11. Why this seller posts Windows 11 I don't understand, Windows 10 should be stated. I returned the laptop, and the seller processed a full refund in seven days."
752,"The Amazon Fulfillment center intentionally shipped the wrong product and proceeded to charge me for the laptop I actually ordered.  The shipped laptop was an unacceptable, poor performing replacement and looked like a previously returned item that was restocked."
753,"El equipo me pareció excelente por el precio, pero mi opinión cambio cuando me fije que solamente la batería dura menos de 3 horas. ¿En verdad señores? 3 horas en pleno 2022. En la publicidad indica que la batería dura aproximadamente 7 horas.  Y ojo, que solo lo puse a funcionar con Youtube para no exigir un trabajo más pesado, y fueron solo 3 horas.  No me imagino que sucedería cuando haga un trabajo realmente pesado o quiera jugar un videojuego.  Se necesitan respuestas por favor…"
754,"Despite all battery saving attempts, this thing leaves me worried to go anywhere that I cant plug in. And, this day and age, needing to carry the stupid cord around is Ludacris. ZERO complaints otherwise; great little device. I also own a Lenovo thinkpad, which has USB-C charging; meaning i can take a power bank or other to charge on the go... This.. nope. I should have went for another chromebook, i think."
755,Product description was incorrect. Does not have windows 11 it has windows 10 s mode. Also the RAM was wrong said 20 but then it only provides 8. Fix your description because this was a bait and switch and should be sued for false advertisement.
756,Bought thus fir my son to replace his broken laptop. He really liked the touch screen  and how nice the laptop was! Definitely recommend this product to anyone looking to purchase a new laptop!!
757,Read some reviews about it coming with windows 10 instead of 11 sadly this was not the case I’m not stuck on windows 11 probably gonna return it or wipe it and download windows 10 overall nothing wrong with the product
758,They made it look like you’re getting a high quality laptop for a low discounted price. The fan is loud and the screen quality is poor. It also came with windows 10. Probably worth les than what I paid for it.
759,It was a decent computer but wasn't what I needed for my business. The screen is not as clear as I would like. And the battery life was not long enough for me. I needed a battery that would last a little longer
760,"I grabbed this for 50 percent off. It's hardly even worth that. If you're just a casual user you might be satisfied, but the video quality is very washed out and the whole device is below the quality of any solid-state drive laptop you could be buying for $1000. If it was worth what is claimed, they wouldn't have taken 50 percent off for a non-holiday sale."
761,Estoy muy contenta por haber adquirido este laptop y haber hecho negocio con este vendedor.  El artículo me llegó como lo describió en el anuncio y la entrega fue puntual.
762,"not sure if I'll be returning this computer, sounded like a really good computer and a very good deal during Prime Week. BUT if came with windows 10, not windows 11 as it was advertised. came with instructions, how to upgrade to windows 11. So far i have spent 3 hrs. trying to upgrade following the instructions, that came with computer. tomorrow i will have my computer guy try. Right now i am very unhappy knowing that i have to pay someone to load something that was supposed to already be loaded on the computer."
763,This laptop comes stripped down and very basic no frills. The screen quality is good enough but the battery life is terrible. Expect about 2 to 2 1/2 hours with normal usage. The battery also drains down even when the machine is turned off. Shutting it down overnight and turning it back on in the morning expect the battery to drain about 50 to 60 percent. The keyboard is not backlit and can not connect another monitor.
764,"This is not a $959 computer marked down, this is a very inexpensive laptop and I am not sure whether it is even worth the $400 I paid for it.  Don't get me wrong, I am a huge Lenovo fan, but this was not a good purchase.  It appears to have been reconditioned."
765,"For the price it has an amazing amount of features.  The keyboard is really nice, as are all the other features.  I basically use it like a tablet so I am not worried about it being able to run a bunch of complex business software.  It handles my requests extremely well.  And it is really light and very classy looking!"
766,The battery is TERRIBLE! It lasts less than 24 hours. The other thing is when I turn it off and close it and come back to use it the thing is already on. I don't like this computer and most importantly the BATTERY IS TERRIBLE!
767,"Pros:  Very lightweight, screen is bright, Cons:  Way too much Microsoft control over so many features.  Touch screen is way too sensitive- will check to see if can be adjusted.  The key pad is frustrating with “areas” rather than keys.  Works okay with mouse but defeats purpose of laptop which I like to use on my lap.  I would reconsider purchasing this model in the future."
768,"Product not as advertised. Description specifically states “Windows 11”. Arrived with Windows 10s, no mention of Windows 11 or easy way to update to Windows 11. Also shipped in large box with minimal padding (1 strip of packing paper).  Returned for refund (with additional packing material and reinforced box). Amazon should really remove the listing for this item."
769,"Thie product description clearly shows that Windows 11 will be installed on the unit, but it was delivered with Windows 10s.  I have returned this unit and requested a replacement.  When the replacement arrived, it also had windows 10s instead of Win11.  Starting my second return process.  Will not be reordering."
770,"Couple things, first, the edges are sharp and scrape my wrists when typing,. Second, the battery life is very poor, maybe 3 hrs untethered. Third the screen is kinda dull compared to other similar brands. Yes, this does come with Win 10 but it immediately updated to Win 11...wish I would have stuck with Win 10!"
771,If you need a laptop to do light work on this computer works fine.  It has Microsoft Edge 11 which is in your face constantly. There are many You Tube videos that explain how to work around Edge 11.  The clarity and color are poor and the type is a grey color rather than black.  If you have great vision this won't be a bother but the quality is quite bad if you don't.  It's a cheap computer so just realize you get what you pay for.
772,"I really like this laptop for the price. I LOVE the touch screen ability! Only negative is the battery life. After 4 hours of use, the battery shows low. I was expecting a much longer life."
773,"Bought this for my son to use for his academics and it is a solid machine. No hang-ups, quite fast, smooth action, crystal clear screen resolution ... this machine is good! I will be ordering this for the persons in my office for field and desk use ... we've struck gold with this machine!"
774,"Mouse Pad did not work and touch screen was not working very well.  Talked with Lenovo tect but was unable to correct problems.  Was advised to return to Amazon.  Returned by UPS, waiting for refund."
775,We are very satisfied with this computer.  It has been several years since we purchased a lap top.  So far--this has been very good to work with.  It is so much faster.  This brand came highly recommended by someone in the tech.
776,"I love this thing! So happy to have an updated version of my favorite design. I use my Chromebooks constantly and over the years (due to Google discontinuing updates...) I've bought about 10 total, a few as gifts. I've used basic ones, large screens, and flip/touchscreen versions, but this is by far my favorite."
777,Got this for a trip that required a few connecting flights. I wanted something with a long battery life and was small. This chrome book is thicker than I expected but is still pretty lightweight. The battery life is amazing. Like ten hours. It also charges really fast. So far I’m happy with my purchase.
778,"I like the size, but when typing the keys are more than slow. I have to stop and wait for what I've typed to catch up. Then have to go back because it seems like it misses some of the letters typed here and there."
779,Purchased this for my 6th grader. Worked great until it just stopped working one day in the middle of class. Screen went blank and that was it. She maybe got two months at most out of the purchase.
780,I bought this the other day. All I wanted it for was to watch videos online. The screen constantly goes black and comes back a couple of seconds later. I thought this was a great prime day deal but the product is very disappointing.
781,This is the second one we have purchased. Works great until the protection gets out of date and then you can’t use it to purchase items and have to buy a new one every few years.
782,"Honestly no a bad computer. I have been using this for sometime now. However I will say I dont like the mouse touch pad, the on off accidently gets touched your typing will be crazy for a moment. Also the more i use this computer they more often it seems to happen. Its becoming a bit more sensitive. It is just something that you need to be aware of."
783,"Al principio funciona de maravillas, luego el Windows empieza a fallar, Amazon no da una solución afectiva y si por algún evento decides quedarte con el pc para arreglar lo por tu cuenta solo te reconocen 10.00 de bonificación"
784,"This is a good little laptop, your perception of it depends on what you're buying it for.  Do you need something for social media?  It's fab!  Gaming? No way!  Videos? Nope... the speakers are horrible, even at 100% it's near impossible to hear.  I bought this laptop for one purpose, to use with my Cricut.I had to take it out of S Mode in order to install the Cricut program which immediately activated McAfee protection that will eventually be a subscription."
785,"I was very disappointed with this item, it was so extremely slow I had to return it after 2 days. Just hitting the start button and pulling up something as simple as the paint program took this computer a full minute to load.  Really not worth your time, I bought this as a gift for my dad who has the worlds oldest laptop yet that still ran faster than this.."
786,"This is a great little machine, provided you have realistic expectations. I bought it when it was on sale for $200 in Feb 2021, and while I certainly feel like I got more than I paid for, it's never going to be a high-spec gaming rig or workstation -- it has 4GB of RAM and a dual-core CPU. For coding, writing, or web-browsing, though, it's great! I installed Ubuntu MATE on it (easy if you use the opt-in Realtek drivers) and use it primarily for writing code (Python, C, and C++, mostly)."
787,Smooth clean and amazing customer support. Offered a full refund for a minor damage! The laptop is smooth and can do everything. If you’re looking for a good price laptop this is amazing. I even played GeForce fortnite and I played roblox etc and it ran smooth. Smooth is just the word. Best laptop I’ve bought for cheap!
788,This thing is the same exact size as my kindle! I opened the box and laughed - I’ve had a chrome book this same size and it wasn’t this small. It’s probably only 10” and the screen is roughly 8.5” long. Returned!
789,"I love everything about this computer. I ordered it cause I was starting my first year of College. It came With Microsoft Office 365 (For Free) No gimmicks or trials) which in itself is a value worth over 100.00 or more. So if your thinking of purchasing this computer, DO NOT Hesitate... Buy It! It's worth Every Penny."
790,"I regret this purchase. It is quite honestly the buggiest laptop that I have ever owned. Shuts down randomly, freezes etc. I've had it for less than 6 months and only use for work, school andstreaming  tv.  Do yourself a favor and look elsewhere."
791,"Keyboard didn't work, couldn't even set it up, tried to contact customer service, told it was down for two weeks, found the question on FAQ, it was pretty worrisome that this is a frequent problem, the fact that there were several solutions that were way beyond my technical abilities was also an issue, but the biggest issue was that the computer had to be set up for me to complete any of them"
792,"This laptop could be considered good for its price, but it is so slow, it becomes impossible to work on it and by work I mean just browsing on websites and creating PDF and Word files. Nothing crazy. I think this laptop is only good to watch movies, but even for that, the screen is not the best quality."
793,"Great for the poker I play.  Can't speak on gaming as I haven't been a nerd since Skyrim.  The only con is the brightness doesn't get as loud as I would like,  but for $200 I'll squint.  Lightweight so I can one hand it while doing other household chores.  Good stuff Asus, keep it up."
794,"I like the value of the laptop. My only regret is not to have chosen something with more memory. Every time I have a Zoom meeting, it tells me to close all other applications and everything slows down. I can’t complain about the price though."
795,I needed a simple computer to help tune my car. This was perfect. It's lightweight. Easy to handle. The back lighting is a very nice touch. It processes commands smoothly and quickly. The screen is bright and clear. I have ZERO to complain about.
796,The laptop checked off all boxes the wife needed to do her volunteer work and so far she has not made me attempt to fix anything which means its not broken.  Enjoying the silence.  Thanks ASUS
797,"This is a great basic laptop. If you want something just to do a little web browsing, maybe some light work, this is for you. If you like doing some light reading and web browsing at night or in a dark room, this is for you."
798,"I knew I was not getting speed with the price I paid, but the quality of the screen is just OK, and the touchpad is a bit too sensitive, but overall it suits my purpose of a portable note taking machine."
799,I haven't had the laptop a month and the keys are malfunction. It can be working fine the the letter v starts doing this vvvvvvvvvvvvvvvv the same with the space bar. If u connect an external mouse the keypad doesn't work
800,"This computer totally died after four months of light use. Since it was selected as an ""amazon choice"" I am very disappointed. I really liked this computer and ease of use, and it is sad it broke so early after only light use. I've had my iMac for 10 years and it works great. SO I have high expectations."
801,"CPU not fast enough to use for remote classroom use -Google Meet & Google Slides simultaneously. Good lightweight windows laptop for browsing, mail, watching videos etc but not processor intensive work"
