,Hardware Sentences,Hardware Polarity
752,"the screen is beautiful quality and so is the keyboard, the touchpad is not bad (but it is not great, a lot of pcs struggle with this so i think it is a necessary sacrifice when it is so cheap, but just letting everyone know, the touchpad does stutter and is not completely smooth).",Positive
753,"keyboard is very nice, not macbook air or the like, but very close - much better than acer/asus/samsung. | trackpad along the same lines, very good overall, if you really want to nitpick, the clicking of it was not the best on the edges for right/left click. | by no means would i buy this laptop to game unless it is older games or esports, but it is possible to punch above it is weight, which is a huge bang for your buck.",Positive
754,"but if you intend to use it for writing, email, browsing websites which steal your bandwidth with advertising, or anything which relies on the keyboard for input, be prepared to wait a second or two after every single keystroke!!!!!",Negative
755,"this laptop is a steal for the price asked, backlit keyboard is very nice and bright, the image in the screen is very crispy, it is perfect.",Positive
756,"and for such a small light computer i do like all the ports that it has. | of course i had to get all new cables/adapters since none of the ports on my old macbook pro matched. | this macbook has no usb a port, so you will need an adapter to read that stack of usb flash drives that you have, or that friends and colleagues send you. | but i do prefer the thunderbolt 4 ports to usb.",Positive
757,keyboard would not work half the time & when it did work it would only type in reverse.,Negative
758,i love the backlit keyboard and battery life is very good.,Positive
759,"still it spent the money where it matters the screen is fantastic bright and responsive, the keyboard is actually great with tons of travel and good key separation.",Positive
760,does not even recognize my body camera either and any other computer i have used has!,Negative
761,"those 2 usb c ports as the only ports, is the most disappointing thing ever.",Negative
762,"the keyboard has a nice feel- i really like that there is the additional number pad to the right, which makes working from home easier.",Positive
763,everything came just as it looked.,Neutral
764,"out of box, had a little trouble trying to install .iso from usb so ended using an external cd/dvd drive to install my linux distro.",Negative
765,"however, after 5 months the touchpad mouse does not work at all.",Neutral
766,"this computer worked great for the first 1 1/2 months, then the trackpad gave out and i had to use a mouse.",Positive
767,"with how expensive this computer is i am shocked with the quality of the camera, and the fact it is not touch screen.",Negative
768,the ports are also lose where you plug in the power cord and the wireless mouse or a flash drive.,Neutral
769,this is really a scam just to take people money and force them to spend more money for a computer that should work like a computer in the first place.,Positive
770,i love the backlit keyboard.,Positive
771,the keyboard and light still turns on when i press the power button.,Positive
772,i use my digital camera a lot and my old chromebook supported a regular sized sim card ( which is what is in my camera ) i have to use a card reader with my sim card now and it is a hassle.,Positive
773,nice came exactly how it was stated delivered in good conditon. | came on time so far so good update in a few weeks,Positive
774,i love the lit keyboard and how light the laptop is.,Positive
775,"i was debating on a xps 13"" however this one came in at about half the cost after i built the xps to spec and being that apple does not need as much gb as a pc.",Positive
776,did not save the box it came with and i cant find no serial number in the notebook.,Neutral
777,"laptop is very responsive , came with 4 gb . | love the protection it comes with and the keyboard backlight is awesome !",Positive
778,illuminated keyboard.,Neutral
779,i purchased my acer to be able to take professional courses to renew my licenses through zoom (my desktop does not have a camera or microphone). | the camera seems to be awesome compared to that of others in my zoom & webex classes.,Positive
780,i have not had the camera freeze i was experiencing in the beginning as often but it still should not happen.,Neutral
781,colors are beautiful and even the web cam is tolerable.,Positive
782,"she just wishes there were more ports. | she is using one port for a logitech unifying receiver, that leaves only one port for her usb drive. | the webcam can be hidden by just moving a slider, what a relief!",Positive
783,"just got the laptop, loving rgb keyboard and the overall speed of pc.",Positive
784,i was unable to boot to usb... still working on it though.,Negative
785,"i did not realize how small it was however it is a nice laptop,the screen did go black for a full day, it was charged an everything,for some weird reason it came back on, that is the only issue i have had with it",Positive
786,"1. if you 10-key by touch, you will hate that part of the keyboard.",Negative
787,all was well until he put his thumb on the edge of the keyboard then closing the lid.,Neutral
788,nothing on the market when i purchased this came close to this.,Neutral
789,"bluetooth still did not work, but i bought the $19 asus usb bluetooth dongle and it works great.",Positive
790,now the trackpad is not registering clicks and it is extremely annoying.,Negative
791,loved the number of ports (should have had an sd card port) and the backlit kb.,Positive
792,my only problem so far after a few months of use is the keyboard.,Negative
793,"the back lit keyboard is a really good feature, and the display looks sharp and true to me.",Positive
794,i had tried from day 1 to add a simple printer via usb cable and it will not work.,Neutral
795,"i bought this lap top on june 2020 is been only 4 months and the camera does not work, i am the only one that uses this computer and i only use it to make payments and for classes that i am taking, i used to be in love with my laptop but not anymore.",Positive
796,no major complains other than the lack of backlit keyboard.,Negative
797,"it came with windows s, but i was able to disable that.",Positive
798,"two issue that i have are the fan noise, it can get very loud at times and the ports, sometimes the hdmi port and the audio jack ports act up but nothing too bad.",Negative
799,the usb ports died after about 3 months.,Neutral
800,"the build is sturdy,and i love the keyboard back light customization.",Positive
801,it came in perfect condition.,Positive
802,i had to go through a small learning curve to get used to the os and the keyboard layout and shortcuts.,Negative
803,delivery - 5/5 - came after a week about without prime.,Neutral
804,"but the keyboard setting is wired, bottom location is differ from ordinary one and it is easy to press the wrong without looking at keyboard.",Negative
805,i like the backlight on the keyboard as well.,Neutral
806,"the build quality is not as good as i would hope for, but the keyboard is back-lit which i did not expect at this price point.",Positive
807,"i really wanted to love this computer, we had an older model similar to this that broke so i ordered this as a gift for my husband, he has been using it for a few weeks now and the volume is incredibly low, like he can barely hear it….",Positive
808,"the screen is beautiful, the backlight keyboard is a great feature, it has a 10 key section and i love the sleek design.",Positive
809,"this is a scam, you do not get what you pay for!",Neutral
810,"i returned this because i needed a backlit keyboard. | according to the brand website, this model is supposed to have a backlit keyboard.",Neutral
811,the backlit keyboard is also a nice feature,Positive
812,it it not a standard ascii keyboard.,Neutral
813,i love the way the keyboard feels and having the number pad is a plus.,Positive
814,"x-miss gift for my 8yr daughter...after 3 days, no real use other then myself doing setup, updates checking it out....the touchpad stopped working! | after walking me through the ""same"" windows 10 fix (useless) he had me ""reset the computer"" and still no touchpad fix, amazon offered me ""return for replacement""....a 30day deadline to return the bad one!",Negative
815,reset the tiny batterie button on the back and it came back on.,Neutral
816,"the touchpad no longer works, and the keyboard doesnt light up any more.",Positive
817,for the price the performance is great and i love the back lit keyboard.,Positive
818,great laptop very easy to setup came in great packaging camera quality isnt all that good but microphone is great,Positive
819,"the keyboard functionality is good, chip is decent and the startup quick.",Positive
820,the ips panel screen has very good colors and the keyboard/touchpad are decent.,Positive
821,i really like that you can do the keyboard or the touchscreen.,Positive
822,"the only downside to this laptop is the keyboard. | it is minor, i will be gaming on a different keyboard anyways!",Negative
823,as many reviews mention the trackpad is glitchy.,Positive
824,i think this laptop would be so awesome but the keyboard backlight would not stay on.,Positive
825,"i really liked the feature set, in particular the 8 gb ram, and a backlit keyboard. | that one had problems with the keyboard. | i returned it and ordered a second one which has the same problem with the keyboard.",Positive
826,"fast, lite, good display, good keyboard.",Positive
827,"the screen resolution is pretty bad in my opinion, also, there is no caps lock key on the keyboard, you have to press shift every time you want to cap something.",Negative
828,would be nice to have a larger keyboard and scree option.,Positive
829,"if this mac lasts as long as my old macbook pro (15) years, i will be one happy camper!",Positive
830,keyboard is really great for typing and has just the right amount of travel for me.,Positive
831,"bought usb ethernet adaptor, only to find that did not work either, on the asus or another computer.",Neutral
832,love the backlit keyboard.,Positive
833,"i also bought an external hd which was cheaper than upgrading from old 256 to 512. my warning is about office 2019. there was stuff on the web that 2016 would not work, needed 64bit, but while there seemed to be workarounds, i just upgraded and bought 2019. there is a scam site posing as microsoft office/setup that looks legit once on it, but you get an error message and phone number to resolve.",Positive
834,mine came damaged even though the box looked fine.,Positive
835,i thought it would at least have a 1 year warranty but looks like it only came with a 30 day warranty.,Negative
836,"i was really enjoying this computer and just after the one year mark my screen became defective. | i came back to watch the lecture and noticed lines along the left side and bottom of my screen (see picture). | by the way, the technician tried to attribute the screen malfunction to the few pieces of dust between the display and keyboard.",Positive
837,purchased a usb card that was more advanced abd all is well now.,Positive
838,"i purchased a tp link usb to ethernet adapter, doubled the internet bandwidth, and the issues went a way.",Neutral
839,"the usb c cannot charge the device, although some online sources disagree.",Neutral
840,the backlit keyboard helps me see everything crisp and clear and have no problem struggling to type keys.,Positive
841,after i finished set up i went to online webcam test and audio test and everything works great.,Positive
842,"the keyboard van be backlit, which is very helpful in the evenings and the keys are responsive and a good size. | the speakers sound good and have a good sound range, and i have had multiple successful zoom meetings with this computer, so the camera and microphone function well.",Positive
843,"the keyboard is spaced just right, and the touchscreen/tablet/pivoting features are incredible for the price.",Positive
844,this is my 3rd acer and my 2nd with the keyboard backlight. | having the lit keyboard makes a huge difference. | i had to replace my last one in a hurry as i spilled a beverage on the keyboard and could not save all the keys.,Positive
845,when that came in same issue no power.,Neutral
846,"i really like that i can use it as a tablet when i want to scroll through pinterest or watch netflix then i can flip it open like a laptop to access the keyboard plug in a usb mouse and use it to fill out forms, update my resume and fill out job applications all while not having to switch to another device like i am used to doing i am down to just 2 devices now my cell and chromebook and since i can sync my armor 8 to the cb i will be down to just the one that is going to be new no more mess of charging cables and boxes to keep everything powered up the battery  lasts me the whole day so far we will see how long that lasts i have high hopes so far it combines both work and play and it does it in such a cool affordable way, im very happy with this purchase and glad everything turned out great!",Positive
847,i have not had the camera freeze i was experiencing in the beginning as often but it still should not happen.,Neutral
848,"very good laptop, lighted keyboard so no matter where you are you can see what you want to type.",Positive
849,i spent several days migrating my apps and data from a dying dell laptop (ssd failing) using a usb mouse (because it is easier to deal with for complex screen picks than a touchpad). | it was only then that i found that the touchpad was non-functional. | even when booted into bios the touchpad diagnostics would not function.,Negative
850,"camera quality is not bad, but is not the best i have seen.",Positive
851,"six months ago i would have rated this 5 stars, however the keyboard started to flake out on me.",Neutral
852,"long battery life, with relatively fast recharge, decent (for a laptop) keyboard, very good non-touch display.",Positive
853,the only problem is the resolution on the camera/video is not good.,Negative
854,i hate that it has no normal usb ports to accomodate thumb drives/peripherals. | and only 2 ports total?,Negative
855,"aside from not having a back-lit keyboard and having an absolutely terrible battery life, this computer does the trick.",Negative
856,"and we are loving it, the graphics are great, sound quality is pretty good and there is a mic and webcam too.",Positive
857,this computer is ok but the screen came with a white dot light on the screen.,Positive
858,"it has an on-boot ""feature"" where it plays this loud sound and does some silly rgb keyboard animation. | the rgb keyboard animation cannot.",Neutral
859,"after numerous attempts, it will not boot an install of windows 7, and frankly, its nearly worthless to me without it...i even went as far as creating a custom windows 7 disk with nvme, efi and gpt, that one installed but would not boot past disk.sys...all newer versions of windows have ridiculous amounts of privacy invasion built it and they are not to be trusted...the screen quality is good but it has been flickering every time i turn it on since i got it...on gaming it seems good for about 15 minutes, then it starts dropping frames like crazy making it unusable...i did not purchase it for gaming but it came with a free trial of xbox live so i gave it a shot...after hours of fighting updates on xbox live, it finally downloaded dirt 5 and it played perfectly...for 15 minutes at a time...that was with graphics settings on the game on automatic, obviously it did not adjust automatically and i was not interested enough to fight it with manual settings...all in all, i wish i had bought something that could run windows 7...i find myself using my 12 year old dell to do stuff often because with windows 7, it actually gets it done...on this thing, it feels like i spend more time trying to get it to work than i do using it...",Positive
860,"what at first sight caught my attention was the design of this laptop, minimalist to put it in some way, having it in my hands because i am not disappointed at all, the build quality is good for a laptop of this price (i acquired it for $ 309.99 dollars), the touchpad is of a considerable size because it allows you to navigate freely and the gestures, are quite intuitive, the bad thing that you notice is that you click manually (if you prefer since it is better to do it through the configuration of two fingers ) the touchpad is perceived loose, cleaning it shows as if it moved to the sides. | the keyboard is magnificent, the position of the keys is just what you need, the noise it makes when you type it is not annoying, it has lighting which helps you a lot when using it in low light, it is programmed to turn off if you do not use it which is good if you are watching a movie, reading or watching videos on youtube.",Positive
861,got it for a christmas gift so it is still in the box but it looked good packaged and it even came with a case which is a good bonus.,Positive
862,the webcamera was trash but that was to be expected.,Negative
863,i like the keyboard too.,Neutral
864,fyi came with camera and microphone enable by default so they could view and listen to me from day one from any number of preloaded apps.,Neutral
865,ordered this laptop with prime and it came right on time.,Positive
866,"the keyboard is nice, screen is great, mouse pad ok, decent battery life, and it has most inputs/outputs you might need.",Positive
867,"this is every bit as good as a tablet but with a good keyboard and ability to stand upright on it is own (again, obvious, but having it rest on your lap vs holding a tablet is no competition for practicality).",Positive
868,the keyboard is comfortable to type on and as a bonus still includes a full numpad even if it is a bit cramped.,Positive
869,it has a beautiful display but you should not buy a $350 laptop and expect it to run complex modeling software like mastercam or games that would bring a geforce rtx 2080 to its knees.,Positive
870,"the laptop display, keyboard and touch pad are all great.",Positive
871,"the screen quality, keyboard, and casing is great!",Positive
872,that is why i chose this among 10 other ones i was looking at it is so worth my while i am enjoying every second of it the keyboard lighting is so pretty and finger placement during gaming is so comfy it is very intuitive design.,Positive
873,"like: touch screen, sturdiness, keyboard, decent storage, loads websites quickly enough",Positive
874,"my husband loves his beautiful, new alligator watch band.",Positive
875,it came quickly but damaged.,Positive
876,"thought we fixed it by altering some battery settings, but it came back again 1 month later.",Positive
877,"less than a year after purchase, the mouse touchpad is not working.",Negative
878,i am used to mecha-membrane keyboards and i was worried the transition to a laptop keyboard would feel funny.,Positive
879,after two weeks the touchpad stopped working.,Neutral
880,"i finally came to the decision that apple make better quality machines that are more efficient, stay cool more quietly, and run more smoothly than anything in the microsoft (or google) ecosystems.",Positive
881,i use with extra monitor and a mouse/keyboard so it does not bather me. | i would be dissatisfied with touchpad particularly if i had to use it to interact daily.,Positive
882,i did not purchase another ssd for this new acer as i have a 3 tb usb 3.1 external drive for storage.,Positive
883,the computer works great however the usb ports do not work. | computer does not detect devices plugged into ports.,Positive
884,"it comes with a free upgrade to windows11 and my husband surprised me with it, so i can write my book.",Positive
885,"the display is excellent especially for the price, and i like the rbg keyboard. | if you plan on using this laptop for broadcasting or recording videos i recommend using an external webcam. | the camera is a bit grainy, but i expected that and it was not a feature i expected or needed.",Positive
886,"visually, it looked elegant, and the keyboard was big and comfortable to use. | i found the picture and sound quality to be as expected, and had no problems with the webcam.",Positive
887,we purchased the chromebook 1 year ago today and the trackpad simply stopped working.,Neutral
888,"what a shame because i really liked the keyboard, the camera shutter, the design, the phantom blue color.",Positive
889,came across this little gem with budget pricing and good reviews.,Positive
890,i got this for my husband.,Neutral
891,i purchased this computer as a gift for my husband for grad school but it constantly freezes while navigating the internet.,Neutral
892,"screen quality sucks, it randomly will glitch out and cause the whole screen to go purple, it turns yellow and green into orangeish, slow unless you are only running like three chrome windows, touchpad isnt very responsive, and it does not have a touchscreen.",Negative
893,my daughter needed a computer which allowed her to attend school remotely while accessing numerous tabs as part of her in class work; to draft and submit reports and powerpoint presentations; and to attend study groups.,Negative
894,i really like that the keyboard lights up.,Positive
895,only issue - there is no indicator on the keyboard for caps lock nor num lock.,Neutral
896,"good keyboard, trackpad and screen.",Positive
897,it only supports one external monitor.,Neutral
898,"came with an invalid windows product key, was not able to get laptop out of s-mode.",Negative
899,"not amazing camera quality but it is ok. not a ton of memory, but using cloud storage or external harddrive is a good idea anyways.",Positive
900,it is so light weight and the keyboard is great!,Positive
901,the touchpad will not work either.,Neutral
902,"the only downside is that camera quality, which is absolutely atrocious. | if you really care about the webcam, i would suggest purchasing a third-party webcam.",Negative
903,one week later acer sent me a usb drive to reinstall windows.,Neutral
904,"so, even though it has a camera, you cannot do face/iris unlock.",Neutral
905,the laptop has no ethernet ports. | after setting up location and keyboard it went to the screen in the photo above to connect to a network.,Neutral
906,affordable and a backlit keyboard.,Neutral
907,"one thing is there is nowhere to put an sd card in, that was surprising, but you can connect your device with a usb.",Positive
908,"this acer nitro 5 i received is a terrific laptop; granted, i am not super hip on all the latest and greatest on a laptop, but what this laptop does do is the keyboard feel is good, the build quality is fairly solid, there is a separate numerical keyboard, and it works like it should, meaning no blue screen of death and glitches. | the model i bought does have a backlit keyboard, but it is only backlit in red; this model does not have the multiple different colors.",Positive
909,"nice to look at, super thin and light weight, and was easy to set up, and it came with windows 11!",Positive
910,the trackpad often requires several taps to register your click even after trying all possible trackpad configurations.,Neutral
911,"like most of the other reviews, the backlit keyboard is nice, except in the daytime when it is difficult to see at times.",Positive
912,"this machine is very fast, has a very nice keyboard, and the touchpad works great.",Positive
913,the keyboard is visually perfect.,Positive
914,this laptop came in s mode and it was impossible to get out of s mode.,Negative
915,came in handy and works very well.,Positive
916,the only minor complaint is that the speaker comes from the keyboard.,Negative
917,this laptop came to me damaged.,Neutral
918,and i really like that they changed to keyboard on this model.,Positive
919,"work perfectly, worth money no cracks or anything wrong came perfect packaged",Positive
920,the keyboard lights up.,Neutral
921,the keyboard is great and i love that it is raised.,Positive
922,"comfortable keyboard, excellent screen quality, the touch pad is a tad sensitive but this is hardly an issue, if anything it is a bonus at times when i am moving my cursor around the screen a lot.",Positive
923,i took it in to have it looked at and was told that a screw came loose and caused damage to the battery and then the motherboard.,Negative
924,"it came with a sharkk charger and it was not working, i went to bestbuy and bought an apple charger for macbooks.",Neutral
925,"the ""technical details"" reads: ""number of usb 3.0 ports: 3"" - when in fact, there are only (2) usb-3.0 ports and (1) usb-c port. | additionally, in the ""product details"" it lists the component slots verbatim as: ""1 usb 3 1 gen 1 type-c 2 usb 3 1 gen 1 type-a 1 hdmi 1 4 1 displayport 1 headphone/microphone combo jack""...without separating the ports - so all of these numbers run together and you really cannot tell what it has. | (1) usb 3 1 gen and (1) type-c and (2) usb-3 1 gen and 1 type-a and (1) hdmi 1 4 and (1) displayport and (1) headphone/microphone combo jack""??? | because, there are only (2) usb-3 ports and (1) usb-c port and (1) hdmi port and (1) headphone/speaker jack and (1) sd card slot (not mentioned anywhere that i can see)...and unless i am confused (which can be the case)...there is no ""display port"". | i think i get it that one of the (3) usb-3's listed is the usb-c but i also do not understand no mention of an sd card slot and the listing of a ""displayport"".",Positive
926,it is an easy to use computer with backlit keyboard like my apple which is a plus but a lot less expensive.,Negative
927,perfect size can use keyboard or touchscreen great price,Positive
928,my new computer came securely boxed and.,Positive
929,computer trackpad stopped working four months after purchase and frequently refuses to connect to my home wifi (perfectly functional on all other devices in the house).,Positive
930,keyboard is well lit and runs smoothly.,Positive
931,this does not have backlit keyboard.,Neutral
932,it even has a backlit keyboard!,Neutral
933,the camera is a jump up from the usual but still gets a bit grainy in low light. | i have had no problems with the keyboard or fingerprint reader.,Positive
934,"it can get hot on the battery and the upper keyboard after an hour or so, but so will any laptop when gaming--has not effected the fps.",Positive
935,bought for husband.,Neutral
936,when holiday time came six months later to get a laptop for a family member i seem to recall amazon pointing me to this model as the newer version.,Neutral
937,the first laptop i ordered came in with screen damage and with the wrong operating system.,Negative
938,"other than that, bluetooth, wifi, usb, and screen are awesome.",Positive
939,"by the way, i love the backlit keyboard.",Positive
940,i bought this laptop mainly for gaming about 3 weeks ago and after several weeks of research i came to the conclusion that this is by far the best bang for my buck for the steal price of $1400. | keyboard is very nice to work with as well.,Positive
941,"the responsive backlit keyboard is really a joy to type on, and the trackpad accepts mulitouch gestures.",Positive
942,just upgraded memory to 8gb and it became $700 laptop.,Neutral
943,i upgraded the ram to 16g and it became a different animal.,Neutral
944,the backlit keyboard is an added bonus.,Neutral
945,this otherwise great gaming laptop is designed with the motherboard flipped toward the keyboard.,Positive
946,sound was not good so we called using our phone for the sound and used the laptop camera and then muted the sound on the computer.,Positive
947,"when i purchased this laptop, i searched for laptop touch screen and this one came up, when i got it.",Neutral
948,"lite on keyboard will no stay lite, will lite up when touching a key.",Positive
949,"the keys on the keyboard are spaced further apart than i am used to, but it is manageable.",Neutral
950,additionally keyboard is not backlit.,Neutral
951,keyboard lights up as stated when you type.,Neutral
952,the product did not work the apps came up as question marks.,Neutral
953,the fact the keyboard is customizable made the whole setup worth every penny.,Positive
954,the only let down was the camera quality.,Negative
955,"my husband, who was not crazy about me ordering it now wants one for himself!",Positive
956,the touchpad and cursor stopped working after only 5 months.,Neutral
957,"it comes with minimal bloatware (norton is about the old thing that sucks on there), and there are noticeable improvements over a previous msi laptop i bought including a better hinge on the screen (the old version was stiff and made the screen feel very flimsy) and even more customization on the keyboard backlighting.",Positive
958,the ports are also lose where you plug in the power cord and the wireless mouse or a flash drive.,Neutral
959,"does not have a webcam, but that is actually perfect for my use. | more usb ports would be ideal. | fans can be very noisy, and even the keyboard can start to get hot when it gets really going.",Positive
960,"just arrived today, it is sleek and modern looking, light weight, quality screen, and light up keyboard.",Positive
961,i like the backlight on the keyboard as well.,Neutral
962,"my husband, who was not crazy about me ordering it now wants one for himself!",Positive
963,"great keyboard, touch screen works well, most websites load quickly enough and tablet mode is good for watching videos.",Positive
964,"the screen is beautiful, the backlight keyboard is a great feature, it has a 10 key section and i love the sleek design.",Positive
965,my old laptop broke down and i was looking for replacements and then i came across this one.,Negative
966,"the keyboard is easy to see - in daylight. | i specifically ordered one with a backlit keyboard thinking they all stay on, like my wife's. | this one goes off after 30 seconds, leaving the keyboard dark.",Positive
967,"it has a comfortable keyboard, respectable i/o (usb 2 on the right side is questionable but i just use it for a mouse anyways), fantastic chipset, and is pretty easy to diy upgrade, i upgraded mine from 8 to 20gb of ram.",Positive
968,the replacement came.,Neutral
969,my husband got me this laptop for my bday and i absolutely love it. | the touch screen feature is an added bonus and throw away your stickers because this laptop provide a slider where you can literally slide it over to hide your camera lens.,Positive
970,"the computer functions are ok. slow processing time, and the trackpad has poor functionality.",Negative
971,"additionally, there are only two usb ports, one on each side so yeah.",Neutral
972,good display and keyboard.,Positive
973,"keyboard has a solid feel to it, equivalent to my laptop.",Neutral
974,"the computer is a really good one, is not the best but i do not really need the best, i bought it for my mom and later i liked it so much that i decided to renew my old one for this one, the keyboard is soft, the screen has good size, the size of the hard drive was reduce from what it used to be for laptops but now there are so many storage web services that looks like it is the trend now for hard drives, the quality of the screen is not hd with glare but is way more than enough i watch movies, i navigate, i use office and other tools, everything is great i do not need more.",Positive
975,this is really a scam just to take people money and force them to spend more money for a computer that should work like a computer in the first place.,Positive
976,apparently google thinks that since users can still scroll with the touchpad i should just get over it.,Positive
977,the camera could be better.,Positive
978,the only negative thing is when turning on tablet form on touch screen keyboard i cannot found a way to put the punctuation in greek language.,Negative
979,my laptop came with a note from hp saying that said they where out of stock of the i5 and upgraded me to....,Neutral
980,i had to buy a keyboard cover that is black and white so i could see the keys.,Negative
981,"the only downside to this laptop is the keyboard. | it is minor, i will be gaming on a different keyboard anyways!",Negative
982,i personally love the backlit keyboard.,Positive
983,"appearance looks great, great build quality, keyboard does not at all feel cheap at all and the keyboard backlight is a great touch. | i am happy with the ports, it even has a usb c port.",Positive
984,"great formfactor, keyboard, screen, trackpad, ports, and performance.",Positive
985,love the laptop but wife nor i can see the keyboard during day.,Positive
986,stranger yet they were not even the exact same looking laptops and came in used boxes.,Positive
987,"the product heading is: ""asus vivobook 15 thin and light laptop, 15.6” fhd display, intel i3-1005g1 cpu, 8gb ram, 128gb ssd, backlit keyboard, fingerprint, windows 10 home in s mode, slate gray, f512ja-as34"" yet the keyboard in not backlit and the f7 key is blank.",Neutral
988,"i love the backlit keyboard, as well as the ips display. | currently typing this review on it right now, and the keyboard is nothing like my high end mechanical keyboard, but is not bad. | my only complaint is that it only has one usb 3.1 port.",Positive
989,"we bought 2. within a couple of months, the keyboard locked up and had to send it off. | i have had laptops since they came out.",Neutral
990,really amazing laptop only thing i wish had a better battery and backlit keyboard but that is my own personal preference.,Positive
991,it came brand new and in good condition.,Positive
992,"), has a comfortable, ""good feel"" keyboard even for the larger hands and a ""friendly to touch"" trackpad which clicks when pressed. | ports are usb c (for power/port hub), hdmi, usb (3.0), and sd card slot (easily accessible to online photo storage and editing).",Positive
993,the screen is beautiful and the keyboard is fluid along with the power expected from the specs.,Positive
994,cova 19 came about so i did not take the coverage glad i did not take it life is tight but the schools shut down did not have much time to do any thing but i thought this would be good the j button works if you push it hard back light is crap and no touch screen,Positive
995,"sooooo much easier to carry- light, easy keyboard, excellent speaker, and fast as lightening for steaming, multiple windows open, attachments to emails, and storage for music and photos. | i do miss a usb port larger than the lightening port, but i will get over it.",Positive
996,though battery life is average 2hrs for me with the back-lit keyboard on which i love!,Positive
997,it has a great keyboard and a decent trackpad.,Positive
998,"i only knew i wanted a ssd, and a lighted keyboard for sure. | i came across this model and went back and forth for days on whether to purchase or not.",Positive
999,the keyboard feels great. | the touchpad is appropriately responsive.,Positive
1000,"when copying cds onto thumb drives, an external dvd/cd player takes up 3 usb ports (one for data, one for power and one for the thumb drive) and is much slower than an internal drive.",Positive
1001,has enough ports for usb and hdmi. | i love playing with the different keyboard light options.,Positive
1002,"dim led behind keyboard, letters themselves do not light up, no help in low light conditions.",Negative
1003,last month i came across this product while searching for a budget laptop compatible with ubuntu linux.,Neutral
1004,"had to replace the screen with warranty, it came with burned pixels.",Neutral
1005,"i recommend buying a mouse with this laptop, the trackpad is really annoying to use since it takes a little bit to respond and is not sensible to small movements.",Negative
1006,"i bought an asus that was $200 more than this for basically the same model and it was made with cheap plastic, plastic case, no backlit keyboard.",Positive
1007,"also, acer needs to release an update that either lets you turn off the back light on the keyboard or keep it on at all times cause the backlight only stays on for maybe a minute at best and it annoys me having the keyboard light go on and off constantly.",Positive
1008,i recommend getting a 65w usb-c charger instead of using the charger it comes with. | it does not offer that many ports so i got a j5create usb-c multi adapter which helps a lot.,Positive
1009,"fast, responsive, awesome backlit keyboard, speakers are solid, 8gb of ram, and the convertible form factor is very convenient.",Positive
1010,also the keyboard is so pretty!,Positive
1011,i think almost 90% macbook user need more than 2 x usb-c,Positive
1012,i also find the trackpad is sticking sometimes,Neutral
1013,in the picture it was a silver keyboard and this is black.,Negative
1014,"otherwise i really do like it, came with alexa already installed.",Positive
1015,keyboard is not back-lit like shown.,Neutral
1016,i finally purchased this laptop but less than 2 months later the touchpad already stopped working.,Negative
1017,"the second one failed with in 24 hours, exact same failure, curiously the first was preloaded with windows 11, the replacement came with windows 10 and required an update.",Negative
1018,"it came with full-featured windows 11 home, not the limited ""s"" version.",Negative
1019,"the keyboard is also very responsive and nice to type on. | trackpad is good, although not as great as something like a macbook - but this is not pretending to be that.",Positive
1020,his keyboard really surprise me since i was not aware is backlight.,Positive
1021,"i have been in the market for a new laptop for sometime but was getting by with my 7 year old asus until the right deal came along. | i wanted ssd, lit keyboard, decent processor and graphics plus it had to be thin and light.",Positive
1022,"keep in mind folks, all the usb-a ports on this thing are 3.2 gen1. | i added two external 27"" monitors, one via the hdmi port and the other with one of the usb-c ports. | both usb-c ports are alt-mode supported and are capable of transmitting video signals so you can add additional monitors via these two ports. | i do not know if either usb-c ports are capable of using docks though.",Positive
1023,now the keyboard was a little turn off. | the usb slots are a little tight.,Negative
1024,keyboard is responsive and lights momentarily while typing.,Neutral
1025,decent camera and sound for zoom.,Positive
1026,"other than that it is fast, the keyboard feels great, and is one of the better laptop's i have used",Positive
1027,"periodically drops wifi every day, despite reinstalling drivers, now my touchpad will not work.",Neutral
1028,"a fine laptop, fast and just what you would imagine, have not tried anything heavy but flies on the internet and the camera is top notch for the price.",Positive
1029,"we tried using an external lg disc reader plugged into the usb drive, but the laptop could not read the file(s).",Neutral
1030,"it is a nice size, has a keyboard that is easy to type in and is very user friendly.",Positive
1031,i did not realize this laptop came in s- mode when i originally bought it.,Positive
1032,only down side is the keyboard as it doesnt feel as nice but that might just be im used to better keyboards as mine are custom but its laptop so its okay.,Positive
1033,i like that the keyboard light times out so that it is not distracting while watching a movie and the speaker quality shocked me.,Negative
1034,you should also be aware that the keyboard takes a bit of getting used to after the standard keyboard from a desktop.,Positive
1035,"i love the size, speaks, keyboard is very fine touch, but the camera is not too great for the product like this.",Positive
1036,i did not realize there was no camera on the laptop - strange,Negative
1037,thought this would fit the bill only half the letters work and only two numbers on the keyboard.,Positive
1038,oh and the camera quality is good too.,Positive
1039,many have complained about the keyboard; i see no problem with it whatsoever.,Positive
