,Software Sentences,Software Polarity
1058,then it broke such that it cannot be closed and it is slowly getting worse such that it will fully break at any moment.,Negative
1059,"and this costs less than the same computer from our local store, with twice the memory than that one had",Negative
1060,so we decided to get this one and it works great for her needs and exceeds for that purpose.,Positive
1061,"i would be very suspicious of any positive reviews and blame amazon for promoting this as a ""top pick.""",Positive
1062,this is such a pos!!! | cannot cross documents and stuff from from device to another.,Neutral
1063,other than that great general purpose computer.,Positive
1064,ironic that the cheapest laptop i have ever bought is my favorite and most reliable.,Positive
1065,so disappointed the chrome os is the old one cannot download new apps in the play store,Negative
1066,"set up was easy as is true of most chromebooks. | accessing files on a usb key is easy enough on a chromebook but impossible on an ipad. | those of us who are new to the chromebook need to realize that it is a hybrid: in some respects it resembles an ipad and in others a pc, with advantages and disadvantages compared to either one.",Positive
1067,most games run at 60fps.,Positive
1068,"it comes in s mode but i was able to take it off of s mode after updating the laptop and logging into my microsoft account. | to get it out of s mode all you have to do is go into settings, select updated & security, click activation on the right side, then click go to microsoft store (the first one), and then it will take you to the microsoft store and you will see take out of s mode for free, press that and you are done.",Positive
1069,"i went ahead and took windows out of s mode and activated norton, but it works great in s mode if you do not need apps from outside of microsoft store.",Positive
1070,"comes with windows 10s which sucks... forces you to search using bing, cannot install photoshop, chrome, firefox, or third party software without uninstalling 10s and installing windows 10 home",Negative
1071,"i am not an expert so i am not going to delve into specs and whatnot but 4 ram is a bit low (you can start noticing it when having multiple tabs of a navigator and running a couple financial softwares in the background, although still very decent performances) and looking at youtube video to upgrade the ram looks annoying and i would hate to break of the back frame or that battery connector.",Negative
1072,"this laptop is for everyday users, attending most classes, researching stuff online, watching youtube, paying bills etc.",Positive
1073,"it does not game, it has no touch screen but the visuals and the effort into creating the almost perfect man/woman who wants it there and then? | windows 10s is almost there. | so am i. thank you acer and thank you microsoft (never ever thought i would say that)!",Positive
1074,"seems like it gets close to 300 nits, definitely bright enough indoors. | keyboard is very nice, not macbook air or the like, but very close - much better than acer/asus/samsung. | i have actually gone into the bios and unlocked the processor to get full access to the performance of the 5500u and it is impressive, i have run diablo 2 resurrected at a very playable (although not great) frame rate and even managed some halo infinite at 30fps at lowest settings. | by no means would i buy this laptop to game unless it is older games or esports, but it is possible to punch above it is weight, which is a huge bang for your buck.",Positive
1075,"that means that if you are composing on the fly and typing rapidly, you will be so far ahead of the words appearing on screen you will be continually backspacing two or three words - one character at a time - to correct any typos.",Positive
1076,this system comes with windows s mode running by default but as you do the initial start you can easily switch it to full windows 10. just do a simple google search (or go to the microsoft windows support website) and you can learn how to do it in less than 30 seconds.,Positive
1077,it plays better than my razor which cost a few hundred dollars more than my daughter's lenovo,Positive
1078,"i do mostly work on it (microsoft office, audio editing on audacity, minor video editing and some music composition with sibelius) and it runs flawlessly. | occasionally i travel and play games on it (league of legends and world of warcraft) and it runs those just fine too (wow on lower graphics settings).",Positive
1079,been dell most my life.,Positive
1080,"she just needed your ""basic"" laptop for mostly business but i foresee her using this versus her tablet...",Positive
1081,"honestly, try others first, you will love this tablet, almost like it better than my macbook pro for everyday use.",Positive
1082,"additionally, the touch screen is not as good as my old surface laptop so sometimes it does not respond at all and other times (if i put my forefinger on the top back of the screen and my thumb on the screen) all the tabs will close at once.",Positive
1083,most convenient for her business.,Positive
1084,"not very happy with microsoft 11. i liked the last one i had-acer, but it was 10 and easy to use.",Positive
1085,"i use it mostly for searching the internet, shopping, and paying bills.",Positive
1086,i do most of my writing on this machine. | i think it is all that most users need.,Positive
1087,"this laptop is an absolute steal whatever game i throw at it it handles no problem, the most taxed i could get it was when i was playing 7 days to die on the highest i get a good 55-70 fps but my cpu temps on a black flat wood desk is 90° which makes me uncomfortable but with the back of the laptop proped up with a piece of wood and some adjustments to the fans it maxes out at 85°c i would recommend a fan stand but for other games it hovers around 80° which is fine for the cpu everything else about the laptop is fantastic well i cannot actually review it as a laptop as it barley leaves my desk so the weight does not really matter to me but over all this laptop is a great steal",Positive
1088,i do not even have the option to close down the program.,Negative
1089,"those 2 usb c ports as the only ports, is the most disappointing thing ever. | i only stick with it because of a software i need.",Negative
1090,i was able to switch it out of windows s mode into windows 10 mode by following online tutorials (it took some trial & error- you just have to make sure you create/are signed into your microsoft account and that it is activated. | definitely do not give in to purchasing anymore software until you do all that).,Positive
1091,"4gb sounds like enough, but this laptop uses up 2 of those 4gbs for the on board graphics.",Neutral
1092,im not a windows home user so i immediately installed a linux distro as my main operating system. | plus a few other bios nik naks i had to poke with that i no longer recall. | im a kodi user as well and that app open and closes really quick and smooth.,Positive
1093,"while in the latter i would have loved to see this unit with a 4800h ryzen 7, the 10th gen i7 is no slouch and is a strong upgrade from my old dated 7700hq i7 where i was beginning to have issues when editing videos for youtube.",Positive
1094,"unfortunately, this only happened after the return window closed so now i have got 400 less dollars in my pocket and and i am stuck with a broken laptop.",Negative
1095,those are the two only negative things i can say about this computer.,Negative
1096,i bought this a few months ago to use for software development.,Negative
1097,"this one fit those needs, but that is about it. | the finishes are cheap which i have never encountered with computers from toshiba, dell or hp. | the ports are also lose where you plug in the power cord and the wireless mouse or a flash drive. | the screen quality is decent considering the price as is the sound (for videos, not music).",Positive
1098,i bought an extra 4g of ram to upgrade and it is a beast when i have multiple windows and programs running.,Neutral
1099,this computer is using window 10s mode which prevents you from using or doing anything on it that is not in the microsoft app store. | after experiencing this i would not even bother looking at any computer with microsoft.,Neutral
1100,"use this for studying purposes, for the price it is well above its need.",Neutral
1101,7 was a nice stable operating system but they force you to upgrade and it screwed up two computers and a windows tablet. | i am retired and have bought and unbelievable number of windows operating systems but never again.,Positive
1102,we have a vacation home in florida and the cost of cable tv there was prohibitive. | this computer costs $350 so i will make my money back in three months! | note: i did have to wait for 20 minutes for the microsoft windows to activate to make the change.,Neutral
1103,"i cannot even imagine how this pos even left the factory, after qc, considering you have to login to your microsoft account to even install any third party applications on it.",Neutral
1104,screen is nice and big so it also works really well to watch your favorite programs. | anyway when i was trying to fix the sockets that popped out of place i guess a wire that was exposed ripped or something because the screen no longer turns on sadly. | but please please be careful when opening/closing or just handling it in general because otherwise your in for a slow fall into what happened with me. | (also i do blame the failure on this laptop mostly on myself but it is only like 400$ so the materials you pay for come in the laptop durability),Negative
1105,i always needed the most up-to-date hardware for wok purposes.,Positive
1106,"it starts right up, almost instantly.",Positive
1107,it is absolutely impossible!!!!!!!,Negative
1108,"i specifically bought this computer for my elderly parents because it was supposed to be easy to use. | well, my dad could not use it for a church zoom meeting because because it was in ""s-mode"" which basically means you can only use things from the microsoft store (not zoom). | trying to upload chrome was not easy because microsoft kept telling me how edge was just as good.",Positive
1109,"i was debating on a xps 13"" however this one came in at about half the cost after i built the xps to spec and being that apple does not need as much gb as a pc. | i am not a gamer so i cannot speak on that aspect of it however i do create videos, edit photos, and do a lot of online research and trading.",Positive
1110,"it is not hot, it plays most games in 4k.",Positive
1111,"the screen could go dimmer when turning the brightness down, but i am none of those people that tend to use the least amount of backlight on my laptops, so take it with a pinch of salt.",Negative
1112,"i tried all of the typical software fixes like removing and re-installing the batter drivers, but it was a hardware issue. | i was able to boot up from ac connection, but after trying to install the first round of software updates the laptop would not turn back on as it required 25% battery reserve to complete the update and turn back on, which obviously was not possible.",Negative
1113,i bought this to homeschool my kids and didnt discover this until the return window closed. | never again microsoft!,Negative
1114,"it comes in s mode but i was able to take it off of s mode after updating the laptop and logging into my microsoft account. | to get it out of s mode all you have to do is go into settings, select updated & security, click activation on the right side, then click go to microsoft store (the first one), and then it will take you to the microsoft store and you will see take out of s mode for free, press that and you are done.",Positive
1115,"overall, i highly recommend this lenovo chromebook for everyday “casual” computing such as writing emails, creating spreadsheets, watching youtube videos, or surfing the web. | i also appreciated the simple yet polished chrome os user interface complete with electronic user help documentation.",Negative
1116,"great screen quality, good speed for most activities, terrible battery life (it lasts about a 45 minutes now with full battery after a few months of using it), and cannot handle most games.",Positive
1117,"i genuinely have no complaints about this laptop, but i will try to list some ""negatives"" for those who want to hear whatever bad news is available before deciding on their purchase.",Positive
1118,the face photos of the other participants are dark ... mine is perfectly clear.,Negative
1119,"on a game like drg or doom, frame rates run about 170 fps, it has a cooling boost, so it does not have the heat issues that many are reporting with gaming laptops.",Positive
1120,i told them i did not want to lose all my information from the computer and that this is a problem it never had before being sent in.,Neutral
1121,"she will be using the lenovo to: make more online courses, for posting videos on her you tube channel - humsa prenatals, for social media, promotion and marketing of her courses, and for her website humsa prenatals dot com.",Positive
1122,mostly use for learning programming but added a few games and it runs them decently it is not a gaming computer but it does alright.,Positive
1123,simple solitaire impossible to use.,Negative
1124,the only major issue that i keep on having is that i will be trying to open a zoom meeting and it goes to my home screen and closes all windows.,Positive
1125,i mostly use it for 3d modeling.,Positive
1126,"all was well until he put his thumb on the edge of the keyboard then closing the lid. | but you can still send it in and pay for the repairs plus diagnostic fee.""",Neutral
1127,i mostly watch movies and it never has disappointed.,Negative
1128,nothing on the market when i purchased this came close to this.,Neutral
1129,"update: i was able to install windows 11 from the microsoft store, so it is available for this model although it did not come installed.",Positive
1130,pos!!!!,Neutral
1131,will update with specific problems if those occur.,Neutral
1132,used to be the guy that needed top notch specs across the board.,Positive
1133,"it is expensive, but it is still inline or even costs less than other brands with similar configurations.",Negative
1134,"crapped out in under a year after a windows update, after extensive troubleshooting and coming to see how minimal the bios is, i can say you get what you pay for, a cheap, disposable laptop",Positive
1135,pros: the chromebook is snappy and fairly fast.,Positive
1136,build quality and esthetics are very nice - just a poor performer where it counts most unfortunately.,Positive
1137,"what i mean by this is when editing a video randomly the laptop will corrupt the entire photo and make everything look green, at first it was not really even a problem until it kept on happing so often where i will spend at least an hour not doing anything other than closing the app (adobe premiere pro) and reopening it. | and you might be wondering are you able to see this in the video software? | lastly people might think it is just the software but no it is the lab top it self i use to edit on a hp pc and never ever experience any problems with it and it is 5 years old.",Positive
1138,"then the hinges to open and close the laptop broke. | i was able to get it fixed, but that meant that i had to pay the cost to send it back to the manufacturer.",Positive
1139,as shown by my picture my a key has lost some of it is black paint and will probably lose more seeing as i tend to use it a lot while gaming.,Positive
1140,general purpose household computer. | use mainly for ms office software and access.,Positive
1141,mostly internet.,Positive
1142,microsoft should be ashamed....,Neutral
1143,you cannot download drivers without permanently putting it into s mode and according to all the pop up warnings you are putting your computer at risk if it is not straight from microsoft. | worst of all there is no support help from acer or microsoft despite contacting them both with zero response!!!,Negative
1144,i only use a laptop for writing and for watching youtube videos.,Neutral
1145,a word of caution...not all apps and software are quite ready for the m1 chip / big sur yet.,Positive
1146,"the touchscreen is responsive, and i like that it can be folded back to watch videos, etc.",Neutral
1147,"tried all the recommended ""work arounds"" that acer has posted on their forums for this known issue.",Neutral
1148,"however, windows 10 was on the laptop, not windows 11. i had a really bad experience before installing windows so i did not want to install windows 11. why this seller posts windows 11 i do not understand, windows 10 should be stated.",Negative
1149,"it does everything i need to do -- with freedom from microsoft, whose subscription plan felt a bit like a noose to me. | mostly i surf, do social media, buy online, email, but i can use google documents if i need to write something.",Positive
1150,"i did a great deal of research and it was apparent that the manufacturers like to throw out specs that come close, but did not include the ips screen.",Positive
1151,that is the fault of microsoft.,Neutral
1152,"to be fair, almost all of my games can be played at 30fps on my old desktop with 1030. power-wise, it does blow heavy but when you have a loud a/c in the building its hardly noticable.",Positive
1153,had it for almost a month.,Neutral
1154,i use it mainly for work purposes so gaming wise i do not know.,Positive
1155,my acer laptop developed a battery issue 32 days after being delivered to my house and as everyone knows you cannot return it after 30 days.sadly acer could only offer a repair but i cannot even send it to them since that department is closed due to covid and they cannot refund me since i bought it off amazon.in short im stuck with a broken computer and a stick up you know where.i would like a refund for this faulty product if possible.,Negative
1156,"microsoft really messed up and i have had to send back 3 computers. | now, i throw away costly computers full of trojans, ransom, and viruses. | @$%@^& to microsoft.",Positive
1157,the chromebook operating system is useless with all the software i use.,Negative
1158,the only issue with chromebooks is that they are not compatible with a lot of software.,Neutral
1159,"it may be able to do things that most cheap computers don""t. but i do not game or download a million apps etc. | the only purpose this computer would serve me is for writing documents. | i may just keep the laptop just for the purpose of document writing.",Positive
1160,i have never been more relieved to edit videos effortlessly.,Positive
1161,i had to go through a small learning curve to get used to the os and the keyboard layout and shortcuts.,Negative
1162,"i installed ubuntu mate on it (easy if you use the opt-in realtek drivers) and use it primarily for writing code (python, c, and c++, mostly).",Positive
1163,this is such a pos!!! | cannot cross documents and stuff from from device to another.,Neutral
1164,"the laptop itself is ok, however for many apps i need, windows is asking to upgrade the system to be able to use apps like zoom or to download browsers like chrome, and the upgrade costsmoney an extra $100 plus. | i can only use microsoft edge for browsing unless i pay more to get out of s mode whatever that is, microsoft edge not being the best browser at all, give me microsoft explorer vibes, and i cannot accomplish all i need to do with it. | then i final paid for the update, so i could get out of s mode, and now i have windows 10 pro s mode instead, trying to get out of that s mode even paying the upgrade, and microsoft is making it so difficult, so basically paid for the upgrade and it is not letting me switch out of s mode, without a fight, what a joke.",Positive
1165,"with those two upgrades done, you have a nice machine sitting in front of you, worth quite a bit more than what you will end up paying for it.",Positive
1166,instagram videos do not playing no matter what settings i change.,Neutral
1167,need to have a microsoft account.,Neutral
1168,"overall, if you are only doing basic things like surfing the web, some microsoft office stuff, and watching movies/videos you are good.",Positive
1169,"according to the brand website, this model is supposed to have a backlit keyboard.",Neutral
1170,works and edits videos great.,Positive
1171,"shame on me for not discovering it before i purchased it, and shame on them for not disclosing it in the item description.",Neutral
1172,sorry asus you lost another one.,Negative
1173,supposedly memory can be added easily - using youtube university and a screwdriver.,Positive
1174,"fingers crossed, i want to give this laptop back 5 stars.",Neutral
1175,"it worked decently at first but didnt take long for it to go down the drain, it has a huge issue with ghost touches that makes the computer near-unusable.",Positive
1176,"i have used it primarily for e-mails, etc., as well as the microsoft word office 365 program, and it has more than met my expectations.",Positive
1177,"relative had asked me to find a suitable laptop for them since theyre returning to school, initially i was looking for a lenovo like my own but for some reason those dissappeared a month prior. | anywho the other lenovos were not to my favor with price to specs so i looked into asus as the next best thing, low and behold asus tuf gaming laptop!",Positive
1178,"great light weight laptop that has enough performance for me to browse multiple tabs at once and multiple programs running all at once with no problems and the 5g wifi is nice and fast i dont even use a ethernet, the price went up since i purchased it a year ago but its still cheap and works great i havent had any problems with it and putting in the ssd and upgraded ram was very easy and straight forward i dont use it everyday all day like some but so far its been doing its job",Positive
1179,works and edits videos great.,Positive
1180,has microsoft s on it which will not allow you to add any other app other than microsoft stuff.,Negative
1181,got the screen looking best possible (again decent). | at this price point it is great for those needing windows os (like me).,Positive
1182,"the software is impeccable, the processor speed is phenomenal.",Positive
1183,"it is quite fast - the only slight bottleneck is the 4gb of ram (only if you use a ton of chrome tabs and videos), so i upgraded to 8gb for $38.",Positive
1184,it was most noticeable on a dark background.,Positive
1185,"the last time i sent the laptop in for repair, i was informed that it was out of warranty and it would cost $357 to repair.",Neutral
1186,"i know things are tough right now with covid-19 restrictions, but this is a time when we need our computers as links to the outside world, the most!",Positive
1187,"i love chrome os, but i have never used lenovo and i have never even seen a 2 in 1 flip laptop, so this purchase was a leap of faith.",Positive
1188,"i will not be returning because i only needed for personal use, but if you are a student or need it for work i would definitely look for something else, especially if you are going to be watching videos or movies!",Neutral
1189,clip for closure broke already.,Neutral
1190,"but for my specific purposes, this laptop is the ideal.",Positive
1191,"after a few days of calling and emailing, i was advised by one online tech that the product cannot be used with a landline, while another emailing me provided me with a link to a $160+ adaptor that would supposedly allow landline access.",Negative
1192,battery life could be a bit better but it is enough to last me most of the day so far.,Positive
1193,"i also bought an external hd which was cheaper than upgrading from old 256 to 512. my warning is about office 2019. there was stuff on the web that 2016 would not work, needed 64bit, but while there seemed to be workarounds, i just upgraded and bought 2019. there is a scam site posing as microsoft office/setup that looks legit once on it, but you get an error message and phone number to resolve. | after half an hour he explains that it is the firewall and can fix it by downloading one costing only hundreds of dollars. | the url is not microsoft but rest looks like it.",Negative
1194,"after just a few days of use, i was positive this was an excellent choice for my use. | it was easy to convert from the supplied w10-s to w-10 home operating system, the supplied cable and mount made it easy to add an additional ssd, and i also doubled the supplied ram while i had it opened up.",Positive
1195,"if i want to turn on super battery i should not have to figure out that an update is required, close the program, update it and restart the computer. | i should be able to use this functionality at any time i choose.",Positive
1196,i am certain this is not supposed to do this. | i realize this is most likely attributed to the coronavirus and the company may be shut down.,Positive
1197,i took it to a local computer repair place and they say it will cost more to fix it than it is worth.,Positive
1198,the right hinge pulled apart exposing wires.,Positive
1199,"i am an it guy, use different kinds of hardware and software on a daily basis. | i purchased this for light purpose use. | word documents, spreadsheets and maybe some light media, but not serious gaming or for photos and videos.",Positive
1200,"are all the macbooks bad, most likely not, but they are also not all perfect.",Positive
1201,mainly i use it for software like unity and ps.,Positive
1202,"while the hardware seems fine, i am furious that the installed os is windows 11, not windows 10. there was no indication on the packaging or on the machine (e.g.",Positive
1203,"it is a chromebook so it performs like one, but this one is especially snappier than most and the durability is mil std, so you can be assured it will take one heck of a beating.",Positive
1204,i needed a basic laptop just for web browsing and for work to use microsoft office such as word and excel.,Neutral
1205,i will not let you use any software that is not approved.,Neutral
1206,"it is not just well made--it actually offers powerful features all around, and it costs much less than the so-called ""premium"" chromebooks.",Positive
1207,"i mostly use it for internet, email, using google drive/docs, and zoom.",Positive
1208,i on the other hand got an apple ipad which cost 3 times as much and after 6 months i still have trouble trying to connect with my android phone.,Negative
1209,"first and foremost it can get slow,, the processes are a bit lagging and the speaker is almost nonexistent.",Negative
1210,"we have been using it for a few days and, of course, the kids love the touch screen, and taking photos.",Positive
1211,"i will not get into too many details about this laptop, i am sure others have mentioned those already.",Positive
1212,not sure if this is a hardware or software issue.,Negative
1213,even when booted into bios the touchpad diagnostics would not function.,Neutral
1214,"this is convenient for the most part, but i have run into a couple apps that do not run right. | the good part about it using the play store is that i can still download the various microsoft office programs, rather than having to add them to the browser. | it responds as quickly when opening programs as my 8gb pc laptop.",Positive
1215,this notebook is amazing it is the best cost-benefit that i can find,Positive
1216,i called them and they said they do not offer any software support unless you purchase support.,Neutral
1217,i use it for lightroom or photography purposes and is fast. | that is a big factor on this purpose to be upgraded.,Positive
1218,the laptop actually helped me fix it via diagnostics program.,Neutral
1219,"the ability of the screen to automatically rotate when i switch modes or reposition the laptop is none existent. | however, it is a good little laptop and easy to carry in my purse almost everywhere i go with great battery life!",Positive
1220,works well for school wish i had read i to description more no sd card or disc reader so cost was not as well as i thought after buying external readers,Positive
1221,i am from costa rica and now i have to send the pc to an authorized support service and pay more than 80$ just to check the device.,Positive
1222,"i will not be doing a lot with it; maintaining a website/blog, youtube videos, and using microsoft office do i did not need anything crazy.",Negative
1223,"it is ideal for that, and for most web-surfing. | processor is more powerful than most users will need, but i like having extra processing power.",Positive
1224,the designers had fun and ignored what matters most to people...the basics!,Positive
1225,the keys were loose and the plastic holding the keys in place was warped and very flimsy.,Positive
1226,after the year mark where the warranty expired the battery life dropped to almost 4 hours. | not only that but my charging cable stoped working almost entirely.,Neutral
1227,if it were not for those two things would of definitely rated a 5. it works well and battery life last long!,Negative
1228,"i was not expecting bose quality, but i was expecting the volume to be loud when on 100%; it is not. | (i have an entry level toshiba that has horrible quality sound, but it is loud.)",Negative
1229,"system cdnt even run one single trading program, froze multiple times and caused me to lose lotta money!",Negative
1230,the sound can be disabled through bios and/or the predatorsense app.,Positive
1231,been using it for a while and perfectly functions good with new software,Positive
1232,"system cdnt even run one single trading program, froze multiple times and caused me to lose lotta money!",Negative
1233,"what at first sight caught my attention was the design of this laptop, minimalist to put it in some way, having it in my hands because i am not disappointed at all, the build quality is good for a laptop of this price (i acquired it for $ 309.99 dollars), the touchpad is of a considerable size because it allows you to navigate freely and the gestures, are quite intuitive, the bad thing that you notice is that you click manually (if you prefer since it is better to do it through the configuration of two fingers ) the touchpad is perceived loose, cleaning it shows as if it moved to the sides. | the keyboard is magnificent, the position of the keys is just what you need, the noise it makes when you type it is not annoying, it has lighting which helps you a lot when using it in low light, it is programmed to turn off if you do not use it which is good if you are watching a movie, reading or watching videos on youtube. | the screen is very good, to be honest i was very surprised, its quality is quite clear the colors are not appreciated false or over saturated, the image quality it offers is something that will fascinate you outdoors because you have to look for a good angle of that shape will not be affected, the brightness is decent if you want to lower it to a minimum and when you choose to upload it to the maximum you will appreciate the clear images without perceiving that feeling of discomfort. | in terms of performance i can not add much, of course the programs i use because i do not consider them something that requires too much resources from the processor, it is worth mentioning that i chose the laptop with an amd ryzen 3 3200u dual-core processor 2.6ghz. | i consider it a laptop for normal day-to-day use, to perform tasks in excel, to do documents, to browse the web, are things that make them very easily the solid state disk (128 ssd) allows you to open programs with very easily, even with the basic specifications you will have a very good performance and speed, i have installed autocad 3d which is the program that i normally have installed on my macbook pro and it turns out that it runs without any complications.",Positive
1234,also this review just asked me to rate the touch screen... is this supposed to be touch screen?,Neutral
1235,"honestly, stop wasting your money on more expensive laptops, for most people, this is more than enough.",Positive
1236,if you only want to use and view microsoft apps with no access to the internet this your ticket. | i eventually realized that this laptop only works in microsoft s mode meaning you cannot download anybody else's apps ever. | do not let microsoft get away with this never buy a device that only works in microsoft/googles fascist monopoly.,Neutral
1237,"i chose to add a 500g sata hard drive as well as upgrade to 16gb of ram. | easy to do, and there are plenty of videos to guide you through it.",Positive
1238,it seems fast and hopefully will be most useful,Positive
1239,"its cons far outweigh the pros. | besides that, this laptop is perfect for whatever purpose it is intended.",Positive
1240,"the keyboard is nice, screen is great, mouse pad ok, decent battery life, and it has most inputs/outputs you might need.",Positive
1241,i selected this laptop specifically because i wanted the windows 10 home operating system.,Neutral
1242,other than that it is an inexpensive machine that for the most part does what it is supposed to.,Positive
1243,these are all the pics i have to prove but i have been able to run rust on a solid 80 to 120 frames for 2 days and have not been exposed to any issues valorant is capable of pulling 200 plus frames with the right monitor if you are looking for a pc but on a budget i would recommend this laptop,Positive
1244,"once i opened my my new acer laptop and let it complete it is mandatory software update, it left my computer with zero internal memory (116 gb used), this is a major issue and i even uninstalled a large majority of apps not required to run. | in addition, i have purchased an external dvd hd drive for watching dvds if possible but currently no internal memory allows nothing but email as of right now.",Positive
1245,it has a beautiful display but you should not buy a $350 laptop and expect it to run complex modeling software like mastercam or games that would bring a geforce rtx 2080 to its knees.,Positive
1246,i chose to add an additional 4gb of ram and a 2.5” ssd. | also the ssd will most likely need to be formatted if it is brand new.,Positive
1247,i bought this laptop for its weight and that is about the only thing positive i can say about it.,Positive
1248,was able to update to macos monterey.,Positive
1249,clean os install with minimal bloatware.,Positive
1250,"it starts up almost instantaneously, and shuts down just as fast. | besides chrome os it also will run linux flies through my apps and works flawlessly.",Positive
1251,we have had to add an external speaker to help boost the volume.,Neutral
1252,best gaming laptop i ever purchased other laptops i compared with the same specs did not come close either its lower graphics or gigs or an older generation or lower core inside. | that is why i chose this among 10 other ones i was looking at it is so worth my while i am enjoying every second of it the keyboard lighting is so pretty and finger placement during gaming is so comfy it is very intuitive design.,Positive
1253,"the screen is bright and sharp and the os is quick, at least until it gets bloated with all the junk we acquire.",Positive
1254,"steers you to buy software, but you can get around it.",Neutral
1255,"cant hear videos on you tube or instructional videos, may have to have it scrubbed and start over.",Neutral
1256,i will be adding music programs to it soon.,Neutral
1257,i play wow and skyrim mostly and have had no issues.,Positive
1258,this was my first mac and i was only familiar with ios devices so i can compare to past models.,Positive
1259,been dell most my life.,Positive
1260,"my guess is that earlier models did in fact have two ram slots, but since amazon mixes models together on the same product page, it can be impossible to know exactly which model someone is talking about. | i am not a computer expert by any means, but i am a software developer and i have built my own pc from motherboard up, so i know what a ram slot looks like.",Positive
1261,i bought this laptop for gaming and to handle editing/drafting software.,Neutral
1262,"i bought two, my kids use them to play games on work well for that they can play any game out to date, the computer is capable they are good laptops do what they are supposed to do",Positive
1263,a bit of a challenge learning their os after 15 years on windows but it was worth the buy. | it runs microsoft 365 so all my files are avaliable on one drive.,Positive
1264,"it is a toss up who to find at fault, microsoft or acer.",Neutral
1265,i was really excited to get this lap top b/c of all the positive reviews etc. | definately somebody elses used junk for almost $400!?!,Positive
1266,no internal fan and loss of efficiency is virtually non existent.,Neutral
1267,"i finally came to the decision that apple make better quality machines that are more efficient, stay cool more quietly, and run more smoothly than anything in the microsoft (or google) ecosystems. | the m1 chip runs civilization vi with ease, and any other software i have tried. | if you happen to have some windows-only software, that would be a deal-breaker, but as it happens everything i run works on mac (microsoft office, adobe creative studio, ftp software, etc.",Positive
1268,"the upgrade cost is about $40, so if you factor that in with the price, it will still be less than most laptops.",Positive
1269,"the laptop works great, feels and looks amazing, for everything from gaming to doing cad or other programs.",Positive
1270,i installed some programs and they run perfectly.,Positive
1271,"you speak slowly and you do not have to worry and fix typos, plus, it reads back so you can hear how it sounds!",Negative
1272,"the battery life may not be best if you plan on not connecting it for many hours on end, but i do not think that will be a problem for me since i plan on using this mostly at home and no more than three hours away. | if you plan on using this laptop for broadcasting or recording videos i recommend using an external webcam.",Positive
1273,came across this little gem with budget pricing and good reviews.,Positive
1274,restarts randomly and videos stop playing randomly.,Negative
1275,please label your postings better,Positive
1276,"i bought this laptop three years ago and never had a problem with it until recently, but then the sound started to go, and i contacted the maker about it, and unlike microscoft they have refused to get on line and take remote control of my computer and fix thee problem.",Positive
1277,but that was not the purpose of buying this laptop.,Neutral
1278,maybe i opened and closed it to much but this labtop lasted me around nine month and my two year plan with asurion speaks that nothing can be done.,Positive
1279,"it is almost unusable. | even the simplest of programs take a couple minutes to open up, and do not even think about running two apps at the same time.",Neutral
1280,i posted on acer's facebook page to explain this and they took it down within 5 mins.,Negative
1281,"the biggest pros about this are that it is cheap, lightweight and portable.",Positive
1282,trying to watch videos on it without some type of earphone is very hard.,Negative
1283,deducted a star for those amazing omissions. | will not work for gaming but is not sold for that purpose so no problem there but worth knowing about if you are considering this laptop.,Positive
1284,"the screen is flawless and sharp which is pleasant to look at when watching youtube videos. | overall if you need a laptop to do the basic things of internet browse, use apps like microsoft office this is just for you.",Positive
1285,"i was, like another reviewer here, sent the wrong color, silver instead of starlight but whatever, it works exactly as it is supposed to so it is a small loss.",Negative
1286,do not buy unless you want to use microsoft store products only.,Neutral
1287,i purchases this for almost 50%of during prime days and that is the only reason i am not completely upset.,Negative
1288,i am a software engineer and as you can imagine i spend a lot of time of the computer.,Neutral
1289,i received it without an activated windows operating system.,Neutral
1290,this one however hits just the right spot: perfectly portable and with as much power as you could possibly need on a laptop.,Positive
1291,"i use it for web surfing, email, microsoft office products. | i had purchased another laptop from a large retailer for 2x the cost and it crashed when i tried to move quickly through the program.",Positive
1292,"the laptop gets extremely hot just using microsoft edge and file explorer. | the battery does not last more than 1 hour when unplugged, it is really loud, the keys are too close together making it harder to type non-alphabet keys especially if you are a programmer, laptop is beautiful though.",Positive
1293,the internal wifi card is supposed to be a mediatek wi-fi 6 mt7921 (2x2) and bluetooth® 5.2 combo (supporting gigabit data rate) internal chipset.,Positive
1294,but i was pleasantly surprised i can play videos use my amazon prime netflix browse the web basically anything that i can do on my phone.,Positive
1295,"and let me say, the battery life is amazing, the rendering process for videos of photography (mainly what i used it for) is so fast, the weight of the laptop is so light, and overall just best for the buck.",Positive
1296,"not a big fan of microsoft but have had a lot of luck with acer products. | not sure i will keep it in s mode because of the limited software but so far so good. | microsoft issue again. | thanks, again microsoft.",Positive
1297,"as many others have posted throughout the internet, there are some annoying bugs affecting these new macbooks and others who upgraded to monterey os. | the trackpad often requires several taps to register your click even after trying all possible trackpad configurations.",Negative
1298,"like most of the other reviews, the backlit keyboard is nice, except in the daytime when it is difficult to see at times.",Positive
1299,i have a dell inspiron that cost 4 times as much and this acer will run circles around it.,Positive
1300,if you are a mac or pc windows os user good luck using a chromebook.,Positive
1301,"although, i did add an additional 4gb of ram to boost performance.",Neutral
1302,"this laptop came in s mode and it was impossible to get out of s mode. | asurion, acer and microsoft could not help in this matter.",Negative
