,Performance Sentences,Performance Polarity
616,i opted to add a 1 to had and 4 gb of ram.,Neutral
617,"the gpu typically has low temperatures and i can undervolt it, but the cpu can overheat easy and it cannot be undervolted.",Positive
618,"this was supposed to have an intel celeron 4020 popcpu, but instead has a worse mediatek cpu.",Negative
619,amd processor is outstanding.,Positive
620,"when i bought the computer it ran decent, but upgrading the ram was making it a lot faster(i believe that i have 32gbs in it but not certain could be 16gb).",Positive
621,always heard how great macbooks were as far as their construction and performance but did not believe the hype and figured they were just overpriced versions of the same old-same old.,Positive
622,"screen is decent, performance acceptable, sound ok, keyboard comfortable, internet connection flawless, battery life not test yet, form factor lightweight and price cheaper.",Positive
623,as it only comes with 4gb of ram i bought a stick of crucial 8gb ram to replace the 4gb stick with. | unfortunately access to the ram requires removing the back of the laptop. | so for about $60 more i added 8gb of ram and 240gb more of hard disk space.,Negative
624,the computer is quick to boot and programs load quickly.,Positive
625,"it has the latest 12th generation 14-core intel i9-12900h cpu, it has the latest nvidia geforce rtx 3080 ti gpu, it has 32gb of the latest ddr5 ram, and it has an extremely fast 1tb ssd drive.",Positive
626,price is great and the performance is snappy.,Positive
627,"i bought some extra ram, easy to install.",Positive
628,looking at getting 2tb 32gigs of ram!,Neutral
629,"although this one is fast, the fan is extremely loud and will start up even when there are no major programs running.",Positive
630,it boots in about 10 seconds (i have many programs and it loads then in 15 seconds aprox.,Positive
631,i just upgraded the ram 8gb to 16gb crucial ram and also 1tb sss crucial.,Neutral
632,overall pretty please with the performance and quality of this laptop. | i would recommend adding some more ram to complete the package.,Positive
633,"128gb ssd, amd ryzen 3200u, decent graphics card, backlit keyboard.",Positive
634,"this laptop may not be suited for very high performance tasks, such as film editing or gaming, but it can do it. | the hd is not large, and it could use some ram.",Negative
635,"exactly what i was looking for.. great graphics, nice and fast for gaming and the price is just right.",Positive
636,i will be upgradung the ram soon and installing another hdd.,Neutral
637,she was very happy about the performance overall.,Positive
638,"i ordered this on a one-day ""flash sale"", and i had the choice of intel or amd, nvidia, intel uhd or vega3 graphics.",Neutral
639,"surprised that for the amount of money i spent on this, it cannot run gta 5 on low graphics settings w/o bogging down heavily in several spots.",Negative
640,"edited to add: i have been primarily using apple products, including their laptops, and while i still keep up to date with windows products, i was very surprised by the build quality, and performance, of this dell 14” inspiron plus 7420. i was surprised to see people that were not happy, or had problems with their computers.",Positive
641,"i find its performance impressive because of the speed with which it accesses information on the web, email, and documents.",Positive
642,"works well in starcraft and i have not upgraded ram yet , so ya nice",Positive
643,"besides the low ram and storage space which can easily be upgraded, this computer should meet all your needs.",Positive
644,"i was looking for something similar to a netbook but i wanted more performance, a better touchscreen and keyboard and, more than everything, speed and storage.",Positive
645,this laptop is fast and the gpu is it excellent for the games i play.,Positive
646,"also you can change the global settings from the nvidia control panel to force the computer to always use the rtx but if you do not some games will naturally choose the onboard graphics unit via the processor, so if you are having problems with framerate open up the settings and see what video device it is using.",Positive
647,"the low ram can be easily upgraded for under $30 and there is everything needed to add a 2.5"" ssd under the hood.",Positive
648,i owned a 2013 prior to this and vowed to get macbooks for their superior performance.,Positive
649,no problem with running multiple programs.,Neutral
650,"maybe gamers or programmers or professional need a different lap top.. but for simple people, it is perfect.",Positive
651,"keyboard lights up, programs load quickly, and while it is not a chromebook (crapbook if you ask me), it is light weight!",Positive
652,bought this over two years ago and it still works consistently with no noticeable degradation in performance.,Positive
653,i maxed out the ram to 16 gig and installed a 1 tb ssd in the open bay as soon as i got it.,Neutral
654,they are master programers so they know more about computers than i .,Positive
655,"however, i did have to upgrade the ram from 4gb to 8gb to make it work even smoother. | chrome is really a ram hogger.",Positive
656,fast processor and i added some ram.,Positive
657,"the amd ryzen 3 processor is not necessarily the fastest around, but it is certainly sufficient for most every day use and works well with linux. | it is my opinion that this laptop performs much better with it is ryzen cpu on linux than on windows 10 home version 1903. it appears that the cpu is less taxed and that memory usage is lower.",Positive
658,laptop ha not disappointed yet stays cool on high settings and extreme performance on apex no complaints from me glad i made the purchase,Positive
659,m1 max is really ultimately fast cpu!,Positive
660,"i upgraded the samsung internal ram memory to 8gb for about $25, i highly recommend doing this.",Positive
661,the ssd and amd ryzen processor make it lightning fast.,Positive
662,"great value, very lightweight, good battery, and smooth performance for internet and school applications.",Positive
663,"i am not an expert so i am not going to delve into specs and whatnot but 4 ram is a bit low (you can start noticing it when having multiple tabs of a navigator and running a couple financial softwares in the background, although still very decent performances) and looking at youtube video to upgrade the ram looks annoying and i would hate to break of the back frame or that battery connector.",Negative
664,"it is thin, very nice looking and the screen is large and graphics look great.",Positive
665,"moderately serviceable under the hood, with one ram stick being soldered on (4 gb). | i have actually gone into the bios and unlocked the processor to get full access to the performance of the 5500u and it is impressive, i have run diablo 2 resurrected at a very playable (although not great) frame rate and even managed some halo infinite at 30fps at lowest settings.",Positive
666,occasionally i travel and play games on it (league of legends and world of warcraft) and it runs those just fine too (wow on lower graphics settings).,Positive
667,no complaints about this laptop except that the case was very hard to open without risking damage to plastic casing when trying to install more ram.,Positive
668,"this laptop is an absolute steal whatever game i throw at it it handles no problem, the most taxed i could get it was when i was playing 7 days to die on the highest i get a good 55-70 fps but my cpu temps on a black flat wood desk is 90° which makes me uncomfortable but with the back of the laptop proped up with a piece of wood and some adjustments to the fans it maxes out at 85°c i would recommend a fan stand but for other games it hovers around 80° which is fine for the cpu everything else about the laptop is fantastic well i cannot actually review it as a laptop as it barley leaves my desk so the weight does not really matter to me but over all this laptop is a great steal",Positive
669,i do not even have the option to close down the program.,Negative
670,"i must say first, however, that i have not even tried booting it up with the stock 4gb of ram installed. | 4gb sounds like enough, but this laptop uses up 2 of those 4gbs for the on board graphics. | that is simply not enough for windows 10 in 2020. i installed an extra 4gb stick (which was quite cheap) leaving me with 6gb of usable ram, and its been very snappy.",Positive
671,"great budget laptop, the only thing i did was replace one of the 4gb ram sticks with an 8gb stick and it runs like a top, no complaints at all.",Positive
672,"took a while setting up windows 11 but the performance was great. | for users that would like to run games or do graphic designs or any other storage/ram consuming tasks, i would highly recommend purchasing ram and either a 2.5 ssd as it comes with an extra slot to put one in or another m.2 with higher storage as it would be a necessity since 128 gbp of storage would definitely run out fast.",Positive
673,"wonderful, if you add an ssd and more ram. | i put a samsung ssd and kingston ram and its flying.",Positive
674,i installed linux ubuntu on it and upgraded the ram.,Neutral
675,i bought an extra 4g of ram to upgrade and it is a beast when i have multiple windows and programs running.,Neutral
676,this could be from windows 11 or just not enough ram. | i looked in task manager and saw my cpu at 100% use and all i had was google opened. | so the same day i opened up the back and saw a free slot for a stick of ram and a hardrive addon that comes separately for more space. | well i bought me a 4gb ram stick and a new internal ssd with 1tb storage that i reinstalled windows on (windows 10 because i prefer it.,Positive
677,i added 16 mb ram.,Neutral
678,screen is nice and big so it also works really well to watch your favorite programs.,Positive
679,"it is fast and quiet, and runs games from playstation (ps now) incredibly well and can be easily upgraded in ram size which is not expensive so that is great.",Positive
680,fast with the 4g of ram but the storage is small and there is no touch screen.,Negative
681,answer is unacceptable as is acer aspire 5 performance.,Neutral
682,"upon inspection i did not liked the choice of colors too much, but its performance is unbearable at this price.",Negative
683,"picture is great, i added more ram and brought the total up to 64 gb and have had no issues as of yet.",Positive
684,"on a game like drg or doom, frame rates run about 170 fps, it has a cooling boost, so it does not have the heat issues that many are reporting with gaming laptops.",Positive
685,"great laptop for the price, i kept the original m.2 for now but added a second ssd and 16 gb of ram, took it out of s mode and could not be happier. | mostly use for learning programming but added a few games and it runs them decently it is not a gaming computer but it does alright.",Positive
686,"after adding more ram & 2nd drive, the laptop performs super well.",Positive
687,the computer was fine in terms of performance -- except for two problems i had from the start: 1) the fan kept coming on and the computer's plugged in cord pack (not sure what it is called) would get really hot.,Positive
688,very nice build quality and performance especially at this price point.,Positive
689,bought this for my brother laid up with back surgery-easy to work great graphics and definitely user friendly!,Positive
690,"speed is excellent , graphics are excellent .",Positive
691,"while the price was enticing, the performance of this laptop was very deceiving. | by the time i had realized how poor the performance was - it was too late to make a return.",Negative
692,"slim and light, upgradable ram and storage, fast ssd, 15"" 1080p screen, and long battery life, this machine has great value. | i have already upgraded to 12 gb ram.",Positive
693,i see in comments people talking about how to add ram or whatever.,Neutral
694,i have never had that problem with intel processors.,Neutral
695,i added 4 ram for extra speed for 19 bucks.,Neutral
696,i also do some programming on it.,Neutral
697,my hands cramp constant as i type and i cannot get a bigger/better computer because of how much i have already spent.,Positive
698,"i bought it when it was on sale for $200 in feb 2021, and while i certainly feel like i got more than i paid for, it is never going to be a high-spec gaming rig or workstation -- it has 4gb of ram and a dual-core cpu.",Positive
699,sturdy metal frame and vibrant screen.,Positive
700,"while you have the back cover off, i would also recommend upgrading the ram as 4gb is not going to cut it with windows 10. there are two slots, i bough a second stick of ram to get it up to 12gb total (8gb + 4gb) and threw it in at the same time as the hdd.",Neutral
701,instagram videos do not playing no matter what settings i change.,Neutral
702,i upgraded ram and memory.,Neutral
703,the laptop starts very fast with the ryzen processor.,Positive
704,"it very quick program access, takes a little time getting used to, but over all a good purchase",Positive
705,"the things that set this laptop apart from others in the price range are latest generation ryzen mobile processor, ips screen, nvme m.2 ssd, these are features found in much more expensive laptops. | the one weak point is the amount of ram at only 4gb, however that is easily remedied by adding another stick of ram to the laptop after buying it.",Positive
706,"i have used it primarily for e-mails, etc., as well as the microsoft word office 365 program, and it has more than met my expectations.",Positive
707,acer thanks for making the laptop easy to upgrade ram and to add a second ssd.,Positive
708,"for the price its great if your going to try and game like good quality high demand games it wont do so great but i didnt get it for gaming i got it for needing a computer on the go that i can move around and use for my drones gopro and car or whatever i needed cause lugging a gaming desktop around wasnt ideal and i have a very big and very heavy gaming laptop that i dont care to take around unless i plan on gaming on the go so this was a perfect cheap latop that would get anything basic i needed it for and i upgraded the ram to 32gb and put a 2.5"" ssd 1tb in it so i can upload my gopro footage and drone footage if i need to make room on the micro sd card and it works great the boot time is actually so fast its a little faster then my gaming desktop on a m.2. | great light weight laptop that has enough performance for me to browse multiple tabs at once and multiple programs running all at once with no problems and the 5g wifi is nice and fast i dont even use a ethernet, the price went up since i purchased it a year ago but its still cheap and works great i havent had any problems with it and putting in the ssd and upgraded ram was very easy and straight forward i dont use it everyday all day like some but so far its been doing its job",Positive
709,for the price the performance is great and i love the back lit keyboard.,Positive
710,i upgraded ram and memory.,Neutral
711,"this is a good laptop, it is fast to boot up and fast over all, ive had some problems with it but that is probably just because of 4gb of ram , its not too heavy and the screen is good",Positive
712,"the battery life is great, the graphics are phenomenal.",Positive
713,"the software is impeccable, the processor speed is phenomenal.",Positive
714,"it is quite fast - the only slight bottleneck is the 4gb of ram (only if you use a ton of chrome tabs and videos), so i upgraded to 8gb for $38.",Positive
715,"i felt how light it was and i thought to myself, there is no way i can get performance out of this thing. | i upgraded the ssd to a 900gb and put another stick of ram in and i can run *wow* on high settings!",Positive
716,"actually, it is the frame itself. | when i am working in word, excel, or any program the cursor will jump to different cells or actually anywhere.",Neutral
717,"amazing for anything you want to do, gaming, graphic design, school, portable and with really good processing power and graphics its insane how it is only $300 where it is better than some $900 laptops",Positive
718,"i really liked the feature set, in particular the 8 gb ram, and a backlit keyboard.",Positive
719,everything look amazing but ram 8gb.,Positive
720,as well as another 4gb stick of ddr4 ram.,Neutral
721,"it was easy to convert from the supplied w10-s to w-10 home operating system, the supplied cable and mount made it easy to add an additional ssd, and i also doubled the supplied ram while i had it opened up.",Positive
722,"they should not restrict functionality of the program which is already installed unless you install an update to that program. | if i want to turn on super battery i should not have to figure out that an update is required, close the program, update it and restart the computer.",Positive
723,"it is such good quality because i can use this for several years and it matches my needs, like programming and designing and best of all it is at an affordable and decent price. | it is sturdy and has really good performance. | this is a decent price and has good performance.",Positive
724,"cut and paste from the item i purchased: ""lenovo ideapad 3 14 laptop, amd ryzen 5 5500u, 8gb ram, 256gb storage, 14.0"" fhd display, amd radeon 7 graphics, windows 10 home, abyss blue"".",Neutral
725,purchased on sale for $250 and added an extra stick of 4 gig ram for another $20.,Neutral
726,battery life is long lasting i must add and the graphics quality is exceptional.,Positive
727,"this acer has blown me away with the performance, screen quality & battery life.",Neutral
728,i played some dota 2 (not a graphics intensive game) on it on medium settings without any issues.,Negative
729,i bought a second memory stick (ram) 8gb.,Neutral
730,"the good part about it using the play store is that i can still download the various microsoft office programs, rather than having to add them to the browser. | a pc with 4gb ram is not going to move as quickly as this little guy. | it responds as quickly when opening programs as my 8gb pc laptop.",Positive
731,glad i went with the m1 and not the intel processor.,Positive
732,"the gaming performance was admirable for the specs, and it felt like a good build.",Positive
733,the laptop actually helped me fix it via diagnostics program.,Neutral
734,"fast boot up, great 1080p resolution, expandable (added 4gb additional ram and a 1tb hd) and great value for it is $365+tax price point.",Positive
735,i have ordered another 4 gb of ram for it but after using it for a bit it feels unnecessary.,Negative
736,she is a programmer and needs a computer that can compile code.,Neutral
737,"this computer has nice graphics, is really fast and looks really nice.",Positive
738,"processor is more powerful than most users will need, but i like having extra processing power.",Positive
739,"upgradeable memory and storage with a decent cpu running radeon vega 10, that is a solid deal.",Positive
740,"and we are loving it, the graphics are great, sound quality is pretty good and there is a mic and webcam too.",Positive
741,my daughter had to get a laptop for college ..and it had to able run google classroom and another program..but she loves it,Positive
742,"system cdnt even run one single trading program, froze multiple times and caused me to lose lotta money!",Negative
743,"system cdnt even run one single trading program, froze multiple times and caused me to lose lotta money!",Negative
744,"after numerous attempts, it will not boot an install of windows 7, and frankly, its nearly worthless to me without it...i even went as far as creating a custom windows 7 disk with nvme, efi and gpt, that one installed but would not boot past disk.sys...all newer versions of windows have ridiculous amounts of privacy invasion built it and they are not to be trusted...the screen quality is good but it has been flickering every time i turn it on since i got it...on gaming it seems good for about 15 minutes, then it starts dropping frames like crazy making it unusable...i did not purchase it for gaming but it came with a free trial of xbox live so i gave it a shot...after hours of fighting updates on xbox live, it finally downloaded dirt 5 and it played perfectly...for 15 minutes at a time...that was with graphics settings on the game on automatic, obviously it did not adjust automatically and i was not interested enough to fight it with manual settings...all in all, i wish i had bought something that could run windows 7...i find myself using my 12 year old dell to do stuff often because with windows 7, it actually gets it done...on this thing, it feels like i spend more time trying to get it to work than i do using it...",Positive
745,the amd ryzen 3 3200u cpu packs a good amount of processing in its two cores and two threads per core.,Positive
746,great laptop.i upgraded mine with 1tb ssd card and 2x 16 gb sdr ram.fast great for games,Positive
747,"the keyboard is magnificent, the position of the keys is just what you need, the noise it makes when you type it is not annoying, it has lighting which helps you a lot when using it in low light, it is programmed to turn off if you do not use it which is good if you are watching a movie, reading or watching videos on youtube. | in terms of performance i can not add much, of course the programs i use because i do not consider them something that requires too much resources from the processor, it is worth mentioning that i chose the laptop with an amd ryzen 3 3200u dual-core processor 2.6ghz. | i consider it a laptop for normal day-to-day use, to perform tasks in excel, to do documents, to browse the web, are things that make them very easily the solid state disk (128 ssd) allows you to open programs with very easily, even with the basic specifications you will have a very good performance and speed, i have installed autocad 3d which is the program that i normally have installed on my macbook pro and it turns out that it runs without any complications.",Positive
748,added another 4gb but only 5.8 gb is available to the system as the graphics card takes some of the ram,Positive
749,"performance is ok if you are doing web browsing, light coding (at least pycharm and rstudio work well but i cannot say the same thing about android studio) or other ""ms office work "".",Positive
750,i chose to add a 500g sata hard drive as well as upgrade to 16gb of ram.,Negative
751,add 4-8gb more of ram and a 1tb hard drive (easy enough to do) and this laptop will give you just about all you need short of medium-hard gaming.,Positive
752,these are all the pics i have to prove but i have been able to run rust on a solid 80 to 120 frames for 2 days and have not been exposed to any issues valorant is capable of pulling 200 plus frames with the right monitor if you are looking for a pc but on a budget i would recommend this laptop,Positive
753,"ram can easily be upgraded and adding a 2.5"" ssd allows for additional memory over the 128gb included on the computer. | the keyboard is comfortable to type on and as a bonus still includes a full numpad even if it is a bit cramped.",Positive
754,great quality and graphics.,Positive
755,adding more ram woke it up a lot. | better overall performance.,Positive
756,i have an external 8 tb connected and anything new saving on as well as installed 16 gb of internal ram which has helped the processing tremendously and is rather fast.,Positive
757,"halo infinite does not have the greatest graphics on this thing and i dont mean ""ooo the resolution is too low"" or ""the gun is a bit too blocky"" i mean the game's dynamic range is terrible, the lights are way too bright and the darks are literally bordering on black, in the included picture, that structure is a pelican dropship but you wouldnt know that looking at this picture unless you knew what it was beforehand and knew what to look for.",Negative
758,i chose to add an additional 4gb of ram and a 2.5” ssd. | ram and ssd installation were extremely easy.,Positive
759,"he writes papers, does research, even has several windows open at a time, with no slow down in performance.",Negative
760,i recommended adding a $25 4gb stick of ram to utilize the ryzen chip's dual channel technology.,Neutral
761,best gaming laptop i ever purchased other laptops i compared with the same specs did not come close either its lower graphics or gigs or an older generation or lower core inside.,Positive
762,"i like the screen size and the fact that this is quick for having a lower tier cpu. | over all, this is a really snappy machine and i am pleased with it is performance.",Positive
763,the battery performance was expected to be more but it has same battery time as previous versions.,Positive
764,"i purchased this for basic programming (javascript,css,html) and browsing and it works great!",Positive
765,i will be adding music programs to it soon.,Neutral
766,only thing cant quite figure out is why it says my graphics card is out of date under wow log in.,Positive
767,added 4 gb ram.,Neutral
768,this is in theory an amazing gaming laptop because of the graphics card but when try to use it with a monitor it lags so hard,Positive
769,"i would just like to note that this model only has one ram slot, not two, as the q&a answers from acer have stated. | however when you take the back cover off, there is only one ram slot on the motherboard. | i do not mean one free ram slot, just one slot, period. | my guess is that earlier models did in fact have two ram slots, but since amazon mixes models together on the same product page, it can be impossible to know exactly which model someone is talking about. | whatever, it is what it is, just know that this particular model a515-46-r3ub only has a single ram slot. | i do not even know where the other 4gb module is, maybe soldered onto the motherboard elsewhere, but i looked everywhere and i could not see any other places to put a second ram module. | i am not a computer expert by any means, but i am a software developer and i have built my own pc from motherboard up, so i know what a ram slot looks like.",Positive
770,this is a lovely little workhorse that is extremely light weight and thin and the graphics are beautiful.,Positive
771,it is a gorgeous machine that can run every game i have thrown at it with top quality graphics.,Positive
772,this laptop can also be upgraded with additional ram and ssd drive.,Neutral
773,"the laptop works great, feels and looks amazing, for everything from gaming to doing cad or other programs. | however the worst part is even with all the battery saving and performance lowered to minimal it never gets more than 2hrs of battery life when being used lightly.",Positive
774,i installed some programs and they run perfectly. | the program is rstudio,Positive
775,"fans are loud as an jet engine but after undervolting cpu with turbo disabled and underclock gpu, it is not that loud.",Neutral
776,i would strongly recommend to upgrade the ram by adding another 8gb for a total of 16. i went from getting 40-60fps in destiny 2 to 60-80fps after the upgrade.,Positive
777,i figured that i would buy it with an eye toward upgrading the ram and adding more storage.,Positive
778,"i do not game or do anything heavy-duty, and i did upgrade to 8 gb of ram though.",Positive
779,easy to add in extra ram and memory to make it even better.,Positive
780,the screen is crystal clear and great graphics.,Positive
781,cannot imagine it had any horse power to do anything heavy graphics duty wise.,Positive
782,"a few issues but an amazing laptop, once you upgrade the ram.",Positive
783,"even the simplest of programs take a couple minutes to open up, and do not even think about running two apps at the same time.",Neutral
784,the ryzen 3 processor cannot support virtual backgrounds so you will not be able to blur your background for meetings.,Positive
785,this laptop has greater performance than many others for this price.,Positive
786,it is a nightmare trying to find a laptop that has a discrete gpu and 2 ssd slots but is not full on gamer.,Negative
787,now not even another drive/ram cards or anything will fix the problem.,Neutral
788,i had purchased another laptop from a large retailer for 2x the cost and it crashed when i tried to move quickly through the program.,Positive
789,"the battery does not last more than 1 hour when unplugged, it is really loud, the keys are too close together making it harder to type non-alphabet keys especially if you are a programmer, laptop is beautiful though.",Positive
790,i did add more ram but piece of cake to do,Positive
791,"next, the 16 gb of ram, it is configured in two sticks of 8 gb. | so, if one (like i did...) buy another single 16 gb ram stick expecting to upgrade to a total of 32 gm of ram, nope. | your final tally will be 24 gb of ram (8 gb (stock) + 16 gb (new) = 24 gb of ram).",Positive
792,the graphics card crashes in the same amount of time where i have to restart the computer because my screen is just left black and theirs nothing i can do to fix this.,Negative
793,i need to add a little extra ram but the overall quality for the price is very surprising it can handle just about anything but the screen itself is a little dim and that is the only drawback and i very cheaply priced overachieving gaming machine,Positive
794,"i got this computer for my programming classes at college and occasional superlight gaming and i would say i am very surprised with the performance and quality of this laptop. | the color of the laptop is great and looks fantastic and the hardware performance is better than i expected and for the price, you could really not ask for anymore.",Positive
795,"got this laptop a month ago, works great on highest graphics settings in heavy games",Positive
796,i deem it as a budgetary gaming laptop since it only has an intel i3 cpu and 8gb ram.,Neutral
797,"although, i did add an additional 4gb of ram to boost performance.",Neutral
798,i am a computer repair technician and i bought the base model (ryzen 3 w/4gb of ram and a 120gb ssd).,Negative
799,i have an external 8 tb connected and anything new saving on as well as installed 16 gb of internal ram which has helped the processing tremendously and is rather fast.,Positive
800,i am overwhelmed by the quality and performance of this acer laptop.,Neutral
801,i purchased for work at home position and does a good job of keeping up with many programs open at one time.,Positive
802,my only complaint is that i will have to upgrade the ram because the 4 gb gets overrun pretty easily and it causes the computer to slow down a bit.,Negative
803,"exactly what i expected from a ryzen 3 laptop, perfect for me as a student currently doing a cit program.",Positive
804,i do not think you can this gpu at a cheaper price when it comes to laptops.,Neutral
805,temps can get a little high when running games on highest quality (fans are also a bit loud) but overall it is a very crisp and fast laptop that is more than capable of playing demanding games and handling the college level programming for my classes.,Positive
806,i bought this computer bought 8 gb of ram upgraded it to 12 gb of ram and am extremely happy with my computer runs hulu spotify 5 tabs of internet explorer and a couple other games just fine all at the same time,Positive
807,"after spending an additional 30 dollars for an extra 8 gigs of ram, this laptop is great. | without the ram upgrade this would be a 3/5. | but the ram upgrade is cheap and very easy, and 4 gb simply is not enough in today's day and age.",Positive
808,"fantastic machine, quite possibly is the value thing on market due to the gpu market.",Positive
809,it runs smoothly and can run many of the programs you throw at it.,Positive
810,"this model was appealing because (1) it has a 1080p display, and most cheap laptops still have 768 line displays; and (2) it uses a decent ryzen cpu, which is pretty fast and low-power compared to some celeron cpus you still see out there.",Positive
811,this laptop performs as i would expect and the cpu has enough power to make using it an enjoyable experience for most tasks.,Positive
812,the gpu is the 85 watt variant.,Neutral
813,"this new micro, the m1 series is amazing, run fast, no lagging, and with the rest of the integrated masc hardware i am fascinated with the performance, no matter i am just writing a book or editing videos on premiere, or even making a complex podcast with audition or reaper.",Positive
814,"it is a very small hard drive so cleaning out unneeded programs is important, but if you do not know what the programs are for, it is a big job. | ram mystified me. | hardware ate up a half gigabyte when it had 4 gbs ram. | i added another 4 gbs ram and the hardware then ate up 2 gbs. | from other reviews, i understand no matter how much additional ram you add, the hardware gluttony halts at 2 gbs. | but if hardware could operate on half a gig when it had 4 gbs ram, why would it require 2 gigs when the ram is 8 gb? | i added the exact same ram stick as the manufacturer's used, so that was not it.",Negative
815,8gb ram is more than enough.,Positive
816,i am absolutely inlove with the amount of customization i can do with the cpu boost speeds to get the perfect balance of speeds and temps. | i am currently getting around 90-110fps on escape from tarkov and cod mw (2019) with maxed settings without going above 85degrees on the cpu.,Positive
817,"i was going to go with an alienware laptop i saw, but this one was quite a bit cheaper with a newer processor. | i like how i can change performance based on what i am doing bit havent used that feature since it is so fast out of the box.",Positive
818,it really isnt bad for gaming but big title games that involve crazy amount of energy and performance this is no good. | what would also help (i have not done this just yet) get another 4gb or 8gb ram. | extra 8gb ram (30ish bucks) so overall this laptop does what i need it to do.,Negative
819,i upgraded the ram to 16g and it became a different animal.,Neutral
820,the computer is quick to boot and programs load quickly.,Positive
821,"the text is still crisp, and the graphics are excellent.",Positive
822,not sure if it can handle true gaming being it only has 4gb of ram.,Positive
823,512gb is simply no enough hd space in 2021. you basically have to completely disassemble the internals of this to simply add hd space or ram.,Positive
824,"the cooling system is very inadequate for the thermals this laptop has, the gpu is limited to 85 watts but you are not going to be able to max it out because the cpu is so cooled so bad, that it will start throttling before you can load the gpu to 99%. | the 144hz screen is wasted, the laptop cant run games at 144 fps because the cpu is so heavily throttled, you will be using this laptop with cooler boost on all the time which makes it very noisy. | i compared this laptop against the lenovo legion 5 with a 3060 and the lenovo gives you more fps with a lower tier gpu because the cooling system is way beefier, you can get better performance for less money.",Positive
825,"i was looking for something with an amd processor, 4-8 gigabytes of ram, an ssd, and a nice lightweight design. | the ssd is amazing and makes the desktop experience multitudes better, even with a low end processor.",Positive
826,"it is well equipped to do non-business related activities and would probably be ok for more intensive memory programs, but we do not use it for that.",Positive
827,i do not really use it to run apps or thirsty programming.,Negative
828,i have not started with graphic design as of yet (my next moderate purchase is a good graphics tablet) but i have been using it for gaming and literally everything else it is superb.,Positive
829,not enough ram to do anything.,Neutral
830,laptop is fast thanks to the great processor.,Positive
831,advertised cpu speed is 3.5 ghz and realistic speed is 2.10 ghz.,Positive
832,with a ram upgrade you can improve performance.,Neutral
833,the gpu and cpu come at a competitive price point that is far better than their competitors and the sleek design is a big plus too!,Positive
834,"the battery life is long, the processor is fast, 256gb storage is okay for some.",Positive
835,"i am an interior design student that needed a computer for adobe and autodesk programs, sometimes multiple at the same time, while having a browser open.",Neutral
836,good graphics.,Positive
837,laptop says 8gb of ram but when is operating only uses 5.7,Neutral
838,once you take your time removing the bottom cover you have access to 2 ram slots 1 which is populated by a 4gb 2666mhz stick.,Neutral
839,"battery life is long, easy to learn and graphics are amazing!!!",Positive
840,"i use it to program on unity 3d and it works like a charm after installing an extra 4gb of ram! | the battery life lasts for about 4-5 hours, but if you are going to do some heavy tasks for awhile like photo editing or 3d modelling, i would suggest keeping the laptop plugged in since it also gives it a boost in performance when plugged in.",Negative
841,after setting up and transferring all programs to this laptop i began to add the ssd.,Neutral
842,i played some dota 2 (not a graphics intensive game) on it on medium settings without any issues.,Negative
843,"i was looking for something with an amd processor, 4-8 gigabytes of ram, an ssd, and a nice lightweight design. | the ssd is amazing and makes the desktop experience multitudes better, even with a low end processor.",Positive
844,"it has a comfortable keyboard, respectable i/o (usb 2 on the right side is questionable but i just use it for a mouse anyways), fantastic chipset, and is pretty easy to diy upgrade, i upgraded mine from 8 to 20gb of ram.",Positive
845,the amd ryzen 3 3200u cpu packs a good amount of processing in its two cores and two threads per core.,Positive
846,i opted to add a 1 to had and 4 gb of ram.,Neutral
847,i added 4 ram for extra speed for 19 bucks.,Neutral
848,found it here and jumped on it for my son who is going into the ece program and needed this level of performance.,Neutral
849,"a bit slow though at the start, had to upgrade the ram to 12 gb which helped.",Negative
850,i can run halo infinite 45-50 fps with all graphics settings on high.,Positive
851,"puchased this laptop because the gpu market is ridiculous, and it is impossible to get a graphics card for under $1000. | still, for less than $1500, you get a decent laptop, with mobile rtx 3060 performance.",Negative
852,"if you want a high-performance laptop for gaming or design this is not for you, this is for a house computer.",Neutral
853,the gpu is horrible and causes video to lag any time it starts getting a little warm.,Negative
854,integrated graphics can run many games at 720p 30+fps,Positive
855,but graphics looks great and fun to play on.,Positive
856,i will be adding music programs to it soon.,Neutral
857,i upgraded with another 8gb stick of ram and a 1tb nvme.,Neutral
858,it really isnt bad for gaming but big title games that involve crazy amount of energy and performance this is no good. | what would also help (i have not done this just yet) get another 4gb or 8gb ram. | extra 8gb ram (30ish bucks) so overall this laptop does what i need it to do.,Negative
859,quality and performance of computers in big box stores that are double or triple the price of the acer.,Neutral
860,"i felt how light it was and i thought to myself, there is no way i can get performance out of this thing. | i upgraded the ssd to a 900gb and put another stick of ram in and i can run *wow* on high settings!",Positive
861,i am not going to waste any time going through things like performance benchmarks here.,Negative
862,"super fast download and program load speed, i would definitely recommend!",Positive
863,the processor is not too good for like most gamecube games or xbox but definitely can run n64 no problem!,Positive
864,"great formfactor, keyboard, screen, trackpad, ports, and performance.",Positive
865,"the quality and feel of this laptop is definitely top notch, also the performance for gaming which is what it was intended for is great.",Positive
866,"there is a lot of internet issues with it, not my internet my internet is good but the wifi card i think it is called is so bad, i am having a lot of problems with games and stuff just please buy a computer and a desk, my fps in games and stuff i do not know why it is bad, i would wake up than some of my games fps would be weird, i think i need to clean it i do not know, plus if you are playing a game with high fps graphics etc.",Negative
