,Audio Sentences,Audio Polarity
387,"it worked very well, albeit the fan sounded a little noisy.",Positive
388,the sound volume is very poor.,Negative
389,speakers could be larger. | the sound is adequate but using blue tooth speakers or headphones / buds is advised .,Positive
390,i also like the fingerprint reader and good full sounding speakers and decent webcam.,Positive
391,zoom works great and the sound is awesome.,Positive
392,sound is good quality but quiet.,Positive
393,"after using the laptop for a while, when i would open it, i heard a cracking sound more and more, and now, approximately only two years later, it will not close fully because the plastic that holds the screen in one area has warped and separated from the screen.",Positive
394,"i could press it back down, but it sounded like it was only being held by some cheap glue.",Positive
395,"functions very well, my only gripe is the speakers, not consistent for certain functions.",Positive
396,the speakers are not bad. | you just have to use the msi nahimic audio tools to increase bass and or the surround sound.,Positive
397,i bought it to replace our old laptop whose speakers started messing up so we could not watch my son’s school videos.,Positive
398,"everything about this computer is very good except for the low volume of the sound. | i am not talking about quality of sound but the actual volume. | (i have an entry level toshiba that has horrible quality sound, but it is loud.) | of course, it does not help that acer put the speakers on the bottom, yes, the bottom of the unit. | would it have really been that more expensive for them to make the sound louder at 100%?",Positive
399,"the speakers are alright, but i do not mind since i use my bluetooth headphones with it.",Neutral
400,"and we are loving it, the graphics are great, sound quality is pretty good and there is a mic and webcam too.",Positive
401,"the picture is crisp and clear, it has great sound, the keyboard is very comfortable and easy to read.",Positive
402,sound quality is decent for watching streaming videos - good at reproducing voices.,Positive
403,"that said if you are buying this for the built in speakers, look elsewhere they are not very good, just wear headphones... really.",Negative
404,my biggest problem with this computer is that you cannot hear anything from the speakers.,Neutral
405,"camara is meeh, average really, sound is really well, have not gotten any bsod yet so that is great, also love that i can turn on/off the camera.",Positive
406,screen is great so are the speakers.,Positive
407,"screen is clear/bright and large, set-up is very easy, sound quality is fine.",Positive
408,"right now i cannot get sound to play, but i am assuming i will figure that out.",Positive
409,"my two complaints are, 1) the windows product key was not properly installed so i was locked out of some feature and had an annoying activate windows text floating over all screens at all times, and 2) the speakers are not great.",Negative
410,"whoever designed this laptop is an idiot when it came to picking where to put the speakers. | so, if you plan on watching anything with sound, you are going to want another source for the sound.",Negative
411,i have just started my own business - www.maeerasstudio.com - as a narrator and so far have been impressed with the sound quality this laptop puts out!,Positive
412,"the only draw back for this product is that the speakers are very low, possibly because they are at the bottom of the device. | i gave it 3 stars because of the location of the speakers.",Neutral
413,"other than some minor gripes relating to the low audio levels out of the box, like less than a smartphone levels, i am very satisfied with this purchase. | i did some tinkering with the sound drivers and managed to get it to play acceptably loud.",Positive
414,it seems acer always rips me off when it comes to damned decent speakers that last a long time.. i have had this thing a year one speaker dont work other cracks... if you want something with decent sound pass,Positive
415,the speakers are bottom mounted which lowers the sound output but nonetheless it is sufficient for quiet room viewing of netflix or youtube.,Positive
416,"however, the speakers are somewhat lacking.",Neutral
417,"the audio is so low, you can barely hear anything when watching something or on a video call (who is bright idea was to put the speaker at the bottom of the laptop). | and if you use the computer for a long period of time the audio gets very staticky and you cannot hear anything, again horrible when that happen on zoom.",Negative
418,turn the sound up to 100 and could not hear either one of them. | had to plug in extra speakers for both!,Positive
419,"right now i cannot get sound to play, but i am assuming i will figure that out.",Positive
420,i am very happy with screen quality and size as well as the sound quality.,Positive
421,"it is not a gaming computer and the internal speakers are low, but a cheap external speaker fixes that.",Positive
422,speakers could be a little better but everything else fpr the price well overshines that,Positive
423,the sound is great (it actually can get obnoxiously loud if you are into that).,Positive
424,"a nice, lightweight computer with beautiful screen and nice sounding audio speakers.",Positive
425,"this acer laptop was the worst, sound system was terrible, you can barely hear it even if you turn it up to the max, the mouse pad and keys were unresponsive, cannot adjust the settings, etc.",Negative
426,the sound could be a little louder however.,Positive
427,"so, overall good speed and graphics but bad sound, bad keyboard lights and extremely bad cooling.",Negative
428,"do not know how it will hold up but it is all i could have asked for so far, except really poor speakers. | have not tried bluetooth, but use of headphones is solution to terrible sound volume.",Negative
429,"graphics are just amazing, as is the soundcard.",Positive
430,"the sound is not super loud on the speaker, so she has to use headphones.",Positive
431,the sound is not the best but that is easily remedied with headphones.,Positive
432,the only negative comment i have is the speakers are not loud enough even turned up all the way sounds like it is low.,Negative
433,the sound is awful .,Negative
434,"i purchased two of these laptops for school however 2 months after purchasing the webcam stopped working,i at first ignored it however the sound then proceeded to stop working as well.",Positive
435,"the speakers are located on the bottom side, which works for other laptops, but it requires the speakers have enough power to make it out from under the computer. | at it is loudest it sounds like a pair of headphones turned up- if i have got a fan going in the room then i cannot hear a thing.",Negative
436,great picture and sound.,Positive
437,the sound is surprisingly good but you will prefer using a headset for better ranges.,Positive
438,speakers are only ok. other than that it is a really good laptop.,Positive
439,the sound quality is pretty good for a small computer.,Positive
440,i was also surprised by the sound quality.,Positive
441,over all i am pleased with it however it needs speakers as the volume is very low and i attempted to upload my previous files from an external hard drive and this computer will not open any of my files!!!!,Positive
442,"the screen is bright and clear, sound quality is ok for the occasional video watched without headphones, there is no lag when using any ms office or other applications and wifi is strong and stable.",Positive
443,it is sturdy... the sound is amazing... the graphics are so clear and vivid.,Positive
444,speakers are not as good as expected.,Positive
445,sound quality is good too.,Positive
446,please note the sound is extremely low.,Positive
447,overall this laptop is a great purchase...the only downfall for me was the speakers are very low even at a 100% volume,Positive
448,acer sent it back having fixed the webcam and dpad but now the audio jack does not work and the computer that was nice and fast would loose a race against molasses.,Positive
449,"for example if i am watching youtube, granted it could just be the volume on the video, but the speakers dont seem to get as loud as i want.",Positive
450,"i did how ever notice some audio cues and problems with this device, it does not seem to have any base to it, so anything with higher pitch just cuts out.",Negative
451,the audio is terrible if you use the this laptop anywhere but on a hard surface as the speakers are on the bottom making it a poor choice for watching movies on the couch.,Negative
452,"my only gripes i have with this laptop are the speakers are mediocre, but a headset solves the problem.",Negative
453,"speakers sound great, not quite my girlfriends' $2800 macbook pro speakers, but absolutely fantastic on a budget laptop.",Positive
454,"works amazing for everything i do, screen quality is great, audio is pretty good, performance is amazing.",Positive
455,"the sound quality is terrible though, you must have an external speaker if you want to listen to anything without headphones.",Negative
456,"bought it in march and it keeps disconnecting from the internet, sound is absolutely horrible.",Negative
457,volume all the way up and it sounds like its set at a very low volume level.,Neutral
458,"nice screen quality, ok enough sound (could be a bit louder) for what you get for the price it is great value.",Positive
459,the only con i have to say about this laptop which is not that big of a deal to me is the built in speaker quality sounds pretty poor and built in camera is also pretty poor.,Negative
460,"was delivered to my us imaginary address, then forwarded by our logistics company outside the us, arrived safe and sound.",Positive
461,the fans are not too loud & the sound is excellent & clear.,Positive
462,"the screen is bright and clear, sound quality is ok for the occasional video watched without headphones, there is no lag when using any ms office or other applications and wifi is strong and stable.",Positive
463,"i love it, sounds great and looks great, has good memory and the camara quality is beyond amazing, take it from a youtube blogger.",Positive
464,the speakers are terrible - i can barely hear the volume when trying to watch a movie while doing dishes.,Negative
465,speakers are puny though and are located on the bottom front corners (corners closest to you).,Neutral
466,very good light computer sound quality is terrible though i do not use the speakers very much so i do not care,Positive
467,"honestly, this laptop would get a 5 stars for me if the sound was not so awful! | one of its special features was supposedly its sound and i feel pretty let down by it.",Positive
468,"picture quality is good and performance but sound quality is not soo good. | even putting sound up to 100 and going into properties n making adjustments, on a scale of 1 to 10. sound quality is a 5. so will be ordering a small speaker to be able to hear better.",Positive
469,this worked for me when all i needed it for was schoolwork and web surfing but my biggest initial gripe was that the sound volume was very low. | it was a necessity to download a sound booster and the scree was not very bright.,Positive
470,light and fast start but it sounds loud for fan for a moment.,Positive
471,i like this laptop over all but i will say i did experience my speakers to be a little muffled once when trying to watch a show on it but that was about it im going to try it out again and see if it happens again or i might want to return it but over all its nice good purchase.,Positive
472,if you just want a bigger screen but do not care about the hardware and crappy speakers are your thing.... we will look no further you find it.,Neutral
473,decent camera and sound for zoom.,Positive
474,the on thing that lacks on this is the speakers are herrendous. | at 100 volume it sounds like it is on maybe 15.,Neutral
475,speakers could be a little better but everything else fpr the price well overshines that,Positive
476,the sound on this is loud and did not static at all.,Positive
477,sound is a little low but i am super happy with it.,Positive
478,"sound quality was a concern. | if you prop the front of the laptop up slightly, not covering the speakers, the quality improves also.",Positive
479,how is rendering audio or video?,Neutral
480,it just sounds like im in a call when im really not with headphones.,Negative
481,"keyboard is back to pre-butterfly goodness, sound is great, and with a dock like the anker 7-in-1 you will not mind the port count.",Positive
482,"gorgeous screen, quality speakers, love that there is an sd card reader and lots of ports (unlike my 2016).",Positive
483,it is still under warranty but it sounds like that might be an issue with covid and shipping it to texas for repair.,Neutral
484,the speakers are horribly quiet very hard to hear!,Negative
485,the only negative that i can think of is the placement of the speakers. | the speakers are placed on the bottom and really muffle the sound so my volume is always at max.,Positive
486,this product works really well and i have not experienced any problems except that sound on this laptop is relatively low no matter how many times you play around with settings.,Positive
487,"the sound level from the acer is very low, even when set at maximum output.",Positive
488,"battery life, screen brightness, and audio are acceptable for a laptop.",Neutral
489,"the sound quality was a nice surprise - it has a decent amount of bass for tiny speakers, and the sound expands out like magic.",Positive
490,good speakers.,Positive
491,my only complaint is that the speakers are not that great.,Positive
492,i love except the sound/ speakers. | i have had to purchase speakers. | even at the loudest 100% i struggle to hear when not using the additional purchases speakers.,Positive
493,"nice screen quality, ok enough sound (could be a bit louder) for what you get for the price it is great value.",Positive
494,"sounds like alot but most laptops are 15"" inch with 2 usb a ports and no ethernet ports now.",Positive
495,if you just want a bigger screen but do not care about the hardware and crappy speakers are your thing.... we will look no further you find it.,Neutral
496,the speakers are loud and nice. | nice sound quality.,Positive
497,i like the larger screen and it does boot fast could go a little louder with the speakers.,Positive
498,i have tried to adjust sound but you cannot hear if you are not right in front of it. | even then the sound is very low.,Positive
499,"next, the built in speakers were improperly installed and the sound quality is terrible. | the computer seems to work alright and after a small adjustment the speakers work now but i wish there was some kind of quality control before sending this out.",Negative
500,"the audio is so low, you can barely hear anything when watching something or on a video call (who is bright idea was to put the speaker at the bottom of the laptop). | and if you use the computer for a long period of time the audio gets very staticky and you cannot hear anything, again horrible when that happen on zoom.",Negative
501,this product works really well and i have not experienced any problems except that sound on this laptop is relatively low no matter how many times you play around with settings.,Positive
502,the noise sounds like they are grinding metal inside the laptop.,Neutral
503,"screen is very bright, speakers are excellent, and keyboard feels great!!!",Positive
504,"the speakers are worthless, i had to purchase external speakers just to hear videos on the computer because even on full volume you cannot hear much at all.",Negative
505,the audio is terrible if you use the this laptop anywhere but on a hard surface as the speakers are on the bottom making it a poor choice for watching movies on the couch.,Negative
506,speed on this latest i3 is a marked improvement over last gen... speaker sound is much improved also... i have had two older models of this lenovo chromebook this is a big step up!,Positive
507,"silent running, no fan sound whatsoever.",Positive
508,(i do not mean to sound rude though.),Positive
509,its start up is super fast and sound isnt bad either.,Positive
510,"the only problem i have with it though is the speakers, which are not very loud.",Negative
511,the picture quality and audio is excellent.,Positive
512,the overall functionality of the laptop is good however the speakers are soft and sometimes the keyboard sticks.,Positive
513,screen graphics are very bright and sound quality is great.,Positive
514,the sound is great.,Positive
515,the speakers are ok as with the built in web cam.,Positive
516,the speakers for this laptop are underneath and hard to hear,Negative
517,first one i got the sound was going in and out but 2nd one works perfectly,Positive
518,if you just want a bigger screen but do not care about the hardware and crappy speakers are your thing.... we will look no further you find it.,Neutral
519,it has bluetooth so would be great to load music on it and play that through bluetooth speakers.,Positive
520,"windows updates also make cpu usage high and make fan go crazy fast, sounds like a airplane about to take off!.",Negative
521,its start up is super fast and sound isnt bad either.,Positive
522,camera and sound very good as i use it a lot for zoom meetings/classes.,Positive
523,the speakers are not excellent. | a number of their online lessons we could hardly hear the instruction so i did order speakers for it.,Negative
524,"just like the majority who says the sound is awful, it is.",Negative
525,i have had this inspire 5 laptop for 3 months... it ran ok out of the box... then i added a crucial 500 gigabyte ssd and two sticks of crucial 8 gigabyte ram... now this machine runs like a rocket on steroids... i have been running windows 10s since day 1... one gripe i have is the screen brightness... maybe acer will allow us to brighten the screen a little more in the future with a software update... the other thing that could be improved is the volume for the sound... the speakers are on the bottom front of the laptop and sometimes it needs a little more volume to heard...,Positive
526,the sound is not very loud and sometimes the cpu is slow to respond. | the quality of the sound is good though and the cpu does respond quickly most of the time so i cannot really fault the machine too much.,Positive
527,"second, audio is terrible unless you are wearing headphones.",Negative
528,"the audio is not the best, i wish it could go a bit higher.",Positive
529,"the speakers are great, very loud and full sound for a laptop.",Positive
530,it has worked perfectly and does not have the loud fan sound i read about re: some other models.,Positive
531,sound is crisp and clean.,Positive
532,"""s mode"" sounds nice, because of supposedly well designed with integrated software.",Positive
533,the speakers are very loud and the touch bar is a great addition.,Positive
534,at the start it was doing stuff like disconnecting from the internet and sound would not come out but it is all good now.,Positive
535,"the display and sound are to die for, the speed of the m1 silicon is amazing.",Positive
536,the sound quality is the best ive ever had in a laptop.,Positive
537,sound is good quality but quiet.,Positive
538,definitely needs external speakers.,Neutral
539,"i would say the only thing i did not absolutely love about it is the sound quality, it sounded very tinny/hollow out of the box and it took me a bit of searching to find the right settings to change that.",Positive
540,i like everything but the sound which was not that great. | i should have listen to some of the other reviews that had sound problems.,Positive
541,"the sound, however, is way too low. | but with this laptop i have both the laptop speakers and volumes on whatever i am watching (youtube, netflix) at 100 percent and still cannot hear well. | i do not recommend this laptop if you plan on watching a lot of videos or anything that requires sound.",Positive
542,the only con i have to say about this laptop which is not that big of a deal to me is the built in speaker quality sounds pretty poor and built in camera is also pretty poor.,Negative
543,my only issue is that you can barely hear anything through the speakers.,Positive
544,i do not points for poor camera and the speakers in a very loud.,Negative
545,the acer 5 is a fine laptop as long as you do not need to use the speakers (extreme low volume) or use wifi sharing (the shared wifi connection consistently suffers interruptions); ethernet is the only viable option for sharing internet connection from the acer 5.,Negative
546,"speakers are bad, but once you add nahemic drivers it gets better.",Negative
547,speakers sound great for a laptop.,Positive
548,my only real complaint is the speakers are wayyyy quiet.,Negative
549,if your worried about sound you should be okay.,Positive
550,"better speakers, screen, and battery.",Positive
551,very good light computer sound quality is terrible though i do not use the speakers very much so i do not care,Positive
552,"also, the speakers. | not very good speakers if i do say so myself. | one last thing... when i record myself on my camera that sound quality is not too hot. | it sounds a bit muffled a lot of the time.",Negative
553,the speakers are not loud enough to hear at all. | the speakers are 1/4 as loud a phone speaker.,Positive
554,"finally, the wifi symbol magically came back, and now, i cannot plug my headset into the computer and head anything from it.. i just continue to hear it out of the speakers even though it puts a prompt up to accept using headphones.",Positive
555,"it performs quite good and the screen/sound is very good. | not sure why there are so many ratings about the speakers being quiet, they seem pretty loud to me.",Positive
556,"this acer laptop was the worst, sound system was terrible, you can barely hear it even if you turn it up to the max, the mouse pad and keys were unresponsive, cannot adjust the settings, etc.",Negative
557,"this pc has nice picture and sound quality, and was easy to set up.",Positive
558,"for the price, i cannot even complain about the low sound quality, as external speakers are an easy option.",Positive
559,"only big drawback are the speakers, they are bottom firing which will be into your legs if it is on your lap and far too quiet if on a desk which is a bummer because otherwise this laptop is amazing for the price.",Positive
560,the sound is loud and clear.,Positive
561,"this laptop has some good features, the sound and screen are excellent.",Positive
562,cant use laptop without earphones cause the sound is very poor,Negative
563,"only big drawback are the speakers, they are bottom firing which will be into your legs if it is on your lap and far too quiet if on a desk which is a bummer because otherwise this laptop is amazing for the price.",Positive
564,"the speakers, which are located on the underneath and both sides, are just fine.",Positive
565,"the sound from the speakers is not that great, but i mostly use it with headphones anyways.",Positive
566,so now i cannot add my audio files to the computer either.,Neutral
567,i would recommend this laptop to anyone who wants a sound performer at a reasonable price.,Positive
568,"1. the audio is terrible...sounds like an crackly, old fashioned transistor radio",Positive
569,the screen is bright and the sound is great.,Positive
570,"exelent option , cheap, fast , lightweight, good image quality , no rare sound of coolers like i read before purchase.",Positive
571,laptop boots up quickly and i have no issue with the screen or sound quality you just have to adjust settings to your preference.,Positive
572,everything is very good except for the sound quality.,Positive
573,first laptop i have ever had with the speakers on the bottom. | makes the sound very dull and muted.,Positive
574,"love for the price, wish the speakers were louder but good buy",Positive
575,"pretty low on ram, no touch screen, it is tiny, no disk drive, sound quality is not the greatest either",Positive
576,"yes, the display looks nice and sound is really premium.",Positive
577,"....also there are no cap lock/num lock notifications, but turn on the sticky keys sounds and you will be fine.",Positive
578,but the sound is pretty bad. | hoping i can figure out a way to fix this without having to add speakers since i would like this to be very portable so my child can do school work on the couch or in his bedroom.,Positive
579,i will be buying an alternate sound system to use.,Positive
580,"silent running, no fan sound whatsoever.",Positive
581,the sound is not as good as a high end laptop but most people use headphones anyways.,Positive
582,"speakers sound pretty good, but they are on the bottom so they get distorted sometimes.",Positive
583,it is lightweight but the sound quality is lacking.,Positive
584,sound i s good !,Positive
585,"it is the same speed, same device, same screen, but it has worse speakers.",Negative
586,does sound loud at heavy loads but no issues with headphones on.,Positive
587,"battery life, screen brightness, and audio are acceptable for a laptop.",Neutral
588,"good quality screen, nice construction, speakers are meh in somewhat noisy environment, good battery life and able to get your windows work needs done.",Positive
589,"i like that this laptop is lightweight and it is easy to use; however, the speakers are on the underside, so even with the volume all the way up, the sound still is directed down.",Positive
590,sometimes the sound bugs out which is kind of frustrating but over all the laptop is good and big for a cheap price :),Positive
591,after a couple of days the only complaint is that the speakers are on the bottom.,Negative
592,this is supposed to be brand new and has very little sound.,Positive
593,it is i deal for school work and has a very large screen other that the audio this is the best laptop i have ever had.,Positive
594,the only con that i have found so far is that the sound is rather puny but connecting a cheap bluetooth speaker solves that issue.,Positive
595,the performance was abysmal and even the speakers sounded like crap - that is if you can even hear them.,Negative
596,the speakers are not loud enough but worth for projects and homework.,Positive
597,screen and sound is great.,Positive
598,"""s mode"" sounds nice, because of supposedly well designed with integrated software.",Positive
599,the speakers on this computer are awful!,Negative
600,"audio went out today, so really unhappy now!",Negative
601,"one thing i wanted to know before purchase was how the webcam is, the sound quality is good.",Positive
602,the overall functionality of the laptop is good however the speakers are soft and sometimes the keyboard sticks.,Positive
603,"however, 2 weeks later, the sound card (which was terrible in the first place) gave out.",Negative
604,"in first 10 minutes of use, the audio inexplicably shut off for some time... then came back ... but now i have lost the cursor entirely, even after two reboots.",Negative
605,speakers are a little quite if you plan on watching with the family.,Negative
606,you have to make sure you have speakers.,Positive
607,"sound needs to improve other than that, it is an amazing laptop",Positive
608,sound is better than expected.,Positive
609,"no hcmi, no sdhc memory slot for you camera memory chip, you need to buy adaptor for usbc and there are only 2 on the left none on the right only a 3.5 mm audio jack. | in addition when charging the unit there is no indication, no light no sound, nothing that lets you know it is charging.",Negative
610,two downsides: i cannot get zoom audio to work correctly so i have to switch to another computer for any zoom calls.,Neutral
611,"to use for any kind of application requiring sound, you need to be right next to it.",Positive
612,"this laptop has a superior display, superior speakers, superior camera and an excellent keyboard.",Positive
613,decent camera and sound for zoom.,Positive
614,but this low sound is a design defect. | asus used cheap speakers and placed them on the bottom of the laptop. | sound is always muffled and low. | other than the sound i really love this laptop.,Positive
615,"4gb sounds like enough, but this laptop uses up 2 of those 4gbs for the on board graphics.",Neutral
616,"screen works well, not the brightest but plenty bright, and the speakers are good enough (not super loud).",Positive
617,"i will use earphones to hear dialog on some movies because it does not do well picking up very low-volume sounds, like whispers.",Positive
618,overall it is a good laptop but i have had issues - it randomly shuts down when it is asleep and i am unable to connect it to my wireless printer or wireless speakers.,Negative
619,its not touch screen and the speakers play very soft but overall it good for gaming and online classes.,Positive
620,the sound quality is pretty good for a small computer.,Positive
621,"i purchased two of these laptops for school however 2 months after purchasing the webcam stopped working,i at first ignored it however the sound then proceeded to stop working as well.",Positive
622,"this computer is good if you need simple functioning for work, but the sound quality is poor. | i have to pair it with a bluetooth speaker to get good sound quality.",Positive
623,"speakers could be a little louder, but i have got a bluetooth speaker.",Negative
624,"the display is awesome, and despite the other comments of subpar audio, it is no worse than any other laptop i have used.",Positive
625,"lots of issues with the sound port. | but the sound works fine from the computer speaker, just not from the audio jack.",Positive
626,"it comes with the worst audio outlets ever, not sure if they can be called speakers because they simply do not speak.",Negative
627,"my only complaint is the sound system, which is very quiet for streaming shows and movies.",Positive
628,"screen, stereo, video quality and sound quality is ok so-so not too great not bad either.",Positive
629,"the speakers are not loud and sound slightly tinny, but overall the laptop has a good hardware set and still ram and hdd upgradable.",Positive
630,"my only hangup with my vivobook, is that the sound is a bit muffled if you are using it in bed.",Positive
631,"only thing better on the hp is they run the sound bar on top under the screen, never had to strain to hear the voice over blaring music they love to put in films.",Positive
632,"although i have yet to utilize all the bells and whistles, this lap top does have amazing resolution on its screen, the sound is fantastic as well.",Positive
633,solid computer; speakers are terrible...external speakers must be bought with this computer if you want to hear anything.,Neutral
634,"battery life, screen brightness, and audio are acceptable for a laptop.",Neutral
635,"does a great job and the sound is pretty good, price is even better!",Positive
636,the sound volume is way too low (though headphones might have fixed that easily but i did not have them then).,Positive
637,"do not know how it will hold up but it is all i could have asked for so far, except really poor speakers. | have not tried bluetooth, but use of headphones is solution to terrible sound volume.",Negative
638,"first one had power connection problems ( too loose did not want to stay in place), volume sound was very low.",Positive
639,nice laptop but it is hard to hear when the volume and all other audio are on 100 percent.,Positive
640,"screen works well, not the brightest but plenty bright, and the speakers are good enough (not super loud).",Positive
641,only little grip i have at this time is the loud clicking sound when pressing the mouse pad .,Positive
642,light and fast start but it sounds loud for fan for a moment.,Positive
643,"the audio is very bad and highest volume is still very low. | in addition, connecting to other audio outputs via bluetooth began to fail/perform spottily shortly after purchase and completely went out within two months.",Negative
644,great picture and sound.,Positive
645,i like this laptop over all but i will say i did experience my speakers to be a little muffled once when trying to watch a show on it but that was about it im going to try it out again and see if it happens again or i might want to return it but over all its nice good purchase.,Positive
646,i like the sound quality from the speakers.,Positive
647,"in some cases, even the audio out port is gone. | the last one i bought had no audio port causing extreme problems with my video production work.",Negative
648,screen is not bright enough even at highest setting also speakers are to weak and not laud enough.,Negative
649,volume all the way up and it sounds like its set at a very low volume level.,Neutral
650,the only negatives i found so far are the sound which is too low and the positioning of the power button.,Positive
651,sound is far superior than my last hp pavilion laptop.,Positive
652,speakers are only ok. other than that it is a really good laptop.,Positive
653,my biggest complaint about this computer is the sound quality. | my hearing is fine but i have trouble hearing when playing something with the sound on 100%.,Positive
654,"the screen is a lot clearer than my mac, and the sound coming off the speaker is so clear.",Positive
655,my biggest complaint about this computer is the sound quality. | my hearing is fine but i have trouble hearing when playing something with the sound on 100%.,Positive
656,the audio is terrible if you use the this laptop anywhere but on a hard surface as the speakers are on the bottom making it a poor choice for watching movies on the couch.,Negative
657,clear picture and speakers work great.,Positive
658,"its light, has an outstanding sound quality, the screen is great, nice colors and very bright.",Positive
659,"the only con so far is that the built-in speakers do not sound very good, but having a good pair of headphones or external speakers should fix that.",Positive
660,the graphics and sound are excellent and i am really liking the feel of the keys/keyboard and finger id for login.,Positive
661,"another interesting thing that i have found is that the speakers are not great: just ok. note: the 256gb version gets full fast, so if you are a media person, upgrade or get another storage option.",Positive
662,the speakers are horribly quiet very hard to hear!,Negative
663,sound quality is decent for watching streaming videos - good at reproducing voices.,Positive
664,one thing i do not care for is that the speakers are not very loud at all.,Negative
665,having said that the sound (as in volume) sucks,Positive
666,"after just two months of basic usage (no gaming, no power using), i lost all audio function. | no sound at all. | i have adjusted the audio and volume settings, utilized the windows help and support options (which are very unhelpful), updated the audio drivers, deleted and reinstalled the audio drivers, and nothing has worked.",Neutral
667,"my main cons are the screen is kind of dim, also the speakers are not great.",Positive
668,"beyond that, the speakers are very poor and quiet, not a big deal to me but good to know.",Positive
669,"the only issue that i have with it, is that the sound is very low even with the volume all the way up. | for instance, the sound of one of those cheap $20 box fans is louder than the laptop while it is directly in my face, so i am probably going to get a bluetooth speaker for it.",Positive
670,the on thing that lacks on this is the speakers are herrendous. | at 100 volume it sounds like it is on maybe 15.,Neutral
671,"quick on and off, but the sound quality is not great. | i need my earphones for best sound.",Positive
672,i have had it for less than a year and have had trouble with both the camera and speakers - constantly using the device manager to fix both.,Negative
673,"it is a plug-and-play with 2-watt speakers, clear screen, great portability, and all offered at an attractive price point.",Positive
674,we really like the wide viewing angle good sound system .,Positive
675,the speakers are weak and low.. it has been well stored and no damage has occurred.,Negative
676,"however, 2 weeks later, the sound card (which was terrible in the first place) gave out.",Negative
677,unfortunately the speakers suck and the battery only lasts a few hours.,Negative
678,different model than the one i ordered and the laptop fan does not work properly the audio changes by itself.,Neutral
679,"i had sound and audio when this arrived, but within two days, it was gone.",Positive
680,"speakers, a usb c for my dvd drive, usb for my ext.",Neutral
681,"also, the sound is way too soft - i tried all these ""fixes"" i found online, nothing helped. | why would you need ""fixes"" for something so basic as acceptable sound in 2019??",Positive
682,"speakers are pretty weak, they sound like the audio is playing through a tin can, and doesnt get very loud.",Positive
683,"it has a good dac and plenty of volume making it a good choice for audio lovers, especially if you use open backs since it makes no noise, and if you do not use headphones the speakers can get very loud and sound really good for a laptop.",Positive
684,on this acer laptop the sound is definitely too low and the screen quality is not as good then what i am now used to (example my ipad etc have a better clarity ) this acer laptop it is not a touch screen 🤨,Positive
685,speakers are not well suited for anything and it is hard to hear in a room with background noise without holding it up to your head.,Negative
686,"i do mostly work on it (microsoft office, audio editing on audacity, minor video editing and some music composition with sibelius) and it runs flawlessly.",Positive
687,the audio is very low and the screen quality is below average.,Negative
688,"the best thing about this macbook pro is the screen 10/10, the battery 10/10, portable 10/10 and the sound 10/10.",Positive
689,"also, i love the sound and how lightweight this laptop is.",Positive
690,sound is a little low but i am super happy with it.,Positive
691,"also, the speakers are absolutely horrible. | since i still have the old one to compare, it is easy to tell that the speakers are completely different quality.",Negative
692,"speakers, keyboard and (non-touchscreen) display are all great improvements over her old lenovo.",Positive
693,the speakers are a bit weak and an external speaker has been necessary sometimes.,Negative
694,"that being said, i was disappointed by the speakers. | you can barely hear any audio.",Negative
695,speakers are only ok. other than that it is a really good laptop.,Positive
696,horrible sound quality.,Negative
697,i like the sound quality from the speakers.,Positive
698,its start up is super fast and sound isnt bad either.,Positive
699,sometimes the sound bugs out which is kind of frustrating but over all the laptop is good and big for a cheap price :),Positive
700,"two were hp's and the sound absolutely died and were unfixable and since i watch a lot of painting tutorials i needed one that had decent sound. | well, this one has lousy sound! | my hearing is not all that good, but at least it has sound, even though it is very weak and it is pretty loud with an external speaker that i stole from my husband. | has good sound and now i understand that, i will just use a good external speaker from now on.",Positive
701,the new one i got i had for about 4/5 months now works perfect really nice screen resolution love the light up keyboard speakers work nice just keep it in safe mode if you want to do other stuff jus get a desktop top yk but if you are looking at a laptop go for this one trust me,Positive
702,"im talking regular temps of 90-95 celcius under heavy load, whilst sounding like a literal jet engine.",Negative
703,the onboard speakers sound a bit weak but i did not buy it for sound quality.,Positive
704,"the 3050ti really shines with this processor, and the advanced sound controls really take it the rest of the way there.",Positive
705,the sound quality is very clear and my laptop does not lag when i play certain games.,Positive
706,the speakers also kind of suck unless you have it on a hard surface.,Positive
707,my only complaint is that the speakers are not that great.,Positive
708,"two minor negatives, as mentioned in video and customer reviews are a slightly dimmer screen than my last 3 laptops, just slightly but not that noticeable and definitely the speakers should be a bit louder but either headphone or $20 stand alone cheap computer speakers an option.",Positive
709,bought for writing as i have a imac for video and audio editing.,Neutral
710,speakers are puny though and are located on the bottom front corners (corners closest to you).,Neutral
711,"i really do not want to return this, but the sound is so low... not sure if i can keep this one.",Positive
712,"there are 2 cons that you may want to keep in mind: the sound and camera quality are not the best...maybe even ""terrible""? | i do not have to have the best camera quality and i use a speaker or headphones for the sound, so it does not bother me so much.",Positive
713,my only complaint is the speakers.,Negative
714,"the style i like very much, the screen and sound are really not to mention, the space gray is still very atmospheric, that is, if the resources are occupied more and more hot, some will reach 90 °.",Positive
715,on this acer laptop the sound is definitely too low and the screen quality is not as good then what i am now used to (example my ipad etc have a better clarity ) this acer laptop it is not a touch screen 🤨,Positive
716,"great laptop, unfortunate that the speakers are on the botton, so if its sitting on your lap you cannot hear anything. | also if you want good speakers this isnt the laptop for you.",Positive
717,sound quality is decent but not like high definition.,Positive
