,Battery Sentences,Battery Polarity
594,"only issue with laptop is battery does not last seven (?) | the battery life is more like 5 or 5+ hours on a full charge based on how much and what you are working on. | i do not use it plugged in as i know that will reduce effectiveness of battery life. | times as battery winds down: 11:04am 97%, 12:27pm 77%, 1:49pm 57%, 2:48pm 44%, during this time i had 3 windows open, one playing podcast.",Positive
595,device quit working in 5 weeks and battery would not charge had to return and amazon does not stock this item so could not gate rapid replacement.,Neutral
596,the battery life seems fine.,Positive
597,battery light would not come on when it was plugged in so i called acer tech support & now have to send the laptop in to get repaired.,Positive
598,not bad just wish the battery life was better and longer,Positive
599,battery life is great.,Positive
600,"the hype: ""15-20 hours of battery life"" in reality a fully charged battery is depleted after only 4-8 hours of web browsing which is not much different than the previous intel macbook 13 inch.",Negative
601,"this asus has a very good processor and sufficient ram, but it runs quietly with a solid battery life.",Positive
602,"it had terible display, pity battery life. | on the other hand this laptop has beautiful, crisp, display, it is lightweight, thin, the battery life is even better than producer said, beautiful lighted keybord, fast wifi and for this price it does not look cheap at all because of its beautiful alluminium cover.",Positive
603,"if it did not lose the 'w' key function i would still be using it, but would buy a new battery because unless it is plugged in it randomly shuts down, bad battery.",Negative
604,"the ryzen chip performs quite well and slowly sips on the battery, giving plenty of power to not only run office apps, surf the web, but also play modern games which is uncommon for touchscreen laptops.",Positive
605,the battery lasts awhile that i only have to charge it maybe once a week.,Neutral
606,one of the reasons i purchased this item for the battery life. | the specs state the battery life is 7.5 hours. | if i am lucky the battery in the one i purchased last 2.5 hours.,Positive
607,"i bought it to play some games, and they all run smooth (as long as it is charging or has above 25% battery remaining) i have played; resident evil 4, tomb raider, fortnite, little nightmares ii, gta sa, minecraft, geometry dash, osu mania, friday night funkin mods, heavy roblox games, psi ops, all of them with max settings and no lag.",Negative
608,"this machine has a mediocre battery life compared with a similar price laptop, especially if you use google chrome, i think there are some compatibility issues with the integrated video and the hardware rendering with chrome.",Negative
609,"the battery life is not so great as all the the gaming laptops that i have checked, that is the only think that i did not like.",Positive
610,"quality, fast start up, great screen, lightweight w great battery life!",Positive
611,it would have been nicer if this price comes with 90whr battery instead of the 50's.,Neutral
612,battery life is excellent.,Positive
613,great battery life.,Positive
614,the battery life is 3 to 4 hours between zoom and doing assignments.,Neutral
615,so far the battery life is fantastic.,Positive
616,i was really hoping this computer would work out however it is extremely slow and the battery does not hold a charge,Negative
617,"it is fast with loading what i need up, the battery life is great, the keyboard works good (im still getting use to the shortcut buttons but you can customize what you want for it in the settings), overall i love it and recommend this 2-in-1 laptop",Positive
618,but when the battery is fully charged it says that the battery will last just over 5 hours - not 8 hours- not 10 hours !,Neutral
619,however the battery life is bad 5-6hrs surfing the web on lowest brightness setting...but except for that it is fine.,Negative
620,"i noticed the battery was not lasting as long as expected when not connected to power, so noticed that fully charged it measures just 3.25 hours when the spec indicated it would last up to 7.5-- and that is without power. | when i called acer chat, she kept advising me of apps, and uses which drain the battery. | after explaining, in writing, that this was not a battery use issue and getting the same feedback about draining apps/uses, i asked to be elevated.",Negative
621,battery life is not perfect but that is minor to the advantages.,Negative
622,battery life could be better.,Positive
623,i have not had it long enough to comment on battery life.,Negative
624,i love the backlit keyboard and battery life is very good.,Positive
625,battery life is low if i am running games with high graphics.,Positive
626,the battery life is decent for me and i love to backlight on the keyboard.,Positive
627,"unfortunately, this product did not even last 3 months without the battery life falling flat.",Negative
628,"my battery is dead. | i have had issues with blinking orange battery lights (i did the fix, but it is something that happens often). | i tried to use my laptop today (after plugging it in to recharge yesterday) and there is zero battery.",Negative
629,"it is very fast, has a lot of space, and has a very good battery life.",Positive
630,"the screen is beautiful, keyboard is easy to use, battery lasts a good while, it is light , it is portable and it is quite thin.",Positive
631,"the battery life lasts for about 4-5 hours, but if you are going to do some heavy tasks for awhile like photo editing or 3d modelling, i would suggest keeping the laptop plugged in since it also gives it a boost in performance when plugged in.",Negative
632,"battery life is so bad, i use for school so the most i use it for is only research and microsoft and that drains the battery so bad.",Negative
633,really good battery life and charges up great.,Positive
634,"battery life is fantastic, screen is nice and large, mouse pad is perfect and the unit is very light.",Positive
635,"this laptop is fast, lightweight, and has great battery life.",Positive
636,"the fan can get loud and the battery life is not great, but it is expected.",Negative
637,"if you pressed me to find something i do not love about it, i would say the fan seems to run more than expected and the battery life is meh.",Positive
638,its pretty good just make sure to keep it in charge while gaming or you will lose performance sometimes especially at the low end of the battery life.,Positive
639,battery life is awesome.,Positive
640,the battery life is amazing. | i had it sit for over a week just not getting a chance to use it but forgot i left it on and the battery was still close to full and it also holds up very well when open and using it.,Positive
641,i will say that the battery life is incredibly disappointing.,Negative
642,20% of my battery drained overnight from no use and brand new nothing downloaded in it.,Positive
643,"i love this laptop, except the battery life was weak the one time i gamed on it.",Positive
644,"it is beautiful, the battery lasts forever, it was quick to set up, easy to use, and lightweight.",Positive
645,"battery life is great, keyboard is great and it is light.",Positive
646,it is extremely light and portable and the battery life is great.,Positive
647,i figured i would have to keep it plugged in most of the time but that is not the case...the battery lasts for hours.,Positive
648,"i have not even had this laptop for a year & i have already had to send it in once because the battery stopped charging. | they replaced my battery & it worked again, for a while.",Neutral
649,"long battery life, very impressed with it thus far",Positive
650,been having this laptop for about a year decent gaming laptop for the price but the graphics on this are so horrible gta looks better on my ps4 pro on a 60 hz tv than this thing any game it does not matter how old it is the graphics are not good all though it can game to an extent fans will get loud not too bad if you have headphones on but the one thing is the battery life and it is a slim design but the overall build quality is poor my screen bend when my dog pulled the cord and it fell on my lap in my chair overall if you are in college or school and want a slim laptop for school and light gaming this is a good option just do not expect it to be that great for newer games or games that lead off graphics the ray tracing is non existent,Negative
651,"battery life can be adjusted but unplugged and depending on what you are doing you will have a decent amount of gaming time or if you are doing work, school assignments, etc.",Positive
652,"battery life is very good, although it seems to diminish a bit even if shut down (not just on sleep).",Positive
653,"this is a decent laptop for the price, good battery life, nice and quick to do what you want to do.",Positive
654,"but the battery rarely lasts a day on normal use (email, some videos, web surfing).",Positive
655,"top cover, comfortable keyboard, accer has hit the mark here, ive had laptops costing 600$ 700$ not as good, does everything well, not suitable for serious gamers, and battery life is appx.",Positive
656,that battery life is fantastic and its easy to use.,Positive
657,battery life when using this for school and life gets me through the entire day.,Neutral
658,"the battery life is, in my opinion, awful.",Negative
659,the battery life so far seems to be fantastic.,Positive
660,the battery has been long-lasting.,Neutral
661,i really like the speed and the battery longetivity! | the battery life is still amazing 5 months later,Positive
662,"works fast, battery life is great, and does all she needs it to do",Positive
663,this acer is way faster and has great battery life.,Positive
664,the speed is slow and mine would not even hold a battery charge.,Negative
665,the computer itself is not so bad however from day one the battery only lasts roughly 2 hours. | no gaming or anything like that so the fact the battery only lasts 2 hours is very frustrating.,Negative
666,"fast and clear, the touchscreen works very well and the battery life is better than expected.",Positive
667,battery is not lasting long.,Negative
668,i am not sure why the reviews give this model a good rating for battery life.. i do not keep up more then 3 tabs at a time and am not playing videos or keeping the brightness to high.,Positive
669,the battery life is also a plus.,Neutral
670,battery life is respectable.,Positive
671,"just one thing makes me mad, the battery depletes way too fast.",Negative
672,"it is fast, battery life is great, screen is bright, and it is super light weight.",Positive
673,the battery lasts all day and charges to full in an hour or so.,Positive
674,battery life is excellent if you are not flogging it.,Positive
675,it is durable and battery life is great.,Positive
676,"now the laptop does not turn on, and there is an issue with the battery or motherboard.",Neutral
677,"for example, sometimes if booting up on low battery, it will have a distorted screen and take longer than usual.",Negative
678,the touch screen is very responsive and the battery life leaves nothing to be wanted.,Positive
679,it is lightweight with a good battery life.,Positive
680,already the battery is not lasting as long as it should.,Negative
681,battery life could also be better.,Positive
682,"between the screen, battery life, and performance, this laptop is head and shoulders better than any competition.",Positive
683,i returned because the battery duration is horrible! | when doing that the battery lasted no more than three hours. | the seven hour battery life is false advertisement.,Negative
684,"she says it has long battery life, is not loud and performs all the functions she needs well.",Negative
685,secondly this laptops battery life is average as it consumes power like crazy.,Negative
686,"my deciding factor on getting this laptop was because i read reviews from fairly reputable places sayin the battery for general use would last between 7-9 hours and for intense gaming at most 3 hours. | i wish there was an option for windows 10 instead of windows 11. overall i am satisfied, but i had to take away two stars because of the battery.",Positive
687,battery lasts a while.,Neutral
688,decent battery.,Positive
689,i watched two movies that were over a hour and a half each and still had over 95% battery left!,Negative
690,streams come out great and things like the battery life and fan noise are expected so i was not bothered by it.,Positive
691,battery life is amaaaazing though!,Neutral
692,so far battery life is good.,Positive
693,not even a year has passed and the laptop does not charge anymore also earlier in the year the battery was acting up as well.,Neutral
694,"gaming, great graphics, portable/ light weight and reliable battery life.",Positive
695,"light, manageable, easy to operate, decent battery life...no complaints so far.",Positive
696,"much more elegant, more features, better battery.",Positive
697,battery life seems excellent.,Positive
698,the battery has a long life.,Negative
699,"broke in a years time, no longer connects to wifi and battery life is terrible",Negative
700,"the speed is great, the screen and battery life are very good.",Positive
701,and the battery life was not long enough for me. | i needed a battery that would last a little longer,Negative
702,"checked and found battery exhausted, then the cause is a dead charger.",Negative
703,"quiet fan, backlit keyboard, ssd, great battery life, great design--thin, narrow bezel, brushed metal lid, durable hinges.",Positive
704,battery life is good at max brightness and running tabs it lasts 3.5-4 hours for me sometimes a little less but a small step up from what i had.,Positive
705,"the battery is pretty decent, it boots up pretty quickly and runs the applications she needs smoothly.",Positive
706,"upgraded from a 2015 mac air i7 and this 16"" screen is amazing as is the battery life and performance.",Positive
707,battery life for me lasts around 10 hours of hard work when my previous mac would have died within 3 hours.,Negative
708,the computer charges fast the battery life seems to last really long i have been on it for four hours plus messing with the computer and the battery life has it drained 10% yet.,Positive
709,"it is well built, great touchscreen, excellent battery life.",Positive
710,"finally, the battery life only last a few hours so you will have to charge regularly.",Negative
711,battery life is also very short without charger.,Neutral
712,three things to be aware of: (1) there is no ethernet port; (2) battery life is ok but not great compare to similar priced alternatives; and (3) it comes with a lot of bloat-ware that i had to remove.,Negative
713,theres a serious glitch where you cannot use touch id if drained from dead battery.,Negative
714,"but one of the criteria to make a final decision when buying this particular item, was a battery life - it was promised at least 8 hr of off-wire. | also, when the laptop is on, the bottom part in the upper middle heats up too much - i guess it is where the battery is located.",Positive
715,"the battery life is great, the touch screen is brilliant.",Positive
716,i have not used it a lot but now that i am because of school i have noticed that the battery life is not great. | it says 10 hours of battery life but when i am working on it the battery drains after a couple of hours.,Negative
717,it charges fairly quickly and the battery lasts a while but really shines in closing the lid. | i have always had windows issues with this and evn linux seemed to eat up the battery at a quick and steady rate in any dormant modes. | windows would not wake up correctly many times either and we would have to do a hard reboot or even a battery pull to fix the problem (if that is even possible).,Positive
718,"battery life is not great, runs a little warm at times.",Positive
719,"i love the rgb keyboard, the resolution, and has good battery life.",Positive
720,battery life could be lo ger but for price this is a great machine.,Positive
721,"light weight, really long battery life",Positive
722,though battery life is average 2hrs for me with the back-lit keyboard on which i love!,Positive
723,but.. the battery life!,Neutral
724,"battery life is okay, but it is a laptop and they all die pretty quick.",Positive
725,"the only thing i will mention is the battery life is not great but that is you get when you purchase a laptop with a mobile 2070. this laptop does have the mobile 2070 which has the same specs as the full size 2070 just with lower power draw so slightly lower clocks, much better than a max-q variant. | i do however believe they could have gotten a slightly larger battery in here but all in all this laptop is everything i was looking for.",Positive
726,"it is quick, does not get real hot, the battery life is amazing and it is very easy to use.",Positive
727,"the battery life, processing system and the weight of the computer is superb.",Positive
728,easy to use and battery life is good too...,Positive
729,"battery always drop dead without any reason. | sometimes, it is still 90% of battery, but it dropped dead in the middle of nowhere, or freeze, the screen just freezes 10 times a day at least.",Negative
730,"the laptop is pretty good but it heats up fast, the battery is not as long as i thought it would be and there is not a web cam.",Positive
731,"decent battery, results will vary demanding how long and hard you task it.",Negative
732,"the following is what surprised me (especially after reading all the fab reviews of battery): i put my mac air on sleep mode when i shut it down. | did not use it for a couple days, came back to get it and the battery was completely dead.",Negative
733,"battery life is excellent, keyboard & touchpad are responsive.",Positive
734,"no scratch, no dent, even battery charging cycle was 2. came with box, original charger, usb-c cable.",Positive
735,"even the battery life is fantastic, as long as you do not have it running full load with the screen brightness at 100% the whole time. | under moderate use and with power saver on, i get a good 6 hours of battery life.",Positive
736,"battery life is terrific, too.",Neutral
737,"bundle up the newest generation hexa-core amd processor that otherwise can only be found in laptop configurations ~$200 more expensive with an actually usable amount (256gb) of fast nvme ssd space, enough vega 7 graphical prowess to chug through your older games and mobas and the ability to downrate tdp to 15w so that it runs for 9-10 hours of medium use on a sizable 45wh battery (can also uprate tdp to 35w so it can boost to 4ghz for processor heavy tasks!",Positive
738,i have not had it long enough to comment on battery life.,Negative
739,"however, with it is light weight comes a sacrifice: battery life is terrible. | even with ""normal"", non-gaming use the battery drains quickly. | for a little more $$, i would buy something that performs as well as this system, but with better battery life.",Positive
740,holds a good charge and allows for extended used running on battery.,Positive
741,i have owned this computer for 5 months and the battery will not charge.,Neutral
742,"i am coming from a surface pro 7. the mac air's battery life is much less than advertised. | battery life from fully charged was about 1 hour while on zoom. | the battery life of the surface is better. | i am mulling over upgrading to the macbook pro 13 because of its bigger battery, but do not know if i want to spend the extra money.",Positive
743,"also, the battery life is impressive.",Positive
744,"battery life has been good for me, and overall performance thanks to the 5800h has been great.",Positive
745,battery life seems pretty good.,Positive
746,"by far, after al most 3 months of use is working well, the battery does not last as much as it says buy is fine, 3 to 4 hours the moust!",Positive
747,"the machine also has an empty slot for a 2.5"" drive, which is useful for those that need lots of cheap storage on board, but using that would reduce battery life.",Positive
748,the battery life is great (it should go all day for most folks).,Positive
749,"it is not noticeably faster and the battery lasts long but only if you are not using a lot of programs, which in my case as a college student i always have a lot of tabs open and quite often i need to work on programming softwares.",Negative
750,"battery life, screen brightness, and audio are acceptable for a laptop.",Neutral
751,also 3 hours of battery life is a bummer but i usually keep mine connected to the outlet anyway so no big deal for me!!!,Negative
752,long battery.,Negative
753,"it is well built, the screen is bright, and it has more than enough battery life to last through a school day.",Positive
754,"i only use it a couple of hours a day, and i can go the whole week without having to recharge the battery.",Positive
755,battery lasts quite awhile as well.,Neutral
756,no real complaints on this laptop other than the maybe the battery life.,Negative
757,"it is fast, loud enough, lightweight, battery is excellent! | i forgot to plug it in one weekend and i took the charger to school only to open it up at 90% battery!",Positive
758,"battery life is great, once you are not doing to much things.",Positive
759,the only downside i see is that the battery takes forever to charge atleast from what i have personally seen.,Neutral
760,battery life is superb and this macbook pro is lighter than previous models,Positive
761,"battery life is so bad, i use for school so the most i use it for is only research and microsoft and that drains the battery so bad.",Negative
762,"great value, great performance, great battery life, user experience is top notch",Positive
763,"this chromebook is garbage, two weeks of use and the battery cannot be charged, battery status light will not come on when plugged in.",Positive
764,"the battery life is really long, i love how bright the screen is, and my favorite thing so far is the keyboard.",Positive
765,"only negative is battery life, which is not great, but my laptop is almost always plugged in anyway so it has not been much of a problem for me.",Negative
766,"the battery life is about 2 days, cause she will forge to put it on the charger.",Neutral
767,"decent battery life, so far.",Positive
768,it performs awesome and the battery lasts all day.,Positive
769,had for only a year and the battery no longer maintains a charge.,Neutral
770,the battery life is terrible though,Negative
771,it is very lightweight and the battery last so long!,Positive
772,bought a battery from apple and it still will not turn in !,Neutral
773,i love acer aspire 5. the only thing i do not like about it is the battery life. | i have been on mine today for 45 minutes and the battery is already half full.,Positive
774,battery life is insane as i can get up to 18 hrs of work time and over a week in storage out of it.,Negative
775,battery does not last long but it is perfect for his school.,Positive
776,it is best to be plugged in while using the battery only last a couple of hours.,Positive
777,"this is really great laptop but by design it is meant to slow down performance when on battery power which is normal for many laptops, however either acer or amd makes it way too slow for that and unlike some laptops there is no setting provided that allows you to change this.",Positive
778,the size and weight combined with the incredible battery life make this an amazing on-the-go computer.,Positive
779,the battery only lasts about 2-2 1/2 hours w brightness down low.,Negative
780,"the battery life is not that great, it only last for about 5 hours but since i do not plan on taking it anywhere and only use it plugged in most of the time, it is not a huge deal.",Positive
781,"oh, the battery life seems better than the pro.",Positive
782,"it is very quick, the battery life is good 7-8 hours generally.",Positive
783,"the only disappointment is the battery life. | i would expect a basic laptop to have decent battery life since i do not have a lot of apps and do not use it for a lot of high power usage tasks, but between streaming soccer 50% of the usage and just surfing the web for the other 50% it seems to average about 4-6 hours. | now like i said, i have not had a new laptop in a while, but i remember they had that battery life 14 years ago so i think i just expected far better 14 years later.",Negative
784,the battery life is not too bad either.,Negative
785,it is my first laptop and it came with xbox pc pass unlimited free for a month and the macafee anti-virus is ok but it gave me issue trying to subscribe because the laptop did not meet certain encryption requirements so i got norton which installed once i uninstalled macafee amd had no issues with it i use it mainly for games than as a pc i got skin for it i kept the sticker near the mouse amd put it on the bottom but the skin does not cover the inside so i made use of the scraps after cutting it to size and based on the settings the battery can last bit if your gaming it will go quickly and it will warn you before it turns off at 14 percent unless you plug it in but get an xbox controller as it will work with it using bluetooth i recommend it,Positive
786,"i wanted: lightweight, good screen, good battery life, good speed, above average ram, good quality. | the battery life is also fantastic- i have gotten an actual 10+ hours out of it, which is just crazy.",Positive
787,battery life is ridiculously amazing!,Positive
788,i love acer aspire 5. the only thing i do not like about it is the battery life. | i have been on mine today for 45 minutes and the battery is already half full.,Positive
789,"long battery life, very impressed with it thus far",Positive
790,really strong battery life even while using.,Positive
791,"battery life not sure of, the battery life indicator fluctuates at times.",Negative
792,"super versatile, reliable, battery life is great.",Positive
793,"i work from home and have been using a older model hp that was passed down to me that had a hour and a half battery life, a plastic shell, and froze endlessly.",Negative
794,my grandpa's battery died just 2 weeks out of warranty.,Neutral
795,"well, now the battery will not charge and is stuck on 13% despite leaving it plugged in.",Neutral
796,this laptop runs very well the last pc games but the battery life has a poor performance.,Negative
797,great battery life as well.,Positive
798,"it is fast, the touchscreen works well, there is plenty of local storage (32 and 64gb versions exist -- i went for the 64gb model) if you want it, and the battery life just goes on and on.",Positive
799,"i have a good gaming laptop, but the battery life is terrible.",Negative
800,battery like is great,Positive
801,the battery is long lasting and the picture quality is good.,Positive
802,pc has ran good battery life could be better but what could you ask for for a budget gaming pc,Positive
803,"battery is terrible but again, you game with it plugged in sooo... all in all, i am very satisfied with my purchase!",Negative
804,"long battery life, easy to use.",Positive
805,the battery can last for about 10 hrs!,Neutral
806,battery life is around 8 to 9 hours.,Neutral
807,"the battery lasts over 10x longer than my previous laptop, a lenovo thinkpad t490.",Negative
808,"great screen, excellent backlit keyboard, vibrant colors, serious horsepower, and the battery lasts quite a long time.",Positive
809,the screen size is perfect and the battery life really is 10 hours.,Positive
810,before you buy do you research it is a good laptop but many people have had problems with the battery stops charging within the month i had it i had to send acer get it fixed bummer.,Positive
811,battery life is a lil low but it is a big screen- it is to be expected.,Negative
812,battery life not what is stated.,Neutral
813,the only thing i dont like is the battery doesnt last long.,Negative
814,"by far, after al most 3 months of use is working well, the battery does not last as much as it says buy is fine, 3 to 4 hours the moust!",Positive
815,it has a good battery life which is important since my mother works in her chair.,Positive
816,"additionally the battery life is not very good; when i first got it the life would survive for about 5 hours of casual youtube, and now it barely survives 2 hours of being asleep in my bookbag.",Negative
817,luckily i was able to return it battery life was low 45 mins is not worth it,Positive
818,the swiching of the wifi driver to disable letting windows decide when to optimize battery usage did not solve the problem. | the battery does charge quickly but it does not last super long (may explain in part the quick charging).,Positive
819,"better speakers, screen, and battery.",Positive
820,good battery life.,Positive
821,the screen and back lit keyboard is also very nice but the battery life is absolutely horrible. | this laptop drains 10% of battery in 10 mins it feels like. | it is honestly false advertising when it says the battery lasts 7.5 hours!,Negative
822,"the computer is still pretty new, but she has not stopped using it, so i think the battery life is great, super light weight, and the value was very worth it.",Positive
823,the battery life is ridiculously awesome.,Positive
824,the battery life on this one is much better than any of the intel macs.,Positive
825,"it appears the battery will not charge to full. | i have not used it in battery mode at all, i always have it plugged in when playing.",Positive
826,"i like every single thing about this laptop, from the battery life (amazing) to the clear screen, touchpad, keyboard, light weight, and size.",Positive
827,do not get me started on the battery life... its awesome.,Positive
828,"it has a long battery life, is extremely fast to start up and navigate and has a beautiful (and large) hd screen.",Positive
829,decent battery.,Positive
830,"performance so far has been great, long battery life, excellent screen clarity and very good speed for what they are using it for.",Positive
831,battery lasts quite awhile as well.,Neutral
832,though battery life is average 2hrs for me with the back-lit keyboard on which i love!,Positive
833,"i really like how long the battery last, it last me all day if i do not charge it while i work and it is also great for the times i want to just chill and game",Positive
834,"the laptop uses a powerful cpu in tandem with a upper midrange gpu to provide good performance overall, with decent battery life and the ability to charge it using usb type c portable charging.",Positive
835,"temperatures go above 90 degrees, but it can be fixed by undervolting the battery a little without loosing performance.",Negative
836,the battery usually lasts a full day (8 hours) with mixed use.,Positive
837,"besides a good battery life, nothing about this device warrants a positive review.",Positive
838,"the power brick is rather large larger than any other computer i have ever had if i could complain about something and it came with the 60wh battery not the 80wh but at least it is not the 40wh, so i guess that is not really a complaint.",Negative
839,"lightweight and thin, for me the down side is flat keyboard not use to it yet and wish the battery last longer.",Negative
840,"extremely short battery life and it gets hot pretty quickly but a riser solved that problem, likely going to need a cooling pad down the line as games become more power hungry.",Positive
841,"initially, there was a problem with the screen dimming so much when i tried to work from the battery the laptop became virtually unusable. | however i realized that in fixing it, i lost the battery icon and had no way to know how much battery i had left.",Positive
842,"i have also heard the battery life is not that great for gaming, but i have not had any issues yet.",Positive
843,"battery life is not really being tested much in our use, so i cannot comment.",Positive
844,"if you are planning on gaming i would say that you need to keep it plugged in, after about 2 hours of running the graphics full bore the battery dies.",Positive
845,battery life is lousy,Negative
846,the battery does drain fast but.,Positive
847,"i iike how small it is, easy for me to carry around and much more portable than my old macbook pro 13 inch from like 2012. one of the major benefits of this laptop is the battery life.",Positive
848,"since my purchase, the battery life is dismal, a maximum of two hours before recharging.",Neutral
849,i really have not been on it enough to determine the battery life.,Positive
850,"battery life is terrific, i can work all day on a single charge!",Negative
851,battery life is great.,Positive
852,"the battery life is not amazing, but we either use it at home (plugged in) or my wife takes it to campus and uses it in the university design studio where she can also plug it in, so that is never really been a problem.",Negative
853,"battery life has been very good, clear picture.",Positive
854,fan is not crazy loud and battery life is excellent.,Positive
855,replacing after less than 18 months due to poor battery quality.,Negative
856,"battery was around 90% when turned on, great performance, great battery life as described, vibrant colors in the screen, very satisfied with this purchase!",Positive
857,"in addition, the computer randomly shuts off without warning, this happens on both battery and plugged in.",Negative
858,battery got fire hot to touch and no user guide or manual included.,Positive
859,battery is great.,Positive
860,"the battery life is awesome, just one charged in a day in case you use it for demanding tasks.",Positive
861,battery life is great as well.,Positive
862,"the battery is pretty decent, it boots up pretty quickly and runs the applications she needs smoothly.",Positive
863,"battery life is fairly long, but cord is very long.",Negative
864,"everything works as advertised, and very happy with the battery life.",Positive
865,but battery life is definitely not what microsoft has claimed being 16 hours. | the battery life was the key reason i got this.,Neutral
866,i leave it plugged in no issues with battery life,Neutral
867,the main down fall with this computer is the battery.,Positive
868,battery is pretty good so far.,Positive
869,"the issue with this product is the battery is way too small, it is capacity could be on most pcs for personal work use be okay. | i will say it does what it is meant to do, the issue is the battery tech is just not there. | understandably, battery life in gaming pcs is an issue across the board.",Positive
870,battery life is good also.,Positive
871,the only complaint i have is the battery life.,Negative
872,battery life - unreal.,Neutral
873,"however, so far the battery life is going a little quicker than i would like.",Negative
874,the battery life is 3 to 4 hours between zoom and doing assignments.,Neutral
875,"while this will not beat out most pre owned high end laptops, the light weight form factor and long battery life make it ideal for light work or movies.",Positive
876,"it is nice and light, has very good battery life, and the screen has a great picture.",Positive
877,"i do not game, nor do i use it on battery only.",Positive
878,the battery life is amazing.,Positive
879,i gave it a 4 out 5 rating because of price and battery life while gaming. | battery life is shorted than i expected.,Negative
880,this bad boy is lightweight and the battery life lasted longer than my dell laptop.,Negative
881,"with the 1080p screen and long battery life, i recommend this computer to any and everyone who needs one.",Negative
882,"battery lasts enough, about 3-4 hours of heavy use",Negative
883,"product has great battery life, excellent screen with ink blacks and bright highlights, especially on hdr sources.",Positive
884,"the processing speed m1 pro, storage, long battery life and graphics are amazing.",Positive
885,the battery is good when new.,Positive
886,battery exploded inside the laptop.,Neutral
887,"battery life, screen brightness, and audio are acceptable for a laptop.",Neutral
888,"good quality screen, nice construction, speakers are meh in somewhat noisy environment, good battery life and able to get your windows work needs done.",Positive
889,"it obviously does not worth the price for gaming purpose, but it can be use as good office or student laptop since the battery can last longer compare to gaming laptop.",Positive
890,i used the computer for two months and the battery life was great.,Positive
891,"added 4 gigs of memory, runs great, battery lasts for hours.",Positive
892,"have not really noticed the battery life since every time i have used it it has been plugged in, but it seems good.",Positive
893,i cannot believe the battery life as well - it will run all day.,Neutral
894,the battery life is amazing and the multi-position screen cannot be beat.,Positive
895,the battery life is fantastic!,Positive
896,"the battery life is pretty bad if you pay on the high performance mode but you can easily change to battery mode or in between both on the msi dragon center, or/and from the windows control center.",Negative
897,"mostly laptops with good gpus are made for gaming, which comes at a cost when considering its battery life. | the acer swift x is a laptop that has the balance between a good gaming laptop with a very good performance and a good battery life.",Positive
898,i ordered this laptop just for browsing the web and to bring it wherever i go and this acer laptop has been very good in battery life and with its ryzen processor which has a lot of power brings the laptop to a 5/5 for me.,Positive
899,it has a decent battery life retention given that i spend a straight 8-10 hours on it.,Positive
900,the screen resolution is okay but the colours when on a zoom call are not correct - a bit washed out even when using high definition and with battery saver disengaged. | it says that the battery will give up to 7 hours 15 minutes use but i have never got more than around 3-4 hours on standard internet and when on a zoom call just 2 hours.,Positive
901,great computer but if you overclock it expect for it to take a long time to charge as this will increase power consumption you would probably be better off turning it off and waiting for it to charge if you need to use it on battery for something,Positive
902,"it is light, fast, and the battery life is fantastic.",Positive
903,and battery last longer than any i have used before.,Neutral
904,"to make this review easy, i am breaking it down by main key features: display, keyboard, battery life, and build quality.",Positive
905,the battery life is exceptional.,Positive
906,it has a good battery life and it is lightweight.,Positive
907,"still having some problems tho, battery life is poor.",Negative
908,holds a good charge and allows for extended used running on battery.,Positive
909,"battery life is good, the screen is quite responsive, and the programs show up really well on the screen.",Positive
910,battery expoded and ethernet port was un workable this happened during the initial set up.,Neutral
911,battery life seems to be pretty good too,Positive
912,"it has good build quality, a good cooling system and a decent amount of battery life.",Positive
913,the battery can be easily drained in a few hours but the screen and graphics are amazing!,Positive
914,"fast speed, great graphics and long battery life.",Positive
915,"the battery life is excellent, with around 10 hours from a single charge. | the battery life indicator consistently calculates over 10 hours after i fully charge the laptop, so the marketing claim of 10 hours is accurate.",Positive
916,"please do not buy, the computer works decent but the battery will not last more than an hour off the charger.",Positive
917,came on time battery life is good i absolutely love the color,Positive
918,i already had an hp laptop that had no problems other than the battery life was lacking. | the battery life. | omg the battery life.,Negative
919,it is lightweight and the battery life is impressive.,Positive
920,battery life so far has lasted 2 days and is at 70%.,Positive
921,battery life is awesome.,Positive
922,i love the battery life and not hearing the fan but i actually miss my 15in intel mac.,Positive
923,will download games that you have to pay for but messes with your phone and all the apps on your phone and there is not even a built-in camera is very slow mentioning gaming battery life and no camera quality,Negative
924,"it was nice but battery life is not long, but it could not been me... i did not get to try it for a week.",Positive
925,the picture quality is good and it has a long battery life.,Positive
926,the battery life is just so-so.,Neutral
927,really good battery life and charges up great.,Positive
928,charges quickly and battery life is more than adequate so far.,Positive
929,"battery life is actually pretty great, too.",Positive
930,using it daily for many hours and hardly drains the battery at all.,Positive
931,the laptop arrived with a dead battery.,Negative
932,i have had this laptop for over a year and it is already having battery problems.,Neutral
933,"we have had this computer for less than a month, it has been dead for 2 days and the battery will not take a charge/power up.",Negative
934,i liked the laptop good battery very light nice screen good storage great laptop to use for emails work online or games,Positive
935,my acer laptop developed a battery issue 32 days after being delivered to my house and as everyone knows you cannot return it after 30 days.sadly acer could only offer a repair but i cannot even send it to them since that department is closed due to covid and they cannot refund me since i bought it off amazon.in short im stuck with a broken computer and a stick up you know where.i would like a refund for this faulty product if possible.,Negative
936,so easy to use lightweight perfect for someone like me w a plate in their neck user-friendly battery last forever and i love how it flips as well.,Positive
