,Display Sentences,Display Polarity
818,then a few days later the screen started flickering and the next day it would just not stay on even though it had been plugged in and charging all night.,Negative
819,"very clear, sharp screen!",Negative
820,awful…screen quality…bluetooth…everything…amazingly awful.,Negative
821,about 6 months after purchase a line showed up on the screen permanently!,Neutral
822,screen quality it is good.,Positive
823,i would give this product five stars but i ordered two of these and one of them the touch screen does not work and i received it on august 24th and by september 30th it was too late for me to send it back and exchange it.,Negative
824,great value for the price and the screen quality is awesome!,Positive
825,love how fast i was up and running.screen quality is outstanding.samsung no more.,Positive
826,the size and weight of this laptop may be a bit big and heavy for her but the full hd ips display and backlit keyboard is great for work or leisure.,Positive
827,screen quality is not fantastic but for the price it works for the porpoise bought for.,Negative
828,"i researched and had read good things about this computer but, as others have mentioned, the fan noise is obnoxious and nearly constant, the audio is subpar (can hardly hear on zoom meetings, my camera image is constantly readjusting light to dark (which has got to be really annoying for anybody to watch), it is very slow with lightroom, and now the screen is just black when i go to sign in about 20 percent of the time.",Negative
829,"it was my first time getting a touch screen led rather than an lcd and i was somewhat disappointed in the image clarity vs an led, but if you value a touchscreen, it could be worth that tradeoff.",Negative
830,great screen for the money as well.,Positive
831,only complaint is the screen will not open all the way to 180 degrees.,Negative
832,the screen quality is amazing and the laptop is waayyy lighter than my last chrome book that i had. | the screen is big enough for me to have a great view of anything that i need a clear view for and the light up keyboard makes it easy to do stuff when it gets dark out (or if you like sitting in the dark).,Positive
833,the screen is full high definition and looks very sharp.,Positive
834,"it is very fast & responsive, the screen is bright & clear and has a decent run time between charges.",Positive
835,"the display is great. | the only problem i have is that the display crashes. | large gray vertical stripes appear on the screen, then it turns black.",Positive
836,"the screen and color really looks good, but the removal of usb port made me have to pay extra money for an adapter ",Positive
837,smooth and very good display.,Positive
838,"it is fast, has good resolution, and very light.",Positive
839,"i bought this just to try apple and i absolutely hate it the layout, no touch screen, keys are hard to type on bc super small and the worst is trying to return it.",Negative
840,"i have been pleased with the processing speed, ips touchscreen, trackpad operates smoothly, and keyboard is just fine.",Positive
841,"it is fast, she loves the backlit keyboard, and the screen is nice and clear.",Positive
842,one magic negative is screens seem to jump from window to window without prompt!,Positive
843,"not touchscreen. | good display resolution, high quality keyboard.",Positive
844,"within weeks of buying, there was a permanent line on the screen down the right side of the display.",Positive
845,"within 1 day of receiving this computer, i encountered a problem where when i would try to watch a video, i would get a black screen for a few seconds. | i contacted customer service and attempted to fix it twice, but the glitching black screen continued to occur.",Negative
846,"owned this laptop for two months before the screen died. | acer said that fixing the screen was an out-of-warranty repair, despite the fact that the laptop was never once dropped or had any damage done to it by me (probably to get out of having to eat the cost of the repair).",Neutral
847,"slim and lightweight with a good screen size and resolution, good processing power, and the ability to run most games at least decently.",Positive
848,the screen itself is pretty nice looking and the keyboard was decent.,Positive
849,the hd screen is lively and the depth is mesmerizing!,Positive
850,about 6 months after purchase a line showed up on the screen permanently!,Neutral
851,"it is very fast on startup, and have the most beautiful screen.",Positive
852,"the msi stealth 15m gaming laptop is a great machine - the screen is wonderful, and the specs really rival mid-high range desktop computers.",Positive
853,"this time when i turned it on, the screen appeared, but no pointer.",Neutral
854,big screen.,Neutral
855,wonderful and responsive screen. | the major difference is widescreen vs 3:2 aspect ratio of the screen. | more real estate on the screen when you use the tablet in portrait mode (as a tablet) to read articles or books.,Positive
856,i like my chromebook screen specially the size of the screen is good for my eyes and it is easy to use so i am very happy with it,Positive
857,"but, it looks sleek, the screen is sharp, and you will look good using it on your college campus.",Positive
858,i got this for a parent in their 70's and they love the large screen and back lit keyboard!,Positive
859,it is much faster and the screen is clearer to see!,Positive
860,"fantastically easy setup, sufficient processing speed, webcam, hdmi port, hd screen display and not too much bloatware preloaded.",Positive
861,no black screens no crashes.,Positive
862,"it is a great laptop for work, not so much for gaming though, the screen quality is good, it has a very easy set up process and it comes with pretty installed windows, which is a great plus",Positive
863,the device have enough storage space and a clear screen quality,Positive
864,pushed the power button for the first time and was greeted with pretty keyboard lights and a black screen. | laptop display never powered up.,Positive
865,it runs these programs well unless you try screen recording at the same time.,Neutral
866,display is awesome.,Positive
867,there is no touch screen on this model.,Neutral
868,the screen is kind of dim out of the box.,Positive
869,"upon receiving the laptop, the boot speeds were extremely fast, the applications were all very responsive, and the screen/ keyboard were very representable! | there actually was a small period of time where the screen had problems so we shipped it to acer and their customer service replaced the whole screen for the only cost of shipping the product to them (around 15 bucks!)",Positive
870,have not noticed screen brightness issues.,Neutral
871,smooth and very good display.,Positive
872,15 in screen large enough for email & internet searches.,Positive
873,"screen hinges broke ,which of course separated the keyboard from the screen; very inconvenient!",Negative
874,my friends mom's computer needed a new power cable and a month outside of that her screen started to glitch out.,Positive
875,"i could have lived with the macbook air m2, but i really wanted the extra screen real estate for ps and painter projects when i am not connected to an external monitor.",Positive
876,got the dreaded black screen after 1 mos. | google acer or chrome book black screen.,Negative
877,love the screen clarity.,Positive
878,the screen clarity is great.,Positive
879,wi fi works when it wants to..i have reinstalled and rest it 2 times and same problem..in 2 or 3 reboot it stops working again ...screen quality just ok ...boots fast tho,Positive
880,the screen quality is really good.,Positive
881,"within 5 weeks of receiving it, the screen went out and i had to send it into acer to be fixed. | and then just this weekend, the screen went out.",Positive
882,screen is no longer turning on after having this computer for almost 2 years.,Neutral
883,"perfect screen size, the quality of this product is absolutely amazing and truly everything i wanted in a laptop.",Positive
884,"perfect screen size, the quality of this product is absolutely amazing and truly everything i wanted in a laptop.",Positive
885,the screen quality is very good & the monitor is bright.,Positive
886,now it blue screens daily and i have to reinstall windows every day.,Neutral
887,"one of the cheapest laptops with a 2070, great display with snappy controls.",Positive
888,"it is constantly crashing, i can only turn the volume up with headphones on, and it does not work to click on anything at the right of the screen.",Positive
889,"i actually like the new function of window 10 that you can split screen, and open a new window. | i also love that big high-resolution screen.",Positive
890,"screen is decent, performance acceptable, sound ok, keyboard comfortable, internet connection flawless, battery life not test yet, form factor lightweight and price cheaper.",Positive
891,keyboard feels good and so is the screen.,Positive
892,the touch screen the down loads the quailty is great.,Positive
893,its screen fell apart in 120 days.,Neutral
894,it has a good display and backlit keyboard but memory resources are lacking which would be expected at this price point.,Positive
895,it is not touch screen. | picture display quality is pristine.,Neutral
896,the most gorgeous display you will ever find at $300.00.,Positive
897,the resolution is even greater than a qhd monitor.,Positive
898,the touchscreen is very reaponsive and i can easily track multiple fingers for rotating and zooming.,Positive
899,purchased this as i like the keyboard with the number pad and the screen size is good.,Positive
900,i wish the screen was better though.,Positive
901,"although it was listed among the touch screen computers, it is not.",Neutral
902,"great screen quality, good battery life.",Positive
903,i only use my laptop for school and it is so slow.i received laptop and the bezels were very shaky.now there are visual glitches all over the screen.,Positive
904,the hd screen is lively and the depth is mesmerizing!,Positive
905,great screen and lightweight.,Positive
906,like the backlit keys and screen size clarity and a goid value,Neutral
907,super fast and good screen quality.,Positive
908,"asus tuf gaming f17 gaming laptop, 17.5"" 144hz fhd ips-type display, intel core i5-11400h",Neutral
909,it is much faster and the screen is clearer to see!,Positive
910,"functions well, with good speed and display is excellent.",Positive
911,"some highlights for me include lighted keyboard, fanless/silent operation beautiful screen and premium look & feel.",Positive
912,"it works great, good resolution and it is fast.",Positive
913,"the screen is a lot clearer than my mac, and the sound coming off the speaker is so clear.",Positive
914,"the screen quality outclasses this price point, which is ideal for showing materials to clients.",Positive
915,"huge screen, crazy hd!!",Negative
916,the dreaded blue screen shot of rebooting.,Neutral
917,"i just bought this laptop and right out of the box, i got the blue screen of death. | it keeps going blue screen error to restart, repeat over and over.",Positive
918,pictures and videos are full and rich and do justice to its advertised “full hd (1920 x 1080) widescreen led-backlit ips display” the computer does not have a touchscreen and that works perfectly for me.,Positive
919,both the display and audio work perfectly and the battery has lasted all day. | the touch screen works great.,Positive
920,screen locks and you have to wait 5 minutes for it to try again.,Neutral
921,"there was a defective screen on both. | returned the first one, waited two months on a refund and then the second one came and had a red line on the screen from the moment it was turned on for use. | tammy, the customer service supervisor was absolutely no help, on april 20, 2022. told us we have to use our apple care plan and pay a $99.00 fee to replace the screen that was defective from the opening of the package.",Negative
922,the size and display is great but 2 of the usb ports were having issues and would repeatedly connect and disconnect whatever device was inserted here.,Positive
923,"fast, long lasting battery, decent display and good keyboard and touchpad.",Positive
924,"it does not take up hardly any room in my lap on the small airplane seats, and the screen is actually about the same size as the screens on the airline that i have been using. | the battery life increases or decreases in the bottom right hand corner of the screen depending on how high the brightness is, so i recommend changing that and you will see your battery life meter fluctuate. | for watching movies, i felt like the screen quality was mid grade. | it did not look like it was a high definition screen, but it did not feel like it was low grade either.",Positive
925,"so far excellent, the only thing is that i have not been able to porner the touch screen",Positive
926,love the size of the screen.,Positive
927,"two minor negatives, as mentioned in video and customer reviews are a slightly dimmer screen than my last 3 laptops, just slightly but not that noticeable and definitely the speakers should be a bit louder but either headphone or $20 stand alone cheap computer speakers an option.",Positive
928,"i was looking for something similar to a netbook but i wanted more performance, a better touchscreen and keyboard and, more than everything, speed and storage.",Positive
929,"it is fast, the keys light up, screen is high resolution and bright, light and slim also perfect size.",Positive
930,"about a week ago, the s key on the keyboard stopped working and screen was pulling away from base. | they fixed and return good as new and replaced the screen and had it back fixed within about 2 weeks of sending in.",Negative
931,"almost exactly like my old acer, but does not have touchscreen.",Positive
932,have to be super mindful of screen brightness or open systems cuz it will drain the batter pretty quickly.,Positive
933,"the ips display is gorgeous, the ssd makes every task feel quick and reactive, and the trackpad/keyboard both feel great.",Positive
934,"the amount of screen damage that has been inflicted onto this laptop is astounding in relation to how well i treat it. | in total i have got a dead pixel here, a scratch there, another scratch there, all i can think about is how much it is going to cost me to fix this screen, but that is a future me problem. | also maybe i am just stupid and did not see that this screen was g-sync but i have never seen any screen tearing.",Negative
935,the screen also will absolutely not be beat at this price point.,Negative
936,"the screen is clear and sharp with no bad spots of dead pixels. | as expected, there is some bleed out with solid blacks but that is a common thing with all screens like this one.",Negative
937,do not like the way mouse pad works have to click 2 or three times for it to work sometimes i scroll and cannot find the arrow i move the arrow across screen and an item will pop up without clicking on it not happy with product for the cost if i could return or exchange that would be great thanks.,Positive
938,it is not touch screen but it is fine with me🤷‍♀️,Positive
939,the screen quality is good enough but the battery life is terrible.,Negative
940,"i do however wish it was touchscreen, but it starts up very quickly, good battery life, and has a lovely screen.",Positive
941,( ps it is not touchscreen so not quite sure why it is mentioned as a metric here),Positive
942,unreal..hinge started to malfunction within 3 months and caused edge of screen to come apart.,Neutral
943,"the laptop has a very bad battery and very noisy ventilation.even without loads it is noisy.the battery lasts for 2-2.30 hours watching video.on another model with rysen,it works 5-6 hours and does not make noise.in addition,here the ventilation goes directly into the screen.absolutely useless.i do not recommend this model",Negative
944,"the screen quality is pretty nice, and the touch screen works well mostly as long as you do not touch it too lightly or too heavily.",Positive
945,"the screen blinks, and never turns on.",Neutral
946,"very slick, lighting speed and great screen quality.",Positive
947,"every time i have not opened my laptop an hour after i last opened it nothing happens with the screen and i am forced to hold the power button until it turns off and then on again, if i am lucky it works the first time.",Positive
948,"keyboard lights up, no screen, keyboard turns back off.",Neutral
949,"the screen had scratches, the laptop it self had digs and some of the keys are not working.",Neutral
950,i turned it on last week & the screen started to flicker & then went black.,Negative
951,every day or so i open the lid and have a black screen.,Negative
952,love how vivid the screen is.,Positive
953,i cant image how come apple will put such a low resolution camera on a 1000 laptop.,Neutral
954,the screen and back lit keyboard is also very nice but the battery life is absolutely horrible. | i charged it fully last night and i turned it on for about 30 minutes and i am already at 86% i only had the home screen up.,Negative
955,touch screen is great movie quality it also great,Positive
956,keyboard feels good and so is the screen.,Positive
957,because the mic on my laptop broke after about 4 months and i barely used it besides like skype calls and now the bottom side of my laptop is peeling whenever i try to push the screen forward or back. | i can hear the sticky adhesive holding the side pulling apart so something must be off with the outer layer because i do not understand why i cant open or shut or adjust the angle of my screen without the side trying to pull apart to where i can see inside my computer!,Positive
958,it will disappear from the screen and start randomly clicking and zooming in.,Negative
959,"the screen is nice, i get pretty high fps while gaming.",Positive
960,"the only way i can tell i have a webcam is the lens on the top of the screen, otherwise it does no exist.",Positive
961,"assessment after six months: this is an excellent low priced chromebook overall, with fine screen quality and light weight. | the first is a touchscreen that is slightly inferior to the ipad.",Positive
962,"screen quality is ok, but i would not recommend it for high octane gaming.",Positive
963,"it is thin, very nice looking and the screen is large and graphics look great.",Positive
964,"it does not game, it has no touch screen but the visuals and the effort into creating the almost perfect man/woman who wants it there and then?",Positive
965,love the touch screen.,Positive
966,"the screen is beautiful quality and so is the keyboard, the touchpad is not bad (but it is not great, a lot of pcs struggle with this so i think it is a necessary sacrifice when it is so cheap, but just letting everyone know, the touchpad does stutter and is not completely smooth).",Positive
967,"the screen, unlike previous iterations, is gorgeous for the price - crisp and detailed.",Positive
968,"you will easily be able to type several words in the time it takes this toy to put 3 or 4 characters on the screen. | that means that if you are composing on the fly and typing rapidly, you will be so far ahead of the words appearing on screen you will be continually backspacing two or three words - one character at a time - to correct any typos.",Positive
969,"i have not played any games on it yet so i could not give it any stars yet, also it has stars for touch screen which this model does not have, it has the touch id.",Neutral
970,"this laptop is a steal for the price asked, backlit keyboard is very nice and bright, the image in the screen is very crispy, it is perfect.",Positive
971,has an excellent screen.,Positive
972,"the screen is not very bright and not the best color display, and the speakers suck.",Positive
973,"great screen, great viewing angles, touchscreen, and will fold as a tablet.",Positive
974,"additionally, the touch screen is not as good as my old surface laptop so sometimes it does not respond at all and other times (if i put my forefinger on the top back of the screen and my thumb on the screen) all the tabs will close at once. | my second option would have been getting a refurbished ipad pro which has great visual clarity and is a touch screen.",Positive
975,"i want to say is this is not a touch screen, which is so disappointing i absolutely cannot get used the touch pad.",Negative
976,"still it spent the money where it matters the screen is fantastic bright and responsive, the keyboard is actually great with tons of travel and good key separation.",Positive
977,"it worked very well for a while, but then suddenly started having a bluescreen error, and now just constantly restarts.",Positive
978,"laptop is not even three months old, and i have had to ""force shutdown"" twice within the last week since it froze up and immediately goes to a black screen.",Negative
979,and i like the matte screen so there is no glare.,Neutral
980,first of all; there is not touchscreen!,Positive
981,"with how expensive this computer is i am shocked with the quality of the camera, and the fact it is not touch screen.",Negative
982,"the screen quality is decent considering the price as is the sound (for videos, not music).",Positive
983,screen clarity is very good.,Positive
984,"my main cons are the screen is kind of dim, also the speakers are not great.",Positive
985,excellent screen.,Positive
986,screen is nice and big so it also works really well to watch your favorite programs. | my problem began a few months ago when a tiny part of the plastic broke on the right bottom corner of the screen. | but the last 2 months of use it i have needed to prop something heavy behind the screen to hold it up because otherwise it just falls and breaks even more. | anyway when i was trying to fix the sockets that popped out of place i guess a wire that was exposed ripped or something because the screen no longer turns on sadly.,Negative
987,i really like the touch screen on this new one which is something my old one did not have.,Positive
988,screen is way too dim at full brightness battery dors not last.,Positive
989,the screen died on my hp silver 15 inch laptop one month after the warranty ended!!,Neutral
990,"when i got it all done, a day later he called me and said ""s mode"" had come back and he could not get rid of the page on the screen.",Neutral
991,"the screen quality is amazing, it is very fast and does everything i need it to. | i was very surprised with the screen clarity while watching netflix.",Positive
992,i need to read more thoroughly i assumed it was touch screen and this one is not.,Positive
993,"it made it seem like it had a touch screen, it does not. | fast with the 4g of ram but the storage is small and there is no touch screen.",Negative
994,the screen ribbon area takes up 1 1/2 inches of space in 2 segments of 3/4 inch each. | while that in itself seems too large for screen size i call for assistance on illegible fonts.,Positive
995,"the screen could go dimmer when turning the brightness down, but i am none of those people that tend to use the least amount of backlight on my laptops, so take it with a pinch of salt.",Negative
996,the flexible hinge system and ips touch display enable users to convert this chromebook into a tablet mode or other variations such as tent mode.,Negative
997,"great screen quality, good speed for most activities, terrible battery life (it lasts about a 45 minutes now with full battery after a few months of using it), and cannot handle most games.",Positive
998,hard to believe that i can work with it all day and do not have to charge at all even with bright screen.,Positive
999,"it is not touch screen btw but i do not for that anyways , either way you wont regret it !",Neutral
1000,"the screen quality was awesome, although there was no touch screen! | if you are looking for a touch screen laptop, this is not the one.",Positive
1001,it is lightweight with a big screen which is what i wanted.,Neutral
1002,"i knew it was not touchscreen when i bought it, so i am not sure why it asked me to rate the touchscreen.",Negative
1003,"she loves the touch screen, the flexibility of computer or tablet-style, and the easy set up.",Positive
1004,i only use my laptop for school and it is so slow.i received laptop and the bezels were very shaky.now there are visual glitches all over the screen.,Positive
1005,"the 144hz screen is the best 15"" display i have ever seen on a laptop and it was able to handle all the games i threw at it with ease (call of duty modern warfare, heroes of the storm, world of warcraft).",Positive
1006,"she says that the screen is clear and wide, loves the key board, she was able to connect it to an external lg monitor with a hdmi cable.",Positive
1007,no touch screen.,Neutral
1008,runs really fast and has a really clear screen.,Positive
1009,the screen is fantastic. | initially the screen occasionally blinks when viewing video in chrome.,Positive
1010,"i did not realize how small it was however it is a nice laptop,the screen did go black for a full day, it was charged an everything,for some weird reason it came back on, that is the only issue i have had with it",Positive
1011,"2) i would be typing with two hands -- and all of a suddenly that little glove pointer hand would appear and move all over the bottom of the screen, and what i was typing would become incorrect.",Negative
1012,8 months and now the screen is flickering.. i dont' even use this much cuz it is my even my main work station but my 2nd laptop for notification stuff on the side...,Positive
1013,the only major issue that i keep on having is that i will be trying to open a zoom meeting and it goes to my home screen and closes all windows.,Positive
1014,"better touch screen,speed is also good but plastic quality is not good and it is delicated.",Positive
1015,this screen clears off unable to wake cannot even set up i am soooo disappointed,Negative
1016,now the screen looks as if it was dropped from a 2nd floor.,Neutral
1017,"having some issues with scrolling, screen is small and we need wide visuals of maps.",Negative
1018,from the beginning this laptop had a decently large white spot on the screen.,Positive
1019,the touchscreen feature is really nifty (especially in 2012/13) but this makes the screen heavier and dirtier.,Positive
1020,"i love the chrome book because i get to use it as a tablet and the touchscreen works well for me, i can put in my hand bag because it is not to big and everything works well i love it❤️",Positive
1021,the chromebook offers the google play store and touchscreen is handy with apps. | the screen quality is great enough to read books clearly for a long period of time.,Positive
1022,the aluminum case is sturdy and the display is satisfactorily detailed.,Positive
1023,great screen.,Positive
1024,love having this one as a touch screen my old one was not and i feel it needed it.,Positive
1025,although i might have to upgrade to a bigger screen perhaps the 15inch would be much better for a professional use.,Positive
1026,"the back lit keyboard is a really good feature, and the display looks sharp and true to me.",Positive
1027,"although it was listed among the touch screen computers, it is not.",Neutral
1028,"slim and light, upgradable ram and storage, fast ssd, 15"" 1080p screen, and long battery life, this machine has great value. | the only gripe i have is that the screen could be slightly brighter.",Positive
1029,"some of the newer features like the touch screen pad have taken me some time to get used to, but i am learning to appreciate them.",Neutral
1030,"the touchscreen is responsive, and i like that it can be folded back to watch videos, etc.",Neutral
1031,the display would constantly black out.,Negative
1032,i really like the laptop and love the touchscreen.,Positive
1033,"even though it takes a stylus to work the touch screen, and though the battery life is not as advertised (10 hours, maybe it is more like six if you are not using it heavily, i love this chromebook.",Positive
1034,"i actually bought an hp that had all the specs i wanted, but it did not have an ips screen. | i returned that laptop because of its poor screen. | i did a great deal of research and it was apparent that the manufacturers like to throw out specs that come close, but did not include the ips screen. | and it is the ips screen that makes a laptop a standout.",Positive
1035,"the 2020 hp 15 15.6"" hd touchscreen laptop is lightweight, has great screen quality and functionality.",Positive
1036,screen quality is amazing & the touchscreen work flawlessly & does as it says.,Positive
1037,"i just bought this laptop for a couple of weeks, and the right corner of the screen started to unattached.",Positive
1038,sturdy metal frame and vibrant screen.,Positive
1039,"the screen is beautiful, the backlight keyboard is a great feature, it has a 10 key section and i love the sleek design.",Positive
1040,the display on this computer stopped working after 4 months.,Neutral
1041,"i find it very fast, the screen is crystal clear, and it has so far been able to handle any task i have thrown at it.",Positive
1042,"thought i was getting a blue laptop, as it was displayed, but the laptop inside the box was black.",Negative
1043,"the things that set this laptop apart from others in the price range are latest generation ryzen mobile processor, ips screen, nvme m.2 ssd, these are features found in much more expensive laptops.",Positive
1044,"the sleep button is in a bad location because when you try to touch the escape button, you always accidentally touch the sleep button... this computer is also does not have a touchscreen feature., but over all a great buy!",Positive
1045,"good quality screen, nice construction, speakers are meh in somewhat noisy environment, good battery life and able to get your windows work needs done.",Positive
1046,i wish the screen quality was a little sharper. | i guess i am use to the apple computer screen that why.,Negative
1047,screen went black after only 3 weeks yu lu sales nowhere to be found.,Negative
1048,"my biggest disappointment is no touchscreen. | i would be lying if i said i do not miss my touchscreen because i do but that was my mistake, i thought it was a touchscreen, it is not.",Negative
1049,"this is a good laptop, it is fast to boot up and fast over all, ive had some problems with it but that is probably just because of 4gb of ram , its not too heavy and the screen is good",Positive
1050,great for online classes with a nice screen.,Positive
1051,got the screen looking best possible (again decent).,Positive
1052,"it has a widescreen, and 10 key!!!",Neutral
1053,"the ips panel screen has very good colors and the keyboard/touchpad are decent. | the battery can last up to 6:30 hours when i was just browsing the web and taking notes, with the screen dimmed and on battery saver mode.",Positive
1054,i really like that you can do the keyboard or the touchscreen.,Positive
1055,load screens zip by. | the screen is very clear as well and is very hd.,Positive
1056,"if you are not looking at the screen you could be typing over previous work, deleting work or even typing in a different email.",Negative
1057,otherwise the laptop is fast and has a nice screen display.,Positive
1058,that one also had issues with the display. | the display has areas in the upper left and upper right side which were displaying as lighter color. | it did not have the problem with the display.,Positive
1059,"fast, lite, good display, good keyboard.",Positive
1060,"received this as a christmas gift and have just started to use it - i shut it down properly every time - but after about a month it suddenly seems to ""power on"" but there is only a black screen. | or, if any of you 'techies' have a suggestion, tell me ~ both blue lights are on, i have done nothing different than i did on any other day, but now - black screen.",Negative
1061,"the screen resolution is pretty bad in my opinion, also, there is no caps lock key on the keyboard, you have to press shift every time you want to cap something.",Negative
1062,the touch screen did not really come into play but it is nice.,Positive
1063,the screen is bright and 144hz is a revelation to me (my first screen above 60hz).,Positive
1064,15 in screen large enough for email & internet searches.,Positive
1065,"the screen is pretty crisp (1080p is definitely good to have at this screen size), but could have been a little brighter.",Positive
1066,"since we are all using smart phones and other devices with touch screens, having a laptop with touch screen is great.",Positive
1067,"it is fast, the touchscreen is precise, and bright enough to use outside.",Positive
1068,"also, this laptop has glitched multiple times where the screen just goes black, and i try to hit escape, and it is frozen.",Negative
1069,i have had this just over 4 months and the cover is coming off of the screen.,Neutral
1070,"perfect size not to big, touch screen very nice.",Positive
1071,"i was really enjoying this computer and just after the one year mark my screen became defective. | i came back to watch the lecture and noticed lines along the left side and bottom of my screen (see picture). | if i would have it would have been $269 and anywhere between $99 for display change or as i was quoted $299 for ""other"" damage at the apple store. | by the way, the technician tried to attribute the screen malfunction to the few pieces of dust between the display and keyboard. | there is currently a class action lawsuit for this ""display gate"". | buyers beware of the ticking time bomb of a display.",Positive
1072,screen sharing was not working.,Neutral
1073,"the screen is amazing, it is great at gaming.",Positive
1074,i love this computer great features....clear bright screen easy directions on set up glad i brought it,Positive
1075,"i am having black screen issues when scrolling down, if i scroll back up it goes away but it is distracting.",Negative
1076,"it is sleek, has a big screen and is convenient for my needs. | the display is awesome and it is really clear to see.",Positive
1077,screen quality is amazing.,Positive
1078,"cut and paste from the item i purchased: ""lenovo ideapad 3 14 laptop, amd ryzen 5 5500u, 8gb ram, 256gb storage, 14.0"" fhd display, amd radeon 7 graphics, windows 10 home, abyss blue"".",Neutral
1079,"the screen resolution is good, but i am not using this for gaming or photo editing, so my bar is not too high, but it works well for streaming.",Positive
1080,screen was broken as soon as i turned it on.,Negative
1081,"the keyboard is spaced just right, and the touchscreen/tablet/pivoting features are incredible for the price.",Positive
1082,"very nice laptop... screen is awesome, looks good, comes with ssd and ddr4 memory.",Positive
1083,"this acer has blown me away with the performance, screen quality & battery life.",Neutral
1084,i do not understand why older models support dual (or more) external screens and this new and 'improved model does not'.,Positive
1085,"my son likes it, just misses his touch screen .",Neutral
1086,"as my first laptop (have been using desktops forever), i am impressed at her boot speed (literally seconds) and screen resolution.",Positive
1087,"very light, great screen resolution, has all the basic features i needed.",Positive
1088,"we have been using it for a few days and, of course, the kids love the touch screen, and taking photos.",Positive
1089,it is much faster and the screen is clearer to see!,Positive
1090,brought the chrome book for personal reasons and the screen quality and the sound is amazing,Positive
1091,i spent several days migrating my apps and data from a dying dell laptop (ssd failing) using a usb mouse (because it is easier to deal with for complex screen picks than a touchpad).,Negative
1092,it also is a touchscreen and can be used as a tablet.,Neutral
1093,"fast boot up, great 1080p resolution, expandable (added 4gb additional ram and a 1tb hd) and great value for it is $365+tax price point.",Positive
1094,the ability of the screen to automatically rotate when i switch modes or reposition the laptop is none existent. | to have to manually change the screen orientation is a big turn off.,Neutral
1095,"long battery life, with relatively fast recharge, decent (for a laptop) keyboard, very good non-touch display.",Positive
1096,"i got this as an inexpensive touch screen for my mom, she is able to use it very easily, we are able to use what is app for facetime and she can do her banking and other minimal internet activities with no issue.",Positive
1097,"like bigger screen, great for basic web browsers.",Positive
1098,the only problem is the resolution on the camera/video is not good.,Negative
1099,i saw a review that claimed the screen was not crisp and clear but i think it is fine.,Positive
1100,touch screen also not good.,Negative
1101,"my son likes it but, i thought the screen was larger.",Neutral
1102,"awesome screen, more than decent power for everyday tasks and more, has everything a laptop should have",Positive
1103,this computer is ok but the screen came with a white dot light on the screen. | this is the 3rd laptop i get from amazon with something wrong with the screen.,Positive
1104,"after numerous attempts, it will not boot an install of windows 7, and frankly, its nearly worthless to me without it...i even went as far as creating a custom windows 7 disk with nvme, efi and gpt, that one installed but would not boot past disk.sys...all newer versions of windows have ridiculous amounts of privacy invasion built it and they are not to be trusted...the screen quality is good but it has been flickering every time i turn it on since i got it...on gaming it seems good for about 15 minutes, then it starts dropping frames like crazy making it unusable...i did not purchase it for gaming but it came with a free trial of xbox live so i gave it a shot...after hours of fighting updates on xbox live, it finally downloaded dirt 5 and it played perfectly...for 15 minutes at a time...that was with graphics settings on the game on automatic, obviously it did not adjust automatically and i was not interested enough to fight it with manual settings...all in all, i wish i had bought something that could run windows 7...i find myself using my 12 year old dell to do stuff often because with windows 7, it actually gets it done...on this thing, it feels like i spend more time trying to get it to work than i do using it...",Positive
1105,"the screen is very good, to be honest i was very surprised, its quality is quite clear the colors are not appreciated false or over saturated, the image quality it offers is something that will fascinate you outdoors because you have to look for a good angle of that shape will not be affected, the brightness is decent if you want to lower it to a minimum and when you choose to upload it to the maximum you will appreciate the clear images without perceiving that feeling of discomfort.",Positive
1106,also this review just asked me to rate the touch screen... is this supposed to be touch screen?,Neutral
1107,this has been great so far and is lightweight and has a decent sized screen.,Positive
1108,"she is had it a month, and the hinge holding the screen to the base has come... unglued.",Negative
1109,"the screen is nice, ssd is super fast and the laptop is very responsive.",Positive
1110,not a bad laptop for 350 dollars but the screen timeout after 30 seconds for the a515-43 is ridiculous im not always in a brightly lit room to see the keys and theres no updates to fix the issue which from what im seeing is an issue by more than just me im really considering returning it its a deal breaker for me other than that its decent for the price.,Positive
1111,"quick and easy to set up, nice big 15"" screen.",Positive
1112,"the keyboard is nice, screen is great, mouse pad ok, decent battery life, and it has most inputs/outputs you might need.",Positive
1113,it has everything i wanted except a touch screen which is not important now that my granddaughter is older.,Negative
1114,the screen is a solid ips screen and when you consider the price tag is amazing and beats a lot of the more expensive laptop screens i have seen.,Positive
1115,"its an ok computer, it plays all my games just fine, with reasonably high settings at about 60fps, not hitting the full 165hz of the built in display but good enough. | halo infinite does not have the greatest graphics on this thing and i dont mean ""ooo the resolution is too low"" or ""the gun is a bit too blocky"" i mean the game's dynamic range is terrible, the lights are way too bright and the darks are literally bordering on black, in the included picture, that structure is a pelican dropship but you wouldnt know that looking at this picture unless you knew what it was beforehand and knew what to look for.",Positive
1116,it has a beautiful display but you should not buy a $350 laptop and expect it to run complex modeling software like mastercam or games that would bring a geforce rtx 2080 to its knees.,Positive
1117,"the laptop display, keyboard and touch pad are all great.",Positive
1118,"the screen quality, keyboard, and casing is great!",Positive
1119,the laptop is not touchscreen and not for gaming. | the screen quality is exceptional and shows netflix oh so well!,Positive
1120,do not use the computer for gaming and it has no touch screen.,Neutral
