,Storage Sentences,Storage Polarity
312,"i purchase this specifically for the 500gb hard drive. | the laptop that arrived had only a 118gb size hard drive, 79gb of which was already gobbled up by windows and pre-installed software.",Negative
313,"i needed a computer with a lot of storage, a fairly large screen, a numerical keypad, and most importantly, a cheap price tag. | my biggest complaint is that it came with a lot of microsoft bloatware that i had not experienced on my other laptops and by default it uses your microsoft onedrive for storage instead of the computer's ssd. | my job requires me to take a lot of photos, so i was saving my photos to the computer without realizing it was uploading to my cloud storage account. | i unintentionally used up all of my cloud storage space because i did not realize the system was set up that way.",Positive
314,"as others have mentioned, the computer has some room for upgrades, for example an extra 2.5 inch hdd or ssd. | however, one must unscrew the little connector for the hdd, and take off the little ribbon cable that is under the plastic. | this little piece connects to the hdd/or ssd and the motherboard.",Negative
315,"i was hesitant to buy this laptop at first, -1 because its been a while since i used a pc ( have a macbook that i have been using for years and 2- because the size of the hard drive concerns me.",Negative
316,"the laptop does not come stock with a lot of memory so backing up is probably going to be necessary, that or upgrade the storage space.",Neutral
317,"the detailed reviews about the ease of upgrading the ram and adding another ssd was the tipping point and proved to be true. | i added a second 4gb stick and a 512mb 7mm ssd drive. | all in for me, including the ram and second ssd was under $300 with all discounts.",Positive
318,"i found this computer and comparing prices this have a really good hardware, no after i received y ran the ps2 emulator an run very well, i downloaded other videogames and run excelent, all the cover is of metal, and can virtualice the operating systems very quick and easy wit vbox or other virtual hypervisor, it is really fast when executing software, the ram cannot be expanded but the hard drive yes, so i expanded the other slot to a 1 tb with a gaming ssd nvme, that is how i have now a complete laptop",Positive
319,"amazing cpu, ram, ssd, and ips screen meaning best value for your typical laptop usage.",Positive
320,also looking forward to upgrading memory and storage.,Neutral
321,upgraded hard drive to 500gb nvme pcie wd blue and added another 8gb ram.,Negative
322,"8gb, ssd, i5 processor (way better than my i3!)",Positive
323,installed a second ssd and ram in about 30min.,Neutral
324,"watch out for hidden software that messes up browser access, even your hard drive.",Negative
325,"everything running off the 10300h's uhd graphics, and trying to download drivers for it has resulted in them failing to update in windows 11 even after successfully being installed.",Positive
326,after setting up and transferring all programs to this laptop i began to add the ssd. | when i went to connect the ssd cable to the socket the socket (on the mother board) would not lock the cable into position.,Neutral
327,so i then used the cable that came with my samsung external hard drive and bang it work immediately.,Negative
328,"gets the job done, the framing/hinges breaks after awhile from continued usage, opening and closing or back page storage with textbooks or other items.",Negative
329,"if you want to add an additional hard drive, get the mounting screws first before you go to all the trouble of opening the back.",Negative
330,i love how light the laptop is and that you can easily upgrade the ram and storage.,Positive
331,upgraded the am with another 8gb stick and added a 2 tb ssd.,Neutral
332,the size and weight of this laptop may be a bit big and heavy for her but the full hd ips display and backlit keyboard is great for work or leisure.,Positive
333,the ssd is fast as well and this machine boots up in seconds. | i was able to upgrade the memory and add an extra hard drive fairly easily.,Positive
334,i did decide to add a wd black ssd to store my games.,Negative
335,"after adding another ram card, and adding a ton of storage (which was very easy because this tablet comes with the sata tray and the hookup cord already inside the laptop. | but i have not played any games on it because i am not a gamer, so i cannot really give an accurate assessment, but the ease of adding massive storage leads me to believe it would be satisfactory in that capacity.",Positive
336,i find it the right size for the job i am doing and take advantage of apples cloud storage and ways of using other mac's as storage for information so this does not use storage much at all. | most of the time i am using browser programs to access the business info or using the cloud to access files back at the home base which is the new mac mini with an external hard drive that houses the business information. | if you are debating getting one for business i recommend using their cloud storage so you eliminate the focus on storage anxiety and makes it more worth it in the long run of having a user interface focused laptop.,Positive
337,also enjoy having the extra storage at 64gb.,Positive
338,"if you want to add an additional hard drive, get the mounting screws first before you go to all the trouble of opening the back.",Negative
339,"hard to do better for the cost, but consider you will almost certainly need to add an additional hard drive (there is space for one to be installed, though can be tricky if you are not knowledgeable about opening up laptops). | of course you could also get an external hard drive if you do not mind carrying it around, but i find laptop usb ports tend to be finicky after a few years of use.",Negative
340,i have been in love with this beautiful computer since i got it... and the only real downsides are no cd port and has little memory on the hard drive... i got an external one and now it is been going fantastic!!!,Positive
341,the hd screen is lively and the depth is mesmerizing!,Positive
342,"then i put in a 1 tb hard drive, and a 1tb ssd and installed more ram, so i have 8gb instead of 4gb.",Positive
343,it is possible to upgrade ram and storage (the two important things at least for me),Positive
344,"fantastically easy setup, sufficient processing speed, webcam, hdmi port, hd screen display and not too much bloatware preloaded.",Positive
345,the device have enough storage space and a clear screen quality,Positive
346,to it is credit it does have a 512 ssd drive instead of the 256 advertised.,Neutral
347,i even was able to partition the hard drive to get windows and you would be surprised at its ability to run games at medium graphics settings as well.,Positive
348,"a must is to upgrade to another stick of ram and another bigger hard drive, and you have a decent laptop.",Negative
349,500gb ssd that i just upgraded with another 512gb ssd for $43. | i put the ram in and then the ssd in under 5 minutes.,Neutral
350,i would also recommend putting in more storage. | it only has 128gb ssd stick in it so a hard drive or another ssd is needed (i put in 1tb and have not had issues).,Positive
351,"the seller said it is fhd but asus shows it is hd only, just disappointing",Negative
352,while i had the back of the laptop off i also expanded the hard disk space with a kingston 240 gb hdd since after windows 10 updates there was only about 95gb of hard drive space left on the 128gb ssd. | this laptop comes with 4 screws to attach the hdd to the bracket included on the motherboard. | it does have some bloat ware which i would recommend removing especially if you do not add a hdd.,Negative
353,"hated it came with windows 10s but easily upgraded to windows 10 home for free, after free upgrade was able to enter my windows 7 pro product key and get a free upgrade to windows 10 pro, added a xpg sx8200 pro 512gb hard drive for operating system and a crucial mx 500 500gb hard drive for storage and 16gb of memory and then did a fresh install of windows 10 pro laptop run amazingly.",Positive
354,"it has the latest 12th generation 14-core intel i9-12900h cpu, it has the latest nvidia geforce rtx 3080 ti gpu, it has 32gb of the latest ddr5 ram, and it has an extremely fast 1tb ssd drive. | the resolution is even greater than a qhd monitor. | qhd is 2,560 x 1,440; but this monitor is 2,560 x 1,600. this means you have more vertical space, which is great for both gaming or if you have several windows open at the same time.",Positive
355,hdmi connection and bluetooth work great for connection to wahoo kickr trainer and wahoo hr monitor.,Positive
356,nvme boot drive is fast but small so i added a 2nd ssd for storage to meet my level of use.,Negative
357,the hd screen is lively and the depth is mesmerizing!,Positive
358,"128gb ssd, amd ryzen 3200u, decent graphics card, backlit keyboard.",Positive
359,"the hd is not large, and it could use some ram.",Negative
360,i will be upgradung the ram soon and installing another hdd.,Neutral
361,"asus tuf gaming f17 gaming laptop, 17.5"" 144hz fhd ips-type display, intel core i5-11400h",Neutral
362,"i was hesitant to buy this laptop at first, -1 because its been a while since i used a pc ( have a macbook that i have been using for years and 2- because the size of the hard drive concerns me.",Negative
363,"i ordered this on a one-day ""flash sale"", and i had the choice of intel or amd, nvidia, intel uhd or vega3 graphics.",Neutral
364,"huge screen, crazy hd!!",Negative
365,pictures and videos are full and rich and do justice to its advertised “full hd (1920 x 1080) widescreen led-backlit ips display” the computer does not have a touchscreen and that works perfectly for me.,Positive
366,"besides the low ram and storage space which can easily be upgraded, this computer should meet all your needs.",Positive
367,"i was looking for something similar to a netbook but i wanted more performance, a better touchscreen and keyboard and, more than everything, speed and storage.",Positive
368,"very low storage space and it is noticeably slower than my 10 year old toshiba (this was when i first plugged it in out of the box before i even loaded anything onto it so it was not because i had it overloaded or anything), but the battery life has been great and it is just a work computer for me so it works just fine.",Positive
369,"bought this laptop for my 11 year old son about a month and a half ago as a birthday gift and he loved it, working great for playing fortnite and among us.",Positive
370,"the ips display is gorgeous, the ssd makes every task feel quick and reactive, and the trackpad/keyboard both feel great. | the only drawbacks would be the 4gb of memory (which is expandable) and the fairly limited amount of storage.",Positive
371,"also there is a factory seal sticker blocking you from removing the bottom plate of the laptop, which i hope is not a void sticker in addition because you need to remove the bottom plate to insert any sort of additional storage device, because i can guarantee you that if you bought this laptop to play videogames the 500gb m.2 isnt going to cut it one bit. | so just start off by buying an additional wd 1-2tb 2.5in ssd and probably just get a samsung 970 evo 1-2tb m.2 also to replace the one that the laptop comes with and just sell the 500gb one to someone who needs a m.2.",Neutral
372,"the low ram can be easily upgraded for under $30 and there is everything needed to add a 2.5"" ssd under the hood.",Positive
373,i have not had any issues running any game on high or max settings and the ssd is more then enough to make a huge difference in terms of load times and speed.,Positive
374,"acer describes in a youtube video how to open the case and install a hard drive. | the computer is even shipped with the 4 mounting screws needed for the hard drive install. | i installed a 1 tb solid state drive, in addition to the 128 gb drive that it is shipped with, so i now have plenty of storage space.",Negative
375,i maxed out the ram to 16 gig and installed a 1 tb ssd in the open bay as soon as i got it.,Neutral
376,i opened it up and put in 4 more gb of ddr4 and a 500 ssd card i took out of my previous laptop .,Positive
377,runs great and had an extra slot for a second ssd that was an easy install.,Positive
378,i have not added a hard drive as i do not store photos or other media on my computer but the option is there if you need more space.,Positive
379,"we hooked it up hdmi and tried to get a visual that way, and nothing!!!",Neutral
380,"fast boot up loading and web navigation fast , love key board backlight perfect brite and come with extra adapter for extra hdd",Positive
381,the ssd and amd ryzen processor make it lightning fast.,Positive
382,great storage capacity.,Positive
383,"make absolutely sure you budget for cloud storage, or an external hard drive if you go with this machine.",Positive
384,hd video steaming?,Neutral
385,"for users that would like to run games or do graphic designs or any other storage/ram consuming tasks, i would highly recommend purchasing ram and either a 2.5 ssd as it comes with an extra slot to put one in or another m.2 with higher storage as it would be a necessity since 128 gbp of storage would definitely run out fast.",Positive
386,right when i got this pc i went to crucial.com ordered two 16gb ddr memory and an additional ssd for storage.,Positive
387,"wonderful, if you add an ssd and more ram. | i put a samsung ssd and kingston ram and its flying.",Positive
388,never worked since day 1 and hard drive has does 2 times already and battery 3 .. this is a very bad quality computer and shouldnt be put for sale.,Negative
389,well i bought me a 4gb ram stick and a new internal ssd with 1tb storage that i reinstalled windows on (windows 10 because i prefer it.,Positive
390,this laptop is such an upgrade ...my absolute favorite is the multiple -colored backlit keys that scroll ever so gently while i am working...pretty jewel tones add a super -rich touch...the keys are so great to see and access...the laptop has a good solid weight to it...the sound is really great...the hd quality is there for sure.,Positive
391,i purchased this computer for its hd output. | the wireless connection to my tv means no wires to mess with and the picture is fantastic in hd!!,Positive
392,fast with the 4g of ram but the storage is small and there is no touch screen.,Negative
393,"she says that the screen is clear and wide, loves the key board, she was able to connect it to an external lg monitor with a hdmi cable.",Positive
394,over all very good for gaming ( 2 games max with the original storage) but with another storage instal perfect.,Positive
395,"great laptop for the price, i kept the original m.2 for now but added a second ssd and 16 gb of ram, took it out of s mode and could not be happier.",Positive
396,"i am imagining they reinstalled the hard drive (and whatever), did not check it, and put it immediately in the box back to me.",Negative
397,great machine but wish it had more than 256gb hard drive,Positive
398,i bought this on sale and upgraded memory to 16 gb and ssd nvme to 1 gb.,Neutral
399,"slim and light, upgradable ram and storage, fast ssd, 15"" 1080p screen, and long battery life, this machine has great value. | my next step is to get an hdd, probably a 1 tb one in the future.",Positive
400,"the 2020 hp 15 15.6"" hd touchscreen laptop is lightweight, has great screen quality and functionality.",Positive
401,"two issue that i have are the fan noise, it can get very loud at times and the ports, sometimes the hdmi port and the audio jack ports act up but nothing too bad.",Negative
402,the ssd is super fast.,Positive
403,"while you have the back cover off, i would also recommend upgrading the ram as 4gb is not going to cut it with windows 10. there are two slots, i bough a second stick of ram to get it up to 12gb total (8gb + 4gb) and threw it in at the same time as the hdd.",Neutral
404,breand new computer with bad hard drive.,Negative
405,"the things that set this laptop apart from others in the price range are latest generation ryzen mobile processor, ips screen, nvme m.2 ssd, these are features found in much more expensive laptops.",Positive
406,i upgraded to 16gb of memory up from the 4gb and added a second 500gb hard drive.,Negative
407,acer thanks for making the laptop easy to upgrade ram and to add a second ssd.,Positive
408,"for the price its great if your going to try and game like good quality high demand games it wont do so great but i didnt get it for gaming i got it for needing a computer on the go that i can move around and use for my drones gopro and car or whatever i needed cause lugging a gaming desktop around wasnt ideal and i have a very big and very heavy gaming laptop that i dont care to take around unless i plan on gaming on the go so this was a perfect cheap latop that would get anything basic i needed it for and i upgraded the ram to 32gb and put a 2.5"" ssd 1tb in it so i can upload my gopro footage and drone footage if i need to make room on the micro sd card and it works great the boot time is actually so fast its a little faster then my gaming desktop on a m.2. | i plug a hdmi cable in it and watch movie on my tv cause it only uses like 7w or something low. | great light weight laptop that has enough performance for me to browse multiple tabs at once and multiple programs running all at once with no problems and the 5g wifi is nice and fast i dont even use a ethernet, the price went up since i purchased it a year ago but its still cheap and works great i havent had any problems with it and putting in the ssd and upgraded ram was very easy and straight forward i dont use it everyday all day like some but so far its been doing its job",Positive
409,this baby can really perform (for limited tasks only) notice the 64g storage....its small ! | do not know if the free windows is worth loading i have cut everything i can and have only 25.2g remaining storage (and do not plan on adding anything unless absolutely necessary).,Positive
410,it also boots up faster than my gaming pc with an ssd which is nice for a laptop.,Positive
411,i upgraded the ssd to a 900gb and put another stick of ram in and i can run *wow* on high settings! | the screen is very clear as well and is very hd.,Positive
412,i was able to add a ssd in the empty expansion bay.,Positive
413,"i also bought an external hd which was cheaper than upgrading from old 256 to 512. my warning is about office 2019. there was stuff on the web that 2016 would not work, needed 64bit, but while there seemed to be workarounds, i just upgraded and bought 2019. there is a scam site posing as microsoft office/setup that looks legit once on it, but you get an error message and phone number to resolve.",Positive
414,"it was easy to convert from the supplied w10-s to w-10 home operating system, the supplied cable and mount made it easy to add an additional ssd, and i also doubled the supplied ram while i had it opened up.",Positive
415,"despite this, the hd is really clear and crisp.",Positive
416,"cut and paste from the item i purchased: ""lenovo ideapad 3 14 laptop, amd ryzen 5 5500u, 8gb ram, 256gb storage, 14.0"" fhd display, amd radeon 7 graphics, windows 10 home, abyss blue"".",Neutral
417,"very nice laptop... screen is awesome, looks good, comes with ssd and ddr4 memory. | this runs just as good as a $500 laptop and also has an empty slot to add another 2.5"" hdd.",Positive
418,"in fact, i will be buying one for my son for his birthday!",Neutral
419,i spent several days migrating my apps and data from a dying dell laptop (ssd failing) using a usb mouse (because it is easier to deal with for complex screen picks than a touchpad).,Negative
420,"fast boot up, great 1080p resolution, expandable (added 4gb additional ram and a 1tb hd) and great value for it is $365+tax price point.",Positive
421,the ssd only is a great step above anything else with an hdd.,Positive
422,"upgradeable memory and storage with a decent cpu running radeon vega 10, that is a solid deal.",Positive
423,no hard drive.,Positive
424,great laptop.i upgraded mine with 1tb ssd card and 2x 16 gb sdr ram.fast great for games,Positive
425,"i consider it a laptop for normal day-to-day use, to perform tasks in excel, to do documents, to browse the web, are things that make them very easily the solid state disk (128 ssd) allows you to open programs with very easily, even with the basic specifications you will have a very good performance and speed, i have installed autocad 3d which is the program that i normally have installed on my macbook pro and it turns out that it runs without any complications.",Positive
426,"this laptop is a no fluff, basic computer that does not have a ton of storage and is not super fast, but it is perfect for doing school work and streaming tv and movies.",Positive
427,love that you can add an internal hard drive.,Positive
428,"the screen is nice, ssd is super fast and the laptop is very responsive. | upgrading memory and storage are very easy (if you need that).",Positive
429,i chose to add a 500g sata hard drive as well as upgrade to 16gb of ram.,Negative
430,add 4-8gb more of ram and a 1tb hard drive (easy enough to do) and this laptop will give you just about all you need short of medium-hard gaming.,Positive
431,"ram can easily be upgraded and adding a 2.5"" ssd allows for additional memory over the 128gb included on the computer.",Positive
432,"i have purchased an internal 1tb ssd that should arrive soon and i am hoping this fixes this constant issue i am experiencing. | in addition, i have purchased an external dvd hd drive for watching dvds if possible but currently no internal memory allows nothing but email as of right now.",Positive
433,i chose to add an additional 4gb of ram and a 2.5” ssd. | ram and ssd installation were extremely easy. | make sure you have screws to mount the ssd to the bracket. | also the ssd will most likely need to be formatted if it is brand new.,Positive
434,i immediately upgraded the ssd to a larger 256 gb drive.,Neutral
435,"like: touch screen, sturdiness, keyboard, decent storage, loads websites quickly enough",Positive
436,going to add ssd (sata).,Neutral
437,this laptop can also be upgraded with additional ram and ssd drive.,Neutral
438,"what i will say is that this laptop beat the outperforms my old acer that has one of the original intel core i7 and 8 gb of memory, even after replacing it is original hdd with an ssd drive. | i did not purchase another ssd for this new acer as i have a 3 tb usb 3.1 external drive for storage.",Positive
439,i figured that i would buy it with an eye toward upgrading the ram and adding more storage.,Positive
440,"this laptop is fast because it uses a ssd instead of a hdd, but the downside is it comes with less storage. | as for gaming i have not tested it out but i do not think this laptop was made for gaming considering the small storage it comes with.",Negative
441,over all very good for gaming ( 2 games max with the original storage) but with another storage instal perfect.,Positive
442,"not amazing camera quality but it is ok. not a ton of memory, but using cloud storage or external harddrive is a good idea anyways.",Positive
443,it is a nightmare trying to find a laptop that has a discrete gpu and 2 ssd slots but is not full on gamer.,Negative
444,put in a 500gb samsung ssd drive and gave me the black screen of death permanently.,Negative
445,add more memory and install an additional hard drive.,Positive
446,i am a computer repair technician and i bought the base model (ryzen 3 w/4gb of ram and a 120gb ssd).,Negative
447,"i have purchased an internal 1tb ssd that should arrive soon and i am hoping this fixes this constant issue i am experiencing. | in addition, i have purchased an external dvd hd drive for watching dvds if possible but currently no internal memory allows nothing but email as of right now.",Positive
448,"additionally, in the ""product details"" it lists the component slots verbatim as: ""1 usb 3 1 gen 1 type-c 2 usb 3 1 gen 1 type-a 1 hdmi 1 4 1 displayport 1 headphone/microphone combo jack""...without separating the ports - so all of these numbers run together and you really cannot tell what it has. | (1) usb 3 1 gen and (1) type-c and (2) usb-3 1 gen and 1 type-a and (1) hdmi 1 4 and (1) displayport and (1) headphone/microphone combo jack""??? | because, there are only (2) usb-3 ports and (1) usb-c port and (1) hdmi port and (1) headphone/speaker jack and (1) sd card slot (not mentioned anywhere that i can see)...and unless i am confused (which can be the case)...there is no ""display port"".",Neutral
449,"i got this for my wife for her birthday and she loves it, she does mostly office things and looks at videos, etc but she did say many times that the video quality was amazing.",Positive
450,the only issue with my last mac was that the mag safe power cord would consistently fray and the hard drive cable had to be replaced 3x over 8 years (should change every 2-3 yrs).,Positive
451,it is micron ddr5 4800. the 1tb ssd is a wd sn740.,Neutral
452,"it is a very small hard drive so cleaning out unneeded programs is important, but if you do not know what the programs are for, it is a big job.",Negative
453,a year and a half ago on prime day i picked up the acer aspire e 15. wiped the storage and installed linux.,Negative
454,i run everything but windows off a external ssd and have had zero problems.,Neutral
455,"i have had it for less than a week, and have upgraded the memory from 4gb to 16, and put in a 500gb samsung ssd drive to compliment the one that is already in there.",Negative
456,"got this laptop for my wife’s birthday which was in late august she started using it in september and it was fine at first, nothing special but served it is purpose which was for schoolwork and her photography so nothing that takes up too much memory.",Positive
457,"meaning, you cannot simply take the bottom cover off and upgrade your memory or add a second ssd. | upon opening, you will be greeted by the back side of the motherboard and no easy way to update your newly purchased $1500 gaming laptop that only comes with a 512gb ssd. | 512gb is simply no enough hd space in 2021. you basically have to completely disassemble the internals of this to simply add hd space or ram.",Positive
458,"i was looking for something with an amd processor, 4-8 gigabytes of ram, an ssd, and a nice lightweight design. | the ssd is amazing and makes the desktop experience multitudes better, even with a low end processor.",Positive
459,"the battery life is long, the processor is fast, 256gb storage is okay for some.",Positive
460,"i called the hard drive manufacture and acer. | when you search for hard drives, make sure you put the entire model and not just acer a151.",Negative
461,"the 3200u paired with a ssd really makes for a snappy experience. | along with 1 m.2 ssd slot that comes prepopulated with a 128gb ssd and an empty 2.5"" bay for another ssd or hdd.",Positive
462,bought this for our daughters 18th birthday and she adores it!,Neutral
463,after setting up and transferring all programs to this laptop i began to add the ssd. | when i went to connect the ssd cable to the socket the socket (on the mother board) would not lock the cable into position.,Neutral
464,"not even a year into owning this product, the ssd has failed completely.",Negative
465,"i was looking for something with an amd processor, 4-8 gigabytes of ram, an ssd, and a nice lightweight design. | the ssd is amazing and makes the desktop experience multitudes better, even with a low end processor.",Positive
466,i installed a micro sd card and that adds plenty of extra on board storage.,Neutral
467,i got this for my mom for her birthday and it turned on once.,Neutral
468,"the computer is a really good one, is not the best but i do not really need the best, i bought it for my mom and later i liked it so much that i decided to renew my old one for this one, the keyboard is soft, the screen has good size, the size of the hard drive was reduce from what it used to be for laptops but now there are so many storage web services that looks like it is the trend now for hard drives, the quality of the screen is not hd with glare but is way more than enough i watch movies, i navigate, i use office and other tools, everything is great i do not need more.",Positive
469,"the hd screen is cool, but what good is an hd screen when hd video streaming causes it to lag horribly?",Positive
470,i run everything but windows off a external ssd and have had zero problems.,Neutral
471,i upgraded the ssd to a 900gb and put another stick of ram in and i can run *wow* on high settings! | the screen is very clear as well and is very hd.,Positive
472,i mostly bought it to connect to my tv via hdmi.,Positive
473,"will use this for basic internet surfing, photo storage, and data files.",Neutral
474,decently fast boot up times given it has an ssd.,Positive
475,i am sure i am not the only one who had to dance around the ms windows s ploy and stop everyone and their uncle from getting me to use their storage service.,Positive
476,that said i think that the description on amazon should be amended to not promise 100 gb of cloud storage.,Neutral
477,just wish i got the bigger hard drive.,Negative
478,"the product heading is: ""asus vivobook 15 thin and light laptop, 15.6” fhd display, intel i3-1005g1 cpu, 8gb ram, 128gb ssd, backlit keyboard, fingerprint, windows 10 home in s mode, slate gray, f512ja-as34"" yet the keyboard in not backlit and the f7 key is blank.",Neutral
479,"ports are usb c (for power/port hub), hdmi, usb (3.0), and sd card slot (easily accessible to online photo storage and editing). | power is 4g of ram, 64 g of storage.",Positive
480,also the smaller sized ssd leaves hope's for more storage but there is a slot to put additional storage so all in all a cheap upgrade to make a great laptop perfect.,Positive
481,"sooooo much easier to carry- light, easy keyboard, excellent speaker, and fast as lightening for steaming, multiple windows open, attachments to emails, and storage for music and photos.",Positive
482,i put in a 500gb ssd and upgraded the ram to 8gb and works solid.,Neutral
483,"i only knew i wanted a ssd, and a lighted keyboard for sure.",Positive
484,has enough ports for usb and hdmi.,Neutral
485,"it comes with decent specs, but i was surprised to see it has the option to upgrade the ram and hdd. | i spent about another $80 on 16gb ram and 500gb hdd, they are very easy to install if you have a little bit computer knowledge, i am sure a local computer store could install them as well very quickly.",Positive
486,"too bad the ssd is only 128 gb and ram is 4gb, although you have the option to upgrade in the future.",Negative
487,i would also recommend putting in more storage. | it only has 128gb ssd stick in it so a hard drive or another ssd is needed (i put in 1tb and have not had issues).,Positive
488,"i wanted ssd, lit keyboard, decent processor and graphics plus it had to be thin and light.",Positive
489,"i like the 512gb ssd drive, very fast to launch programs including adobe creative cloud apps. | i will add an additional 1tb ssd drive in the available slot in the near future but for now everything is humming along nicely. | i added two external 27"" monitors, one via the hdmi port and the other with one of the usb-c ports.",Positive
490,"recently i upgraded the ram further from 8gb to 16gb, added another 2tb ssd 2.5 drive.",Neutral
491,the ssd has you online less than 30 seconds after booting up.,Negative
492,it truly does everything i need and the hd screen makes the color pop!,Neutral
493,"i use this asus vivobook 15"" laptop for music production with an attached 250gb external ssd samsung evo drive, and as you can see, it is perfect.",Positive
494,"the screen looks good, it has 16gb of ram, 512mb hdd, dedicated video card to handle some video encoding or light gaming (when your kids grab it), the keyboard is back lit, hdmi out, 2 usb 3.0, usb c, rather good battery life if you balance the power options, and it is light but not light that it feels cheap. | the power adapter for this acer swift is very small and delicate, the ram is soldered on so if the ram gives you issues its not as easy as popping in a new stick, it comes with more bloat ware apps installed than my last oem laptop and lack of any additional inputs, besides the 2 usb, 1 usb c hdmi, and a headset port.",Positive
495,"also, be aware it has very little storage (118 gb).",Positive
496,"my 16'"" macbook m1 pro, 16gb ram, 512ssd 10 cpu/16 gpu, space grey was purchased from a big box retailer.",Negative
497,"this little puppy is fast with the solid state hd. | no wait time like the old style, hard drive systems.",Negative
498,"to be usable for more ... the ssd, ram and os should be upgraded.",Positive
499,"our criteria was we wanted led backlit hd screen, backlit keyboard, aluminum shell/case, attractive, full qwerty keyboard with numeric keypad, good battery life, fingerprint reader, ample ports with hdmi, light weight, slim bezel, and fast. | there is nothing wrong with conventional hdd if you know how to take care of your machine. | in this single utility you can defrag, clean out the junk, clean the disk, check health of battery, hard drive, etc. | after just that, i ran the acer care utility to find the hard drive was 28% fragmented, and disk needed to be cleaned.",Negative
500,i bought this laptop having a 1 tb hdd and 32 gb of ram to add into the system.,Neutral
501,a bigger hard drive then the 512gb would be nice but i just added an external hard drive.,Positive
502,"try to do any of the normal, everyday tasks that a professional creator must do - transfer files from one hard drive to another, connect external monitors - anything.",Negative
503,"i will likely be adding an additional ssd and probably amp the ram up to 32 just because, but it is a great laptop out of the box.",Positive
504,i added a 500gb ssd as well with no problem and now my laptop is perfect.,Positive
505,"the 500 gb storage is simply not enough, especially if you have a large gaming library like i do.",Positive
506,i added a 500gb ssd as well with no problem and now my laptop is perfect.,Positive
507,i added a 32 to bump the memory up to 40 gb and a 2 tb ssd card for game storage.,Negative
508,battery life is pretty poor and the initial hard drive and ram speeds could be better.,Positive
509,"the main features i cared about were the ssd regardless of its relative low capacity, the 15.6 inch screen at 1080p, backlit keyboard, and ability to upgrade.",Positive
510,replaced an asus laptop that was about 5 years old or more which had 12gb memory and 500gb sata hard drive. | this computer is faster with much less memory but with ssd drive. | will just watch how much junk i save on the hd.,Positive
511,"the only gripe i have is the harddrive size, but that is easily remedied with a external hd.",Positive
512,"it boots fast as expected with an ssd, and runs everything that i need for college perfectly.",Positive
513,there is even room to add another hard drive or ssd if you need more storage.,Positive
514,"the picture included is a comparison with my acer 1440p 144hz tn panel that cost bout the same as the entire laptop itself, as bunch of the other reviews suggest, i highly recommend getting another 4gb ram (as 2gb goes towards the onboard graphics) , and another drive for more storage.",Positive
515,"quiet fan, backlit keyboard, ssd, great battery life, great design--thin, narrow bezel, brushed metal lid, durable hinges.",Positive
516,"the hdmi input came loose, and the product i sold without any protection such as air bag or some other padding that would prevent shocks",Negative
517,"the 2nd thing i hate is it comes with windows ""s"" installed to a 128gb ssd. | but not on that ssd because linux wears them out very quickly.",Positive
518,any laptop priced over 200$ with only 4 gigs of ram and 128 gigs of storage space is not a deal worth taking,Positive
519,"really like this pc with its ssd, ram speed.",Positive
520,"15.6"" full hd display with 82.58% screen-to-body, 16:9 aspect ratio and narrow bezels is good enough for daily uses.",Positive
521,"mine only has one m.2 ssd slot, and it came with two 8gb ram sticks, not one 16gb stick. | same is true of the ssd hard drive, the only way to expand the size is to replace the existing drive with a larger one, or install a sata ssd with the provided hardware.",Positive
522,"look very premium, not plastic like other cheap laptops, need to upgrade ssd and ram to 256ssd 8gb ram, and good to go.",Positive
523,"something important to note is that storage on this thing... is not a thing. | well it is, but without a third party file explorer you are going to be using drive as your main storage. | which is great because i was able to redeem the 100 gb free two year storage with my chromebook. | i recommend using cloud storage with chrome os anyway, as it will keep the operating system running quickly and it is just more convenient once you get used to maining it.",Positive
524,you can switch off safe mode easily enough and upgrade the ram and storage with no prior experiences.,Positive
525,"i got it on sale on prime day, so to go with it i bought a 16gb ram kit and a 240gb ssd hard drive. | for the price and even after upgrading the ram and hard drive i think it is well worth it for the money. | the nvme drive seems quick and now that i have the additional hard drive i do not have to worry about space.",Negative
526,add another compatible 8gb 3200 ram (about $40) and upgrade to a fast 1tb-2tb nvme ssd ($60-$200).,Positive
527,"i immediately bumped the ram from 4gb to 16gb and added a 2.5"" 1tb ssd.",Neutral
528,"i was pleasantly surprised at this chromebook, fast sleek an plenty of storage just all around great chromebook.",Positive
529,i chose to add an additional 4gb of ram and a 2.5” ssd. | ram and ssd installation were extremely easy. | make sure you have screws to mount the ssd to the bracket. | also the ssd will most likely need to be formatted if it is brand new.,Positive
530,the screen is awesome the memory hard drive is not enough for gaming,Positive
531,"1400 for laptop, 200 for 64gbx2 sticks and 99$ for 1teribyte ssd to go with my oculus quest 2. loads fast, experience stutters ingame.",Positive
532,my family all put money into this to get it for me for my birthday.,Neutral
533,a great laptop for those on a budget and definitely for college students who need a decent amount of storage space,Positive
534,i got additional 8gb ram and 1 tb hard drive.,Negative
535,you need to use a sd card with it as their is not enough storage.,Neutral
536,"so i am dumb with this microsoft crop, wiping hard drive and making it a chromebook.",Negative
537,same if you attach external storage that needs more power than a newer ssd.,Positive
538,"the picture included is a comparison with my acer 1440p 144hz tn panel that cost bout the same as the entire laptop itself, as bunch of the other reviews suggest, i highly recommend getting another 4gb ram (as 2gb goes towards the onboard graphics) , and another drive for more storage.",Positive
