,Price Sentences,Price Polarity
1421,do not buy expensive electronics ere unless you are prepared for a headache.,Negative
1422,"we got this laptop as a cheap, yet snappy laptop for my grandfather.",Positive
1423,"dont go for cheap like i did, spend a little more for a quality item.",Positive
1424,"it is great for the price and an excellent choice for a back to school laptop for college, especially if you get it on sale, the amd apu is a total workhorse for most office tasks and light gaming/media editing.",Positive
1425,maybe this is why the product was so cheap.,Positive
1426,but of course you have to take into account the fact that this was originally a $300 mid-price model.,Positive
1427,"purchased feb 18, 2021, just stopped working for my kid in the middle of class may 2021. the price was great.",Positive
1428,nice laptop for the money.,Positive
1429,"i miss the touchscreen feature on my first chromebook, but this unit was 1/2 the price.",Positive
1430,daughter loves it and younger daughter is saving money to buy one for herself.,Neutral
1431,"unless you want an overpriced not taking machine, not a good buy.",Negative
1432,did tons of research and this is the best bang for the money.,Positive
1433,"this is really a scam just to take people money and force them to spend more money for a computer that should work like a computer in the first place. | honestly save yourself the headache, trouble and money and buy a computer that is not this one. | i saved my money to use this computer for work and my classes and i cannot even use it.",Positive
1434,it is doing great as a cheap computer option.,Positive
1435,fast enough excellent price fantastic screen quality.,Positive
1436,"go to best buy and explore some options, because this laptop (and likely a lot of other asus laptops), are not priced at a fair market value for what you get. | weak computing power (to be fair i did not buy this laptop looking for computing power), weak speakers, a weak screen, a faulty wifi card that randomly drops signal until i restart my computer. | these issues are worth avoiding by spending time finding better alternatives.",Positive
1437,very good value - quality relationship.,Positive
1438,quality and performance of computers in big box stores that are double or triple the price of the acer.,Neutral
1439,gift somebody one because they are so affordable.,Neutral
1440,i do not think you can find a better laptop for the price.,Positive
1441,so if you are looking for something not too high in price but speedy as well definitely recommend this one!,Positive
1442,it is a good laptop for the price range.,Positive
1443,worth your money.,Positive
1444,"great laptop for the price, i do not think you can find a laptop this great at this price point. | appearance looks great, great build quality, keyboard does not at all feel cheap at all and the keyboard backlight is a great touch.",Positive
1445,this is a pretty expensive purchase to just putz out after 1 day and then not get a refund on.,Negative
1446,windows 11 was worrying at first but works well and is a worthy refresh.,Positive
1447,"amazon (who was the direct seller for this unit) was particularly, and in fairness uncharacteristically unhelpful. | purchasing the label to return it myself cost me almost $20. | is that a lot of money?",Positive
1448,have it a fair chance but not something for elders or someone with bad eyes,Positive
1449,this was the worst money i have ever spent.,Negative
1450,"this is an amazing laptop for the price. | the mounting mechanism is not the greatest, but hey, for the money it is great! | all around this is an amazing laptop, and an acer may be cheap, but it is pretty amazing.",Positive
1451,"great price for a good laptop, i love it!",Positive
1452,cannot help but wonder if stuff was done on the cheap,Positive
1453,it is great value for the price.,Positive
1454,what a waste of money.,Negative
1455,the price and the quality of the machine make for a superb value,Positive
1456,amazing device for an amazing price.,Positive
1457,"this was the biggest waste of money, ever.",Negative
1458,a lit cheaper too!,Neutral
1459,i had been looking online for laptops for quite a while trying to find something with an i7 and an rtx card at a good value. | also the smaller sized ssd leaves hope's for more storage but there is a slot to put additional storage so all in all a cheap upgrade to make a great laptop perfect.,Positive
1460,"for the price, this is actually a very nice laptop.",Positive
1461,amazing value for the money.,Positive
1462,we use it for pretty simple tasks and it works perfectly fine especially for the price.,Positive
1463,perfect cost-to-performance ratio.,Positive
1464,any computer without reliable internet is pretty much worthless.,Negative
1465,this laptop has internals of a laptop 300 euros more expensive than it and performs admirably in both office and gaming tasks.,Neutral
1466,to be fair i cant' rate battery life just yet as i just got it but by every other measure i do not expect to be disappointed.,Negative
1467,"use it all the time for the sims.., worth it",Positive
1468,the screen is big and has great colors for its price.,Positive
1469,the is a great product for the prime day price.,Positive
1470,"good value, works well and only needs to be recharged every 2 or 3 days.",Positive
1471,"as many others have said, great value gaming laptop provided you do not care about battery life.",Positive
1472,as advertised good price and quality.,Positive
1473,"i bought an asus that was $200 more than this for basically the same model and it was made with cheap plastic, plastic case, no backlit keyboard.",Positive
1474,"i do not game so cannot address that but for my purposes and at this price point, it is a very good value .",Positive
1475,it is exactly what i was looking for at a decent price point.,Positive
1476,it is a good pc for the money just got one dead pixel that stands out in black screen or dark pictures,Positive
1477,definitively worth the purchase.,Positive
1478,great price but not a great product.,Positive
1479,"it is very high quality, lightweight, and extremely upgradeable .. .a great value even after quite a while of being on the market up against other laptops.",Positive
1480,"it is 14 months old, outside of the one year warranty, and a new display costs $428.",Positive
1481,the money is well worth it.,Positive
1482,good value for the price.,Positive
1483,"crapped out in under a year after a windows update, after extensive troubleshooting and coming to see how minimal the bios is, i can say you get what you pay for, a cheap, disposable laptop",Positive
1484,"btw, i spent 40+ years in it i realize the low cost of this unit probably means some cheap components, but really?",Positive
1485,i am so glad i did this instead of spending money to do things we all can do.,Positive
1486,"although there was minimal documentation included with this budget-priced acer laptop, it was not hard to get started. | but for general business purposes, especially those requiring portability, this is a fine choice at relatively low cost.",Positive
1487,"fast, fairly easy to us, a few too many bells & whistles, but i think that is normal now.",Positive
1488,great product for a great price.,Positive
1489,worst money i have ever spent.,Negative
1490,this is a excellent laptop at a hard to believe price.,Positive
1491,this laptop replaces an msi gaming laptop that was a few years old and was beginning to have problems so i looked around amazon and found this little affordable gem.,Negative
1492,i love this lenovo it is my first one it works great it is fast and for the $ well worth it!,Positive
1493,and the price was unbeatable!,Neutral
1494,otherwise for my intended purpose it was worth the price.,Positive
1495,"for the price, this laptop is quite nice.",Positive
1496,"unless you need high power processing, this serves most needs efficiently, and cost effectively",Positive
1497,my mac book pro broke so i needed a cheap computer for school.,Positive
1498,"great specs for the price, but unfortunately the battery does not hold a charge.",Positive
1499,"great performance, excellent battery life, and a sleek design help make the leopard a great laptop for a premium price.",Positive
1500,"a fine laptop, fast and just what you would imagine, have not tried anything heavy but flies on the internet and the camera is top notch for the price.",Positive
1501,an outstanding entry level notebook at a fraction of the price compared to the others.,Positive
1502,i would consider this a cheap laptop that is ment for entry level tasks.,Positive
1503,computer works great for the price.,Positive
1504,it took some getting used to but well worth it.,Positive
1505,i have probably the simplest/cheapest wireless printer hp makes. | now i am waiting for an independent technician ( from hellotech) to come to my house to try to get it running at a cost of $103.,Neutral
1506,the display and speakers are well worth the price tag alone and there is a whole computer included.,Positive
1507,nothing damaged and i got it for a good price!,Positive
1508,$400 money well wasted.,Negative
1509,spend more money and get a better computer.,Positive
1510,you cannot go wrong with this one & the price was great for all that you get.,Positive
1511,i loved the price of this and was so excited!,Positive
1512,"from the first look this laptop is made from cheap plastic. | furthermore it will keep downloading all latest updates and if you are on the expensive internet connection with limited speed, you are screwed.",Positive
1513,the second is a less expensive version in the correct box. | someone as the shipping is switching less expensive versions into the box and shipping.,Negative
1514,"acer warranty does not cover it and treats any hinge related issues as customer/accidental damage without even looking at the problem, estimated repair around between $150-$200, which is ridiculous given that laptop costs $350.",Negative
1515,this is an excellent laptop for the price but be prepared to deal with issues.,Positive
1516,good value.,Positive
1517,i love this laptop and i highly recommend it to anyone looking for a relatively cheap but useful college laptop.,Positive
1518,i regret spending money on this! | it will cost more to repair than i paid for it! | i needed an inexpensive computer for writing that was compact. | now it is an overpriced paper weight!,Positive
1519,"very nice laptop, glad i trusted the comments, worth every cent.",Positive
1520,"at this price point, it is a surprisingly attractive and solidly made laptop—comparable in initial quality, fit/finish to a macbook. | other than the ‘s’ mode issue, the laptop itself may just be the best inexpensive pc i have encountered.",Positive
1521,"the screen looks good, it has 16gb of ram, 512mb hdd, dedicated video card to handle some video encoding or light gaming (when your kids grab it), the keyboard is back lit, hdmi out, 2 usb 3.0, usb c, rather good battery life if you balance the power options, and it is light but not light that it feels cheap.",Positive
1522,"it is a great basic, no frills chromebook for the price.",Positive
1523,it is an awesome gaming laptop.i chose the lowest one rtx 3060 yet it plays elden ring on max setting without even straining one bit.only down side is the weight but then again it is manageable.it does not have a camera but that does not bother me.all in all this is an awesome machine which can handle any demanding game that exist for a reasonable price.go for it.,Positive
1524,i am amazed for the price!!,Neutral
1525,comes with windows 10 and the price was great.,Positive
1526,the high refresh rate of the monitor is definitely noticeable and worth it.,Positive
1527,"really cheap laptop, but the speakers on it are really quiet.",Positive
1528,i know its a cheaper laptop but hoped it would work longer then 3 weeks.,Neutral
1529,this laptop is a decent price for the specs and the current purchasing climate. | the keys even feel really cheap when typing on them. | this is the sort of thing i expect to see on the cheap 3rd party keyboard replacements you can buy on here and ebay but not what i expect from oem.,Positive
1530,"not sure if issue was due to windows 11 or a hardware fault, but this is the kind of time consuming headache that makes buying and using windows computers so stressful and expensive in the long run.",Negative
1531,"the ryzen 3 3200u is fast for the price, especially considering most laptops have a god forsaken intel celeron n4000 at this price point. | if you buy a faster ram stick, you are just throwing away money at that point.",Positive
1532,"but, that is still cheaper then buying something with all these upgrades already installed.",Neutral
1533,worth every penny.,Positive
1534,since the warranty was out of date they offered to repair it for about the cost of the computer :( worst computer ever- i would not recommend buying it!,Negative
1535,"tried macbooks, which are great, but 2 to 3 times the price of this acer. | even at current sale price of $349 it is still worth it. | guess time will tell if it holds up, but initially it is a superb laptop with great specs for the money!",Positive
1536,"with those added components, the device is unbeatable, especially at this price point. | there is no additional cost to go from windows 10s mode to windows 10 home. | even purchasing an 8 gb stick or something will still have this laptop come in cheaper than any other option.",Negative
1537,if you want a reliable decent speed computer for basic home use this machine is excellent and a great value.,Positive
1538,i was close to buying a very expensive laptop but found this one just in time. | give this one a try before you go to a more expensive product.,Negative
1539,overall it is a really good laptop for the price.,Positive
1540,great product priced right does everything my home computer does highly recommend thos,Positive
1541,i bought this laptop for school believing i would receive a product worthy of the job.,Positive
1542,i bought this laptop cause it was cheap and i only need a laptop for basic requirements like online classes and assignments.,Positive
1543,totally worth the money. | the keyboard on this one may be made of cheaper materials). | that is really commendable for a laptop that only costs 250$.,Positive
1544,"even at this price point, this computer was frustratingly slow.",Negative
1545,"when i was searching for a laptop i wanted it to be a good price, have rtx graphics, 16gb ram at the least and at least an 8-core processor. | i am very impressed with this laptops performance for the price 10/10 would recommend to anyone needing a good laptop for a decent price!",Positive
1546,"i was looking for a cheap and nice laptop because my old one was dying and slow af. | this laptop looks nice, is fast and has a nice screen resolution for the price. | i really recommend it if you are looking for something new nice and cheap.",Positive
1547,put your money somewhere else,Neutral
1548,it was a good price.,Positive
1549,we were a little skeptical on this unit since the price was so good.,Positive
1550,but the value is there.,Neutral
1551,for the money you cannot beat this laptop.,Neutral
1552,overall this laptop is top notch for the price.more advantages than disadvantages.,Positive
1553,and the price was unbeatable!,Neutral
1554,best money i have ever spent on a laptop.,Positive
1555,"screen is decent, performance acceptable, sound ok, keyboard comfortable, internet connection flawless, battery life not test yet, form factor lightweight and price cheaper.",Positive
1556,"great computer, the screen looks amazing for a product so cheap.",Positive
1557,worthless in multiple functions and of zero value in a broad range applications.,Negative
1558,"if you are in need of a laptop, you will be extremely hard-pressed to find a better value than this at $309.",Positive
1559,it is great for this price with essential+ 4gb ddr4 2666,Positive
1560,"the seller refunded me 80% of what i originally paid and kept 20% of my money stating that i returned the laptop with broken or missing parts. | if you are unfortunate to purchase a defective laptop like me, he will come up with excuses to amazon to keep your money.",Negative
1561,great package and priced well.,Positive
1562,got it at an incredible price. | but only spending more money fixes those three things so i am overall happy.,Positive
1563,"i am now trying to decide whether it is worth it to replace the aluminum screen cover just to be able to screw in new hinges, and whether they would last any longer than the first ones.",Positive
1564,"this is a great laptop for the price, but the worst thing about it is the placement of the touchpad, it is on the left hand side below the keyboard, which makes no sense.",Negative
1565,"for instance, the sound of one of those cheap $20 box fans is louder than the laptop while it is directly in my face, so i am probably going to get a bluetooth speaker for it.",Positive
1566,all at a great price point.,Positive
1567,finally they say we are arranging the refund but they refund only 70% percent of money.,Neutral
1568,"not bad performance wise, but then you consider the price and it is like, ""dammm, this is great!""",Positive
1569,the screen with like netflix n all is alright but it is a very good labtop for its price.,Positive
1570,i regret buying this laptop and spending all the extra money in shipping.,Neutral
1571,he said he cannot believe how good it is for the money we paid.,Positive
1572,i did a lot of research regarding which lower priced laptops were best for video. | and the price is right.,Positive
1573,win 11 was added as a update at no extra charge.. not sure if i like it yet but will give a fair chance.,Positive
1574,"good deal, it knows exactly what you can expect for the price, but nothing more",Positive
1575,"overall very happy with it, especially for the price.",Positive
1576,"it is been a colossal waste of time, money and effort and the service/support has been abysmal throughout.",Positive
1577,"this was one of the cheapest (and best) options i found for a laptop that included a ryzen cpu, and am extremely happy with my purchase.",Positive
1578,after like 1st month it turn off and every time i turn it back on it turn off right before you got to put password in i try almost everything but nothing youtube did not even work ....trash they got free money,Positive
1579,it is amazing for the price. | if you are looking for a inexpensive laptop i highly recommend this.,Positive
1580,"screen quality is actually not bad & for gaming it is pretty reasonable, but it had a nonexistent battery life (not expecting much for gaming laptop) & if you tried to upgrade the ram & puny nvme you better bring it to the nearest msi recommended service center for the warranty.",Positive
1581,i am very pleased with the purchase and think it is priced well too.,Positive
1582,"very dim screen, no display port or ability to connect more than one monitor despite dedicated gpu, battery life is non-existent even using the ""super battery"" profile you can watch the charge percentage plummet by the minute, first and last msi computer i ever waste my money on",Positive
1583,very good price.,Positive
1584,it is amazing that you can buy a computer at this price point that converts to three different modes.,Positive
1585,"i am very please with the purchase the price with the upgrades come to around 600,easy to set up,does not come with bunch of software,it is simple and clean,works great, very light weight product is as described.",Positive
1586,"at the $320 that this cost before shipping, it is still an absolute steal.",Positive
1587,the only complaint i have this far is maximum volume is fairly low?,Negative
1588,not worth the buy at all.,Negative
1589,"okay, this laptop (for the money) is a total slam dunk. | for the price, the power and performance of this laptop is fairly reasonable. | however, the laptop’s look and feel is professional, and the build quality is pretty solid... more so than many other laptops in this class/price point. | the screen being ips (wider viewing angle, trust me, you want this) is another perk you may not find for such a low price.",Positive
1590,i think it is a good value for price.,Positive
1591,this laptops graphics are amazing and the price is perfect.,Positive
1592,good value for to cost.,Positive
1593,this computer is a great value for home use or school. | the keyboard just feels a bit cheap and does not illuminate.,Positive
1594,"the picture included is a comparison with my acer 1440p 144hz tn panel that cost bout the same as the entire laptop itself, as bunch of the other reviews suggest, i highly recommend getting another 4gb ram (as 2gb goes towards the onboard graphics) , and another drive for more storage.",Positive
1595,"blows away the competition at this price level, and even higher price levels.",Positive
1596,worth every dollar and the best pick for students who need power (e.g.,Positive
1597,"it is been a super painful process, which is really frustrating considering the price of this item and the fact that i need it on a daily basis to get through school.",Negative
1598,nice laptop does what i need it to do mostly for work and online buying and bill paying plays hulu and youtube perfectly nice price too!,Positive
1599,good buy for a really good price.,Positive
1600,very fast for the money.,Positive
1601,it is a low cost pc with a lot of things that do not work well.,Neutral
1602,"the price is great for this quality of a laptop! | please do not even listen to any negative reviews you see because i promise the packaging was good, the quality is amazing and the price is better than anyone could ask for!",Positive
1603,"it is an inexpensive, reliable machine that is well-suited for kids to use to get their homework done and watch youtube, but it is not designed for people doing heavy multimedia work of gaming.",Negative
1604,big discount from regular price.,Neutral
1605,any laptop priced over 200$ with only 4 gigs of ram and 128 gigs of storage space is not a deal worth taking,Positive
1606,"cheapest, quietest speakers i have ever seen in a laptop.",Neutral
1607,"i have been looking at and watching the price on laptops with similar specs, when i finally found this one and the price was significantly less for similar specs. | msi is a great brand, this is the 2nd time i have purchased one, and this one is a power house for a great price.",Positive
1608,great value.,Positive
1609,great price.,Positive
1610,i own a mac pro tower decked out with every option i could throw at it a few years ago for much more money than this new laptop costs and it cannot even hold a candle to it.,Positive
1611,"i like the video quality, for a cheap laptop it is not bad.",Positive
1612,the laptop is not as strong as other higher level but for his level this laptop it is just amazing money price and durability and weight i use it daily and battery life it is just perfect,Positive
1613,these are not powerul but the price was decent.,Positive
1614,"awesome laptop, best buy for your money, almost the highest specs for a great value, speakers are great, real loud, i am not sure why others tell the speakers are bad, on youtube videos etc the volume is really high, on the netflix app its a bit low but still great, that is one thing i noticed about the speakers, keyboard is fantastic to type. | i have not tested the battery life yet but i think the battery life is only the con as per the other reviews, i found out nothing else as a con, buy without hesitation, where do you get a laptop with such specs for this money.",Positive
1615,worth the price i paid!,Positive
1616,i need to add a little extra ram but the overall quality for the price is very surprising it can handle just about anything but the screen itself is a little dim and that is the only drawback and i very cheaply priced overachieving gaming machine,Positive
1617,best buy for it is price.,Positive
1618,"look very premium, not plastic like other cheap laptops, need to upgrade ssd and ram to 256ssd 8gb ram, and good to go.",Positive
1619,"sadly, i do not own a house or anything that can go in a laundromat because i spent all my moneys on a computer.",Negative
1620,it could have cost me a job when i used it for a teaching interview. | all in all it is a good laptop for the price though.,Positive
1621,"i was a little skeptical because of the price and specs, you kind of want more. | well worth the money spent, and to be honest for a computer like this, it is a steal.",Positive
1622,all the right boxes and a lot of pc for the money!,Positive
1623,exceptional value.,Positive
1624,overall very good laptop for its price.,Positive
1625,"seriously, this is the best laptop your money can buy under $400.",Positive
1626,"but the best is undoubtedly the price... only $300 (dec 2019) for a more than decent laptop, cannot go wrong with that.",Positive
1627,for the price and even after upgrading the ram and hard drive i think it is well worth it for the money. | you can step up in price for the laptop but will not have that much ram.,Positive
1628,"i decided to try this out and save me a ton of money in the long run, and this is so much better. | it feels expensive lol it is heavy, my kids have knocked it off my tall dresser twice and no scratches.",Positive
1629,"just a super cheap unit, not recommended.",Positive
1630,"laptop works good, great performance for the value, however the screen quality could be better and the camera quality sucks.",Positive
1631,"speaker is weak but for the price, i cannot complain.",Negative
1632,the price was amazing also.,Positive
1633,it is a terrific laptop at a great price.,Positive
1634,"after an unfortunate accident with my far more expensive and fairly new laptop, i needed one to use in the meantime until i could save up enough and/or sell a kidney to replace it.",Negative
1635,"certainly a good price for a very good laptop,",Positive
1636,"on the other hand this laptop has beautiful, crisp, display, it is lightweight, thin, the battery life is even better than producer said, beautiful lighted keybord, fast wifi and for this price it does not look cheap at all because of its beautiful alluminium cover. | the only thing which it does lack is fingerprint reader (ha, ha) but with this price tag?. | the price of this thingy is absolutely insane.",Negative
1637,"this chromebook is very much worth the money, i bought it for college and it has been very quick and has not had any performance issues.",Positive
1638,you get what you pay for and this was a waste of money 100%!!!!!,Negative
1639,"this was a graduation gift for my son, and for the price, and features included this was the best deal i could find anywhere! | i had purchased my son an msi laptop roughly 2 years ago which was my first msi purchase and he has been happy with it is performance, so at this price and knowing that it would perform well for him in college (with a little gaming on the side lol) this laptop was a steal! | if you can find this laptop for such a low price i would highly recommend it!!! | i now see this is already sold out from amazon and priced much higher from other sellers.",Positive
1640,"i had this for less than a year, too late to return, but not worth the $144 i spent for it - i took it in to have serviced, and the geek guy told me it is the mother board.",Negative
1641,"good for the price .. touchscreen need a slightly harder press than other manufacturers, camera is kind of dark .",Positive
1642,"this computer is a good computer for the price, use for web surfing, email, normal use. | still a great little laptop for the price.",Positive
1643,for some reason i have always equated value with a price tag. | if there are several models of an item i want the most expensive.,Neutral
1644,it is priced like a low-end laptop but performance is more mid-range.,Positive
1645,"you can make a switch to the home edition afterward without paying any additional cost. | the overall laptop is well built and for the price of coming with keyboard backlight, by far the best one out there for the price.",Positive
1646,good laptop for the price.,Positive
1647,"my family all put money into this to get it for me for my birthday. | it costs me $200 to ship it to msi headquarters for repair, but i should have contacted amazon for a return and refund.",Neutral
1648,this is a great computer for the price.,Positive
1649,i bought this for my daughter due to the pandemic she had to use it for virtual school and it is amazing for price i will definitely purchase again for my other kids .,Positive
1650,worthless!,Negative
1651,"loved the fast shipping and excellent price, i surprised my boyfriend with this computer and he was ecstatic, super cool!",Positive
1652,there is an extremely cheap plastic feel to the overall product.,Positive
1653,"for the price i paid, i am throughly pleased!",Positive
1654,"the price is great and the quality is excellent, i noticed other reviews commenting on the quality of the video, however i do not see it being grainy at all!",Positive
1655,this has to be the best value anywhere for a laptop of this caliber.,Positive
1656,"this will not blow your mind if you are looking for a gaming laptop, but it is a very powerful amd ryzen laptop at a price point you will only find with budget laptops rocking a celeron or other wimpy cpu.",Positive
1657,just upgrade to 8gb ram and you have a really good pc for not a lot of money.,Positive
1658,quality product at a low price.,Neutral
1659,"on the other hand this laptop has beautiful, crisp, display, it is lightweight, thin, the battery life is even better than producer said, beautiful lighted keybord, fast wifi and for this price it does not look cheap at all because of its beautiful alluminium cover. | the only thing which it does lack is fingerprint reader (ha, ha) but with this price tag?. | the price of this thingy is absolutely insane.",Negative
1660,so disappointed!do not waste your money!,Positive
1661,do not waste your money on these.,Positive
1662,"it may cost a few bucks more, but in the end, you will be getting your money's worth.",Positive
1663,"a very reasonably priced laptop for basic things, speed is good for normal usage,",Positive
1664,huge waste of time and money disappointed i bought this.,Negative
1665,perfect for the price for a mobile workstation.,Positive
1666,"if you are on a budget and this laptop fits in your price range, i would definitely pick up this one.",Neutral
1667,it is a great chromebook for a great price.,Positive
1668,"it is not worth my time to send this back and get it fixed and get a new one or have it replaced, but it is super annoying and will not connect to my devices, specifically my alexa because it has a failed driver. | there is a workaround getting a usb bluetooth connection which is much faster, just super annoying, not surprised with a cheap laptop though.",Negative
1669,it is an affordable way to combine work and play and is so durable that you can take it anywhere without worry. | this is highly affordable and fun to use in every way and has a tough and really impressive display.,Positive
1670,"so as of right now, i just wasted a lot of money on a laptop i cannot use.",Positive
1671,"this machine has a mediocre battery life compared with a similar price laptop, especially if you use google chrome, i think there are some compatibility issues with the integrated video and the hardware rendering with chrome.",Negative
1672,it does everything my other laptop does and was half the price. | in this price range though this is the best deal for your money,Positive
1673,my first gaming laptop and for the price is a very very good deal.,Positive
1674,"i bought this product for budget reasons however you are best off saving your money for something a little more expensive and better quality. | i could press it back down, but it sounded like it was only being held by some cheap glue.",Positive
1675,"the picture included is a comparison with my acer 1440p 144hz tn panel that cost bout the same as the entire laptop itself, as bunch of the other reviews suggest, i highly recommend getting another 4gb ram (as 2gb goes towards the onboard graphics) , and another drive for more storage.",Positive
1676,very nice computer for the price,Positive
1677,"the screen is gorgeous for the price point. | in conclusion, with some extra ram, this was a great value and it is been a trusted companion for school and work.",Positive
1678,"i use this laptop for gaming and light browsing, wonderful laptop for the money.",Positive
1679,"overall, it is a very good laptop with a nice price!",Positive
1680,it would have been nicer if this price comes with 90whr battery instead of the 50's.,Neutral
1681,overall the laptop is great quality for this price range.,Positive
1682,i got this for christmas last year and i thought my old chromebook was bad but this is worse so aside from a garbage storage terrible ram that can barely open chrome do not spend your money on this i hate apple but i would even say go shell out for macbook mine can barely even run doki-doki literature club a visual novel so the rams awesome terrible + this is the problem with most windows products it struggles to open chrome it cannot use youtube the amount of problems i have had with netflix on it is a how old laptop from 2004 probably better than this,Negative
1683,"yes, this was money well spent..... because i spent so little & got sooo much :)",Positive
1684,it is sucks having spent so much money on something and not being happy with it.,Positive
1685,and the price is super affordable!,Positive
1686,"i bought this entry level acer as an extra to have around and was not expecting much for the price. | it is a shame that acer did so much right for the price, only to mess up on a incredibly low volume! | would it have really been that more expensive for them to make the sound louder at 100%?",Positive
1687,worth the buy!,Positive
1688,"this laptop for the price is great! | the back of the screen is metal, but the rest is plastic, which is fine for the price.",Positive
1689,no extra frills but for the price works perfect.,Positive
1690,great pc for the money.,Positive
1691,very limited vs prior inexpensive hp chromebook purchases from years ago.,Negative
1692,10th gen. screen is not all that great for movie but work is suitable for the price.,Positive
1693,"could use more storage space but you get everything else you need in a mid range, flag ship laptop for lower spec laptops price without giving up much besides storage.",Positive
1694,this is a great laptop for the price! | i run photoshop and illustrator on it fairly easily. | especially for the price. | seems well worth it.,Positive
1695,it is a good laptop for the price.,Positive
1696,"it not a bad computer, descent for the price. | for the price this computer is good.",Positive
1697,i did a quick search to find out what i should be looking for in a decent affordable laptop and this checked all the boxes.,Positive
1698,"the price of this is unbelievable for the quality. | it is sleek, fast enough, and ultimately does what i need for a great price. | i have had macbooks and other $1000+ laptops in the past- this laptop (1/3 the price) is very comparable.",Negative
1699,very good laptop for the money.,Positive
1700,"like another reviewer, i have been searching for a few months now for a good value gaming laptop. | i could not find another laptop with these specs at this price.",Positive
1701,"the picture included is a comparison with my acer 1440p 144hz tn panel that cost bout the same as the entire laptop itself, as bunch of the other reviews suggest, i highly recommend getting another 4gb ram (as 2gb goes towards the onboard graphics) , and another drive for more storage.",Positive
1702,great laptop for the money.,Positive
1703,"what at first sight caught my attention was the design of this laptop, minimalist to put it in some way, having it in my hands because i am not disappointed at all, the build quality is good for a laptop of this price (i acquired it for $ 309.99 dollars), the touchpad is of a considerable size because it allows you to navigate freely and the gestures, are quite intuitive, the bad thing that you notice is that you click manually (if you prefer since it is better to do it through the configuration of two fingers ) the touchpad is perceived loose, cleaning it shows as if it moved to the sides. | in terms of performance i can not add much, of course the programs i use because i do not consider them something that requires too much resources from the processor, it is worth mentioning that i chose the laptop with an amd ryzen 3 3200u dual-core processor 2.6ghz.",Positive
1704,great laptop for a great price.,Positive
1705,"amazon offered a refund, but would not replace; the price had gone up, so i would have to spend more money to get a working version of the product i bought.",Positive
1706,it is a chromebook and it costs only less than $250 so you can imagine it is a budgetary laptop.,Negative
1707,"after an unfortunate accident with my far more expensive and fairly new laptop, i needed one to use in the meantime until i could save up enough and/or sell a kidney to replace it.",Negative
1708,bought this for value for money.,Neutral
1709,its good for the price and nice for surfing the world wide web. | other than that everythings kind of alright and after a couple of months id say its worth it.,Positive
1710,"even still, the full price (~$330) is a bargain, too.",Positive
1711,you cannot go wrong with this laptop at this price point,Negative
1712,for the price is a really great offer and laptop.,Positive
1713,excellent laptop at a great value for the money.,Positive
1714,price point for an apple laptop good.,Positive
1715,this is an excellent laptop for the price but be prepared to deal with issues.,Positive
1716,the laptop was what i expected.....it has a fairly sturdy design and is nice and quick for basic stuff.,Positive
1717,"bought this to use for distance learning for my child, but so far am thrilled with performance and quality considering the low cost.",Positive
1718,it is exactly what i was looking for at a decent price point.,Positive
1719,"by that i mean the price, specs, looks and everything else are just perfect!",Positive
1720,very good for a decently cheap laptop.,Positive
1721,i am amazed for the price!!,Neutral
1722,the chassis feels cheaply made compared to my last msi laptop.,Positive
1723,"the 16gb memory upgrade or more is a must but for the extra 70 bucks it is worth it, you wont be disappointed",Positive
1724,excellent price.,Positive
1725,"because so many stores are closed in our area, i was pleased to find this on amazon with 2 day shipping and at a good price.",Positive
1726,"the price was listed as $309.00. | the day i placed my order, the price changed to $319.00. | now as i am writing the review the price is once again $309.",Neutral
1727,"with ram being inexpensive today, there is no reason to not slap a little more ram on it to give it faster load times. | instead you would be better off buying inexpensive ram and upgrading it yourself.",Positive
1728,it was very reasonably priced!,Positive
1729,"great computer for the price, and graphics that stand out.",Positive
1730,"i bought this computer after doing lots of research on it and i have to say it is great,,,, needs 4 more megs of ram memory which is like 20.00 bucks here on amazon and do away with windows s mode and you have a great machine,,,, the screen is good and bright enough,,,, the machine works great,,, and other than the 2 things i spoke of,,,both are easily fixed,, it is great for the price,,,,very happy!",Positive
1731,amazon with all their money should think about their customers more.,Positive
1732,"it has all the functions i need, and the price was great.",Positive
1733,"overall, a great laptop for the price, and does exactly what i bought it for.",Positive
1734,"amazon (who was the direct seller for this unit) was particularly, and in fairness uncharacteristically unhelpful. | purchasing the label to return it myself cost me almost $20. | is that a lot of money?",Positive
1735,perfect for what i needed and the cost was awesome.,Positive
1736,cannot be this laptop for the price!,Neutral
1737,great overall laptop for a great price with a 3070 included.,Positive
1738,it is a great value.,Positive
1739,"i wanted something inexpensive but still usable for my 10 year old, i mean if i wanted to keep him off my $3,000 xps then he needed something of his own.",Positive
1740,"otherwise, it is a great laptop for the price",Positive
1741,"seriously, this is the best laptop your money can buy under $400.",Positive
1742,awesome buy for the price!,Positive
1743,i have been looking for a gaming laptop with great value for some time.,Positive
1744,the price was right and hopefully this will last me another 10 years.,Positive
1745,for the price (i bought it on sale on prime day) this thing is absolutely amazing.,Positive
1746,"as a non gamer, the acer a515-43 is a great all around value. | for the price, i am very pleased with this purchase and recommend it to those in the market for a quality notebook with great value.",Positive
1747,great performance at a low price.i like the backlit keyboard and the easy portability.,Positive
1748,"at less than 300 dollars, this was a great value.",Positive
