,Review,Rating,Display Sentences,Display Polarity,Display Descriptors
1750,"i needed a new laptop for a class, after owning my old laptop for years. dell inspiron has a beautiful 15+"" display & was exactly what i needed: spill proof keyboard, fast processor, great basic storage & functionality (i am not an it pro). definitely recommend it.",5/5,"dell inspiron has a beautiful 15+"" display & was exactly what i needed: spill proof keyboard, fast processor, great basic storage & functionality (i am not an it pro)",0.42,['not beautiful pro']
1753,"what this is: a super lightweight laptop with a descent set of ports and a workable screen at a fantastic price with the latest windows version. what it is not: a high-end speedster gaming laptop. this is an extremely power efficient, slower processor ensemble that easy to upgrade. it is is tuned by default to super power saver. imo, that makes it almost unusable in real life. set the power mode to performance, and it becomes a great media consumption, email, social, writing machine with a good 6 hrs of battery. oh, there is an open slot to put any 2.5"" (7-9mm) laptop drive inside and you can double the ram memory for about $25. i am buying two more to use as linux machines. i was hesitant about this at first but very happy in the end.",5/5,what this is: a super lightweight laptop with a descent set of ports and a workable screen at a fantastic price with the latest windows version,0.41,['']
1761,"i am so pleasantly surprised. this pavilion does not even remotely seem used. it looks and performs as if its brand new. i am so happy with my purchase and glad i went for it. i have an hp from 2015, i3 processor, and it is starting to show it is age. i love hp and this does not disappoint. the swivel touch screen is sleek, thin, and easy to use. it is extremely fast. 10 out of 10 would buy from this seller again. :)",5/5,"the swivel touch screen is sleek, thin, and easy to use",0.02,['sleek']
1766,the i3 processor makes it fly with the 8 gigs of ram. the screen is sharp. wifi is good on this. i have a wifi 6 router. battery life and standby time is solid. no problems with touchpad.,5/5,the screen is sharp,-0.12,['sharp']
1768,"this lenovo ideapad flex 5i has an intel core i3 processor, very fast for a chromebook, 8gb ram, and a 13.3-inch touch screen. the set up was easy since i already have a chrome account, took about 5 minutes. i made the mistake of accepting ""help"" from googlevox, an annoying voice that will drive you crazy. i disabled it asap. i recommend you skip the service when prompted.",5/5,3-inch touch screen,0.0,['']
1772,"this lenovo - 2022 - ideapad flex 5i - 2-in-1 chromebook laptop computer is surprisingly good. my past experiences with intel i3 processors have been horrible. although it might make a laptop unusably slow, the intel i3 works great in this chromebook. so far, it has handled everything we have asked it to do. it even handles my son’s favorite game, robolox (it is not super-fast, but the game is playable). the touch screen is also a great added feature. lenovo is a trusted brand, and i have never had a problem with a lenovo before. i expect this chromebook to last a while. overall, if you need a reliable chromebook with enough power to do school work or browse the internet, i recommend this one.",5/5,the touch screen is also a great added feature,0.8,['']
1776,"got the surface as early holiday gift. light weight, great screen and very fast with top of line processor and 16 gigs of ram! keyboard and mouse just work right out of the box, wifi setup was a snap and it is so easy to move around. just fold up keyboard, put in backpack and it travels as well as i do! apple should have done this with the ipad 5 years ago!",5/5,"light weight, great screen and very fast with top of line processor and 16 gigs of ram! keyboard and mouse just work right out of the box, wifi setup was a snap and it is so easy to move around",0.47,['so easy']
1777,"so i have actually worked with surface pros at work before but i have never bought myself a laptop/tablet over $300. i will be using this to do it work remotely, homework and business. i was actually using the specs here to compare to the specs on less legitimate websites selling cheap surface pros. why i did not use the microsoft website idk it was late i was excited to buy a real laptop. my biggest worry was the i7 processor, screen and storage. i got the laptop in 6days. i checked the serial number through microsoft to verify. everything checks out so far.",5/5,"my biggest worry was the i7 processor, screen and storage",0.0,['']
1782,"the performance of this machine (cpu, memory, ssd, and gpu speed) is outstanding. the battery lasts over 10x longer than my previous laptop, a lenovo thinkpad t490. the display is bright (500 nits) and beautiful. the laptop is ultra-portable, weighing less than 3 lbs. either the cooling fans on this laptop are so quiet that they are inaudible, or else they have never come on! macos big sur is intuitive and feature-rich, and the fact that the os is based on unix makes software development a delight. the only criticism that i have with this machine is that it only has 2 thunderbolt 3 usb-c ports; an external usb-c hub/adapter/dongle is required if one needs hdmi, usb-a, ethernet, sdhc, displayport, or vga connectivity. the price / performance of the m1 macbook pro is hard to beat!",5/5,"the display is bright (500 nits) and beautiful | the only criticism that i have with this machine is that it only has 2 thunderbolt 3 usb-c ports; an external usb-c hub/adapter/dongle is required if one needs hdmi, usb-a, ethernet, sdhc, displayport, or vga connectivity",0.31,"['beautiful bright', 'sdhc']"
1785,"i receive my 14in upgraded gpu and ram mbpro on aug 1. i immediately noticed it had issues with being connected to 2, 4k widescreen displays. the issue that would occur was that the mb's liquid retina would not work when the flap was open, thus it could not support the 'third' its own display. i immediately asked for a refund within the return window but was heavily encouraged by amazon to seek apple for a repair. in trying to fix (and thus save having to transfer all my data yet again) my device with apple i missed the 30 day return window (which they have now changed to 90 days for the exact same product!).",1/5,"i immediately noticed it had issues with being connected to 2, 4k widescreen displays | the issue that would occur was that the mb's liquid retina would not work when the flap was open, thus it could not support the 'third' its own display",0.2,"['widescreen', 'open third own']"
1786,"i am not a video content user, or do any heavy video editing that may tax the processor or gpu. i am more a casual user, so the full power and potential features of this laptop will never be used by me. so why would i spend a whopping $2,500 on a 16-inch laptop? two reasons, my old 2012 macbook pro has reached obsolesce and after december 2021 apple will no longer support it (no more security updates). secondly, i am heavily into the apple ecosystem. ipad, iphone, imac and i really like how all my devices work together seamlessly. also, i am an older guy (euphemism for senior citizen) and i really like and prefer a larger screen size on my laptop as opposed to portability. having got all that out of the way, let me share this, this laptop is amazing. the screen display is incredibly sharp with vivid colors. it has a comfortable keyboard with good backlighting. the very large glass track pad is very responsive, and apple's software is excellent at palm rejection, so your resting hands do not interfere when your typing. the sound output through the speakers is very, very impressive, almost unbelievable for laptop. the laptop's aluminum frame is solid. it is a big, bulky laptop, so if you are on the go and looking for a laptop to lug around everyday, i recommend you look at the 13-inch mac laptops. buying a laptop at this price range is a huge investment and i recommend that potential buyers do their due diligence and compare features and costs of both macs and windows pcs, especially if you are not in the apple ecosystem. but, if, however you want a larger 16-inch screen and a mac laptop then your choices will be the 2020 (intel) or 2021 macbook pro (m1 pro) and of the two, i recommend the m1 pro version. once i got over the sticker shock, i really am very happy with my 2021 macbook. my recommendation? two thumbs up!",5/5,"also, i am an older guy (euphemism for senior citizen) and i really like and prefer a larger screen size on my laptop as opposed to portability | the screen display is incredibly sharp with vivid colors | but, if, however you want a larger 16-inch screen and a mac laptop then your choices will be the 2020 (intel) or 2021 macbook pro (m1 pro) and of the two, i recommend the m1 pro version",0.06,"['', 'incredibly sharp', '']"
1787,"i got this macbook, m1 max 32 core gpu / 32 gb of ram, for work purpose and this blows my mind miles away, i never found such good a display, it is so accurate and nice to work with.",5/5,"i got this macbook, m1 max 32 core gpu / 32 gb of ram, for work purpose and this blows my mind miles away, i never found such good a display, it is so accurate and nice to work with",0.43,['so good accurate']
1789,"i was a bit concerned about the fact that apple has moved away from intel and is now producing their own m1 processor but i have to say it is incredibly fast. my company provides me with my computer of choice for work and in 2020 i received a top of the line macbook pro with an intel 8 core i9 processor and 64gb of memory and 4tb ssd that retailed for close to $5,000 and i have to say this new macbook pro with the 10 core m1, 16 core gpu, 1tb ssd and only 16gb of memory at almost half that price seems much faster. the display is just stunning. the graphics quality is among the best i have seen and video performance is flawless. it is everything a macbook pro should be. high performance in a sleek aluminum case. a couple of things to note if you are not familiar with this computer and thinking of buying one. it only comes with 3 usb-c / thunderbolt 3 interfaces. so you are going to need adapters if you plan on using any wired peripheral devices like keyboard, mouse, external drives etc.. that have standard usb interfaces. and at a minimum you should be backing your system up to an external drive. so, i would recommend buying a usb-c to usb hub as i am not big on adapters. there is several here on amazon in the $20-30 range. also, like most other manufacturers, apple has dropped the dvd/cd. it is not even an option. if burning dvds and cds is still a thing for you, again you can connect an external device with a hub or adapter. i would also recommend buying a cooling tray, especially if you are going to leave this computer on a desk powered up perpetually or for long periods of time so you can protect the cpu and more importantly the gpu from heat. lastly, a few words on macos montery that shipped with this computer. the most recent os i was using was sierra on my mbp 2013 and the learning curve was not difficult at all. my only complaint is monterey turns on a lot of stuff i do not need or even want. for example, as soon as i signed in with my apple id to sync my music from icloud, i started getting texts, facetime and even phone calls for my entire family on my computer. we use the same apple id for all our devices for a number of reasons and while it was not too difficult to disable, i would rather apple leave that up to the user. i will post an update more geared toward the performance and reliability of this system as time goes by but for now, i have to say i am very pleased and would highly recommend this new macbook pro. one final comment on the purchase process. i actually ordered one directly from apple. i live about 60 miles from an apple store and wanted it shipped to me. i was given a projected ship date about 3 weeks after placing my order. after waiting almost the full 3 weeks, my order was still processing and had not moved toward the preparing to ship status. i then realized apple has a store here on amazon, they had exactly what i wanted in stock. so after canceling my order with apple, i bought my computer here on amazon and it arrived in 2 days.",5/5,the display is just stunning,0.5,['just stunning']
1791,the laptop is an absolute beast! i9 cpu does not break a sweat on multiple tasks. gpu is amazing. 300hz screen is beautiful. added a 2tb nvme for games. this rog is built for years of use.,5/5,300hz screen is beautiful,0.85,['beautiful']
1799,"this laptop is for someone who wants a laptop to take around and do productive work on and also play modern games at high settings. there are others with faster gpus, but hardly any that can claim 6-9 hours of battery life like this one. there are tons of battery saving features, like a dedicated key to change what power profile to use. the 144hz screen auto sets to 60hz on battery so save battery life. gaming on a aaa game at high settings, 30 fps, i get around 2-3 hours of battery life. less demanding games can go more. other contemporary laptops i have used can really only game for an hour or so while on battery. you can also set the battery life to be capped at 80% or 60% to extend it is usable life. i usually keep it on 80% and still have long battery life. and it comes in at a hell of a competitive price.",5/5,the 144hz screen auto sets to 60hz on battery so save battery life,0.0,['']
1802,"it is a beautiful machine but hardware wise it is a no go... the memory only works in single channel mode (single slot on the mb), the second discrete gpu never kicks in no matter what you do plus the i7 is only a quad core. you can get a bottom end hp with a ryzen 5 processor for half the price and it will be more stable and faster. as far as the discrete gpu, it is a known problem with posts all over the web with no resolution. i have reinstalled windows, used generic nvidia drivers and specific 3050 drivers. i have uninstalled the intel (in processor) gpu and the nvidia 3050 still does not kick in. if you want a tuf computer, look at another model. this one is a no-go. there are several models under the tuf15 name. this one is the tuf516pe. good luck.",3/5,"as far as the discrete gpu, it is a known problem with posts all over the web with no resolution",0.1,['']
1810,"after a month of using this laptop and was initially satisfied, i received the blue screen of death. ive tried running the recovery and diagnostics to figure out what was the issue. being inclined on computers i tested everything and even tried reinstalling windows. still, i continued to get the bsod. eventually i found out that either the gpu or psu was going out. i guess you get what you paid for.",1/5,"after a month of using this laptop and was initially satisfied, i received the blue screen of death",0.25,['initially satisfied']
1813,"the cpu is not the best it could be for the money, the gpu is a 3050 which reviews are saying this mobile version is inferior to the old rx 580 from amd, which means it is not very good at all and only has 4gb of vram, the amount of ram and storage is also low. but they give you a 144htz screen. it does not make sense and for the money you could get better. if you want to game a 3060 should be the least you accept, since the 3050 is quite poor outside of old games or very low spec modern ones.",3/5,but they give you a 144htz screen,0.0,['']
1818,"this is the best gaming laptop you can buy in its price class. it even outperforms some more expensive options. big screen (for a laptop), strong cpu and gpu, enough memory, and a 1tb ssd. the only downside (and this is very minor): you quickly run out of battery while gaming. but that is the price you pay for a bigger than average screen, coupled with both a strong cpu and gpu.",5/5,"big screen (for a laptop), strong cpu and gpu, enough memory, and a 1tb ssd | but that is the price you pay for a bigger than average screen, coupled with both a strong cpu and gpu",0.12,"['', '']"
1819,"acer nitro 5 an515-57-79td gaming laptop | intel core i7-11800h | nvidia geforce rtx 3050 ti laptop gpu | 15.6"" fhd 144hz ips display | 8gb ddr4 | 512gb nvme ssd | killer wi-fi 6 | backlit keyboard",4/5,"6"" fhd 144hz ips display | 8gb ddr4 | 512gb nvme ssd | killer wi-fi 6 | backlit keyboard",0.0,"['', '', '', '', '']"
1821,"i love this laptop, i push my laptop pretty hard, i use blender, daz3d and a few other software's for 3d modeling and rendering. this laptop can handle it pretty well. with blender cycles i could do optix gpu rendering. in daz studio i was able to get a decent render using nivdia iray with pretty good real time feed back. for games i was able to play planetside 2 at a pretty good resolution at a good frame rate probably not like 120 fps on ulta high but it didnt dip below 30. with two m.2 drives on the bottom and a full ssd slot as well (cable is included so if you buy second hand watch out) i was able to get good storage. ram is upgradeable to 32 gbs which in the end is a pretty strong work horse. upgrading it was a bit scary as its not under the keyboard you have to take the bottom off and use a thin of plastic guitar pick or ifixit to open it up. go onto youtube to watch a break down, its not to hard to upgrade. batter life is not great but you could tailor it by having it turn off lights and lower screen brightness. built in bluetooth and full ethernet port 2 usb 3 ports and one usb c. which brings me to my con and that is very little vr support. i played vr games on a even older graphic card than this, and yet this rtx 3050 has no display port or a fast enough usb c to support an adapter. i cant say about the quest but i have a rift s and it will not work on this laptop. if you are looking for a mid workstation laptop this might fill the bill, if you are looking to get this for an artist going into school this one would be a good deal with the dedicated gpu this will extend the life of this computer to be able to handle most 3d and 2d applications.",4/5,"for games i was able to play planetside 2 at a pretty good resolution at a good frame rate probably not like 120 fps on ulta high but it didnt dip below 30 | batter life is not great but you could tailor it by having it turn off lights and lower screen brightness | i played vr games on a even older graphic card than this, and yet this rtx 3050 has no display port or a fast enough usb c to support an adapter",0.23,"['play able', 'not great', 'fast fast enough']"
1824,"bought this to play games with friends since gpus are astronomically overpriced and this laptop was extremely underwhelming. the screen is very dark and the colors are so muddled and muted. i expected more from a 144hz display. the gpu could barely handle running call of duty on the lowest settings at 1080p. the biggest downfall however is the ssd storage space. i opted for this model over a more expensive model because it was cheaper to add on an addition 2.5"" drive than the model with a 1tb ssd from the get go. this laptop refuses to acknowledge any ssd i plugged into it. save your money and buy something else.",2/5,the screen is very dark and the colors are so muddled and muted | i expected more from a 144hz display,0.07,"['very dark', 'more']"
1826,i have had 2-3 of these with varying gpu over the years and have always been satisfied. this one blue screened within 2-3 months after gifting it to a graduate heading to college. win some lose some,3/5,this one blue screened within 2-3 months after gifting it to a graduate heading to college,0.0,['']
1828,"had the opportunity to grab this nitro 5 10300h/3050 for $699. the 4gb vram on the rtx3050 is a bummer but it is a brand new ampere gpu with plenty of power for max 1080p gaming. the 10th gen i5 cpu is a small beast. a 1080p/144hz screen with nice brightness. with some little tweaks you can undervolt the cpu and overclock the gpu, upgrade the ram to 16gb at least and you can squeeze a lot of more performance from this budget gaming laptop. very happy with this purchase.",5/5,a 1080p/144hz screen with nice brightness,0.6,['']
1834,"this laptop is very light and portable to take where you need to. the gpu and cpu are both very good and the screen looks great. comes with windows 10 which allowed me to upgrade to 11 upon setup. you would have a hard time finding a similar laptop with these specs at this price point and to also have it be so light. i have not had any issues with it so far, does get a little warm but nothing like some other laptops i have used. should be able to get done any editing or designing you have to do on it no problem.",5/5,the gpu and cpu are both very good and the screen looks great,0.85,['very good great']
1837,"i wanted a windows machine with discrete graphics and a quality display for photo and video work but i did not want some 15.6-17"" behemoth, nor could i really afford a razer or some other $2000 ultra portable. after exhaustive research and comparisons over a couple of months i decided the swift x was exactly at the price/performance intersection for me. it is a little thicker and heavier than i prefer for travel but given the massive performance it has over my old yoga laptop i consider it a reasonable trade. the 16:10 display is not my preferred aspect ratio for lightroom and photoshop but i use a calibrated 4k external monitor for serious work sessions. the built in display has great gamut and color space specs and sharp details for a 1080 panel. battery life is excellent if you are not flogging it. the fan ran an obnoxious amount out of the box, even at idle but a quick google showed it was a known issue and a quick settings change quieted things right down. i have not done much video work on it yet but i have some upcoming projects that will put the gpu to the test. it rips through lightroom and photoshop tasks with ease. it nips at the heels of my friend's top of the line razer at a fraction of the price, and that is an intel machine. if we got into multicore video work i would probably edge him out.",5/5,i wanted a windows machine with discrete graphics and a quality display for photo and video work but i did not want some 15 | the 16:10 display is not my preferred aspect ratio for lightroom and photoshop but i use a calibrated 4k external monitor for serious work sessions | the built in display has great gamut and color space specs and sharp details for a 1080 panel,0.09,"['discrete', 'serious preferred', 'great']"
1839,"this is billed as a powerful, lightweight laptop for creatives. it is all that except the fan gets so loud and runs so long just for minor tasks at 15% cpu load before the gpu even kicks in i cannot imagine working with it for video and audio editing. seriously, it is as loud as a heatgun, and it has a shrill whine along with the woosh. i suppose if you use closed headphones it would be usable. i am very disappointed, i waited a long time for this to come out, and it sure is pretty and light with a beautiful screen.",3/5,"i am very disappointed, i waited a long time for this to come out, and it sure is pretty and light with a beautiful screen",0.16,['and very disappointed pretty']
1842,"the laptop feels solid, it is thin & light + so powerful, it has great cpu with 8 cores and 16 threads + decent gpu 3050 ti . it means that i can edit my 4k videos with no problem. the keyboard is good, the screen is not glossy which is nice, sound quality is average. overall i am very happy with this laptop.",5/5,"the keyboard is good, the screen is not glossy which is nice, sound quality is average",0.39,['not good glossy average']
1847,"i have been using this laptop for a month, temperatures can get pretty high under load. the highest it is been was 90 degrees celsius. if you plan to get this laptop i would suggest you get a laptop cooler. it helps and now the temperatures do not go higher than 80 degrees celsius. it was advertised for 11-hours of battery life but when i tested it, the battery held up to 9 hours of use which is pretty decent for a laptop. be aware that the gpu rtx 3050ti uses 40 watts of battery, which is a lot. so if you plan to game, the battery would last for 3-5 hours. its performance has been remarkable and i suggest this laptop for students and people who want to do a little gaming. it did disappoint that it was a 60-hertz display. the computer is powerful so i hoped it had a 144 or 240hz display. either way, this is a good laptop and if you are a gamer get a monitor that has a high refresh rate because i easily had 100fps+ on valorant and fortnite. the average fps on valorant was 168fps and the highest fps was around 280-300fps.",4/5,it did disappoint that it was a 60-hertz display | the computer is powerful so i hoped it had a 144 or 240hz display,0.3,"['', 'powerful']"
1850,"the acer swift x arrived much earlier than the expected date, which, with the free shipping, was a very appealing trait. the laptop itself meets the standards, and surpasses some of the concerns. the pluses include, small size, dedicated graphics, amd and nvidia together, and moderate level internals. some of the initial concerns were the display, which was said to be limiting and have issue with the color accuracy. with the laptop in hand, i would agree that the display is not on par with some of the higher end laptops, but it fits my needs and is sufficient for browsing, gaming, or video playback. another said concern was that the audio was lacking as well. my first hand experience leads me to agree with that statement, as the audio below 50 in the settings is hardly audible, meaning that the max audio is also lower that most competitor laptops. however, my solution was to wear headphones, as it works perfectly fine with them. finally, the battery life was advertised to be 17 hours, which is obviously exaggerated given this laptop has a dedicated graphics card, but it seems to fall shorter than expected. when the laptop puts to use the gpu, rtx 3050 ti, the battery life drops significantly to at most, 3 hours, at worst, 1 and a half. while normally browsing and video playback, the battery life lasts at most 13 hours on battery saver and 7 on the median battery options.",4/5,"some of the initial concerns were the display, which was said to be limiting and have issue with the color accuracy | with the laptop in hand, i would agree that the display is not on par with some of the higher end laptops, but it fits my needs and is sufficient for browsing, gaming, or video playback",0.12,"['initial', 'for sufficient']"
1856,"what caught my attention most was how hp toned down the looks so this does not look like a gaming laptop, you can easily use this in a work environment without anyone knowing unless they saw the large power adapter. screens on gaming laptops make a difference in terms of brightness & sharpness, even though hp lists the screen at 250 nits yet it seems brighter than a laptop of mine with a 300 nit screen. the keyboard is nice with a number pad, typing on it is very comfortable without any flex and the white backlight for the keys is perfect. i have used a lot of mid-tier laptops with a gpu over the years, the fan noise on the victus is very reasonable in comparison.",5/5,"screens on gaming laptops make a difference in terms of brightness & sharpness, even though hp lists the screen at 250 nits yet it seems brighter than a laptop of mine with a 300 nit screen",0.0,['']
1857,"i would not say this laptop is worth a full price of $1000, but for a discount it might be good for you. i got this laptop for going off to college (engineering, hence the gpu) and its performance is pretty great for the price. (got it for $750) it also does not have a bunch of crazy accents and colors which i really appreciate on a laptop. comes installed with a bit of “bloatware” like the hp omen center which i did find to be pretty useful. one thing to note is that the display on this is 60hz. if you are looking for a 120-144hz display you will be disappointed with this one. it also does not have the best colors and vibrance on the screen which is not really an issue but might bother some. battery life is passable (hard to give an exact number, but i was able to watch youtube video at 480p for 4h30m with rather low brightness and power saver enabled. can probably extrapolate from there. something better would be ideal but you should look for a ryzen model if you want actual good battery life. one thing advertises is that the laptop can charge from 0% to 50% in 30 minutes, and this is indeed true which impressed me. overall despite my nagging, it is a good-looking laptop with good specs for a sale price and passable battery life.",4/5,one thing to note is that the display on this is 60hz | if you are looking for a 120-144hz display you will be disappointed with this one | it also does not have the best colors and vibrance on the screen which is not really an issue but might bother some,0.05,"['60hz', '', '']"
1860,i never owned a mac before and i am very pleased with this purchase. i was nervous about ordering it off amazon at first but it was slightly cheaper and came in exactly two days. no issues with damages or overall quality. screen quality/graphics are great. i am able to play most of the computer games i wanted to on here with no overheating issues. battery lasts a while depending on what i am doing and charges very quickly.,5/5,screen quality/graphics are great,0.8,['great']
1871,"i have had countless laptops and desktops, some that are even more expensive than this one. i have never been more content with a computer before. i do not even know where to begin. the best part is probably how fast it is. i bought it early one and have had it for about a year and a half. i do everything on it from studying, to watching movies, to downloading games. it seems just as fast and smooth as it did before. i even was able to partition the hard drive to get windows and you would be surprised at its ability to run games at medium graphics settings as well. battery life is also stellar. i do not know what the advertised length is, but just to give you a clue i leave for lecture every morning with 100% battery, use it anywhere between 6-10 hours throughout the day, and always return home with a lot of battery life to spare. no more lugging around chargers in your backpack. display is awesome.",5/5,display is awesome,1.0,['awesome']
1875,"i have owned scores of laptops and macbooks over the years, and this is hands down the finest machine i have ever used. it is significantly heavier than the 2019 macbook pro 13 i previously had, by at least a couple lbs. that is the only downside i can think of, and this newer machine makes up for it with far superior battery life and processing power. the screen and graphics are simply breathtaking. i look forward to using this for years.",5/5,the screen and graphics are simply breathtaking,1.0,['']
1879,"i was a bit concerned about the fact that apple has moved away from intel and is now producing their own m1 processor but i have to say it is incredibly fast. my company provides me with my computer of choice for work and in 2020 i received a top of the line macbook pro with an intel 8 core i9 processor and 64gb of memory and 4tb ssd that retailed for close to $5,000 and i have to say this new macbook pro with the 10 core m1, 16 core gpu, 1tb ssd and only 16gb of memory at almost half that price seems much faster. the display is just stunning. the graphics quality is among the best i have seen and video performance is flawless. it is everything a macbook pro should be. high performance in a sleek aluminum case. a couple of things to note if you are not familiar with this computer and thinking of buying one. it only comes with 3 usb-c / thunderbolt 3 interfaces. so you are going to need adapters if you plan on using any wired peripheral devices like keyboard, mouse, external drives etc.. that have standard usb interfaces. and at a minimum you should be backing your system up to an external drive. so, i would recommend buying a usb-c to usb hub as i am not big on adapters. there is several here on amazon in the $20-30 range. also, like most other manufacturers, apple has dropped the dvd/cd. it is not even an option. if burning dvds and cds is still a thing for you, again you can connect an external device with a hub or adapter. i would also recommend buying a cooling tray, especially if you are going to leave this computer on a desk powered up perpetually or for long periods of time so you can protect the cpu and more importantly the gpu from heat. lastly, a few words on macos montery that shipped with this computer. the most recent os i was using was sierra on my mbp 2013 and the learning curve was not difficult at all. my only complaint is monterey turns on a lot of stuff i do not need or even want. for example, as soon as i signed in with my apple id to sync my music from icloud, i started getting texts, facetime and even phone calls for my entire family on my computer. we use the same apple id for all our devices for a number of reasons and while it was not too difficult to disable, i would rather apple leave that up to the user. i will post an update more geared toward the performance and reliability of this system as time goes by but for now, i have to say i am very pleased and would highly recommend this new macbook pro. one final comment on the purchase process. i actually ordered one directly from apple. i live about 60 miles from an apple store and wanted it shipped to me. i was given a projected ship date about 3 weeks after placing my order. after waiting almost the full 3 weeks, my order was still processing and had not moved toward the preparing to ship status. i then realized apple has a store here on amazon, they had exactly what i wanted in stock. so after canceling my order with apple, i bought my computer here on amazon and it arrived in 2 days.",5/5,the display is just stunning,0.5,['just stunning']
1880,"by far the best laptop, or just computer, i have ever owned! amazing screen, sound, battery life, and blazing fast! even when rendering 4k videos with color corrections and graphics. i cannot even imagine what the higher end models can do!!",5/5,"by far the best laptop, or just computer, i have ever owned! amazing screen, sound, battery life, and blazing fast! even when rendering 4k videos with color corrections and graphics",0.47,['']
1886,"i am pretty impressed by this gaming machine! first impressions on the laptop was that this was quite colorful. i likes how the lights displayed, making this a very fun and exciting piece of machinery, its active! i like that this illuminates the keyboard and you can see what you are typing in the dark if need be. the speed on this laptop is fast. i have had my fair share of slow computers and laptops, well this was very snappy. i have mine on my desk and it does not over heat at all. i did not need to add it on a cooling fans and it ran smoothly without any glitches. the screen is wide and big enough for me. i did play games some role playing games on this laptop and the graphics were so detailed. i liked that that it ran the game smoothly without any bumps at all. i like that this i can use add my bluetooth headphones to these and even using a mouse to the ports on this machine as well. the track was useful but i prefer a mouse especially when gaming. the sound on this is loud and did not static at all. i think this laptop is well worth the price and the speed of this is amazing!",5/5,"i likes how the lights displayed, making this a very fun and exciting piece of machinery, its active! i like that this illuminates the keyboard and you can see what you are typing in the dark if need be | the screen is wide and big enough for me",0.04,"['how', 'and wide']"
1890,"on paper it has all i need - 144hz screen, slim build for travel and 3050ti graphics. i have been using it after i received it in a nice package. it is been satisfying for my gaming needs - 2k, rd2 etc. but i will only buy it is on sale. for the list price, i will buy a one with more powerful graphics card.",4/5,"on paper it has all i need - 144hz screen, slim build for travel and 3050ti graphics",0.0,['']
1892,the screen is beautiful though got no camera great for gaming though i got it for architecture and it crushes absolutely the cad softwares though still struggles with lumion i think due to graphics memory but has a fast intel chip especially for the price,5/5,the screen is beautiful though got no camera great for gaming though i got it for architecture and it crushes absolutely the cad softwares though still struggles with lumion i think due to graphics memory but has a fast intel chip especially for the price,0.32,['beautiful']
1893,been having this laptop for about a year decent gaming laptop for the price but the graphics on this are so horrible gta looks better on my ps4 pro on a 60 hz tv than this thing any game it does not matter how old it is the graphics are not good all though it can game to an extent fans will get loud not too bad if you have headphones on but the one thing is the battery life and it is a slim design but the overall build quality is poor my screen bend when my dog pulled the cord and it fell on my lap in my chair overall if you are in college or school and want a slim laptop for school and light gaming this is a good option just do not expect it to be that great for newer games or games that lead off graphics the ray tracing is non existent,2/5,been having this laptop for about a year decent gaming laptop for the price but the graphics on this are so horrible gta looks better on my ps4 pro on a 60 hz tv than this thing any game it does not matter how old it is the graphics are not good all though it can game to an extent fans will get loud not too bad if you have headphones on but the one thing is the battery life and it is a slim design but the overall build quality is poor my screen bend when my dog pulled the cord and it fell on my lap in my chair overall if you are in college or school and want a slim laptop for school and light gaming this is a good option just do not expect it to be that great for newer games or games that lead off graphics the ray tracing is non existent,-0.03,['that not not not not how old good loud bad poor great']
1897,"the game was great in terms of running games, it can run games such as gta and fortnite with decent graphics. if you are more into games such as roblox or genshin impact it runs them great. overall the gaming is great, however, the battery is very bad when using it on the go. the best way to get the battery to last is, as is most devices, turning the graphics, screen brightness, and fan speed down. overall good, could be slightly better.",4/5,"the best way to get the battery to last is, as is most devices, turning the graphics, screen brightness, and fan speed down",0.34,['']
1898,"small but powerful, the screen is easy on the eyes till you get into gaming. after playing with the intel graphics command and playing the games again, and changing the colors, contrast, saturations, i was able to get some nice colors with brightness nothing perfect mind it. these are the settings for me, but nothing is the same.",5/5,"small but powerful, the screen is easy on the eyes till you get into gaming",0.16,['easy']
1901,"i bought this laptop so i could have more mobility while gaming and coding. it can handle any game at 1080p at high settings. an external 1440p monitor will lower your graphics settings, but not enough to make a huge difference. settings like dlss and ray tracing will not work at 1440p, but at the main screen's 1080p those settings work fine. coding with unity and roblox is extremely fast. docking this laptop through usb-c will lower performance due to power constraints, but not enough to inhibit gaming or coding. i have found the newer dell docking stations work best. overall this laptop is worth the money for the hardware.",5/5,"settings like dlss and ray tracing will not work at 1440p, but at the main screen's 1080p those settings work fine",0.29,['']
1902,"when unplugged, the screen bugs out and flashes all different colors every minute or two. tried reinstalling graphics drivers and even wiping the os from scratch. seems to be an issue with one of the asus built in software tools that controls the 2 video devices in the laptop. to top it off, amazon is making me pay for return shipping. suffice it to say, i probably will not be buying electronics from asus or amazon anymore. if you want to game on the go, try a steam deck.",1/5,"when unplugged, the screen bugs out and flashes all different colors every minute or two",0.0,['']
1907,"this review is for the asus vivobook 14 f415 laptop computer. it has a 14” fhd display, intel core i3-1115g4 processor, 4gb ddr4, 128gb pcie ssd, and a fingerprint reader. you get the laptop itself and a charger in here, not much more. this laptop only has 4 gb of ram and uses a tiger lake mobile cpu. it does come with built in uhd graphics so it will run some games for you however do not expect it to run anything demanding. if you want to play minecraft, roblox, or runescape - this will do it with no real issues.",5/5,"it has a 14” fhd display, intel core i3-1115g4 processor, 4gb ddr4, 128gb pcie ssd, and a fingerprint reader",0.0,['']
