,Review,Rating,Audio Sentences,Audio Polarity,Audio Descriptors
2050,"i was on the fence replacing my late 2011 15 inch specced out (for the time) macbook pro retina. sure i almost never used the cd/dvd slot or appreciate its hefty weight or its ploddingly slow hdd. but even though this seemed like a great piece of kit, i just could not justify $2k plus tax. so when amazon decided to drop $500 off the retail price i have used my $450 in amazon gift card balance and bought this bad boy for around $1,250 with tax included. unless you are a serious power user even the base unit of this laptop is more than anyone would ever need in terms of raw power. best screen on a laptop? check best speakers on any laptop? check best design? best made soc/software combo? check. it is faster than regular m2, better made than the air or the 13 inch model all made this purchase a no brainer. this is easily the best laptop apple has ever made. if you need a totl laptop, you have found it, if it is too pricey, save up or wait for a lightning deal, it is well worth it. greatest upgrade ever.",5/5,best screen on a laptop? check best speakers on any laptop? check best design? best made soc/software combo? check,1.0,['']
2054,"i am not a video content user, or do any heavy video editing that may tax the processor or gpu. i am more a casual user, so the full power and potential features of this laptop will never be used by me. so why would i spend a whopping $2,500 on a 16-inch laptop? two reasons, my old 2012 macbook pro has reached obsolesce and after december 2021 apple will no longer support it (no more security updates). secondly, i am heavily into the apple ecosystem. ipad, iphone, imac and i really like how all my devices work together seamlessly. also, i am an older guy (euphemism for senior citizen) and i really like and prefer a larger screen size on my laptop as opposed to portability. having got all that out of the way, let me share this, this laptop is amazing. the screen display is incredibly sharp with vivid colors. it has a comfortable keyboard with good backlighting. the very large glass track pad is very responsive, and apple's software is excellent at palm rejection, so your resting hands do not interfere when your typing. the sound output through the speakers is very, very impressive, almost unbelievable for laptop. the laptop's aluminum frame is solid. it is a big, bulky laptop, so if you are on the go and looking for a laptop to lug around everyday, i recommend you look at the 13-inch mac laptops. buying a laptop at this price range is a huge investment and i recommend that potential buyers do their due diligence and compare features and costs of both macs and windows pcs, especially if you are not in the apple ecosystem. but, if, however you want a larger 16-inch screen and a mac laptop then your choices will be the 2020 (intel) or 2021 macbook pro (m1 pro) and of the two, i recommend the m1 pro version. once i got over the sticker shock, i really am very happy with my 2021 macbook. my recommendation? two thumbs up!",5/5,"the sound output through the speakers is very, very impressive, almost unbelievable for laptop",0.38,['very impressive']
2055,"i got this to replace an ancient imac running ancient daw software (motu dp7) in my home studio. i had an eye towards being able to take it on the road with a small audio interface, while most of the time it would be the heart of my studio with a large external monitor (or two) and a small footprint on my desk. and while i was at it, have it run ableton live suite 11.",5/5,"i had an eye towards being able to take it on the road with a small audio interface, while most of the time it would be the heart of my studio with a large external monitor (or two) and a small footprint on my desk",0.12,['take able']
2070,"i cannot say a bad thing about this pc. it looks great. i personally love the teal backlit keyboard. it is fast. the screen is clear and that 3050ti really shines when playing games. i have had it for about a day and the battery is still charging fully. seems to like hanging out around 98% even after plugging in for hours. the built in speakers are nice and loud, good sound. as with any asus it comes with the armoury crate software which is a plus for customizing some of the settings. all in all this is a fantastic laptop for under $1k. this is my third asus rog/tuf machine and i have not been disappointed at all with them.",5/5,"the built in speakers are nice and loud, good sound",0.45,['']
2071,"my old laptop was struggling to keep up with all the live streaming software so i decided to get a new one. i guess since gaming and video rendering need a good graphics card, i found this laptop to be very affordable for performance and durability. i have had this laptop for about a month now. since i have had this laptop, it runs all my software without a problem. software: obs, ivcam, powerpoint, mypoint, touch portal. the fan is always silent in performance mode and the connection to youtube is always excellent. there is a slight high-pitched (probably electrical) noise when i turn on the laptop. most probably will not recognize this except with those with extremely sensitive ears. the upgradability of this laptop is a plus. and i am still learning how to use the laptop's software to provide a better sound for music. but the software is there. as with the other aspects of this laptop, there is a fair amount of software to help with customizing your laptop performance to get the most out of it. but not too much customization in that i was able to my live stream software up and running rather quickly. i would recommend this product to other small churches who are looking for a decent laptop to livestream their worship services.",5/5,and i am still learning how to use the laptop's software to provide a better sound for music,0.45,['']
2095,my old laptop finally had enough of me. this one has been a great replacement and is even better. i have had acer computers for years and they have never let me down. my last ones was 11 before the fan finally gave out. this laptop lets me do all my crafting and run the software without any issues. it also runs photoshop without freezing. the 8gb memory is plenty for me and the 256 gb hard drive. i am new to the processor in this but i am impressed. the laptop starts up and runs everything fast. the screen looks great and i even approve of the speakers which is rare. the laptop does have a slim design and fits in my purse. i really love that the keyboard is backlit. this makes working at night easier with kids around. i am happy with this so far and will update this review in the future if needed.,5/5,the screen looks great and i even approve of the speakers which is rare,0.55,['great rare']
2098,this laptop has a nice feel to it. it is sleek and light and the backlit keyboard is nice. the sound quality is fine and it is fast enough for what i need it for. that is about where my likes end though. i have had nothing but problems getting this thing to connect to my wifi or print simple word documents. i am constantly getting errors and “cannot connect” messages. i have updated printer drivers and nothing. i have to keep pulling out my old laptop to print anything. what is frustrating is that it is also random. sometimes it will print but most of the time it is a 30-45 minute headache for a simple one page word document. i have never had an issue getting any new laptop hooked up to my printer so something about this is not compatible with my current software but it will not tell me what and it is frustrating. wish i could return it.,2/5,the sound quality is fine and it is fast enough for what i need it for,0.25,['enough fine fast']
2107,"i have only had this laptop a few days but i thought i would post some first impressions. this is a really nice laptop for business, web browsing, watching movies and possibly even gaming though i have not done any gaming on it thus far and likely will not. it is light weight, battery life seems very good, screen really looks good, colors are well saturated and balanced, the picture is crisp. it just seems like a really high quality well though out design. the keyboard action is fantastic and the track pad just feels nice to the touch. i have not done any video conferencing with it yet so i cannot comment on the camera, but the sound is quite good for a laptop. also very impressed with windows 11. i had to install some ancient software on this laptop, an old dymo printer and an ancient version of word from 2003....both run without a hitch. immediately recognized my epson printer and well, it all just works. the ryzen processor is very snappy, the whole laptop is quick and responsive. this my first ryzen machine, always used tried and true intel but this was an eye opener. this amd chip really impressed me. overall could not be happier with this machine and the price was fantastic. hopefully it will last but thus far, its been and awesome upgrade to by old windows 7 i3 asus notebook.",5/5,"i have not done any video conferencing with it yet so i cannot comment on the camera, but the sound is quite good for a laptop",0.55,['quite good']
2116,"we purchased this machine for the specific purpose of downgrading the os to windows 10 64 bit for use with some proprietary software that we use in the entertainment industry. the os rollback went smoothly except for the audio driver. hats off to acer's tech support! we were on the phone with them for 10 minutes, and the problem was solved with a replacement driver. the best part was we received no hassle from them about rolling back the os on the machine. the unit is very fast, and the adaptive cooling which is crucial for us works very well. the most impressive feature was the new style screen technology. we lowered the resolution, and nothing become fuzzy, or blurry at all. the text is still crisp, and the graphics are excellent. for the price this is a great must buy if you want a quality machine that will stay relevant for several years, and not break the bank today when you buy it.",5/5,the os rollback went smoothly except for the audio driver,0.4,['audio']
2129,"i bought this computer to use in college, i use some kind of heavy software like sketchup, autocad, photoshop and illustrator. and for these, the computer seems to be doing very well. i really like de design, cause products with similar specs are usually aimed for gamers and the style is usually very agressive an rough. i like that this one is extremely elegant. the sound has some issues, as i have read across other reviews, but i do not need this aspect to be perfect anyway.",5/5,"the sound has some issues, as i have read across other reviews, but i do not need this aspect to be perfect anyway",0.42,['perfect']
2131,i bought one to use for my laser and it is just what i wanted! does the job well and battery life is pretty good for a long burn. it is super compact and light to take anywhere for those quick spur of the moment graphic ideas and get those ideas on the screen. it is all solid state and runs pretty cool. no mechanical hard drive that would eventually fail. boot up is also quick not allot of un-necessary software adds to slow it down. the screen comes up clean ready for you. speakers are pretty decent with the sound coming from underneath the computer. i did not buy it for games so nothing to say about that.,5/5,speakers are pretty decent with the sound coming from underneath the computer,0.27,['pretty decent']
2138,"this does not have touch screen on my model. the fhd display really surprised me. it is better picture than a lot of these tvs. as with all products they hide the defects from you until a month later. as soon as the 33th day rolled on i turned on the laptop and discovered sure enough it is got a burnt pixel. no way to fix that without replacing the screen. unless you have 5+ burned out pixels, good luck getting a return or any repairs. hp is still shady in that regard. i fully upgraded the machine when i got it. 16gb ram, 1tb samsung 980 ssd. the performance actually is comparable to my tower in many respects. i have a geforce 980, an octocore amd cpu, and 24gb ddr3 ram in my tower. this laptop of course has a little less ram, but it plays games about just as well as on my tower. i really am surprised at this. the cooling situation is absolutely garbage with this laptop. the engineers put the cpu exhaust port pointing directly into the hinge portion of the case. this makes it so the computer is actively fighting by blowing air into a 1/5 cm gap. there is just a row of holes in the bottle for air intake. i picked up a tray with a cooling fan pad and that solved the heat problem. i see it having problems in the future just because of how they designed the fan. the excess heat not only kills your hardware lifespan but it slows your machine down by auto throttling. if i could i would have installed heat spreaders all over the inside of this machine, but there just is not room. they could not even be bothered to make the air inlets in the front of the case. it is asking to burn up after so many years deliberately. i had problems with hp in the past, they screwed up a laptop return i sent in, then blamed me for water damage when i had before and after pictures, so i am not shocked at how they treat customers. i swore i would not buy another hp but this one was just too cheap to pass up. it is super light weight. the camera is nothing fancy, in windows 11, you will find you lack all of your audio enhancement options. it is instead been replaced by this crap hp audio tool. ditch it as soon as you can and find something like pulse audio so you can hear out of the cheap cheap cheap dog szzz cheap speakers. you will also want to get a good set of headphones. the performance is a little low unless you do add that second stick of ram as so many other people have pointed out. the machine simply was not designed properly, and they are taking it out of the consumers pocket by keeping them ignorant and not showing important aspects such as showing how the fan is smack dab in the middle of a 1/2cm gap. when you close the lid and open it after 20 minutes you will find it is incredibly warm if you have it hooked up to hdmi. it forces you to keep the screen open, which is not good to have static screens. i honestly think the burned out pixel happened just from the excess heat, but there is not anything i can do about it. it is not that bad, but once you see something you can never unsee it. i have a warranty but again, it is not going to cover this damage, so i spent money and not even 30 days later it has depreciated in value by the price of the lcd screen. the case is the cheapest plastic they could find. given this was produced during the pandemic you are left with another problem. check your ram speeds. if you get stuck with a 1r16 chip you are basically having 1 librarian trying to organize 16 shelves, whereas the good ram 2r8 would be equal to 2 librarians keeping up with 8 shelves. now you can see how the extra work load slows your machine. they do not mention this in their sales page or documentation, and you will only find out after you get it and run software to look at it, or pull the machine apart. overall, i probably would not buy this machine again, even though it works fast for an entry level computer. it is just too poorly designed. i give it a year or two before it fails. most likely, knowing hp it will be 26 minutes after the oem warranty expires. they used this planned obsolescence to rip off customers, and even though it is been nearly 8 years since i swore i would not buy another one, they changed; for the worse.",4/5,"the camera is nothing fancy, in windows 11, you will find you lack all of your audio enhancement options | it is instead been replaced by this crap hp audio tool | ditch it as soon as you can and find something like pulse audio so you can hear out of the cheap cheap cheap dog szzz cheap speakers",0.16,"['audio', 'audio', '']"
2147,"the hp laptop 15-dy5024nr is capable of web surfing and checking email and maybe a little microsoft word. it is full of the usual hp bloat ware most of which can be uninstalled. this is not a gaming laptop. i installed the online game runescape and it was able run ok but no man’s sky ran for a few seconds and shut down, probably due to a memory problem. with only 8 gb of ram and a 256 gb ssd, it is very limited. it is small, light and mostly plastic. there are no user serviceable panels to remove to upgrade ram etc. there is no user manual that i am aware of that explains how to do anything to this laptop. i believe you can remove the entire back to gain access to the ram and ssd. i may do this at a later date and will post pictures if i do. according to online memory sellers, the ram is upgradable to a max of 64 gb with 2 ddr4 pc4-25600 3200mhz sodimm non-ecc unbuffered 260pin 1.2v cl22 sticks for a cost of around $200. to upgrade to 32 gb it will cost over $80. the ssd can be upgraded to 500 gb ($55) or 1 tb ($95). this laptop does not have a cd/dvd, display port or a usb port for charging the laptop. it does have a full size hdmi port, a usb c 3.0 data port and 2 usb a 3.0 data ports. it also has a head phone/microphone port and a full size sd card reader and of course a port for the charging cable. all ports tested and worked as expected. the keyboard is chicklet style but works well and the touch pad works well also. the speakers are loud enough. i connected a wireless mouse with no problem. i used the usb c port to connect to my galaxy s20+ 5g cell phone and all worked as expected. it has a camera for skype or other video call software. the screen is bright and looks good to me. the wi-fi works great. this laptop works well for web surfing and email but if you want to do more you will need to upgrade.",4/5,the speakers are loud enough,0.05,['enough loud']
2157,though delivery took a long time and bad delivery experience the product is good. works well as advertised but sometimes the sound gets muted after using for a long time. hope its fixed in the next software update. overall a nice laptop.,4/5,works well as advertised but sometimes the sound gets muted after using for a long time,0.18,['']
2223,"omg! this is such an incredible product. perfect keyboard, perfect weight, perfect battery life, perfect trackpad, perfect performance, perfect touch id, perfect feel, perfect build, perfect look, perfect size, perfect stereo sound, perfect screen, perfect noise absence as not having a fan! i mean, it does not have a fan and it does not get hot most of the times. wtf?! it is the only laptop i have been able to use in my bed for x amount of hours and it is sooo comfortable to do it. it truly is one of the best products out there and it is totally worth the investment, because that is how i see it, not even as spending, that is just how good it is. i am enthusiastic because this is for sure the best device apple has created in terms of price/what you get, and it will probably stay in that position for a couple of years. this is game-changing and revolutionary. the computer feels as if it will last 10+ years, honestly. i highly recommend it. btw, it is so good my girlfriend decided to get one for herself because she just could not get over the first time she used it, and just how beautiful it is and pleasurable to look at from any perspective... this laptop is so ridiculously perfect that you can even open it with one hand and in just a couple of seconds, you will be ready to use it as it has an always-on feature that allows you to get down to the working right away. that is probably the best feat. true tone is also really good, as it is automatic brightness adjustment and dark mode, they sit together perfectly well. get it! you will not regret it at any moment. truly a high-end experience. oh, and... it looks elegant at any angle, and which is most important, classy it feels.",5/5,"perfect keyboard, perfect weight, perfect battery life, perfect trackpad, perfect performance, perfect touch id, perfect feel, perfect build, perfect look, perfect size, perfect stereo sound, perfect screen, perfect noise absence as not having a fan! i mean, it does not have a fan and it does not get hot most of the times",0.77,['']
2262,"best laptop you can buy but mine came scratched idk why apple is trying to punish me for but it is fine. also be really careful because the screen is special, it has a coating for retina display and even touching it or gently cleaning it can remove some of the coating and leave subtle blue marks. sound is boxy i would recommend speakeramp and choose flat sound to get a clearer sound. but nothing is perfect of course and for that price this is a great investment",4/5,sound is boxy i would recommend speakeramp and choose flat sound to get a clearer sound,0.29,['boxy']
2296,"i hate laptops, until i bought this one anyway. i probably burned through over a dozen or so over the past decade. one of them was actually another mac air. i was not impressed. this 2020 model however provides all the power and versatility that i have only previously dreamed about. the retina display is gorgeous, clear and easy to read. this pc runs photoshop faster and cleaner than desktops that cost me $3000 or more. music played back on this little laptop sounds better than any other i have heard. the new apple m1 chip really shines, beating the intel versions of this laptop hands down.",5/5,music played back on this little laptop sounds better than any other i have heard,0.05,['']
2297,"so forget about all the other reviews. this is the skinny from a higher learning teacher: is it fast? yes. if you are browsing the web, watching videos, etc. it is faster than my msi with 16gb ram and rtx 2060 video card. is it silent? yes. it is the whole reason i bought it, so good for me. how is rendering audio or video? good, but…my imac 5k from 2017 with 4gb of video ram is faster with the few renderings i have done. the following is what surprised me (especially after reading all the fab reviews of battery): i put my mac air on sleep mode when i shut it down. did not use it for a couple days, came back to get it and the battery was completely dead. zero! i was very surprised. i can always leave an msi, lenovo, hp, on sleep mode for a week or more. those are the things i have experienced in my first week. hope it helps.",3/5,"how is rendering audio or video? good, but…my imac 5k from 2017 with 4gb of video ram is faster with the few renderings i have done",0.25,['with faster']
2303,"the macbook air is as advertised. fast and easy to use with a long battery life. too few ports for my taste, and the keyboard is only ok. i use a logitech mouse via bluetooth, and it is responsive. one positive surprise is that the speakers in the laptop are better than those i have used in bigger machines.",5/5,one positive surprise is that the speakers in the laptop are better than those i have used in bigger machines,0.24,['than better']
2364,"apple makes an incredible product. but their contempt for the customer knows no end. this is especially exemplified by the reduction of ports to only two on the macbook aires and even some powerbooks. and everything is put into those two. the separate power port is gone. the separate video out port is gone. in some cases, even the audio out port is gone. all they leave you with is two usb ports which they expect you to use for everything. for a lot of people, like myself, multiple ports are needed for constant use. they are needed for external hard drives (especially for file backup where you do not want to use the apple cloud which is susceptible to nsa snooping), external dvd and cd burners, special printers that do not work with bluetooth, special mice for people like myself with handicaps that make trackpads difficult, drawing pads, etc. etc. etc. and do not tell me to just get an external hub. i have tried them all and none of them provide proper power to external tools that need it. plus they frequently get hotter than a firecracker. in summation, apple needs to start giving consideration to the customer's needs and not just to some fancy ""updated"" technology. bluetooth does not work dependably and is a real pain most of the time and is not available for all external tools. we need physical ports. please put them back on the macbooks, especially the ""aires"". and stop taking them off of the mac cubes. the last one i bought had no audio port causing extreme problems with my video production work. please apple, bring back the ports. otherwise i may be forced, god forbid, to go back to microsoft computers.",1/5,"in some cases, even the audio out port is gone | the last one i bought had no audio port causing extreme problems with my video production work",-0.06,"['', 'last audio extreme']"
2368,"granted i am coming off a mbp 8/500 dual-core i5, but this thing is read-my-mind fast. i keep quitting apps out of habit when you just do not need to. keyboard is back to pre-butterfly goodness, sound is great, and with a dock like the anker 7-in-1 you will not mind the port count. garageband and imovie never miss a beat. on geekbench, these new m1 units are surpassed only by the xeon mac & imac pros and the 8-core i9 imac. same no-go apps as catalina, so no real surprises. cannot wait for more universal binary apps, it will only get better.",5/5,"keyboard is back to pre-butterfly goodness, sound is great, and with a dock like the anker 7-in-1 you will not mind the port count",0.4,['great']
2372,"this was the first apple laptop i have purchased. my entire life i was so excited to always purchase an apple macbook/macbook air because of the positive reviews. i tend to review most everything in the most positive light, but this is just horrible. i constantly come back to the laptop and it says ""please report unexpected shutdown to apple."" this has happened at least 8 times with no response from an apple technician. then the camera quality for a 2020 machine is something out of the 1990s. it is horrible, i look grainy and i bought this laptop for an mba program. if you want to run many programs at once, even with upgrade ram and processor, you will hear what sounds like an airplane trying to take off constantly. the. fan. does. not. shut. off. sure it is portable, sure the ""build"" quality feels good in the hand. in terms of performance, spend the extra money and do not get this. i am quite embarrassed i shelled out over $1k for this. do as you wish, but this laptop is not worth the money and has pretty much ruined my desire to get any form of an apple laptop again.",1/5,"if you want to run many programs at once, even with upgrade ram and processor, you will hear what sounds like an airplane trying to take off constantly",0.25,['']
2380,"i was looking to upgrade from my current dual core intel i7 windows laptop and tablet. the 2020 macbook air m1 screen is sharp, the m1 processor performance is similar to intel i7 quad core for most uses . this laptop is fan-less and gets very warm/hot only when constantly exporting very large 5gb+ files - otherwise it runs cool to cold. i edit photos on this laptop and my editing software opens much faster and the edits occur very quickly. the 8gb ram/256 gb ssd combo in this laptop is fast and responsive. the mac os memory management allows 8gb to be more than enough for my projects. the m1 cpu performance and battery life for the macbook air m1 easily exceed those of my dual core i7 windows laptop and tablet. my photo editing software runs faster and is more responsive than on my windows devices. also, the macbook air m1 performance seems the same whether on battery or ac power unlike my windows devices. this laptop is a fantastic entry-level device but hard core gamers and video creators should upgrade to the pro models for the larger/more vibrant screen, richer audio, cooling fans, additional usb-c ports, sd card slot, dual monitor capability, and more ram/ssd options. i purchased this used base model used at a substantial savings over the list price which made it a fantastic value. i would suggest most users get the 512gb or larger internal ssd so you will not need an external ssd for video/music storage. i currently use external ssd drives to store my large files so the small 256gb ssd size in the base model was not an issue. the only possible drawbacks for the macbook air are there are only 2 usb-c data/charging ports so you may need to purchase a dock if you need multiple connection options, (or use older usb accessories), there is no sd card slot, and software apps are still being updated for the m1 cpu. i run microsoft office 365 on my macbook air. i notice that office 365 takes a second or two longer to load but once loaded office 365 runs as fast as it does on windows. i do not use this laptop for gaming, video editing, or to connect multiple monitors so i cannot comment on those uses. i was not expecting this level of performance from an entry-level device. do not get caught up in the hype that this base model can replace the macbook pro models for heavy work loads or professional use - it does not have the heat distribution (fans) to dissipate the heat to prevent thermal throttling under heavy computing or gaming. for most users, just use and enjoy your 2020 macbook air m1!!",5/5,"this laptop is a fantastic entry-level device but hard core gamers and video creators should upgrade to the pro models for the larger/more vibrant screen, richer audio, cooling fans, additional usb-c ports, sd card slot, dual monitor capability, and more ram/ssd options",0.19,['richer']
2384,my first day. i have used macbooks since 2006 when the first intel processors were used. the m1 chip is amazing. i now understand why 8 gb of ram is perfect for this model. crystal clear text rendering. silky-smooth touch pad. nice tactile response on keyboard— big improvement over the troublesome keyboards of the last 7 years. speakers are lovely. very pleased. battery fully charged. was able to easily migrate from my old 2016 macbook retina 12. easy to connect with icloud and mac account. a couple of my non-apple apps required rosetta to run with m1 processor—smooth download of rosetta. anyone needing a high end camera might go for the macbook pro but this is fine for my needs.,5/5,speakers are lovely,0.5,['lovely']
2386,"the device is silent because it has no fans, the screen is not oled but it looks incredible for watching movies with vibrant colors and is very sharp making it great for text documents with small fonts. the battery life is incredibly good i can constantly get over a day with moderate to high use and yet somehow still manages to be an incredibly light device. it has a good dac and plenty of volume making it a good choice for audio lovers, especially if you use open backs since it makes no noise, and if you do not use headphones the speakers can get very loud and sound really good for a laptop. it runs mac os which can be hard to adapt too but it is alot less power intensive than windows so you rarely have to worry about overheating or battery in daily use. if you are a professional video or photo editor or run intensive task look towards a pro computer and for everyone else this is a great choice.",5/5,"it has a good dac and plenty of volume making it a good choice for audio lovers, especially if you use open backs since it makes no noise, and if you do not use headphones the speakers can get very loud and sound really good for a laptop",0.38,['really very loud good']
2418,fantastic laptop for anything you need to do. i use it for audio production and it has yet to stutter or let me down. great purchase even if a little costly. will definitely get another one.,5/5,i use it for audio production and it has yet to stutter or let me down,-0.16,['audio']
2428,i upgraded from a mid 2015 pro which had no light bar. this newer model the light bar is a joke and its a pain to change brightness and sound. you have to first pull up those settings before you can change them. very annoying! i wish i had got the macbook air same specs and saved a few hundred bucks as it has no light bar,2/5,this newer model the light bar is a joke and its a pain to change brightness and sound,0.4,['']
2442,"my new office basically is really nice. the sound quality is the best ive ever had in a laptop. so many improvements over previous models, and those were top notch.",5/5,the sound quality is the best ive ever had in a laptop,0.7,['']
2449,"i own over 50 computers and it blows away my 11th gen dell xps 13 i7, my surface book 3, my ryzen 7 thinkpad. the first week i got it the battery lasted for 5 days and 22 hrs of use and still had 20% left. i felt guilty and charged it. the geekbench 5 rating beat all those listed laptops and they had 16 or 32gb of memory and the macbook pro m1 had only 8gb of unified memory. the keyboard felt great, the sound was superb, the screen bright, and it was blazing fast in all i did. i am an it consultant and deal in windows based databases and this mac has now become my daily go to system at home. it has become my new front end.",5/5,"the keyboard felt great, the sound was superb, the screen bright, and it was blazing fast in all i did",0.62,['screen great superb bright']
2454,"i honestly wholeheartedly wake up every single day and am thankful for this laptop. i use it and serotonin floods my body. everything about it from the os, to the quirky and cool touch bar, to the rich speakers. i adore it in its entirety and i can honestly say i treat it like my child. it is one of my most prized possessions. i am in love with this computer.",5/5,"everything about it from the os, to the quirky and cool touch bar, to the rich speakers",0.24,['']
2497,"on a positive note, keyboard problem has been solved. but new annoyances have been introduced. i am back to transferring pictures by wire. airdrop is too hit and miss, works, but barely. internet search for solutions shows me i am not alone. i have been on for three hours now, charging, and i have gone from 13% to 9%. sluggish connectivity with bluetooth and internet compared to my macbook air of 2018, sitting next to one another on the same wifi network. all kinds of little annoyances also with that bar on top. it is useless, but for sound you have to use it and it is more cumbersome than the simple old way. overheats once a day. i wish i had not bought it. the screen quality is great and i have a tb of memory. but as far as speed and ease is concerned, this thing is a trip back in time, back to steve balmer's microsoft and its contempt for consumers.",2/5,"it is useless, but for sound you have to use it and it is more cumbersome than the simple old way",0.1,['more useless cumbersome']
2504,"m1 pro chip is super powerful - photo/video editing, graphic design - this thing just kills it. compared to previous macbook pro, it is a giant leap ahead. these tasks are a main reason to buy the pro version of the macbook. this particularly model is the lower end of the spec you can get for a pro, but it still kicks butt. you can get the pro max chip and bump up the ram to 64gb if you want - and add tons more storage. the 14 inch macbook pro is the perfect size for a balance of portability and power. it can do pretty much everything the 16 inch version does. the display is stunning. just gorgeous. 120hz capability (pro motion) gets rid of blur when scrolling and makes for clearer action when viewing movies. the brightness and black levels on the display are awesome. real hdr viewing - a big difference. you will hear about ""the notch"" at the top of the screen where the camera is. after 10 minutes i do not even notice it. it means nothing for your experience. its just something critics have chosen to harp about. in most apps the notch is no even visible. camera is now a full 1080p and is a big upgrade over previous macbooks. six speaker sound system with new woofers - sounds incredible. music/movies it feels like surround sound. for video conferencing the microphones are studio quality and you can tell - this is great for video conferencing. the keyboard is a dream to type on. very solid like all macbooks, no spongy feel you get with so many other laptops. the apple magic keyboard is the best - as is the track pad. battery life is amazing. i have gone all day on battery without needing to plug in. at best its spec says 17 hours, which is crazy! especially for this spec...but for real world use with a mix of tasks, it will not be 17 hours but i did a 9 hour session yesterday, and still had a ton of battery left. the power efficiency is ground breaking. they have added back the magsafe power plug - which is great! and added back an sd card slot and and an hdmi port - which many of us hated the previous macs that deleted these ports. i wish it had at least one usb-a old style port - but it does not. you get three usb-c thunderbolt 4 ports that you can use with adapters if needed. they got rid of the touch screen bar at the top of the keyboard from previous pro macbooks and put back the regular mechanical keys for the controls. apparently they listened to a lot of users who did not really like the touch pad. the shape and style of this laptop is great. some say the edge of the laptop looks ""sharp"" where your wrists rest. that is bs. i have been typing most of the day and i do not feel any issue with the edge of the laptop at all. very comfy for typing. some haters may try to find reasons to bash this new macbook pro, but i am telling you - from any perspective, all brand bias aside - this is an amazing laptop - the best apple has ever made, hands down. and i would say you will not find a better power laptop anywhere. all that said - this is not a gamers machine. apple is not for hard core gamers. i mean you can play games on it that you get from the app store. i am a hard core gamer and a pc geek - i have a powerful windows pc for gaming. and always will. but for everything else. this macbook is king. i use to for music, for photo and video editing, for productivity. i can plut into a giant monitor if i want a bigger screen - it works great on my 34 inch ips panel. so if you are wondering if this macbook 14 inch pro is the real deal or not - i am here to tell you, its the real deal. i finally upgraded from my 2015 macbook pro because this new one hits so many sweet spots - revolutionary power and battery life, excellent ergonomic design, great sound, stunning display - its the whole package. if you are thinking of getting one - you will not be disappointed. one last comment. i am an old timer windows guy, and i know all the counter arguments for the mac. many wills say this is overpriced compared to a windows laptop with similar spec. first, show me an intel based laptop that can match these new m1 pro chips - you cannot. and aside from that, the mac os is secure and stable - rock solid - and is intuitive with amazing features - like the ability to copy and paste text from a photo! whaaat? and the design/ergonomics/quality of these macbooks is unmatched. so, yes you pay more - but you get more. my last macbook pro lasted me almost 7 years and it still works great. if you want this laptop - get it! it rocks.",5/5,"six speaker sound system with new woofers - sounds incredible | music/movies it feels like surround sound | i finally upgraded from my 2015 macbook pro because this new one hits so many sweet spots - revolutionary power and battery life, excellent ergonomic design, great sound, stunning display - its the whole package",0.44,"['incredible', '', '']"
2511,muy buena inversión para los que nos dedicamos al medio audiovisual.,5/5,muy buena inversión para los que nos dedicamos al medio audiovisual,0.0,['audiovisual']
2531,"i was on the fence replacing my late 2011 15 inch specced out (for the time) macbook pro retina. sure i almost never used the cd/dvd slot or appreciate its hefty weight or its ploddingly slow hdd. but even though this seemed like a great piece of kit, i just could not justify $2k plus tax. so when amazon decided to drop $500 off the retail price i have used my $450 in amazon gift card balance and bought this bad boy for around $1,250 with tax included. unless you are a serious power user even the base unit of this laptop is more than anyone would ever need in terms of raw power. best screen on a laptop? check best speakers on any laptop? check best design? best made soc/software combo? check. it is faster than regular m2, better made than the air or the 13 inch model all made this purchase a no brainer. this is easily the best laptop apple has ever made. if you need a totl laptop, you have found it, if it is too pricey, save up or wait for a lightning deal, it is well worth it. greatest upgrade ever.",5/5,best screen on a laptop? check best speakers on any laptop? check best design? best made soc/software combo? check,1.0,['']
2535,"this thing is very fast and the screen quality is amazing. the 14” m1 pro is the perfect laptop for anyone who uses final cut, it is super fast exporting in prores, my 2015 would take hours, i can go to sleep and wake up to find it still exporting. this thing does the same project in minutes. the speakers sound great, i tried the 16” but i did not like it, even though it sounded better because of the larger speakers. the keyboard and larger trackpad looked off to me, the machine was great but i did not like the design of the 16”, too much empty space. the 14” keyboard and trackpad fill up most of the space and looks great, the 14” is the perfect size for all around usage. it beats all laptops out there and most desktop available.",5/5,"the speakers sound great, i tried the 16” but i did not like it, even though it sounded better because of the larger speakers",0.43,['great']
