,Review,Rating,Battery Sentences,Battery Polarity,Battery Descriptors
252,"great version of macbook pro, i come from the 13"" with only two usb-c ports (major failure in the design), so i really appreciate the new ports, the storage capacity, the speed, the battery but most of all i really love the touch id (fingerprint recognition) on the power button, now i can use my fingerprint to unlock macbook pro or to quickly lock the screen. what a practical function!",5/5,"great version of macbook pro, i come from the 13"" with only two usb-c ports (major failure in the design), so i really appreciate the new ports, the storage capacity, the speed, the battery but most of all i really love the touch id (fingerprint recognition) on the power button, now i can use my fingerprint to unlock macbook pro or to quickly lock the screen",0.25,['most']
253,"amazing computer. we had a mid 2012 macbook pro and have been waiting to upgrade. when the 14” came out we decided to go for it. got the m1 pro 10/16/16. incredible resolution, speed, and battery life. so happy we waited to upgrade.",5/5,"incredible resolution, speed, and battery life",0.9,['incredible']
254,"i have a mabook pro covered by apple care. the computer needs a new battery. to make a long story short apple left me for months with a computer, again under warranty, which i can use for a couple of hours for simple tasks like web browsing before it needs to be recharged. apple refused to replace the battery because the diagnostic read 81% not below 80 % as per policy. in all this apple did not have any problems asking me to invest countless hours of my time between doing clean installs trips to apple stores etc.. i feel a more respectful way to treat me as a loyal customer could have been let us replace the battery first and if that does not fix the issue which i seriously doubt ask me to do troubleshooting. all this to save something that would probably cost you few $$. seriously ?",1/5,the computer needs a new battery | apple refused to replace the battery because the diagnostic read 81% not below 80 % as per policy | i feel a more respectful way to treat me as a loyal customer could have been let us replace the battery first and if that does not fix the issue which i seriously doubt ask me to do troubleshooting,0.23,"['new', 'the diagnostic', '']"
255,"i bought my new laptop through amazon because i was in a time crunch and needed it before leaving on a work trip. apple did not have the one i was looking for in stock. ever since i got this, my battery life is terrible, the bottom gets hot and it has weird issues. for example, the camera will randomly stop working and all my videos freeze when i am streaming movies or youtube. keep in mind, i only lightly use the computer 2 times a week max and do not have much uploaded to it. i am nervous that it was refurbished or something but have no way to know.",2/5,"ever since i got this, my battery life is terrible, the bottom gets hot and it has weird issues",-0.42,['terrible hot']
256,"super fast laptop with great battery life. lightweight with amazing screen and speakers. recommend a usb c hub, as many common ports are missing and it is not convenient to carry around multiple dongles for each external device.",5/5,super fast laptop with great battery life,0.44,['fast great']
257,"do not get me wrong, it is a good laptop for doing homework and writing emails. but beyond that, i do not see why i was stupid enough to spend this much money on a laptop... the battery life for me is eh, and do not even try installing steam or trying any games, it stutters like crazy. do not buy an apple laptop, save your money and buy a cheaper laptop.",3/5,"the battery life for me is eh, and do not even try installing steam or trying any games, it stutters like crazy",-0.6,['crazy']
258,"i have owned scores of laptops and macbooks over the years, and this is hands down the finest machine i have ever used. it is significantly heavier than the 2019 macbook pro 13 i previously had, by at least a couple lbs. that is the only downside i can think of, and this newer machine makes up for it with far superior battery life and processing power. the screen and graphics are simply breathtaking. i look forward to using this for years.",5/5,"that is the only downside i can think of, and this newer machine makes up for it with far superior battery life and processing power",0.27,['far superior']
259,"the computer stops working on different apps (keys commands stop reacting properly and only give you a sound effect instead of the usual function of these keys) and you have to switch back and forth from app to app to restore the function. computer started heating for no reason, the battery life was gone in 3 months to 3-4 hours of watching a movie instead of advertised 11 hours (which it did for about a month).",1/5,"computer started heating for no reason, the battery life was gone in 3 months to 3-4 hours of watching a movie instead of advertised 11 hours (which it did for about a month)",0.0,['']
260,"this macbook is the absolutely perfect balance of design, battery life and sheer power. i‘ve used six macbook pros since 2012, and this is by far the best yet. the 14-inch form factor is perfect and i could not ask for anything more. worth every dollar and the best pick for students who need power (e.g. engineering students.) downright incredible.",5/5,"this macbook is the absolutely perfect balance of design, battery life and sheer power",0.5,['absolutely perfect sheer']
261,"apple's reputation speaks for itself. not everyone needs the power of a macbook pro. but, those that do will love this computer. blazingly fast, long battery life and solid build quality.",5/5,"blazingly fast, long battery life and solid build quality",0.05,['long solid']
262,"this i my second macbook pro but my first brand new one. it is sleek and and light weight. i really like the fingerprint reader. the battery life is really better than i imagined, exceptional. i mostly edit photos and use word for writing. i am very happy with my purchase.",5/5,"the battery life is really better than i imagined, exceptional",0.58,['imagined better exceptional']
263,"product has great battery life, excellent screen with ink blacks and bright highlights, especially on hdr sources. for developers such as myself it flies through any workflow. i cannot recommend it enough, even though it is an expensive laptop.",5/5,"product has great battery life, excellent screen with ink blacks and bright highlights, especially on hdr sources",0.62,['great excellent']
264,works like a charm out of the box. bought a set of usb converter cables to allow use of legacy devices. battery life has been outstanding so far.,5/5,battery life has been outstanding so far,0.3,['outstanding']
265,the battery life is the only down side of this macbook pro 2021,3/5,the battery life is the only down side of this macbook pro 2021,-0.08,['pro only down']
266,"it is fast, beautiful display. really good battery life. although heavier than most laptops. it is something i feel in love with over time. quality is really great. the keyboard is responsive and feels comfortable.",5/5,really good battery life,0.7,['really good']
267,"best and most powerful laptop i have ever owned. new to apple and i l absolutely love mac os, i love the build quality, battery life cannot be beat, screen is absolutely beautiful, cannot find one thing i do not like about this beast of a machine.",5/5,"new to apple and i l absolutely love mac os, i love the build quality, battery life cannot be beat, screen is absolutely beautiful, cannot find one thing i do not like about this beast of a machine",0.5,['absolutely beautiful']
268,"i ordered the m1 max from amazon. i been a windows user my whole life and due to me needing xcode i decided to get a macbook to replace my alienware from 2014. mac is a little difficult to get used to the shortcuts are different. this thing can ran game maxed out but there is no raytracing. there are a lack of natural macos also. the best thing about this macbook pro is the screen 10/10, the battery 10/10, portable 10/10 and the sound 10/10. macsafe is a great feature it keeps you laptop from hitting the floor if you trip, also charges crazy fast.",5/5,"the best thing about this macbook pro is the screen 10/10, the battery 10/10, portable 10/10 and the sound 10/10",0.7,['portable']
269,"this year's macbook pro with m1 pro/max merges the display technology and battery life that makes ipad pro beautiful with the form factor and keyboard of a true professional laptop, plus the outstanding apple silicon architecture that blows intel pcs out of the water.",5/5,"this year's macbook pro with m1 pro/max merges the display technology and battery life that makes ipad pro beautiful with the form factor and keyboard of a true professional laptop, plus the outstanding apple silicon architecture that blows intel pcs out of the water",0.45,['']
270,i have been using my macbook pro from 2014 for work until last week when i finally purchased this macbook pro. my old macbook starts up and works as fast as the day i bought it. the only reason i bought a new macbook was because the battery life was getting low. i probably could have just bought a new battery and it would have been fine.,5/5,the only reason i bought a new macbook was because the battery life was getting low | i probably could have just bought a new battery and it would have been fine,0.14,"['low', 'new fine']"
271,"if you are looking for a laptop with real portable features, macbook is the best. it has the longest battery life i have ever seen. fairly light, very gorgeous and stunning with very high quality materials. the main feature of a macbook is the macos but now with a silicon designed for the os, it is flying. very cool such that i have never heard the fan kicks off (after 6 month of using!!!) it is the best for almost all applications and purposes except gaming. you should never play games on macbook, it is not designed for this purpose. it is the most portable laptop i have ever had. just remember to install native-m1/apple-native softwares on it to feel the power. other than that, it is just a bit better than other laptops.",5/5,it has the longest battery life i have ever seen,0.0,['longest']
272,"all works perfectly here on colombia, battery is great and screen is beautiful. i cannot install steam play proton to run all games.",5/5,"all works perfectly here on colombia, battery is great and screen is beautiful",0.88,['and great beautiful']
273,"will update as i use it but so far this thing is honestly a bigger bump from my 2013 15 inch mbp to my 2019 i9 mbp. only used a couple days will update later but so far the battery life is so good, the screen is godly, and the keyboard is so much better than the 2019 version. basically anything you want in a laptop. i got the cheapest (cheapest lol) model, but basically that is saying a low end ferrari since the cheapest is what most people would need (even more than most honestly). i do not game but use for work and need the larger monitor.",5/5,"only used a couple days will update later but so far the battery life is so good, the screen is godly, and the keyboard is so much better than the 2019 version",0.26,['much so good godly better']
274,got this to replace my old mac. bought that one 10 years ago. battery life is amazing. there are things i hate about apple. calling the backspace key delete and not having a real delete key is a pixxer. having it hold up reliably for a decade means i will put up with their silly contrivances.,5/5,battery life is amazing,0.6,['amazing']
275,"it was just what i wanted and more. the battery life is exactly what was advertised. this is not my first one. it operates beyond what i thought. i had one before, but was ready for a new one. i love it is speed and it did all the work getting it setup. i had everything on the cloud and it was ready to put everything into place. it works well with my external devices without any problems.",5/5,the battery life is exactly what was advertised,0.25,['']
276,"battery life is excellent, processor super fast and sufficient for my medium usage",5/5,"battery life is excellent, processor super fast and sufficient for my medium usage",0.51,['excellent']
277,from battery life to performance to speed. all i can say is wow.,5/5,from battery life to performance to speed,0.0,['']
278,"i will start by saying i love the computer. i have bought macbook pros several times in the past, and this is everything i expect and more. gorgeous screen, quality speakers, love that there is an sd card reader and lots of ports (unlike my 2016). also, the battery life is impressive. i can work all day on one charge!",3/5,"also, the battery life is impressive",1.0,['impressive']
279,"i have been a mac user for many decades and have had many apple laptops over the years and this is definitely the best to date. battery life is increadible, display is bright and high res, it is fast, and the keyboard is excellent. great design..",5/5,"battery life is increadible, display is bright and high res, it is fast, and the keyboard is excellent",0.52,['increadible fast excellent']
280,"i have never owned a mac. let us just say i will never purchase anything other system. the photoshop and quality. the tools available are amazing. i have already begun restoring old photos from family albums. i love the seamless connectivity of my mac, iphone and apple watch are awesome and makes my hectic life more simplified. the battery life is crazy long. i would say over 18 hours and it did not die in my. my work lap too dies after 4 hours of continuous use.",5/5,the battery life is crazy long,-0.33,['long crazy']
281,"i just upgraded from the 2017 macbook pro with touch bar. it is 3x faster then my previous laptop, the battery lasts all day and after 4 weeks of using it everyday, i have only heard the fans turn on once. which is a huge improvement because my old macbook pro the fans would turn after opening 2 chrome tabs. i highly recommend this new macbook pro.",5/5,"it is 3x faster then my previous laptop, the battery lasts all day and after 4 weeks of using it everyday, i have only heard the fans turn on once",-0.12,['previous']
282,this laptop runs premiere pro and my 4k footage with no hiccups or stutters. battery is roughly 4-5 hours while editing and performance does not change whether the laptop is plugged or unplugged. perfect for editing on the go. very happy with my purchase!,5/5,battery is roughly 4-5 hours while editing and performance does not change whether the laptop is plugged or unplugged,-0.1,['unplugged']
283,"this laptop is unbelievably fast. between the screen, battery life, and performance, this laptop is head and shoulders better than any competition.",5/5,"between the screen, battery life, and performance, this laptop is head and shoulders better than any competition",0.5,['than better']
284,"bought this to replace an xps 17 9700 (i7-10875h, 32gb ram, 2tb ssd, rtx 2070 max-q) and while it is not a fast (probably 85% for davinci resolve exports, 90% for after effects, equivalent on those games that will run on windows or macos like the tomb raider series) the battery life is significantly better. i have also never had an xps that would just turn on when you opened it up - both the 17 and my older 13 would take a minute to wake up.",5/5,"bought this to replace an xps 17 9700 (i7-10875h, 32gb ram, 2tb ssd, rtx 2070 max-q) and while it is not a fast (probably 85% for davinci resolve exports, 90% for after effects, equivalent on those games that will run on windows or macos like the tomb raider series) the battery life is significantly better",0.2,['significantly better']
285,"upgraded from a 2015 mac air i7 and this 16"" screen is amazing as is the battery life and performance. the keyboard keys are a little different.",5/5,"upgraded from a 2015 mac air i7 and this 16"" screen is amazing as is the battery life and performance",0.6,['amazing']
286,"love this laptop. lots of ports, long battery life and great performance.",5/5,"lots of ports, long battery life and great performance",0.38,['long great']
287,"by far the best laptop, or just computer, i have ever owned! amazing screen, sound, battery life, and blazing fast! even when rendering 4k videos with color corrections and graphics. i cannot even imagine what the higher end models can do!!",5/5,"by far the best laptop, or just computer, i have ever owned! amazing screen, sound, battery life, and blazing fast! even when rendering 4k videos with color corrections and graphics",0.47,['amazing']
288,"absolutely outstanding computer, battery life is amazing, performance is way better than my old macbook pro 15” 2018. i recommend this laptop for every day use. i have installed parallels desktop for windows 11 virtual machine and it has been working perfect so far.",5/5,"absolutely outstanding computer, battery life is amazing, performance is way better than my old macbook pro 15” 2018",0.43,['way amazing better']
289,"i am enjoying computing again! this machine is lightning fast with a very long lasting battery! it has handled everything i have thrown at it so far with flying colors-i would recommend it to anyone who is looking for a laptop that works like a laptop should, fast and for a long time!",5/5,"i am enjoying computing again! this machine is lightning fast with a very long lasting battery! it has handled everything i have thrown at it so far with flying colors-i would recommend it to anyone who is looking for a laptop that works like a laptop should, fast and for a long time!",0.14,['long']
290,the battery life is decent. i also do not have much on it yet since it is still new but i must say it has been holding a great charge. it also was more on the less expensive side to be brand new 2022! i am loving it so far !,5/5,the battery life is decent,0.17,['decent']
291,this is my first time to buy a macbook and it did not disappoint me. i love the battery life of this laptop and it very good use for my. studies.,5/5,i love the battery life of this laptop and it very good use for my,0.7,['']
292,battery life is amazing. m2 chip runs most apps very smoothly. great laptop.,5/5,battery life is amazing,0.6,['amazing']
293,"i got the base 256gb 8gb of ram model and this thing does everything i need it to and more. i consider myself fairly tech savvy, so when i heard all the controversy surrounding this model and its slower ssd, i was a little hesitant. after realizing what i wanted to do with the computer, this become a non-factor. i mostly do school (computer science) a little bit of rendering for my 3d printer and some very light gaming. the ssd has never been an issue in my day to day. if you are editing photos or access large files that will need to be read or written to often, maybe go to the 512gb model to get the faster ssd. if you are not working in cad or video/photo editing all the time you will not care i promise. the rest of this machine has astounded me. 18 hours of battery life is not just marketing, the speed of the m2 is snappy and can handle much more than i thought it would. the new screen is gorgeous. trackpad is the best on the market bar none. the keyboard is the best keyboard i have ever felt on a laptop and is an absolute joy to type on. magsafe is back and amazing as before. probably my favorite thing about this laptop, coming from a windows gaming laptop is the lack of a fan. you will lose a little performance, but not having that noise is absolutely astounding. cannot recommend this thing enough. great job apple.",5/5,"18 hours of battery life is not just marketing, the speed of the m2 is snappy and can handle much more than i thought it would",0.5,['snappy']
294,"the computer is still pretty new, but she has not stopped using it, so i think the battery life is great, super light weight, and the value was very worth it.",5/5,"the computer is still pretty new, but she has not stopped using it, so i think the battery life is great, super light weight, and the value was very worth it",0.38,['very pretty new worth']
295,"i bought this to replace my mid 2012 macbook pro, which was suffering from some dismal battery life and other general struggles. i am not an apple fanboy, but have to give apple side props for making a computer that was functional for 10 years.",5/5,"i bought this to replace my mid 2012 macbook pro, which was suffering from some dismal battery life and other general struggles",-0.02,['dismal other general']
296,"this mac has the best storage, sowed, and battery life! it works amazing for what i use it for!",5/5,"this mac has the best storage, sowed, and battery life! it works amazing for what i use it for!",0.88,['amazing']
297,"from pc guy to mac guy! the jump was much easier than i thought. thank goodness there is a mac version of all the software i used in the pc world. this mac is a beast compared to the previous pc’s i have owned. everything is much better. battery life, processor’s, compatibility with all my wireless peripherals. it is almost too much. plenty of room to grow. macbook pro 13in. m2 16gbram 1 tb ssd!…",5/5,"battery life, processor’s, compatibility with all my wireless peripherals",0.0,['wireless']
298,this is definitely good laptop with m2 chip it makes it even faster. the battery performance was expected to be more but it has same battery time as previous versions.,5/5,the battery performance was expected to be more but it has same battery time as previous versions,0.06,['more']
299,"i have several versions of the macbook pro, and this one is very fast and the picture and colors are awesome! it has a longer battery life than before and a user-friendly touch screen. amazing!",5/5,"i have several versions of the macbook pro, and this one is very fast and the picture and colors are awesome! it has a longer battery life than before and a user-friendly touch screen",0.42,['very fast awesome']
300,"i read reviews before buying this laptop and i was hesitant. i bought it and i must say, it was worth it. touch screen works perfectly. it is fast, quiet, and light weight. it has very good battery life even while multitasking. came with all specs advertised. very good quality product. happy with this purchase.",5/5,it has very good battery life even while multitasking,0.91,['very good']
301,this is my first laptop and i absolutely love it!! i am used to using my desktop pc. i am glad i finally picked one! it is slick and lightweight has all the features i need for college courses and the battery life is great! i love the color.,5/5,i am glad i finally picked one! it is slick and lightweight has all the features i need for college courses and the battery life is great! i love the color,0.35,['picked glad slick great']
302,i use it for school and when i sit to do my work i have to plug it in or the battery dies. it operates like a refurbished laptop,4/5,i use it for school and when i sit to do my work i have to plug it in or the battery dies,0.0,['']
303,my husband got me this laptop for my bday and i absolutely love it. i had an hp laptop before this and the battery life sucked but with this laptop my battery lasts for hours without needing to be charged and i am always so happy about it. it is also a beautiful laptop i love the color of it i always feel so fancy. the touch screen feature is an added bonus and throw away your stickers because this laptop provide a slider where you can literally slide it over to hide your camera lens. i would 10/10 recommend this laptop to anyone.,5/5,i had an hp laptop before this and the battery life sucked but with this laptop my battery lasts for hours without needing to be charged and i am always so happy about it,0.8,['so happy']
304,"i have had a couple lenovo laptops over the years, and would not continue buying them if they werent great... but they have horrible horrible horrible battery life. i keep mine tethered most all the time, but its amazing how quickly the battery will go, and it can go from telling you you have 35% battery life left, to suddenly shutting down because of no power. no further warning. nothing. its poof, and its out of battery again.",3/5,"but they have horrible horrible horrible battery life | i keep mine tethered most all the time, but its amazing how quickly the battery will go, and it can go from telling you you have 35% battery life left, to suddenly shutting down because of no power | its poof, and its out of battery again",-0.19,"['horrible', '', '']"
305,i do not have many complaints for this laptop as i use it for college and performs task well it does come with windows 10s which can quickly be removed from settings then updated to 11 if you want is it worth the original asking price of 1000$ (which is not market price either) hell no but for the discount i got it at roughly 60% off for 400 it is not bad the battery is not the best and neither is the speaker quality and i have no issues with the touchscreen but rarely use it so is it worth it overall yes for school but if you want a more personal one i would look for something different the screen also is not the brightest but quality is not bad and would recommend it!,4/5,i do not have many complaints for this laptop as i use it for college and performs task well it does come with windows 10s which can quickly be removed from settings then updated to 11 if you want is it worth the original asking price of 1000$ (which is not market price either) hell no but for the discount i got it at roughly 60% off for 400 it is not bad the battery is not the best and neither is the speaker quality and i have no issues with the touchscreen but rarely use it so is it worth it overall yes for school but if you want a more personal one i would look for something different the screen also is not the brightest but quality is not bad and would recommend it!,0.31,['not it not price worth bad worth bad']
306,"despite all battery saving attempts, this thing leaves me worried to go anywhere that i cant plug in. and, this day and age, needing to carry the stupid cord around is ludacris. zero complaints otherwise; great little device. i also own a lenovo thinkpad, which has usb-c charging; meaning i can take a power bank or other to charge on the go... this.. nope. i should have went for another chromebook, i think.",4/5,"despite all battery saving attempts, this thing leaves me worried to go anywhere that i cant plug in",0.0,['']
307,it was a decent computer but was not what i needed for my business. the screen is not as clear as i would like. and the battery life was not long enough for me. i needed a battery that would last a little longer,3/5,and the battery life was not long enough for me | i needed a battery that would last a little longer,-0.04,"['not enough long', 'a little']"
308,"the screen resolution is very low for this type of touch screen devices. otherwise, it appears to work fine with good battery life.",3/5,"otherwise, it appears to work fine with good battery life",0.56,['good']
309,this laptop comes stripped down and very basic no frills. the screen quality is good enough but the battery life is terrible. expect about 2 to 2 1/2 hours with normal usage. the battery also drains down even when the machine is turned off. shutting it down overnight and turning it back on in the morning expect the battery to drain about 50 to 60 percent. the keyboard is not backlit and can not connect another monitor.,3/5,the screen quality is good enough but the battery life is terrible | the battery also drains down even when the machine is turned off | shutting it down overnight and turning it back on in the morning expect the battery to drain about 50 to 60 percent,-0.1,"['enough good terrible', '', '']"
310,"the computer has a lot of storage. very bad battery life, which is unfortunate.",4/5,"very bad battery life, which is unfortunate",-0.7,['unfortunate']
311,the battery is terrible! it lasts less than 24 hours. the other thing is when i turn it off and close it and come back to use it the thing is already on. i do not like this computer and most importantly the battery is terrible!,3/5,the battery is terrible! it lasts less than 24 hours | i do not like this computer and most importantly the battery is terrible!,-0.25,"['terrible', 'terrible']"
312,"got this laptop for my wife’s birthday which was in late august she started using it in september and it was fine at first, nothing special but served it is purpose which was for schoolwork and her photography so nothing that takes up too much memory. well she uses it about once a week so we are about 4-5 times now and the computer just went black. google says it is probably a defective battery but is not sure. we has to reset the whole computer losing anything she put on there already which luckily was minimal and now have to redownload all her photography stuff. i spent at least a couple hundred on this and it is pathetic how quickly this broke. my wife has a toshiba from",2/5,google says it is probably a defective battery but is not sure,-0.25,['not defective sure']
313,the computer looks sharp and works well. the battery (brand new) only lasts about an hour and a half.,3/5,the battery (brand new) only lasts about an hour and a half,-0.01,['new']
314,"couple things, first, the edges are sharp and scrape my wrists when typing,. second, the battery life is very poor, maybe 3 hrs untethered. third the screen is kind of dull compared to other similar brands. yes, this does come with win 10 but it immediately updated to win 11...wish i would have stuck with win 10!",4/5,"second, the battery life is very poor, maybe 3 hrs untethered",-0.26,['very poor']
315,"i seriously cannot say enough about this laptop! i love it! speed, touchscreen, battery life and easy to setup. i love it!",5/5,"i seriously cannot say enough about this laptop! i love it! speed, touchscreen, battery life and easy to setup",0.18,['setup easy']
316,"i really like this laptop for the price. i love the touch screen ability! only negative is the battery life. after 4 hours of use, the battery shows low. i was expecting a much longer life.",3/5,"i love the touch screen ability! only negative is the battery life | after 4 hours of use, the battery shows low",0.08,"['only negative', 'low']"
317,"great laptop , battery drains quickly however but besides that great laptop!",4/5,"great laptop , battery drains quickly however but besides that great laptop!",0.71,['great']
318,"i have to say i am surprisingly very pleased with this product. i got it as a prime day deal with my elementary schooler in mind and it has been a perfect fit for him. i love the design and durability of it. battery works amazingly and very compact and light. its my son’s first computer and i love that its user friendly for him and easy to get the hang of understanding the different functions of it. i wouldnt say it lags but i also wouldnt say its a super fast computer either although works pretty well for streaming. as far as any other tasks, it definitely works fast enough to get the job done without any frustrations. would absolutely recommend or buy another!",5/5,battery works amazingly and very compact and light,0.4,['very compact light']
319,got this for a trip that required a few connecting flights. i wanted something with a long battery life and was small. this chrome book is thicker than i expected but is still pretty lightweight. the battery life is amazing. like ten hours. it also charges really fast. so far i am happy with my purchase.,5/5,i wanted something with a long battery life and was small | the battery life is amazing,0.1,"['small', 'amazing']"
320,"this is a well built, very impressive machine. web browsing, navigation programs, stock trading, school, light video applications. no fan, very low heat. very light. the back panel appears to be glass filled polycarbonate. the high resolution, matte screen is very sturdy, not at all flimsy. outstanding price, although i noticed it went up today. these only stay in stock for a couple of days, you have to check the asus store every day. excellent keyboard, keypad, there were no cons found. also noticed was how well win10 has become with adjusting text size at higher resolutions. there are a lot of different settings to use, depending upon the application. this laptop will withstand abuse, perfect for school. spec is 12 hour battery, light use shows 8 hours. this is a very low power, but very useful, machine. update: no programs running, 12 hours; navigation program running, including usb gps, 6.5 hours, on line full screen surf cam, 4.5 hours. click on the battery icon on the lower right and the popup screen will tell you how much time is left based on the current program load. update: note that it is easy and free to exit restrictive s mode and enter win10 home without having to download anything. after entering win10 home, there will be approx 30gb left on the ssd.",5/5,"spec is 12 hour battery, light use shows 8 hours | click on the battery icon on the lower right and the popup screen will tell you how much time is left based on the current program load",0.18,"['light', 'lower']"
321,"great product for the price. works excellent, long battery life (when fully charged usually last me about 90% of a work day).",5/5,"works excellent, long battery life (when fully charged usually last me about 90% of a work day)",0.32,['excellent long']
322,"lightweight, long battery life of 12 hours, easy to set up and fast start-up when powering on. i use for email, shopping online, research and work at home. for me, the celeron processor is taking a little getting used to as it is a tad slower than my old asus laptop, along with the touchpad/number pad combo. but for this price point and the long battery life i can and will adapt! it is a great little laptop by asus. i prefer this brand and this is my 3rd asus laptop and i also have an asus tablet. great brand, nifty product, excellent price 👍",4/5,"lightweight, long battery life of 12 hours, easy to set up and fast start-up when powering on | but for this price point and the long battery life i can and will adapt! it is a great little laptop by asus",0.19,"['lightweight long', 'long']"
323,"maybe it is because i am upgrading from an ancient desktop but this computer is blazing fast, runs everything at high settings and high framerates. battery life is low if i am running games with high graphics. storage is only 512 gb which, after i had installed seven games and my spotify collection, was 97% full already. no camera or bd/dvd/cd-rom drive. touch pad is ok but it is better to just get a mouse. computer runs hot so make sure you have something between your legs and the laptop to counter the heat. my biggest complaint is that ups was supposed to ask for a signature on delivery but they just left it on my doorstep. thankfully i was home at the time and watching for it.",5/5,battery life is low if i am running games with high graphics,0.08,['low']
324,"bought the scar for my son (august 2022) to replace his gaming needs while in college. easy setup and upgrades for ram and hdd. ripped one of the rgb cables when we opened the bottom cover but was able to fix it (like they knew this would be an issue). used crucial website to verify compatibility. battery does beat his school laptop (dell e-series). he plays dauntless, poe, wwz, m/craft w/ mods, and has a pretty lengthy steam catalogue of aaa titles. he prefers this laptop over his dell because it can handle everything at once w/ dual monitors (he can game and work on a powerpoint and watch youtube at the same time probably).",4/5,battery does beat his school laptop (dell e-series),0.0,['']
325,best gaming laptop for the money. this computer is an amazing value even with gpu prices dropping. this thing is more powerful as most desktops (14 cores!). still very portable and useable for everyday things like work editing and gaming on the go. the only complaint i have is the battery life. between the i9 cpu and the 125w 3070ti gpu this thing wont not last long when not plugged in. imo it also look's a lot better once i had it in person compared to what i was expecting. if i could only have one computer in my life with out spending a ton of money i would hands down pick this laptop. i am very happy with my purchase so far.,5/5,the only complaint i have is the battery life,-0.15,['only']
326,"can easily play any game on ultra settings you throw at it and it really is not that loud when you are playing. only thing is that it eats up battery but since most people are going to use this laptop to game, it is only customary to keep it plugged in. although it does have that portability option. for 2k, i would say if you are looking to buy this machine go for it. the build quality, aesthetics, and performance are astounding. 11/10",5/5,"only thing is that it eats up battery but since most people are going to use this laptop to game, it is only customary to keep it plugged in",0.02,['only customary']
327,"i gave it a 4 out 5 rating because of price and battery life while gaming. if you plan on gaming, which it is a gaming laptop, i would strongly suggest to leave it plugged in. battery life is shorted than i expected.",4/5,i gave it a 4 out 5 rating because of price and battery life while gaming | battery life is shorted than i expected,-0.1,"['', '']"
328,"it does seem to have a good gpu, though it does have trouble staying cooled and does not seem to have the 16.6 hour battery life as advertised.",3/5,6 hour battery life as advertised,0.0,['']
329,"awesome laptop if you are on a budget. the nvidia rtx 3050ti is just enough to run most games on high graphics. i run cyberpunk 2077 on high with raytracing and dlss with minimal issue. the occasional drop in framerate was expected from such a demanding title. if you have the coin go with the rtx 3060 or 3070 option, however i highly recommend you upgrade the ram and nvme drive either way. battery life is decent if not gaming, if you want to run on max settings you must be plugged in to get more than a couple of hours out of it.",4/5,"battery life is decent if not gaming, if you want to run on max settings you must be plugged in to get more than a couple of hours out of it",0.33,['decent']
330,battery not charging and black screen on arrival; return process is a nightmare with amazon. do not buy expensive electronics ere unless you are prepared for a headache.,1/5,battery not charging and black screen on arrival; return process is a nightmare with amazon,-0.17,['black']
331,"it boots up pretty fast and works really well, battery life is a bit short though",5/5,"it boots up pretty fast and works really well, battery life is a bit short though",0.16,['bit short']
332,will download games that you have to pay for but messes with your phone and all the apps on your phone and there is not even a built-in camera is very slow mentioning gaming battery life and no camera quality,1/5,will download games that you have to pay for but messes with your phone and all the apps on your phone and there is not even a built-in camera is very slow mentioning gaming battery life and no camera quality,-0.39,['very slow']
333,battery dies if using memory for a while. would prefer more memory.,4/5,battery dies if using memory for a while,0.0,['']
334,"bought a used like new one and everything looked brand new, but the device was already signed into and encrypted. battery life was also only going up to 95 even when plugged. had to return. so be aware of that for anyone buying used.",3/5,battery life was also only going up to 95 even when plugged,0.0,['']
335,"so far, the computer's flawless when it comes to work-related tasks. although the battery does not last as long as advertised (which i would expected), 8 hours is still pretty good when compared to other gaming laptops.",5/5,"although the battery does not last as long as advertised (which i would expected), 8 hours is still pretty good when compared to other gaming laptops",0.11,['pretty good']
336,"i would really like to like this computer, but i just cannot. it has a few small problems that are just a hassle, but its big problems make it awful. for small problems, its screen does a complete reset when you plug and unplug the charger, which is not the end of the world but is just another problem to add to the list. secondly, the fans will just turn up to max speed, randomly for no apparent reason. it is very loud and disruptive, especially when you are in a college class. they also will not turn off when you close the computer, you have to do a complete shutdown and restart to get the problem to go away. thirdly, the battery does not last as long as they say it does and dies at about half the time that is listed. fourthly, not only does the laptop die fast, but when it gets to a low battery it crawls down to a snail's pace and is basically impossible to use. when it gets to 15% you might as well just give up on trying to do anything on it. it will not even run candy crush because it goes down to an fps of 2 when you open it. lastly, and in my opinion, most importantly, it will randomly crash to a blue screen error and you will lose all of the windows that you had open and progress you do not have saved. i do not recommend this laptop to anyone and would recommend you avoid it at all costs.",1/5,"thirdly, the battery does not last as long as they say it does and dies at about half the time that is listed | fourthly, not only does the laptop die fast, but when it gets to a low battery it crawls down to a snail's pace and is basically impossible to use",-0.09,"['', 'low impossible']"
