,Review,Rating,Hardware Sentences,Hardware Polarity,Hardware Descriptors
2107,"i have only had this laptop a few days but i thought i would post some first impressions. this is a really nice laptop for business, web browsing, watching movies and possibly even gaming though i have not done any gaming on it thus far and likely will not. it is light weight, battery life seems very good, screen really looks good, colors are well saturated and balanced, the picture is crisp. it just seems like a really high quality well though out design. the keyboard action is fantastic and the track pad just feels nice to the touch. i have not done any video conferencing with it yet so i cannot comment on the camera, but the sound is quite good for a laptop. also very impressed with windows 11. i had to install some ancient software on this laptop, an old dymo printer and an ancient version of word from 2003....both run without a hitch. immediately recognized my epson printer and well, it all just works. the ryzen processor is very snappy, the whole laptop is quick and responsive. this my first ryzen machine, always used tried and true intel but this was an eye opener. this amd chip really impressed me. overall could not be happier with this machine and the price was fantastic. hopefully it will last but thus far, its been and awesome upgrade to by old windows 7 i3 asus notebook.",5/5,"i have not done any video conferencing with it yet so i cannot comment on the camera, but the sound is quite good for a laptop",0.55,['quite good']
2114,"this is my 2nd chromebook and i lobe it. my 1st one still works after 5 years, but i use that one at work a lot. if you are looking for a laptop but do not need a lot of software, this is the kid for you. it boots up and shuts down quickly and is very fast all around. the camera works well too. love it!",5/5,the camera works well too,0.0,['']
2118,"i love this laptop, i push my laptop pretty hard, i use blender, daz3d and a few other software's for 3d modeling and rendering. this laptop can handle it pretty well. with blender cycles i could do optix gpu rendering. in daz studio i was able to get a decent render using nivdia iray with pretty good real time feed back. for games i was able to play planetside 2 at a pretty good resolution at a good frame rate probably not like 120 fps on ulta high but it didnt dip below 30. with two m.2 drives on the bottom and a full ssd slot as well (cable is included so if you buy second hand watch out) i was able to get good storage. ram is upgradeable to 32 gbs which in the end is a pretty strong work horse. upgrading it was a bit scary as its not under the keyboard you have to take the bottom off and use a thin of plastic guitar pick or ifixit to open it up. go onto youtube to watch a break down, its not to hard to upgrade. batter life is not great but you could tailor it by having it turn off lights and lower screen brightness. built in bluetooth and full ethernet port 2 usb 3 ports and one usb c. which brings me to my con and that is very little vr support. i played vr games on a even older graphic card than this, and yet this rtx 3050 has no display port or a fast enough usb c to support an adapter. i cant say about the quest but i have a rift s and it will not work on this laptop. if you are looking for a mid workstation laptop this might fill the bill, if you are looking to get this for an artist going into school this one would be a good deal with the dedicated gpu this will extend the life of this computer to be able to handle most 3d and 2d applications.",4/5,"built in bluetooth and full ethernet port 2 usb 3 ports and one usb c | i played vr games on a even older graphic card than this, and yet this rtx 3050 has no display port or a fast enough usb c to support an adapter",0.14,"['', '']"
2119,"many people have complaints about the computer not working upon arrival. the quick start manual does cover the problem of putting in the power plug. you need to follow those simple directions. the complaints about the microphone or the headphone port not working are due to the default windows 11 software settings. you need to mess about with various settings to get them to work. this information should be in the startup guide. there is also a user manual that can be downloaded from acer. the manual has some good points but needed to go into more depth. some folks complain about the product being damaged in transit. the box that the computer comes in is of good quality (perhaps it has been recently improved).. the outer package (the one that amazon provides) needs more protective foam or bubble wrap around the computer box. some people complained in other reviews about the heat output from the computer -- it runs so hot that they needed a cooling mat. in normal operation the variable speed cooling fans ('coolboost') seem to do a good job of handling the heat. however, if you are running computer calculation intensive programs you will need to look for a cooling mat. you can easily tell when the computer is getting too hot -- the cooling fans speed up and you can feel the heat coming out of the exhaust ports. in normal operation the computer draws about 65 watts and in heavy use it is less than 100 watts. alert: the ""coolboost"" software works for windows 10 but as soon as you update to windows 11 the software stops working. i called the acer repair service and they said that the problem will be fixed in an update but that update is not going to be available until april. the power supply is a ""stepmode"" type and that is very good if you need to run your computer ""off the grid."" the power supply works with voltages from 100vac to 220 vac and from 50 to 60 cps. the stepmode power supply can deal with the rather high total harmonic distortion (thd) produced by a standby generator. overall, this 17 inch computer is well worth the price (($1199).",5/5,you can easily tell when the computer is getting too hot -- the cooling fans speed up and you can feel the heat coming out of the exhaust ports,0.34,['too hot']
2138,"this does not have touch screen on my model. the fhd display really surprised me. it is better picture than a lot of these tvs. as with all products they hide the defects from you until a month later. as soon as the 33th day rolled on i turned on the laptop and discovered sure enough it is got a burnt pixel. no way to fix that without replacing the screen. unless you have 5+ burned out pixels, good luck getting a return or any repairs. hp is still shady in that regard. i fully upgraded the machine when i got it. 16gb ram, 1tb samsung 980 ssd. the performance actually is comparable to my tower in many respects. i have a geforce 980, an octocore amd cpu, and 24gb ddr3 ram in my tower. this laptop of course has a little less ram, but it plays games about just as well as on my tower. i really am surprised at this. the cooling situation is absolutely garbage with this laptop. the engineers put the cpu exhaust port pointing directly into the hinge portion of the case. this makes it so the computer is actively fighting by blowing air into a 1/5 cm gap. there is just a row of holes in the bottle for air intake. i picked up a tray with a cooling fan pad and that solved the heat problem. i see it having problems in the future just because of how they designed the fan. the excess heat not only kills your hardware lifespan but it slows your machine down by auto throttling. if i could i would have installed heat spreaders all over the inside of this machine, but there just is not room. they could not even be bothered to make the air inlets in the front of the case. it is asking to burn up after so many years deliberately. i had problems with hp in the past, they screwed up a laptop return i sent in, then blamed me for water damage when i had before and after pictures, so i am not shocked at how they treat customers. i swore i would not buy another hp but this one was just too cheap to pass up. it is super light weight. the camera is nothing fancy, in windows 11, you will find you lack all of your audio enhancement options. it is instead been replaced by this crap hp audio tool. ditch it as soon as you can and find something like pulse audio so you can hear out of the cheap cheap cheap dog szzz cheap speakers. you will also want to get a good set of headphones. the performance is a little low unless you do add that second stick of ram as so many other people have pointed out. the machine simply was not designed properly, and they are taking it out of the consumers pocket by keeping them ignorant and not showing important aspects such as showing how the fan is smack dab in the middle of a 1/2cm gap. when you close the lid and open it after 20 minutes you will find it is incredibly warm if you have it hooked up to hdmi. it forces you to keep the screen open, which is not good to have static screens. i honestly think the burned out pixel happened just from the excess heat, but there is not anything i can do about it. it is not that bad, but once you see something you can never unsee it. i have a warranty but again, it is not going to cover this damage, so i spent money and not even 30 days later it has depreciated in value by the price of the lcd screen. the case is the cheapest plastic they could find. given this was produced during the pandemic you are left with another problem. check your ram speeds. if you get stuck with a 1r16 chip you are basically having 1 librarian trying to organize 16 shelves, whereas the good ram 2r8 would be equal to 2 librarians keeping up with 8 shelves. now you can see how the extra work load slows your machine. they do not mention this in their sales page or documentation, and you will only find out after you get it and run software to look at it, or pull the machine apart. overall, i probably would not buy this machine again, even though it works fast for an entry level computer. it is just too poorly designed. i give it a year or two before it fails. most likely, knowing hp it will be 26 minutes after the oem warranty expires. they used this planned obsolescence to rip off customers, and even though it is been nearly 8 years since i swore i would not buy another one, they changed; for the worse.",4/5,"the camera is nothing fancy, in windows 11, you will find you lack all of your audio enhancement options",0.0,['']
2141,"this product met my expectations. i use it to run software for my laser engraver. i bought an external docking device that allows me to have more usb ports, and an ethernet port as well as a few more.",5/5,"i bought an external docking device that allows me to have more usb ports, and an ethernet port as well as a few more",0.2,['']
2147,"the hp laptop 15-dy5024nr is capable of web surfing and checking email and maybe a little microsoft word. it is full of the usual hp bloat ware most of which can be uninstalled. this is not a gaming laptop. i installed the online game runescape and it was able run ok but no man’s sky ran for a few seconds and shut down, probably due to a memory problem. with only 8 gb of ram and a 256 gb ssd, it is very limited. it is small, light and mostly plastic. there are no user serviceable panels to remove to upgrade ram etc. there is no user manual that i am aware of that explains how to do anything to this laptop. i believe you can remove the entire back to gain access to the ram and ssd. i may do this at a later date and will post pictures if i do. according to online memory sellers, the ram is upgradable to a max of 64 gb with 2 ddr4 pc4-25600 3200mhz sodimm non-ecc unbuffered 260pin 1.2v cl22 sticks for a cost of around $200. to upgrade to 32 gb it will cost over $80. the ssd can be upgraded to 500 gb ($55) or 1 tb ($95). this laptop does not have a cd/dvd, display port or a usb port for charging the laptop. it does have a full size hdmi port, a usb c 3.0 data port and 2 usb a 3.0 data ports. it also has a head phone/microphone port and a full size sd card reader and of course a port for the charging cable. all ports tested and worked as expected. the keyboard is chicklet style but works well and the touch pad works well also. the speakers are loud enough. i connected a wireless mouse with no problem. i used the usb c port to connect to my galaxy s20+ 5g cell phone and all worked as expected. it has a camera for skype or other video call software. the screen is bright and looks good to me. the wi-fi works great. this laptop works well for web surfing and email but if you want to do more you will need to upgrade.",4/5,"this laptop does not have a cd/dvd, display port or a usb port for charging the laptop | it does have a full size hdmi port, a usb c 3 | 0 data port and 2 usb a 3 | 0 data ports | all ports tested and worked as expected | i used the usb c port to connect to my galaxy s20+ 5g cell phone and all worked as expected | it has a camera for skype or other video call software",0.01,"['', '', '', '', '', '', '']"
2162,"this is the best lenovo i have owned to date. it is also my first chromebook and although i was underwhelmed in the specs i was thoroughly mistaken as this is more than meets the eye (for me at least). this thing started up faster than any os i have had and this includes complete updates and transfer over of other apps and device info. i`m not sure if this is also driven with the same camera software as pixel phones. things seem smoother and sharper considering the stats of this machine. a conversation over facebook messenger was better than on all my higher end machines on windows, linux etc. the os itself takes less than i expected as well but i added an extra 128 gb into the microsd slot that securely and snugly clicks out of harm's way, unlike my last notebook. although at eleven inches it seems a little thicker than what we would expect, it is lighter than my last (hp stream 11). it charges fairly quickly and the battery lasts a while but really shines in closing the lid. it looks like it uses almost no power in hibernation/sleep mode and wakes up in a snap. i have always had windows issues with this and evn linux seemed to eat up the battery at a quick and steady rate in any dormant modes. windows would not wake up correctly many times either and we would have to do a hard reboot or even a battery pull to fix the problem (if that is even possible). streaming games worked pretty well too. the system will not be able to play the better games on the components it has on steam but you can stream it smoothly and also stadia is integrated in the system for a better gaming experience than what you would expect for lesser hardware.",4/5,i`m not sure if this is also driven with the same camera software as pixel phones,-0.12,['']
2168,"i had an early model chromebook ten years ago and liked the convenience of browsing the internet with it, which is about 75% of the time i use a home computer for anyway. it eventually reached the rather arbitrary ""end of life"" when google stopped security software updates for it. there was no trade-in offered for it, so into the dumpster it went. i bought this more recent samsung device, which has the added functionality of supporting android apps, whoopee duh. but i was very disappointed to find that scrolling with a mouse using the chrome web browser was crippled. the mouse wheel crawls, with no way to adjust it, and the problem does not exist in any other apps or the chrome os. if you try to use the scrollbar, it minimizes to nothing, and you have to fish around blindly for the few pixels that will grab it. from what i have read in forums, this problem has existed for years. apparently google thinks that since users can still scroll with the touchpad i should just get over it. or another workaround is to download any other company's web browser from their app store; the scroll bar will still disappear but the mouse wheel functions normally. my solution was to go back to using an asus vivobook that runs windows 10. if google fixes the scrolling problem i might eventually return to using this chromebook, otherwise i will be tossing it out.",2/5,apparently google thinks that since users can still scroll with the touchpad i should just get over it,0.05,['']
2171,"i bought this laptop primarily for college. as someone who has dealt with both devils by the name of apple and microsoft, the operating system differences do not bother me (although, one thing i did find is that when i go home and i am not able to do any gaming, it can be a bit of an irritation, but that was never why i bought this laptop to begin with). the screen and battery life on this thing are amazing. my previous laptops had terrible screens and had a max battery life of about two hours. this laptop, between using it for school, doing photo editing, graphic design, coding, and video editing, can easily last me up to two days or even more. the one thing i will say is that frequently in order for me see things most of the time, i need the screen cranked up past 50% brightness most of the time. i like the touch bar, i barely use function keys in most applications and the apps that do use them have the buttons on the touch bar anyways. i will say though unless you care about the touch bar, a slightly larger battery, and a fan being inside this machine (which for the record, with all of my use of heavy exports and edits, has never once turned on), just buy the macbook air. for school especially, it will get you across fine. the 8 gb model is also superb in most of the tasks i need to accomplish. i mean, it has similar performance in what i need for compared to my pc with a ryzen 3700x, and rtx 3070, and 32gb of ram. there were a couple of times where webpages tried to use more than 8gb of ram and that caused some trouble, but after turning on an ad-blocker i never had that issue again. macos has superb memory management, which allows for someone semi-professional like me to get by with it just fine.",5/5,"i will say though unless you care about the touch bar, a slightly larger battery, and a fan being inside this machine (which for the record, with all of my use of heavy exports and edits, has never once turned on), just buy the macbook air",-0.1,['']
2173,"i love the seamless integration and interactions it has with my apple watch, airpods, and iphone. i know people who do not have more than one apple device hear all the time that having more than one always works great because of the ecosystem but usually only take it at face value. i was one of those people even up until i had my apple watch for a while but the macbook really hooked me in. once you realize how everything just works you do not know how you were able to do it before. of course there is the whole walled garden argument everyone that dislikes apple love to talk about but in reality i do not care if this walled garden is at war the rest of the world it is the best, most simple, and seamless ecosystem for the average consumer. there is a learning curve for those that come from other operating systems like the different feel of the keyboard, shortcuts, trackpad, and overall os. but i have only been using this device for short while and already caught on super quick. i feel like despite all these positives there is still the high price. i purchased the 512 gb model and it came to around $1400 with a sale so it might take a while for the slight buyer's remorse to go away but i feel like the more i use it the quicker i become satisfied with my purchase. my final thoughts would have to be, if you have the money to purchase this at any configuration then go for it. simply keep in mind there is a lot that goes into the satisfaction for this product; the ecosystem which would require more apple devices, the willingness to learn a new os, understanding the added level of security and privacy that comes with apple devices and the use case for each individual.",5/5,"there is a learning curve for those that come from other operating systems like the different feel of the keyboard, shortcuts, trackpad, and overall os | i purchased the 512 gb model and it came to around $1400 with a sale so it might take a while for the slight buyer's remorse to go away but i feel like the more i use it the quicker i become satisfied with my purchase",0.12,"['', 'with satisfied']"
2176,okay i will start with the good about apple.. my daughters last laptop lasted 10 years(2 batteries and the pad cracked).. started failing.. we bought her this new 2022 macbook air laptop m2.. it weighs very little like a heavy cell phone.. also does not heat up as much.. so far has worked just like her last one so far pretty good.. the new operating system software made it impossible to move her office products over so she put in libreoffice which is free and it mimics office pretty well.. it uses usb 4 thunderbolt ports and you have to buy adapters to use usb drives etc.. they are pretty cheap so not a big problem.. there is a new 1 tb flash drive for a good price(30$) on amazon right now.. adds storage and backup.. has dual usb 3 and 4 which will work on this laptop.. usb 4 is thunderbolt.. if you like apple and need new laptop for 1200 bucks you should get this one..,5/5,it uses usb 4 thunderbolt ports and you have to buy adapters to use usb drives etc | has dual usb 3 and 4 which will work on this laptop | usb 4 is thunderbolt,0.0,"['', '', '']"
2185,"great price on sale. would be 5 star if it had a card reader slot. the operating system is using 13.5gb of space leaving 18.5gb of useable space. web camera is pretty bad, only 640x480. great battery life. nice size and weight, the 1080p, anti-glare, ips screen is the best feature. trackpad is nice and responsive. both usb-a ports seem tight and a bit cheap, but they work and otherwise i am very happy so far with this chromebook.",4/5,"web camera is pretty bad, only 640x480 | trackpad is nice and responsive | both usb-a ports seem tight and a bit cheap, but they work and otherwise i am very happy so far with this chromebook",0.18,"['pretty bad', 'and nice', 'very happy']"
2207,got this as a gift during prime day sale. it came very promptly. i also live in an apartment complex and have a special kiosk system for packages. it is nice when i am out of town which i was when the package came. it came earlier than expected. i do not usually use the kiosk but they left it in there for me all securely. laptop works great. the gift was a success as well! the only thing is that the camera could be better. my boyfriend needed a laptop due to his lenovo shutting down and a nice camera (his old one stopped working) to confirm his identity for online tests. he tested it out and it was pretty blurry for a pricey laptop which is why i give this 4 stars instead of 5.,4/5,it came very promptly | it is nice when i am out of town which i was when the package came | it came earlier than expected | the gift was a success as well! the only thing is that the camera could be better | my boyfriend needed a laptop due to his lenovo shutting down and a nice camera (his old one stopped working) to confirm his identity for online tests,0.18,"['', 'nice', '', 'better', '']"
2211,"this would have been the perfect laptop if it was not for those pesky kids, and that mangy mutt. in other words, the built in camera, sucks.",5/5,"in other words, the built in camera, sucks",-0.21,['']
2215,"front facing camera is only 720p, but everything else is perfect. rose gold matches her apple watch, and made for an excellent follow up gift from last years valentine.",5/5,"front facing camera is only 720p, but everything else is perfect",0.5,['perfect']
2223,"omg! this is such an incredible product. perfect keyboard, perfect weight, perfect battery life, perfect trackpad, perfect performance, perfect touch id, perfect feel, perfect build, perfect look, perfect size, perfect stereo sound, perfect screen, perfect noise absence as not having a fan! i mean, it does not have a fan and it does not get hot most of the times. wtf?! it is the only laptop i have been able to use in my bed for x amount of hours and it is sooo comfortable to do it. it truly is one of the best products out there and it is totally worth the investment, because that is how i see it, not even as spending, that is just how good it is. i am enthusiastic because this is for sure the best device apple has created in terms of price/what you get, and it will probably stay in that position for a couple of years. this is game-changing and revolutionary. the computer feels as if it will last 10+ years, honestly. i highly recommend it. btw, it is so good my girlfriend decided to get one for herself because she just could not get over the first time she used it, and just how beautiful it is and pleasurable to look at from any perspective... this laptop is so ridiculously perfect that you can even open it with one hand and in just a couple of seconds, you will be ready to use it as it has an always-on feature that allows you to get down to the working right away. that is probably the best feat. true tone is also really good, as it is automatic brightness adjustment and dark mode, they sit together perfectly well. get it! you will not regret it at any moment. truly a high-end experience. oh, and... it looks elegant at any angle, and which is most important, classy it feels.",5/5,"perfect keyboard, perfect weight, perfect battery life, perfect trackpad, perfect performance, perfect touch id, perfect feel, perfect build, perfect look, perfect size, perfect stereo sound, perfect screen, perfect noise absence as not having a fan! i mean, it does not have a fan and it does not get hot most of the times",0.77,['']
2226,"i absolutely love my new macbook. when it arrived i answered a few questions, connected it to my wifi and off i went. it has been a buttery smooth experience. keyboards are one of those things that are dependent on user preferences, but for me it is the best feeling keyboard i have ever owned. many professional reviewers agree it is terrific. the multi-touch pad is brilliant, and now that i know the many different combinations of fingers and movements i zip around getting work done. for example a two-finger swipe right goes back to the previous web page, no need to hit that back button. it is also custom configurable to your touchpad needs. what i appreciate most is the total cost of ownership value. i bought final cut pro x when it came out 10 years ago yet there was no charge to get the latest version downloaded from the app store. it does everything i need without an ongoing subscription fee like others have. i still cannot get used to how fast it works, it took me an hour to render a video on my old mac but this macbook did it in just a few minutes. and it is cool and quiet! i am using a huge 70"" 4k monitor as my secondary monitor. battery life is ridiculous. i plug it in every 2 or 3 days depending on my workload, which is several hours per day. i think the web camera is fine for me and many notebooks use this same 720p size. i join one zoom conference per week, so it does not really matter. the one thing i hope gets updated with the next release are the ports. i am using a hub because it only has two thunderbolt ports. i recommend this notebook to all my friends and family.",5/5,it is also custom configurable to your touchpad needs | i bought final cut pro x when it came out 10 years ago yet there was no charge to get the latest version downloaded from the app store | i think the web camera is fine for me and many notebooks use this same 720p size | the one thing i hope gets updated with the next release are the ports | i am using a hub because it only has two thunderbolt ports,0.2,"['custom configurable', '', 'fine', '', '']"
2229,"the new macbook air with the m1 chip is overall amazing! it is definitely worth the money! the all-new chipset has turned the air lineup into a beast! my only complaint is the camera. apple has stuck to the same 720p camera and claiming the neural engine makes it better? i am not convinced it is any better, and it is really a disappointment compared to other notebooks in its class. also, the inability to adjust the keyboard brightness from the keyboard. it is adjustable from the settings and easily accessible… but it is just an inconvenience. it is a petty complaint but for the money, this should be standard (it previously was on older models). aside from that, this notebook is amazing! lightning fast and the best battery life i have ever seen! overall, if you are in the apple ecosystem and you are looking for an amazing laptop with all day battery life - this is the one for you!",5/5,"the new macbook air with the m1 chip is overall amazing! it is definitely worth the money! the all-new chipset has turned the air lineup into a beast! my only complaint is the camera | apple has stuck to the same 720p camera and claiming the neural engine makes it better? i am not convinced it is any better, and it is really a disappointment compared to other notebooks in its class",0.12,"['money overall amazing worth', 'any not is convinced better']"
2235,"i am new to macbooks, having used windows my whole life. i chose this for going back to school because i knew it would last longer and not get buggy like windows always does. while the transition was a bit rocky at first, now that i somewhat know what i am doing, i absolutely love this computer! it is small and lightweight, but still feel solid in your hands. the processor is incredibly fast as well as the load up time. i can get signed in and have my notes up in seconds (literally, no joke!), something i could never do with a windows laptop (i should mention that i bought my computer directly from apple and upgraded to the 16bg ram and more storage, which helps immensely with load up time). for those that say the camera is bad- i do not think so. is it the most amazing camera ever? no, but if you really need higher camera quality for your job, then you should probably go with a macbook pro instead of air. for a zoom meeting it works just fine. the price is obviously higher than many laptops- that is why i have never used mac until now- but just think of it as an investment. i know i will be able to use this for years to come!",5/5,"for those that say the camera is bad- i do not think so | is it the most amazing camera ever? no, but if you really need higher camera quality for your job, then you should probably go with a macbook pro instead of air",0.17,"['', '']"
2239,"my son loved his apple laptop while it worked. the screen has cracked twice. as we can see from the image, it cracks from the top middle where apple put the camera. my son used the laptop a lot, but he did not mistreat his laptop. i generally do favor apple products. apple already repaired this once. i paid nothing for that repair. however, it has now failed twice for the same issue. i feel this is a serious engineering defect. i likely will take it to apple so they can diagnose it. i do not particularly care if i get the laptop back or not at this point since i suspect it may break again within six months. unfortunately i cannot recommend the apple macbook air due to this defect. i do expect a laptop to last at least 2 or 3 years. apple normally makes great products and i hold apple in high esteem. this product unfortunately is not one of them. not all of the apple laptops will face this issue. but if you search the web you will find others who have experienced this same problem. i am hoping apple stress tests newer versions of their laptops to address this issue in the future. apple may need to modify the camera assembly or display assembly. or relocate the camera to a different location like the corner of the display.",1/5,"as we can see from the image, it cracks from the top middle where apple put the camera | apple may need to modify the camera assembly or display assembly | or relocate the camera to a different location like the corner of the display",0.17,"['', '', '']"
2246,"i love this laptop. it replaced an acer aspire 5 slim, which was quite heavy, and had a battery that lasted five hours. in power saver mode. it was only two years old and rarely used until i started a new job and school. i had my macbook going from 8:30 am to 8:30 pm pretty much consistently, and it still had 55% battery life. because i have an iphone, i can make calls and send texts with it. my ipad can be used for sidecar, which is basically wireless screen mirroring, allowing me to have a portable second monitor. the mac does not skip a beat- i can leave it closed overnight, and everything is exactly the same the next morning without crashing or reloading. it is not at all heavy, and the size is exactly what a laptop should be. the mac os not supporting steam titles thing is not a huge deal- if i want a gaming machine, i have a desktop. for getting things done, this is an absolutely perfect daily driver, and i would not hesitate to recommend it to anyone. my one gripe is lack of usb-a ports, but i will buy an adapter and move on with my life. overall, try a macbook air… you will like it.",5/5,"my one gripe is lack of usb-a ports, but i will buy an adapter and move on with my life",0.0,['']
2248,"very disappointing. those 2 usb c ports as the only ports, is the most disappointing thing ever. also, it runs out of memory quite often. i only stick with it because of a software i need. otherwise, i stick to my windows laptop and stay sane",1/5,"those 2 usb c ports as the only ports, is the most disappointing thing ever",-0.03,['']
2249,honestly this laptop is garbage!!!! i had a macbookpro from 2013 that was almost neck on photoshop and illustrator being almost 10 years old ! like cumoon ! … oh and u have to buy a dam dongle because it only comes with 2 usbc connections and u know dam welll one is for charging ! … also if u dont have another mac dont eveer open disk utility because u need a secoond one if u erase ur hardrive,1/5,honestly this laptop is garbage!!!! i had a macbookpro from 2013 that was almost neck on photoshop and illustrator being almost 10 years old ! like cumoon ! … oh and u have to buy a dam dongle because it only comes with 2 usbc connections and u know dam welll one is for charging ! … also if u dont have another mac dont eveer open disk utility because u need a secoond one if u erase ur hardrive,0.29,['years almost neck old']
2250,impossible to use the camera. had to purchase and external camera.,3/5,impossible to use the camera | had to purchase and external camera,-0.33,"['', '']"
2255,"i had my mac for one day before it quit working—it was installed with big sur, which has a bug in it causing the trackpad to malfunction. no trackpad = no way of using your laptop (especially because it will not recognize an external mouse with this bug. i paid over a thousand dollars to have a computer for a single day. while it worked, the speed was great and the screen crystal clear, but both of those are pointless without a way to use the computer. i am doing the 3-hour software update now to (hopefully) fix the problem, but i highly recommend purchasing a different computer.",1/5,"i had my mac for one day before it quit working—it was installed with big sur, which has a bug in it causing the trackpad to malfunction | no trackpad = no way of using your laptop (especially because it will not recognize an external mouse with this bug",0.0,"['', '']"
2256,"i am a mac guy and have been purchasing mac products for years. i was taken back by the camera quality on this product. it was strange that the 2015 macbook air that i sold before getting this 2020 version had a much better camera. the camera quality is horrible. it almost looks like a camera from 2001. other than that the product is great, and does what it needs to do.",4/5,i was taken back by the camera quality on this product | it was strange that the 2015 macbook air that i sold before getting this 2020 version had a much better camera | the camera quality is horrible | it almost looks like a camera from 2001,-0.14,"['', 'strange', 'horrible', '']"
2258,"i love my macbook air! i chose gold, it is such a beautiful classy color. it came in original packaging packed very safely. i have not tried the camera yet.",5/5,it came in original packaging packed very safely | i have not tried the camera yet,0.51,"['', '']"
2262,"best laptop you can buy but mine came scratched idk why apple is trying to punish me for but it is fine. also be really careful because the screen is special, it has a coating for retina display and even touching it or gently cleaning it can remove some of the coating and leave subtle blue marks. sound is boxy i would recommend speakeramp and choose flat sound to get a clearer sound. but nothing is perfect of course and for that price this is a great investment",4/5,best laptop you can buy but mine came scratched idk why apple is trying to punish me for but it is fine,0.71,['fine']
2269,not long ago i decided to get far from apple products because some work necessities i could not cover with an iphone and a mac. the limitation of the iphone for some advanced features (like dual sim and the possibility to flash os images from a ssd) and the need to use bootcamp in the mac made me jump to an android phone and a windows computer.,5/5,the limitation of the iphone for some advanced features (like dual sim and the possibility to flash os images from a ssd) and the need to use bootcamp in the mac made me jump to an android phone and a windows computer,0.4,['']
2272,"este portatil tiene muchas cosas buenas, entre ellas destaco la camara es mejor q la de mi anterior asus y la rapidez que tiene para ejecutar las aplicaciones, apesar de solo tener 8gb es suficiente y la nitidez de las pantallas de mac siempre son superiores- dura bastante la bateria, (tampoco las 18 horas que dicen ellos, pero si mas de 8 horas)",5/5,"este portatil tiene muchas cosas buenas, entre ellas destaco la camara es mejor q la de mi anterior asus y la rapidez que tiene para ejecutar las aplicaciones, apesar de solo tener 8gb es suficiente y la nitidez de las pantallas de mac siempre son superiores- dura bastante la bateria, (tampoco las 18 horas que dicen ellos, pero si mas de 8 horas)",0.0,['']
2274,i never owned a mac before and i am very pleased with this purchase. i was nervous about ordering it off amazon at first but it was slightly cheaper and came in exactly two days. no issues with damages or overall quality. screen quality/graphics are great. i am able to play most of the computer games i wanted to on here with no overheating issues. battery lasts a while depending on what i am doing and charges very quickly.,5/5,i was nervous about ordering it off amazon at first but it was slightly cheaper and came in exactly two days,0.11,['slightly about nervous cheaper']
2277,"we own a macbook pro but needed a second laptop to keep the marriage from going off the tracks. bought the macbook air and are very pleased. it is lighter than our pro, has similar performance, is a bit lighter and cheaper. the only negative is that its two usbc ports are on one side, makes it trickier to keep it plugged in our seating situation. probably not an issue for most. oh, the battery life seems better than the pro. definitely recommend it.",5/5,"the only negative is that its two usbc ports are on one side, makes it trickier to keep it plugged in our seating situation",-0.15,['']
2278,"amazing quality from apple. i was very sad to see some macbook airs go stray the past few years. apple finally came back to its roots and built this masterpiece of a laptop. i have been a windows and mac user over the years, mostly being on windows. but the m1 has made it possible for me to make a complete transition. after going through laptops year after year, breaking down, and becoming outdated. i feel confident with m1 as my daily driver and i can run windows on it. absolutely amazing. no reason to buy any other laptop right now.",5/5,apple finally came back to its roots and built this masterpiece of a laptop,0.0,['']
2287,"i needed a new computer desperately, (screen broke and volume malfunctioned on my beloved old asus transformer), so after much research about macs online, i ordered a new macbook air. most of the online reviews and info praised it except for the camera, and in this current pandemic zoom world, that was a must! however, i could not imagine a new apple computer having a worse camera than my old iphone 6 which i am still happily using, so i took a chance! the laptop is awesome on so many levels! new m1 chip, super fast everything, and fantastic color display!",5/5,"most of the online reviews and info praised it except for the camera, and in this current pandemic zoom world, that was a must! however, i could not imagine a new apple computer having a worse camera than my old iphone 6 which i am still happily using, so i took a chance! the laptop is awesome on so many levels! new m1 chip, super fast everything, and fantastic color display!",0.34,['on awesome']
2289,i jumped out of the “ecosystem” a little while back. last had a macbook pro 13” in about 2015 when we had real ports. i realize those days are not coming back and it is #hublife or #nolife. but i have been underwhelmed with apples offerings for a minute.,5/5,last had a macbook pro 13” in about 2015 when we had real ports,0.1,['']
2292,"se la compré a mi hermana y hasta me antojé yo de una. yo soy estudiante de ingienería en software y pues todos los dias estamos en contacto con computadores y la mayoría de ellos windows y distribuciones de linux. muchos de nosotros, como estudiantes de esta rama, tenemos una mala imagen de lo que es apple como marca: que básicamente te venden la manzana mordida, pero al fin y al cabo todo esto son prejuicios. al final me di cuenta que estaba equivocado. una cosa segura es que te puedas comprar una pc con mejores especificaciones a este precio, pero la belleza y lo fino que son estas macbook y el sistema operativo, hace que, aunque suene raro, las especificaciones queden un poco de lado. en fin. súmamente feliz de este producto, es algo diferente a lo habitual, y había experimentarlo para poder juzgar. 10/10",5/5,"muchos de nosotros, como estudiantes de esta rama, tenemos una mala imagen de lo que es apple como marca: que básicamente te venden la manzana mordida, pero al fin y al cabo todo esto son prejuicios",0.0,['']
